,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,État du bâtiment,Salon,Salle à manger,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Revenu cadastral,Largeur de la façade à rue,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Largeur du terrain à rue,Type de chauffage,Cave,Visite virtuelle,Raccordement à l'égout,Surface constructible totale au sol,Obligation de construire,Surface de la terrasse,Salles de douche,Type d’environnement,Grenier,Terrasse,Attestation de conformité des citernes à mazout,Orientation de la terrasse,Surface de bureau,Disponible le,Surface du grenier,Référence externe,Surface de la chambre 4,Isolé,Surface de la cave,Surface de l'espace professionnel,Nombre d'annexes,Surface de la chambre 5,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom de l'agent,Combien de feux ouverts ?,Revenu mensuel actuel,Pourcentage loué,Nom du bien
94,Après la signature de l’acte,,2,,,205 m²,Équipée,4,1,2,Non,345 m²,,Sud-est,151 kWh/m²,B,2465919,Non communiqué,Non communiqué,,,Oui,,,,Zone non inondable,,395.000 €,Non,,,Excellent état,,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,204 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Toutes sortes,965 €,6 m,,,18 m²,14 m²,14 m²,6 m,Solaire,,,Connecté,,,24 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Sud-est,,,,,10 m²,,,,,,,,,,,,,,,
95,Après la signature de l’acte,,4,2,10,550 m²,Équipée,6,3,,Non,7700 m²,,,941 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,1.500.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",3485196,À rénover,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,Oui,,Connecté,,,,,Pays,,Oui,,,,,,,,,,,,,,,,,,,,,,
96,,,4,1,,250 m²,,3,2,,Non,,,,287 kWh/m²,C,20201216-0002347333-RES-1,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.250.000 €,Non,"Heidestatiestraat 2
2920 - Kalmthout-Heide",9480 - 2950.168 TH,Fraîchement rénové,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,2.929 €,,,,,,,,Gaz,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,,,
97,Après la signature de l’acte,1990,4,,,385 m²,Hyper équipée,3,3,,Non,8977 m²,,,304 kWh/m²,D,20210423-0001101779-0000000-7,Non communiqué,Non communiqué,,,Oui,Non,Non,,Zone non inondable,Parc résidentiel,1.195.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4438367,À rafraîchir,,,,,,,,,,,,Oui,,,,,Oui,,,Oui,,,Oui,,,,,,,,5.708 €,,,,,,,,Gaz,Oui,,Connecté,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,,,
98,Après la signature de l’acte,,4,6,2,675 m²,Hyper équipée,6,5,,Non,3925 m²,,,266 kWh/m²,C,20180808-0002080968-RES-1,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,Parc résidentiel,1.695.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4430521,Excellent état,,,,,Oui,,,,,,,Oui,,,Non,,,,,,,,Oui,,,,,,Oui,,2.535 €,,,,,,,,Gaz,,,Connecté,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,,,,,,,,,,,,,,,,
99,À définir,1930,3,,,167 m²,Équipée,3,1,,Non,250 m²,,,383 kWh/m²,D,20190709-0002176584-RES-1,Non communiqué,Non communiqué,,383,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",312.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,Bon,,,,,,,Non,,,,,Oui,,,Non,Non,,Oui,,,,,,,Non,Oui,Non,Non,Oui,,844 €,,,,,,,9 m,Électrique,,,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,1982,4,,,,,3,1,2,Non,630 m²,,,368 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,449.000 €,Non,,,Bon,Oui,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,630 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Toutes sortes,1.502 €,,,,16 m²,11 m²,11 m²,,Gaz,Oui,,,,,1 m²,,Pays,Oui,,,,,,,,,Oui,,,,,,,,,,,1,,,
101,,1974,4,,,207 m²,Équipée,3,2,,Non,1004 m²,,,444 kWh/m²,E,2467039,Non communiqué,Non communiqué,,444,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,Non,"Vrijheid 147
2320 - Hoogstraten",,,,,,,,,Non,,,,,Non,,,,,,,,,,,,,Non,Non,Non,Non,Oui,,2.632 €,,,,,,,18 m,Mazout,Oui,,Non connecté,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,2002,4,2,,550 m²,,3,2,,Non,5330 m²,,,179 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,1.150.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4421805,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
103,,,,1,,133 m²,Hyper équipée,3,1,2,,214 m²,,Sud-ouest,246 kWh/m²,C,2453204,Non communiqué,Non communiqué,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,Non,"Turnhoutsebaan 175
2110 - Wijnegem",,,,,Non,,Non,,,Non,Non,Non,Non,Oui,140 m²,,,,,,,,,,,,,,,,Oui,,,,,8 m²,18 m²,14 m²,8 m²,,Gaz,,,Connecté,74 m²,Non,16 m²,,,,,,,,,,VKW0984,,,,,,,,,,,,,,,,
