,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Chambres,Dressing,Salles de bains,Buanderie,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Sauna,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Salles de douche,Bureau,Cave,Largeur du terrain à rue,Terrasse,Revenu cadastral,Site internet,Parkings intérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Toilettes,Surface de bureau,Porte blindée,Ascenseur,Piscine,Surface de la cave,Concierge,Accessible aux personnes avec un handicap,Pompe à chaleur,Obligation de construire,Charges mensuelles,Référence externe,Parkings extérieurs,Surface de la chambre 4,Surface de la chambre 5,Surface constructible totale au sol,Quartier ou lieu-dit,Panneaux solaires,Climatisation,Terrain à front de rue,Jacuzzi,Visite virtuelle,Disponible le,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Pourcentage loué,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nombre d'annexes,Revenu mensuel actuel,Nom du bien,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Jardin
111,Immédiatement,,,,2,Urbain,,,,,,4,,3,,,Non,,Connecté,Oui,,,2 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",825.000 €,Oui,"Goedehoopstraat 21
2000 - Anvers",3,,Oui,,,,4535687,,,,,,,4,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,2,,175 m²,,,,,3,,1,,,,,Connecté,,,,8 m²,,,,,397 kWh/m²,D,1315370,Non communiqué,Non communiqué,,,,,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",489.000 €,Non,"Museumstraat 14 B
2000 - Antwerpen",,,,,,984 €,4518909,,,,,,,,,,,,,,,,,,,,,,,2000 Antwerpen,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,2018,,,,,,Oui,,,,1,Non,1,,,,,Connecté,Oui,,,,Oui,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",465.000 €,Non,"Mechelsesteenweg 34 2e V Links
2018 - Antwerpen",,Non,,,Oui,,,,,,,,,2,,,Oui,Oui,,Non,Non,,Non,,Assistentie woning m,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,Schelde 21,,,
115,,2018,,,,,,Oui,,,,1,Non,1,,,,,Connecté,Oui,,,,Oui,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",535.000 €,Non,"Mechelsesteenweg 34 2e V Links
2018 - Antwerpen",,Non,,,Oui,,,,,,,,,2,,,Oui,Oui,,Non,Non,,Non,,Assistentie woning m,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,,,,Schelde 21,,,
116,,,Bon,14 m,2,,Oui,5,,,,3,,Non,,,112 m²,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,Non,Non,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,1.100.000 €,2.582 €,"Jordaenskaai, 21
2000 - Antwerpen",4506017,,,,,,Oui,,1,,,,,,,,,Non communiqué,,,,,,,,,1,,,,,,,,,434 m²,,,,,,,,,,,,,,,,,,,,,,
117,,,Excellent état,,2,,600 m²,,,,,16,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,1.275.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,3762148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Excellent état,,2,,371 m²,,,,,6,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,980.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,4193014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,2,,180 m²,,,,,13,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,1.550.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,3645296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,À rénover,,2,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,2.975.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,3982916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Non,Non,Non,,,,Oui,"Italiëlei 207
2000 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,À la livraison,2022,Excellent état,,2,"Zone d'habitat (résidentiel, urbain ou rural)",136 m²,,Oui,,Américaine semi-équipée,3,,2,,,Non,136 m²,Connecté,Oui,70 m²,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",432.000 €,Non,"Antoon Catriestraat 8a
9031 - Drongen",2,,,,Oui,,4517279,,20 m²,,12 m²,8 m²,8 m²,2,,,Non,Non,,,Non,,,,,,,,136 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
127,À définir,1873,Excellent état,9.5 m,3,,446 m²,,Oui,,Américaine hyper-équipée,6,,6,,,Oui,266 m²,Connecté,Non,266 m²,,,,,,,255 kWh/m²,C,UC2149262,Non communiqué,Non communiqué,,,Gaz,,,Non,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.450.000 €,Oui,"Frankrijklei 93
2000 - Antwerpen",,Oui,Oui,9.5 m,Oui,,3727023,,32 m²,,35 m²,40 m²,35 m²,7,,,Oui,Non,,,Non,,,,,9,40 m²,45 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,1894,Excellent état,6 m,2,Urbain,350 m²,,,,Américaine hyper-équipée,7,Oui,3,Oui,,Non,180 m²,,,40 m²,Sud,40 m²,Oui,Non,Non,,230 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Non,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.100.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",2,Non,,6 m,,1.792 €,,,115 m²,,16 m²,13 m²,8 m²,5,,,Non,Non,100 m²,Non,Non,Non,Non,,spir4408,,16 m²,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,À définir,,Bon,,,,209 m²,,,,Hyper équipée,5,Non,,,,Non,110 m²,Connecté,Oui,,,,,,,,240 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",649.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,Oui,,Oui,937 €,,,,,,,,2,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,À définir,,Bon,,,,209 m²,,,,Hyper équipée,5,Non,,,,Non,110 m²,Connecté,Oui,,,,,,,,240 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",649.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,Oui,,Oui,937 €,,,,,,,,2,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,1905,Excellent état,,2,"Zone d'habitat (résidentiel, urbain ou rural)",265 m²,,,,Hyper équipée,4,Oui,2,Oui,,Non,61 m²,,,50 m²,Sud,50 m²,Oui,Non,Non,,346 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Non,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",650.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",1,Non,,5.5 m,,770 €,,,,,,,,3,,,Non,Non,,Non,Non,Non,Non,,spir4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,1910,À rafraîchir,6 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",350 m²,,,,Équipée,3,,3,Oui,,Non,147 m²,Connecté,Oui,,Nord-ouest,,,,,,309 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",695.000 €,Non,"Leopoldstraat 49
2000 - Antwerpen",,,Oui,,,,,,65 m²,35 m²,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui
135,,,Fraîchement rénové,,2,Urbain,200 m²,,,1,Hyper équipée,3,,2,,,Non,,,Oui,,,40 m²,,,,,220 kWh/m²,C,,Non communiqué,Non communiqué,Non,,Gaz,Oui,,,,,Zone non inondable,,595.000 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",,,Oui,,,,,1,,,,,,2,,,,,,,,,,,214 - 1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,À définir,1907,Excellent état,,2,,350 m²,,,,Hyper équipée,5,Oui,2,,,Non,400 m²,Connecté,Oui,300 m²,,40 m²,Non,Non,Oui,Non,158 kWh/m²,B,20210628-0002434910-RES-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.275.000 €,Non,,,Oui,Oui,,,,,,,,,,,2,,Non,Non,Non,,Non,Non,Non,Non,,,,,,,,Non,Non,Non,Non,,,Oui,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,
137,À définir,1903,Excellent état,7 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",571 m²,,,,,7,,2,,,Non,210 m²,Connecté,Oui,90 m²,Sud-est,,,,,,302 kWh/m²,D,20200229-0002253933-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1.295.000 €,Non,"Sint Hubertusstraat 87
2600 - Antwerpen",,,,,Oui,1.379 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,
138,Après la signature de l’acte,1913,Excellent état,,2,"Zone d'habitat (résidentiel, urbain ou rural)",375 m²,,,,Hyper équipée,4,Oui,2,Oui,,Non,156 m²,Connecté,Oui,35 m²,Sud-ouest,20 m²,,Oui,Oui,,199 kWh/m²,B,20210317-0002383240-RES-1,Non communiqué,Non communiqué,,"Oui, conforme",Gaz,Oui,Oui,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1.390.000 €,,"Verschansingstraat 48
2000 - Anvers",,Oui,Oui,,,,,1,,,,,,2,,,,,,,,,,,,3,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,Sud-ouest,,,,,,
139,Après la signature de l’acte,2011,Excellent état,,4,Urbain,215 m²,,,,Américaine hyper-équipée,3,Oui,1,Oui,,Non,285 m²,,,70 m²,Sud,70 m²,Non,Oui,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,Oui,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",795.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",1,Non,,19 m,,2.136 €,,2,,,,,,1,,Oui,Oui,Non,,Non,Non,Oui,Non,171 €,spir4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,À définir,,Excellent état,5 m,2,Urbain,138 m²,,Oui,,Hyper équipée,1,Non,1,Oui,,Non,48 m²,Connecté,Oui,,,,Non,Non,Non,Non,225 kWh/m²,C,20150312-0001740240-1,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,,Non,,Zone non inondable,,329.000 €,Non,,1,Non,Oui,,,571 €,,1,30 m²,18 m²,34 m²,,,2,,Non,Non,Non,,Non,Non,Non,,,,1,,,,,Non,Non,Oui,Non,,,Non,Non,Non,Oui,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,,Bon,,2,Urbain,160 m²,,,1,Équipée,4,Non,2,Oui,,Non,50 m²,,,,,20 m²,Oui,Non,Non,,332 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Non,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",595.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",1,Non,,5 m,,443 €,,,,,,,,3,,,Non,Non,,Non,Non,Non,Non,,spir4531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,À définir,,Bon,,,,160 m²,,,,Équipée,3,Non,,,,Non,,Connecté,Oui,,,,,,,,332 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,,Gaz,Oui,,,,,,,595.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,Oui,,Oui,,,,,,,,,2,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud-ouest,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,1918,Bon,,2,,250 m²,,,,Hyper équipée,4,,2,,,Non,75 m²,Non connecté,Oui,,,,,,,,399 kWh/m²,D,20191001-0001985525-RES-2,Non communiqué,Non communiqué,,"Oui, conforme",Gaz,Oui,,Non,Non,Non,Zone non inondable,Autre type de zone,699.000 €,Non,"Anselmostraat 42/A
2018 - Antwerpen",,,Oui,,Oui,830 €,,,,,,,,,,Non,,,,,,Non,,,,,,,,,Oui,,,,,,,,,,,Non,Non,,,,,,,,,,,,399,,
147,,1873,Excellent état,10 m,3,,,,,1,,7,,6,,,Non,446 m²,,Non,,,,,Oui,,Non,255 kWh/m²,C,UC: 2149262,Non communiqué,Non communiqué,Non,,Gaz,Oui,Oui,Non,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",2.430.000 €,Non,"Leopoldstraat 49
2000 - Antwerpen",,,Oui,,Oui,,Engel & Völkers Antwerpen-Centrum,,,,,,,,,,Oui,Non,,,Oui,Non,,,,9,,,510 m²,,,Oui,,Non,,,,,,,,,,,,I-00UEY4-W-02IYVV,,,,,,,,,255,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,2,Urbain,Non,2,Oui,Non,Non,92 m²,Oui,,,Non,30 m²,,,,,Non,,Non,Non,,,,,,,Non,,,,,,,,,,165 m²,Après la signature de l’acte,Non,,,À rafraîchir,Non,,,,,,,Non,,Connecté,3,,1,,,,,,,Non,Non,Oui,,,,,,,,,,,,,,
