,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Chambres,Dressing,Salles de bains,Buanderie,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Sauna,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Salles de douche,Bureau,Cave,Largeur du terrain à rue,Terrasse,Revenu cadastral,Site internet,Parkings intérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Toilettes,Surface de bureau,Porte blindée,Ascenseur,Piscine,Surface de la cave,Concierge,Accessible aux personnes avec un handicap,Pompe à chaleur,Obligation de construire,Charges mensuelles,Référence externe,Parkings extérieurs,Surface de la chambre 4,Surface de la chambre 5,Surface constructible totale au sol,Quartier ou lieu-dit,Panneaux solaires,Climatisation,Terrain à front de rue,Jacuzzi,Visite virtuelle,Disponible le,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Pourcentage loué,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nombre d'annexes,Revenu mensuel actuel,Nom du bien,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Jardin
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,1895,,,2,,135 m²,,,,,3,,1,,,,,Connecté,,,,8 m²,,,,,372 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",535.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",,,Oui,,,386 €,4382320,,,,,,,,,,,,,,,,,,,,,,,Antwerpen centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Après la signature de l’acte,,Bon,,2,Rue commerçante,,,,,,,Non,3,,,Non,265 m²,,Non,,,,Oui,Non,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Non,,,,,,,1.330.000 €,Oui,,,Non,,,,,,,,,,,,4,,Non,Non,Non,,Non,Non,Non,,,,,,,,,Non,Non,Oui,Non,,,Non,Non,Non,Non,Oui,Non,Non,Immeuble à appartements,100,,,,,,,,,,,,
26,,1879,Excellent état,,2,,350 m²,,,1,,6,,2,,,Non,300 m²,,Non,,,,,Non,,Non,Non communiqué,Non communiqué,2314867,Non communiqué,Non communiqué,Non,,,Oui,,,,,,,1.350.000 €,Non,"Leopoldstraat 49
2000 - Antwerpen",,,Oui,,Oui,,Engel & Völkers Antwerpen-Centrum,,,,,,,,,,Non,Non,,,Non,Non,,,,,,,,Antwerpen (city),,Oui,,Non,,,,,,,,,,,,I-00UEXW-W-02JUXF,,,,,,,,,,,
27,Après la signature de l’acte,,Fraîchement rénové,,1,Urbain,,,,,,4,Non,4,,,Non,435 m²,,Non,,,,Oui,Non,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,,,,,,,1.750.000 €,Oui,,,Non,,,,,,,,,,,,6,,Non,Oui,Non,,Non,Non,Non,,,,,,,,,Non,Non,Oui,Non,,,Non,Non,Non,Non,Oui,Non,Non,Immeuble à appartements,100,,,,,,,,,,,,
28,Selon le locataire,,Bon,,2,Urbain,940 m²,,,,Équipée,12,,,,,,,Connecté,Oui,,,,,,,,324 kWh/m²,D,1753848,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.390.000 €,Oui,"Leopold De Waelplaatst 5
2000 - Antwerpen",,,,,Oui,,4404759,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1900,Excellent état,,4,,,Oui,Oui,,,7,,6,,,,749 m²,,,,,,,Oui,,,665 kWh/m²,F,1878468,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.950.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",,Oui,Oui,,Oui,6.945 €,3970288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,Bon,,2,Urbain,175 m²,,,,Américaine hyper-équipée,3,,1,,,,46 m²,,Oui,,,9 m²,,,,,377 kWh/m²,D,EP09445,Non communiqué,Non communiqué,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",420.000 €,Non,"Leopold De Waelplaatst 5
2000 - Antwerpen",1,,,,,,4498881,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2,,,6,,,,,,,72 m²,,340 kWh/m²,,,,D,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Zone non inondable,550.000 €,,,,,,,,,969 €,,,Michel ROBEYNS,,,,,,,"Jodenstraat 42
2000 - ANTWERPEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1910,,,,,,,,,,,Non,"nl :
Vanaf 8/9 tem 9/10 op woe. van 18u-20u & op zat van 14u-16u",13 janvier 2022 - 00:00,Non,,,,,,,
33,Après la signature de l’acte,,Excellent état,,2,,132 m²,,,,,1,,1,,,,40 m²,,,,,9 m²,,,,,165 kWh/m²,B,1022115,Non communiqué,Non communiqué,,,,,Oui,Non,Non,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",450.000 €,Oui,"Jordaenskaai, 21
2000 - Antwerpen",,Oui,Oui,,,,4388789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Après la signature de l’acte,,Excellent état,,2,,130 m²,Oui,,,Hyper équipée,2,Non,2,,,Non,38 m²,Connecté,Oui,,,,Non,Non,Non,Non,Non communiqué,Non communiqué,20160201-0001831204-1,277 kg CO₂/m²,Non communiqué,,"Oui, conforme",Gaz,Oui,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,,,Non,Oui,,Oui,647 €,,,,,,,,3,,Non,Non,Non,,Non,Non,Non,,,,,,,,,Non,Non,Oui,Non,,,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,
36,Selon le locataire,,Bon,,2,Centre commercial,260 m²,Oui,,,Équipée,5,,5,,,Non,116 m²,Connecté,Non,,,,,,,,426 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,599.900 €,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",5,,,,,3.718 €,,,,,,,,6,,,,,,,,,,,4324092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Après la signature de l’acte,,Excellent état,,2,,,,,,Américaine hyper-équipée,4,,4,,,,,Connecté,Oui,,,,,,Oui,,121 kWh/m²,B,11002-G-2015_170083/EP06640/A001/D01/SD001,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",2.100.000 €,Oui,"Jordaenskaai, 21
2000 - Antwerpen",,,Oui,,Oui,,4262910,,,,,,,9,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,,,,,,,,,,Non communiqué,,,,,,Non communiqué,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Zone non inondable,55.000 €,,,,,,,,,475 €,,,Philippe CAEYMAEX,,,,,,,"Ambtmanstraat 7
2000 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,407 m²,,,,,,,,,,,,Non,"nl :
Elke don. van 16u30-18u & elke zat. van 10u30-12u, vanaf 9/9 tem 9/10",Après la signature de l’acte,Oui,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Excellent état,,2,,,,,,Hyper équipée,2,,,Oui,,,80 m²,Connecté,Oui,,,,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",189.000 €,Oui,"Oever 21
2000 - Antwerpen",,,,,Oui,,MADE Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Après la signature de l’acte,,,,2,,,,,,,,,,,,,385 m²,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,,,,,,1.590.000 €,Oui,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,,Non,,,,,Non,Non,Non,,Non,Non,Immeuble à appartements,,,,,,,,,,,,,
42,,1859,À rafraîchir,,2,,170 m²,,,,Semi-équipée,,,4,,,Non,75 m²,,Oui,,,9 m²,,,,,393 kWh/m²,D,1443348,Non communiqué,Non communiqué,Non,,Gaz,Oui,,,,,Zone non inondable,,475.000 €,Oui,"Antwerpsestraat 292
2640 - Mortsel",,,,5.5 m,,,9504 - 6398,,,9 m²,10 m²,10 m²,7 m²,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,À définir,1889,À rafraîchir,,2,"Zone d'habitat (résidentiel, urbain ou rural)",345 m²,,,,Équipée,5,,2,,,Non,153 m²,,Oui,,,,,,,,460 kWh/m²,E,20210830-0002457651-RES-1,Non communiqué,Non communiqué,Non,,Gaz,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",675.000 €,Non,"Italiëlei 207
2000 - Antwerpen",,,Oui,,,1.970 €,38942 - ANT-21-THU-0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,14 janvier 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,
44,À définir,1965,À rafraîchir,,2,,325 m²,,,,Semi-équipée,4,,4,,,Non,99 m²,,,,,,,,,,444 kWh/m²,E,20130205-00011304726-00000002-0,Non communiqué,Non communiqué,Non,,Gaz,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",849.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",,,Oui,,,2.307 €,34327 - ANT-21-YOU-0,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Immédiatement,,À rafraîchir,,2,Rue commerçante,260 m²,,,,Américaine hyper-équipée,6,,1,,,Non,98 m²,,Oui,,,,,,,,421 kWh/m²,E,20210208-0002370747-RES-1,Non communiqué,Non communiqué,Non,,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",549.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",1,,Oui,,Oui,,32177 - ANT-21-YOU-0,,,,24 m²,22 m²,18 m²,3,,,,,,,,,,,,,18 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,1895,Bon,6 m,2,Urbain,300 m²,,,,Équipée,5,Non,1,,,Non,153 m²,Connecté,Oui,63 m²,Nord,,Oui,Non,Non,Non,508 kWh/m²,F,20210709-0002439885-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,,,Non,Non,Zone non inondable,,680.000 €,Non,,,Non,,6 m,,1.046 €,,,,11 m²,27 m²,20 m²,27 m²,2,,Non,Non,Non,90 m²,Non,Non,Non,,,,,20 m²,13 m²,,,Non,Non,Oui,Non,,,Non,Non,Non,Non,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
