,À partir de,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Largeur de la façade à rue,Parkings intérieurs,Largeur du terrain à rue,Attestation as-built,Adresse,Site internet,Parkings extérieurs,Surface de bureau,Orientation du jardin,Orientation de la terrasse,Type de construction,Cave,Jardin,Visite virtuelle,Surface constructible totale au sol,Quartier ou lieu-dit,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Salles de douche,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Terrasse,Mise à prix,Grenier,Obligation de construire,Disponible le,Nombre d'annexes,Surface de l'espace professionnel,Charges mensuelles,Nom de l'agent,Pourcentage loué,Revenu mensuel actuel,Nom du bien
126,,1918,À rénover,,,230 m²,48 m²,,,,4,20 m²,13 m²,14 m²,10 m²,,Non,1,,,Non,,,,,,,250 m²,Non,Non,Non,Non,Non connecté,Oui,115 m²,,,,,,,,,,,,,533 kWh/m²,F,20150415--000175024-7--1,Non communiqué,Non communiqué,,,,,,,Non,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,567 €,Non,,1,,,"George Ivanowlaan 12
2100 - Deurne",RES-29-W,,,Sud-est,,,,,,,,,,,,,,,,Oui,,,Non,,,,,,,,
127,Après la signature de l’acte,,Bon,2,,,,,Équipée,,2,,,,,,,1,1,,,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,,242 kWh/m²,C,20210402-0002396557-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,249.500 €,,Non,,,,Non,"Antwerpsestraat 36/38
2850 - Boom",2256 - 21/21061/123,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
128,Après la signature de l’acte,,,2,,102 m²,40 m²,,,,2,,,,,,,1,1,,,,,,,,,113 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,344 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",238.000 €,460 €,Non,,,,,"Kioskplaats 3
2660 - Hoboken",4308910,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,
129,Après la signature de l’acte,,Bon,2,,150 m²,11 m²,Oui,Équipée,17 m²,3,18 m²,16 m²,9 m²,,,Non,1,2,Oui,Non,Non,,9 m²,Oui,Non,Non,275 m²,Non,Non,Non,Non,Connecté,Oui,180 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,Zone non inondable,,335.000 €,458 €,Non,5 m,,45 m,,,,,,Nord-est,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,Excellent état,,,,,Oui,Équipée,,3,,,,,,Non,1,2,Oui,Non,,,,,,,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,576 kWh/m²,F,20210813-0002451346-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,651 €,Non,,1,,,"Italiëlei 93
2000 - Antwerpen",202101168,,,,,,Oui,,,,,,,,,,,,Oui,,,,Non,,,,,,,,
131,Après la signature de l’acte,1934,,2,,,,,,,3,,,,,,,1,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,Zone non inondable,,265.000 €,555 €,Non,,,,,"Kerkhofstraat 12
2845 - Niel",,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,Gerda DOM,,,
132,Après la signature de l’acte,,,1,,,,,,,3,,,,,,Non,1,2,,Non,Non,,,,Non,Non,95 m²,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,,,280.000 €,,Non,9 m,,,,,,,,,,Toutes sortes,Oui,,,,,,,1,,,,,Oui,,,,,,,,,,,,
133,,,,,Urbain,,,,Hyper équipée,,3,,,,,,Non,,,,Non,,,,,,,,Non,Non,Non,Non,Connecté,Oui,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,30,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",616.160 €,,Oui,,,,,"Laurent Delvauxstraat 2
9000 - Gent",Leroy Rudy,,,Sud,,,,Oui,,,,,,,,,,,,,,,Non,,,,,Hoboken - Meerlenhof,,,Nieuwbouwproject met 3 appartementen te Hoboken
134,Après la signature de l’acte,,,2,Urbain,,,,,,3,,,,,,,,,,,,,,,,,134 m²,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,,,,,190.000 €,,,,,,,"Manebruggestraat 211
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,6,,,,,,Non,,,,Non,,,,,,,,Non,Non,Non,Non,Non connecté,Non,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,,,,,,518.000 €,,Non,,,,,"Mechelsesteenweg 34 2e V Links
2018 - Antwerpen",,,,,,,,,,,,,,,Project van 6 kavels,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Oui,Non,Non,,,,,Oui,,,,,"Korenmarkt 55
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,,,,Zone non inondable,,,,Non,,,,,"Veemarkt 19
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,Non,Zone non inondable,,,,Non,,,,,"Veemarkt 19
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,1954,À rénover,2,Urbain,20 m²,Équipée,,10 m²,4,15 m²,10 m²,15 m²,14 m²,2,,,2,25 m²,,,,250 m²,,,,,8.14 m,,,,,Oui,113 m²,5 m²,Non,,Oui,304 kWh/m²,,,,,,,,,D,202110813-0002450270-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",313.210 €,1.093 €,Oui,"Hoogstraat 5
2800 - Mechelen",8.14 m,1,Connecté,,4419763,,,,,,,,,252 m²,,,,,,,,,,,,,,,,,,,,,,
140,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,Oui,Non,Non,Zone non inondable,Non,,,,"Veemarkt 19
2800 - Mechelen",,,,,,,,,,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,1950,Excellent état,2,Aménagé,200 m²,30 m²,Oui,Équipée,12 m²,4,13 m²,13 m²,30 m²,10 m²,,Non,3,3,Oui,Oui,Oui,15 m²,,,Non,Non,210 m²,Oui,Non,Non,Oui,Connecté,Oui,60 m²,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,Oui,,,,,Zone non inondable,,450.000 €,735 €,Non,6 m,1,,,,,2,,Nord-ouest,,,,,,,,1,,,,,,,,,,,,,1,,,,,,
142,,1932,À rénover,2,,458 m²,,,Semi-équipée,26 m²,4,26 m²,21 m²,17 m²,15 m²,,,2,3,,,,,,,Non,,235 m²,,,,,,,,41 m²,,,,,,,,,,,,241 kWh/m²,C,2411680-RES-1s,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",699.000 €,2.196 €,Non,5 m,,5 m,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,,,Oui,,,,,,,,1699331 - 345345932,,,,,,,,,,,,,,,,
143,,1932,À rénover,2,,458 m²,,,Semi-équipée,26 m²,4,26 m²,21 m²,17 m²,15 m²,,,2,3,,,,,,,Non,,235 m²,,,,,,,,41 m²,,,,,,,,,,,,241 kWh/m²,C,2411680-RES-1s,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",699.000 €,2.196 €,Oui,5 m,,5 m,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,,,Oui,,,,,,,,1699328 - 345345932,,,,,,,,,,,,,,,2000,
144,Après la signature de l’acte,1900,Excellent état,2,Urbain,410 m²,48 m²,,Équipée,17 m²,3,26 m²,18 m²,15 m²,,,,1,3,,Oui,,87 m²,,,Non,,483 m²,,,,,,Oui,250 m²,66 m²,,,,,Oui,,,,,,,297 kWh/m²,C,20210520-0002417679-RES-,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",875.000 €,1.400 €,Non,10 m,,,Non,"Bredabaan 260
2930 - Brasschaat",37316 - MEC-21-GMA-0,,120 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,1920,Fraîchement rénové,3,,130 m²,30 m²,,Équipée,47 m²,3,16 m²,11 m²,11 m²,,,,1,1,,Oui,,,,,Non,,60 m²,,,,,,Oui,,,,,,,,,,,,,,461 kWh/m²,E,20161028-0001906947-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",265.000 €,349 €,Non,,,,Non,"Bergstraat 184
2220 - Heist op den Berg",3926 - 1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,À définir,2013,Excellent état,2,,145 m²,23 m²,Oui,Hyper équipée,9 m²,4,23 m²,20 m²,13 m²,10 m²,,Non,1,2,Oui,Non,Non,,,,Non,Non,208 m²,Non,Non,Non,Non,Connecté,Oui,,,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,125 kWh/m²,B,UC: 12025-G-2008/0362/A003/D01/SD001,Non communiqué,Non communiqué,76,Gaz,Non,Oui,Non,Non,Oui,,,,,Zone non inondable,,449.000 €,1.000 €,Non,6 m,1,6 m,,,,1,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
147,Après la signature de l’acte,1933,Bon,3,,130 m²,27 m²,,Équipée,16 m²,3,14 m²,13 m²,,,,,1,2,,,,,,,Non,,141 m²,,,,,,,,12 m²,,,,,,,,,,,,455 kWh/m²,E,2414279,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,745 €,Non,,2,,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,,,Oui,,,,,,,1,1699315 - 345345933,,,,,,,,,,,,,,,,
148,Après la signature de l’acte,,,2,,159 m²,30 m²,,Équipée,16 m²,2,26 m²,20 m²,12 m²,,,,1,2,,,,,,,Non,,126 m²,,,,,,,,30 m²,,,,,,,,,,,,351 kWh/m²,D,2461415,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,724 €,Non,5 m,2,,Non,"Keizerstraat 18B
2800 - Mechelen",,,,,,,Oui,,,,,,,,1699335 - 345346000,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,,Bon,2,,137 m²,42 m²,,Équipée,11 m²,3,14 m²,12 m²,7 m²,,,,1,1,,,,,,,Non,,202 m²,,,,,,Oui,,,,,,,,,,,,,,238 kWh/m²,C,20210917-0002465398-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,Zone verte,329.000 €,629 €,Non,,,,Non,"Mechelsesteenweg 27
2860 - St-Katelijne-Waver",,2,,Sud,,,,Oui,,,,,,,3918 - 1058,,,,,,,,,,,,,,,,
