,À partir de,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Largeur de la façade à rue,Parkings intérieurs,Largeur du terrain à rue,Attestation as-built,Adresse,Site internet,Parkings extérieurs,Surface de bureau,Orientation du jardin,Orientation de la terrasse,Type de construction,Cave,Jardin,Visite virtuelle,Surface constructible totale au sol,Quartier ou lieu-dit,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Salles de douche,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Terrasse,Mise à prix,Grenier,Obligation de construire,Disponible le,Nombre d'annexes,Surface de l'espace professionnel,Charges mensuelles,Nom de l'agent,Pourcentage loué,Revenu mensuel actuel,Nom du bien
62,,2011,Bon,2,Urbain,80 m²,,,Équipée,,2,,,,,,,1,1,,,,,,,Non,,54 m²,,,,,,,,,,,,,,,,,,,,190 kWh/m²,B,20120303-0001056074-000000010-2,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,640 €,Non,,,,,"Kioskplaats 60/62
2660 - Hoboken",D2660-21025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Après la signature de l’acte,1930,À rénover,2,,120 m²,31 m²,,,13 m²,3,16 m²,13 m²,10 m²,,,,1,1,,,,,,,Non,,112 m²,,,,,,,45 m²,,,,,,,,,,,,,350 kWh/m²,D,20210701-0002436899-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",220.000 €,609 €,Non,,,4.5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Sud,,,Oui,,,,,,,,5119 - WTK1147,,,,,,,,,,,,,,,,
64,,1988,À rénover,2,,170 m²,24 m²,,Semi-équipée,9 m²,3,18 m²,16 m²,12 m²,,,,1,1,,,,,,,Non,,98 m²,,,,,,,,,,,,,,,,,,,,213 kWh/m²,C,20140920-0001664771-00000004-2,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",239.000 €,679 €,Non,7 m,1,7 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,,,,,,,,,,,4842 - WTK1024,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,,À rafraîchir,,,101 m²,26 m²,,Semi-équipée,15 m²,2,19 m²,13 m²,,,,,1,2,,,,20 m²,,,Non,,171 m²,,,,,,Oui,110 m²,,,,,,,,,,,,,556 kWh/m²,F,20210923-0002468211-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,515 €,Non,5 m,,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Sud,,,,,,,,,,,5071 - TK211005,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,1960,À rafraîchir,,,216 m²,29 m²,Oui,Semi-équipée,15 m²,4,19 m²,19 m²,14 m²,12 m²,,,2,2,,,,,,,Non,,190 m²,,,,,,Oui,110 m²,,,,,,,,,,,,,414 kWh/m²,E,20210826-0002456793-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.950 €,840 €,Non,5 m,,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Ouest,,,,,,,,,,,4995 - WTK1160,,,,,,,,,,,,,,,,
67,Après la signature de l’acte,1976,Excellent état,3,,156 m²,42 m²,,Semi-équipée,8 m²,3,15 m²,12 m²,9 m²,,,,1,2,,,,,,,Non,,319 m²,,,,,,,175 m²,20 m²,,,,,,,,,,,,286 kWh/m²,C,20150316-0001741226-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,7 m,1,10 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,2,,Sud-est,,,,,,,,,,,5014 - WTK1165,,,,,,,,,,,,,,,,
68,Après la signature de l’acte,1967,Bon,3,,140 m²,37 m²,Oui,Semi-équipée,13 m²,2,21 m²,16 m²,,,,,1,1,,,,8 m²,,,Non,,368 m²,,,,,,Oui,280 m²,,,,,,,,,,,,,376 kWh/m²,D,20210730-0002446828-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.326 €,Non,8 m,1,,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,1,,,,,,,,,,,,,4940 - WTK1155,,,,,,,,,,,,,,,,
69,À définir,2006,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",145 m²,,,Hyper équipée,,2,14 m²,29 m²,,,,Oui,1,2,Oui,Non,Non,,,,Non,Non,266 m²,Non,Non,Non,Non,Connecté,Oui,117 m²,36 m²,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,161 kWh/m²,B,2471957,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,Non,Non,Zone non inondable,,380.000 €,1.027 €,Non,7 m,1,,,,,,,Sud-est,Sud-est,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
70,Après la signature de l’acte,1956,Excellent état,,,143 m²,29 m²,Oui,Semi-équipée,13 m²,4,18 m²,18 m²,11 m²,10 m²,,,1,1,,,,,,,Non,,206 m²,,,,,,Oui,134 m²,,,,,,,,,,,,,336 kWh/m²,D,20210827-0002457207-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",259.000 €,,Non,5 m,,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Ouest,,,Oui,,,,,,,,5054 - WTK1161,,,,,,,,,,,,,,,,
71,Après la signature de l’acte,,Bon,2,,140 m²,39 m²,Oui,Équipée,12 m²,2,17 m²,15 m²,,,,,1,2,,,,,,,Non,,165 m²,,,,,,,80 m²,,,,,,,,,,,,,284 kWh/m²,C,20210118-0002361252-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",264.000 €,336 €,Non,5 m,,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Est,,,Oui,,,,,,,,4976 - WTK1096,,,,,,,,,,,,,,,,
72,,1928,Excellent état,,,92 m²,22 m²,,Semi-équipée,,2,15 m²,14 m²,,,,,1,1,,,,,,,Non,,90 m²,,,,,,,38 m²,,,,,,,,,,,,,415 kWh/m²,E,20210713-0002441036-RES-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",224.000 €,285 €,Non,,,4.5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Sud-est,,,Oui,,,,,,,,2638 - WTK1149,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,1971,Bon,,,111 m²,36 m²,,Semi-équipée,19 m²,3,20 m²,13 m²,11 m²,,,,1,1,,,,,,,Non,,130 m²,,,,,,Oui,62 m²,,,,,,,,,,,,,316 kWh/m²,D,20210618-0002430998-RES-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,674 €,Non,,,4.75 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,Ouest,,,Oui,,,,,,,,4862 - WTK1143,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,,Bon,2,,135 m²,25 m²,,,,2,23 m²,10 m²,,,,,1,2,,,,,,,Non,,100 m²,,,,,,,60 m²,,,,,,,,,,,,,384 kWh/m²,D,20150601-001764604-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,265.000 €,,Non,5 m,1,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,,,Oui,,,,,,,1,5049 - WTK1157,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,,À rafraîchir,2,,123 m²,21 m²,,,10 m²,4,17 m²,17 m²,6 m²,6 m²,,,1,1,,,,,,,Non,,90 m²,,,,,,,,,,,,,,,,,,,,540 kWh/m²,F,20210121-0002362498-RES-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.950 €,406 €,Non,4 m,,4 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,,,,,,,,,,,5029 - WTK1093,,,,,,,,,,,,,,,,
76,Après la signature de l’acte,,Fraîchement rénové,2,,253 m²,,,,,6,21 m²,21 m²,21 m²,18 m²,16 m²,,3,3,,,,,,,Non,,274 m²,,,,,,,,,,,,,,,,,,,,128 kWh/m²,B,20210315-0002387809-RES-2,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,1.143 €,Non,5 m,,5 m,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",,,,,,,Oui,,,,,,,,5031 - WTK1133,,,,,,,,,,,,,,,,
