,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Parkings extérieurs,Visite virtuelle,Permis de bâtir obtenu,Surface du salon,Surface de la chambre 4,Salles de douche,Toilettes,Bureau,Grenier,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Type d’environnement,Terrasse,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Surface de bureau,Largeur du terrain à rue,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface constructible totale au sol,Surface de la chambre 5,Surface de l'espace professionnel,Accès sécurisé / alarme,Surface de la cave,Référence externe,Panneaux solaires,Salon,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Orientation de la terrasse,Climatisation,Nom de l'agent,Concierge,Terrain à front de rue,Terrain boisé,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Surface du grenier,Jacuzzi,Sauna,Internet,Description libre du PEB,Type de construction,Obligation de construire,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé
73,Après la signature de l’acte,1931,Fraîchement rénové,4,,350 m²,,23 m²,5,14 m²,15 m²,23 m²,3,Oui,Non,708 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,1.395.000 €,,Non,"Av. du Prince de Ligne, 18
1180 - Uccle",4497904,,Bruxelles Sud,3,,,35 m²,14 m²,,5,Oui,,,Connecté,Oui,200 m²,36 m²,,,,,,,,,,,,,,,,Oui,350 m²,14 m²,19 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Après la signature de l’acte,1996,Bon,3,5,230 m²,,7 m²,3,17 m²,13 m²,9 m²,2,,Non,256 m²,281 kWh/m²,F,Non communiqué,53 kg CO₂/m²,Non communiqué,Non,,Oui,Faire offre à partir de 495.000 €,2.009 €,Non,"Rue de Stalle 288C
1180 - Uccle",14707 - 4138436,,,1,,,30 m²,,,3,,,,,Oui,100 m²,50 m²,,,,Oui,,,,,,6 m,,6 m,,,,,,,,Oui,,,,,,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Après la signature de l’acte,,À rénover,,1,175 m²,,,4,,,,2,,Non,203 m²,370 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,565.000 €,2.642 €,Non,"Place Communale , 10A
1630 - Linkebeek",2149 - 2170,,,,,,40 m²,,,,,,,,,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,À définir,,Excellent état,,,650 m²,Hyper équipée,45 m²,9,45 m²,,,,Oui,Non,1200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Oui,3.450.000 €,,Non,"Kalenbergstraat 28
1700 - Dilbeek",,,,1,,Oui,55 m²,,,7,,,,Connecté,Oui,,,Non,,,,Oui,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non,Non,,,,,Non,,,Oui,,,Oui,,,,,Oui,Sud-ouest,Sud-ouest,,,Non,,,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,
77,Selon le locataire,,Bon,2,,290 m²,,16 m²,7,15 m²,12 m²,11 m²,3,,Non,,177 kWh/m²,D,202109170000595838011,35 kg CO₂/m²,Non communiqué,,Gaz,Oui,Faire offre à partir de 825.000 €,,Oui,"Place Communale 18
6230 - Pont-à-Celles",4514677,1 octobre 2021 - 00:00,,,,,24 m²,12 m²,3,3,Oui,,,Connecté,Oui,50 m²,40 m²,Non,Non,Oui,,Non,Urbain,,,,,13 m²,,,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Après la signature de l’acte,1920,Bon,4,,450 m²,Équipée,,7,20 m²,19 m²,18 m²,5,Oui,,1979 m²,183 kWh/m²,D,20200205-0000564350-01-6,47 kg CO₂/m²,Non communiqué,,Gaz,,2.490.000 €,4.048 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27588,,,,,,,14 m²,,5,Oui,Oui,,Connecté,Oui,,77 m²,,,,,,,,,,,,,,,,,,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Immédiatement,1970,,4,2,400 m²,Hyper équipée,18 m²,5,23 m²,14 m²,17 m²,3,Oui,Non,1425 m²,535 kWh/m²,G,Non communiqué,108 kg CO₂/m²,Non communiqué,,Mazout,,2.600.000 €,,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4047396,,,2,,,48 m²,13 m²,,5,Oui,,,,Non,700 m²,60 m²,Non,Non,,,Non,,,Zone non inondable,,,16 m²,22 m,,,,Oui,563 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,À définir,,Excellent état,,,766 m²,Hyper équipée,15 m²,6,24 m²,21 m²,21 m²,,Oui,Non,1500 m²,118 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,3.450.000 €,,Non,"Avenue Louise 367
1050 - Bruxelles",,,,,,,48 m²,25 m²,1,9,,,,Connecté,Oui,1300 m²,60 m²,Non,,,,Oui,,,,,,,,,,,,,25 m²,,Non,,,,,,Oui,,,,,,Ouest,Ouest,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
81,Après la signature de l’acte,1937,Bon,4,1,773 m²,Équipée,25 m²,6,50 m²,25 m²,20 m²,5,Oui,,3571 m²,219 kWh/m²,E,20191216-0000561867-01,43 kg CO₂/m²,Non communiqué,,Gaz,Oui,3.700.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4319865,,,1,,,75 m²,23 m²,,,Oui,,Oui,Connecté,Oui,37 m²,,Non,Non,Oui,Oui,Oui,,Oui,,,,,,,,,,,18 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,À définir,1920,À rafraîchir,2,,350 m²,Américaine hyper-équipée,,5,28 m²,22 m²,15 m²,2,Oui,,325 m²,336 kWh/m²,F,20210829-0000594692-01,67 kg CO₂/m²,Non communiqué,,,,1.790.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4527939,,,,,,,31 m²,,,Oui,Oui,,,,180 m²,,,,,,,,Oui,,,7 m,,,,,,,,12 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
