,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Parkings extérieurs,Visite virtuelle,Permis de bâtir obtenu,Surface du salon,Surface de la chambre 4,Salles de douche,Toilettes,Bureau,Grenier,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Type d’environnement,Terrasse,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Surface de bureau,Largeur du terrain à rue,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface constructible totale au sol,Surface de la chambre 5,Surface de l'espace professionnel,Accès sécurisé / alarme,Surface de la cave,Référence externe,Panneaux solaires,Salon,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Orientation de la terrasse,Climatisation,Nom de l'agent,Concierge,Terrain à front de rue,Terrain boisé,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Surface du grenier,Jacuzzi,Sauna,Internet,Description libre du PEB,Type de construction,Obligation de construire,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé
132,Après la signature de l’acte,,,,,134 m²,Hyper équipée,,4,,,,1,,Non,500 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,565.000 €,,Non,"Place Communale , 10A
1630 - Linkebeek",2161 - 1624,,,,,,40 m²,,,,Oui,,,,Oui,150 m²,20 m²,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,,Excellent état,4,2,285 m²,Hyper équipée,25 m²,6,29 m²,15 m²,14 m²,5,Oui,Non,833 m²,364 kWh/m²,G,2019012200005422494018,Non communiqué,Non communiqué,,Gaz,Oui,1.085.000 €,5.188 €,Non,"Rue Voot 4
1200 - Woluwe",4446783,,,2,,,60 m²,12 m²,,4,Oui,,,Connecté,Oui,450 m²,40 m²,Non,Non,,,Oui,,,,,,19 m²,,,,,,,10 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,4,2,543 m²,,,6,,,,2,Oui,,2500 m²,275 kWh/m²,E,Non communiqué,55 kg CO₂/m²,Non communiqué,,,,1.600.000 €,5.823 €,Non,"avenue Montjoie 156
1180 - Uccle",,,,4,,,,,1,,Oui,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,215/1614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,,Excellent état,4,,451 m²,Équipée,,6,,,,4,,,,179 kWh/m²,D,201603080000329416014,38 kg CO₂/m²,Non communiqué,,,Oui,1.975.000 €,,Non,"Rue Darwin 56
1050 - Ixelles",V110000633,,,2,,,,,2,,Non,,Oui,,,80 m²,,Oui,,Oui,,,,,Zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,,,4,,380 m²,Équipée,,5,36 m²,20 m²,19 m²,4,,,21 m²,514 kWh/m²,G,20210619-0000088332-01-1,Non communiqué,Non communiqué,,,,1.695.000 €,,Non,"Rue Darwin 56
1050 - Ixelles",V80000433,,,2,,,72 m²,17 m²,,5,Non,,,,,,,,,,,,,,,,,,,,,,Oui,,16 m²,,,,,,,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,Excellent état,4,1,,,,4,,,,1,,,1100 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,3.150.000 €,,Non,"Avenue J. Burgers, 2 b24
1180 - Uccle",010/16014,,,1,,,,,3,,Oui,,Oui,,,,,Non,,,,,,Oui,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,2,,288 m²,Pas équipée,,,,,,,Oui,Non,117 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,845.000 €,3.021 €,Oui,"Rue Washington 128b
1050 - Bruxelles",8463 - 17,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,,,,,200 m²,Pas équipée,,4,,,,1,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,425.000 €,,Non,"Rue Washington 128b
1050 - Bruxelles",8947 - 914,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,2021,À rénover,4,4,400 m²,Américaine hyper-équipée,30 m²,5,30 m²,18 m²,18 m²,4,Oui,,2107 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,1.980.000 €,,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4325267,,,2,,,70 m²,12 m²,,3,Oui,,,Connecté,Oui,,,Oui,Oui,Oui,Oui,,,Oui,,,,145 m²,,,,,,600 m²,,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,Bon,2,,115 m²,Équipée,10 m²,3,14 m²,13 m²,15 m²,1,Oui,Non,60 m²,Non communiqué,Non communiqué,G,Non communiqué,Non communiqué,,Gaz,,399.000 €,,Non,"Avenue Louise 523
1050 - Ixelles",4278396,,,,,,24 m²,,,1,Oui,Oui,,Connecté,Oui,,16 m²,,,,,,,,,,4 m,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,1890,Bon,4,3,600 m²,,,6,,,,4,Oui,,8123 m²,555 kWh/m²,G,20170425-0000502616-01-5,146 kg CO₂/m²,Non communiqué,,Gaz,Oui,3.900.000 €,,Non,"av Van Bever 13
1180 - Bruxelles",489/6747,,,4,,,110 m²,,,,Oui,,,,,,,Oui,,,Oui,,,Oui,,,,,,,,,,,,,Oui,,,,,1,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,2,,318 m²,Équipée,,4,,,,1,,Non,373 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,820.000 €,,Non,"Chausse de St. Job, 546
1180 - Bruxelles",Nathalie Haim,,,2,,,40 m²,,,2,,,,,,70 m²,70 m²,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Sud-est,,,1020262NH-arrm,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,
144,Après la signature de l’acte,1979,À rénover,4,1,200 m²,Équipée,14 m²,4,18 m²,12 m²,12 m²,2,Oui,Non,960 m²,304 kWh/m²,F,Non communiqué,61 kg CO₂/m²,Non communiqué,,Gaz,,Faire offre à partir de 949.000 €,3.971 €,Non,"Avenue Louise 160 Rez
1050 - Bruxelles",4433495,,,,,,45 m²,11 m²,,3,Oui,,,Connecté,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Selon le locataire,,Bon,2,1,25 m²,4,,20 m²,16 m²,12 m²,9 m²,2,Oui,251 m²,Connecté,F,Non communiqué,90 kg CO₂/m²,Non communiqué,Mazout,,Oui,625.000 €,2.169 €,Non,"Avenue louise 523
1050 - Ixelles",4407154,,,Bruxelles (19 communes),1,225 m²,,Oui,1,,Oui,,Non,,Non,100 m²,15 m²,314 kWh/m²,,,,,,Urbain,,,,8 m,,,,,,Hyper équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,,Excellent état,2,,157 m²,Hyper équipée,18 m²,3,21 m²,21 m²,12 m²,1,,Non,139 m²,274 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,Oui,450.000 €,1.368 €,Non,,,,,1,,,18 m²,,1,2,Oui,,Non,Connecté,Oui,75 m²,15 m²,Non,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Zone non inondable,,5 m,12 m²,5 m,,,,Oui,,,,Non,40 m²,,Non,,1,Non,,Oui,Non,Oui,,,,Non,,Non,Non,Non,Non,Non,Non,Oui,16 m²,Non,Non,Oui,Certificat de conformité électrique dd 31/8/2021. Non conforme,,,,,,,,,,,,,,,,,Oui
147,Après la signature de l’acte,1930,,2,,290 m²,,,5,,,,2,Oui,Non,140 m²,265 kWh/m²,E,Non communiqué,52 kg CO₂/m²,Non communiqué,,Gaz,Oui,895.000 €,1.846 €,Non,"Place Pinoy 7
1160 - Auderghem",,,,,,,,,,,Oui,,Oui,Non connecté,Oui,,,Non,Non,,,,,,Zone non inondable,Autre type de zone,6 m,,6 m,Non,Non,Non,,,,,Oui,,,Non,,,,,Oui,,,,,,,,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,265,
148,Après la signature de l’acte,1950,Bon,2,1,175 m²,Américaine hyper-équipée,20 m²,4,15 m²,15 m²,13 m²,1,Oui,Non,208 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,699.000 €,1.100 €,Non,,,,,2,,Oui,30 m²,13 m²,1,2,Non,Oui,Non,Connecté,Oui,50 m²,12 m²,Non,Non,Oui,Non,Non,,,Zone non inondable,,,,,,,Non,Oui,,,,Non,,,Non,,,Non,,Non,Oui,Non,,Nord,Nord,Non,,Non,Non,Non,,Non,Non,Oui,,Non,Non,Oui,,,,,,,,,,,,,,,,,,
149,Après la signature de l’acte,1921,Bon,3,1,365 m²,Américaine hyper-équipée,,6,28 m²,21 m²,14 m²,4,Oui,Non,2669 m²,170 kWh/m²,D,Non communiqué,33 kg CO₂/m²,Non communiqué,,Gaz,,2.750.000 €,,Non,"Avenue Louise 231
1050 - Bruxelles-Quartier Louise",4497631,30 octobre 2021 - 00:00,,6,,,,16 m²,3,4,Oui,,,Connecté,Oui,2700 m²,30 m²,Non,Oui,Oui,Oui,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,45 m²,,,,Non,,,11 m²,45 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Après la signature de l’acte,,Bon,2,,145 m²,Américaine équipée,15 m²,4,20 m²,12 m²,20 m²,1,,Non,145 m²,510 kWh/m²,G,2020519-0000589086-01-9,62 kg CO₂/m²,Non communiqué,,Gaz,Oui,460.000 €,1.162 €,Non,,,,,,,Oui,26 m²,11 m²,1,2,Non,,Non,Connecté,Oui,30 m²,15 m²,Non,Non,Non,Non,Non,,,Zone non inondable,,5 m,,,Non,Non,Non,Oui,85 m²,,,Non,20 m²,,Non,,1,Non,Oui,Non,Oui,Oui,,,,Non,,Non,Non,Non,,Non,Non,Oui,25 m²,Non,Non,Oui,,Toutes sortes,,,,,,,,,,,,,,,,
151,,1961,Bon,2,1,,Semi-équipée,9 m²,4,17 m²,12 m²,11 m²,1,,Non,227 m²,233 kWh/m²,E,20210820-0000594360-01-3,60 kg CO₂/m²,Non communiqué,,Mazout,Oui,625.000 €,2.252 €,Non,,,,,1,,Oui,41 m²,10 m²,,2,Non,,Non,Connecté,Oui,110 m²,15 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,,,,Non,,1,Non,Oui,Non,Non,Oui,,Sud,Sud,,,,Non,Non,,Non,Non,Oui,60 m²,,,,,Maison bel-étage,,,,,,,,,,,,,,,233,Oui
152,Après la signature de l’acte,1972,Bon,3,,374 m²,Américaine équipée,,3,11 m²,14 m²,30 m²,2,Oui,Non,170 m²,614 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,849.000 €,,Oui,"Winderickxplein 25
1652 - Alsemberg",,,,,,,43 m²,,2,6,,,,Connecté,Oui,,70 m²,,,,,,,,,,,,,,,,,,,,Oui,,4500769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Après la signature de l’acte,1972,Bon,3,,374 m²,Américaine équipée,,3,11 m²,14 m²,30 m²,2,Oui,Non,170 m²,614 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,849.000 €,,Oui,"Winderickxplein 25
1652 - Alsemberg",,,,,,,43 m²,,2,6,,,,Connecté,Oui,,70 m²,,,,,,,,,,,,,,,,,,,,Oui,,4500770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Après la signature de l’acte,,,2,,200 m²,Hyper équipée,14 m²,4,17 m²,14 m²,11 m²,1,,Non,212 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,470.000 €,,Non,,,,,,,,,45 m²,,2,Oui,,Non,,Oui,150 m²,24 m²,Non,Non,Oui,Non,Non,,,,,,31 m²,,,,,,,,,Non,14 m²,,Non,,,Oui,Oui,Oui,Oui,Oui,,Sud-ouest,Sud-ouest,Non,,Non,Non,Non,,Non,Non,Oui,,Non,Non,Oui,,Toutes sortes,,,,,,,,,,,,,,,,
