,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Surface de la cave,Surface du terrain,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Largeur de la façade à rue,Combien de feux ouverts ?,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Parlophone,Climatisation,Jacuzzi,Sauna,Internet,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Surface constructible totale au sol,Salle à manger,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Cave,Site internet,Grenier,Obligation de construire,Revenu cadastral,Buanderie,Autorisation de lotissement,Surface de l'espace professionnel,Salon,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Disponible le,Surface de bureau,Surface de la chambre 5,Informations supplémentaires,Pourcentage loué,Revenu mensuel actuel,Isolé,Description libre du PEB,Nom de l'agent
87,Après la signature de l’acte,,Bon,2,,,,,145 m²,30 m²,Américaine équipée,22 m²,3,18 m²,13 m²,16 m²,1,1,2,,178 m²,,Non,Oui,,,Non,288 kWh/m²,C,20210828-0002457263-RES-1,8864 kg CO₂/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",5.26 m,,,,,,Non,,,,,,5.1 m,Oui,80 m²,,1 m²,,,Oui,,,,,,,,,,Oui,,,,,Connecté,,Non,Oui,4450842,Oui,,1.040 €,,Oui,,,,,,,,,,,,,,,,,,,
88,,,,2,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",,164 m²,30 m²,Équipée,,4,,,,1,,2,,218 m²,,,,Oui,,,342 kWh/m²,D,Non communiqué,342 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,379.000 €,Non,"Av. Houba de Strooper 618
1020 - Laeken",,,,,,,Non,,,,,,,,120 m²,Sud-ouest,15 m²,Est,,,,,,,Non,Non,Non,Non,,,,,,,,,,Oui,4388,,,2.781 €,,,,,,,,,,,,,,,,,,,,,
89,,1989,Bon,2,1,,,,188 m²,40 m²,Hyper équipée,11 m²,3,17 m²,14 m²,10 m²,1,,3,,,Oui,,,Oui,,,152 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,475.000 €,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",,,,,Oui,,Non,,,,,,,,130 m²,,,,,,,,,,,,,Oui,,,,,,,,,,,4456533,Oui,,,,,,,,,,,,,,,,10 m²,,,,,,,
90,Après la signature de l’acte,1958,Bon,3,2,1,,,230 m²,20 m²,Équipée,9 m²,4,16 m²,10 m²,12 m²,1,,2,8 m²,365 m²,,Non,Non,Oui,Non,Non,Non communiqué,Non communiqué,20201124-0002343037-RES-1,433 kg CO₂/m²,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",565.000 €,Non,,8 m,1,12 m²,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,,Oui,100 m²,Sud-est,40 m²,Sud-est,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Oui,Oui,,,Oui,,Connecté,,Non,,,Oui,Non,1.432 €,Oui,Oui,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,1989,Excellent état,4,2,2,,,500 m²,43 m²,Hyper équipée,,5,,,,2,1,4,,1905 m²,Oui,,,Oui,,,323 kWh/m²,D,20161108-0001908998-1,Non communiqué,Non communiqué,Gaz,Oui,,,,1.995.000 €,Non,"Chée de Vleurgat, 177
1050 - Ixelles",,1,,,Oui,,,Oui,,,,,,Oui,1750 m²,Sud,,Sud,,Oui,,,,,,,,,Oui,,,,Oui,,,,,Oui,64362,Oui,,6.455 €,,,,,,,,,,,,,,,,,,,,,
92,,1950,Bon,2,,,,,,,,,4,,,,1,,2,,205 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,394 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,375.000 €,Non,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,70 m²,,20 m²,,,,,,,,,Non,Non,Non,Oui,,Toutes sortes,,,,Connecté,,,,,,,753 €,,,,,,,,,,,,,,,,,,,,,
93,Après la signature de l’acte,1991,Excellent état,4,2,2,,,280 m²,35 m²,Américaine équipée,25 m²,4,13 m²,14 m²,15 m²,2,2,2,,942 m²,,Non,Non,,,Non,266 kWh/m²,C,20210412-0002400138-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,945.000 €,Non,"de Limburg Stirumlaan 166
1780 - Wemmel",,,12 m²,,Oui,,Non,Oui,,,,,24.3 m,,500 m²,,56 m²,,,,,,,,,,,,,,,,Oui,,,,,Oui,4509471,,,,,,,,,,,,,,,,,15 m²,,,,,,,
94,Après la signature de l’acte,1932,À rafraîchir,3,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",,205 m²,22 m²,Hyper équipée,20 m²,3,18 m²,16 m²,6 m²,1,,2,20 m²,300 m²,,,Oui,Oui,,,395 kWh/m²,D,202103050002382617,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,,"Nieuwrodese Steenweg 21
3200 - Aarschot",9.8 m,,,,Oui,,Non,,,,,Oui,9.8 m,Oui,125 m²,Nord-ouest,12 m²,Nord-ouest,,Oui,,,,,,,,,,,,,Oui,40 m²,Connecté,,Non,,,,,1.393 €,,,,,,,,,,,,Wemmel,,5 m²,,,,,,,
95,À définir,2004,Excellent état,4,1,5,Urbain,150 m²,40 m²,Hyper équipée,20 m²,3,15 m²,15 m²,9 m²,1,1,2,Oui,125 m²,30 m,Non,Non,Oui,,Non,249 kWh/m²,C,0002420836,Non communiqué,Non communiqué,Mazout,Oui,170 m²,,,,2.427 €,"Ninoofsesteenweg 234B
1700 - Dilbeek",4374462,,,,,45 m²,,1469 m²,,,,,,Connecté,1469 m²,Oui,,,,,,,,,,,,,,,,,Faire offre à partir de 695.000 €,,Non,Non,,,,,,,Non,,,,,,,,,,,,Regio Vilvoorde-Grimbergen-Meise,,,,,,,,,
96,Après la signature de l’acte,1989,Bon,4,3,3,"Zone d'habitat (résidentiel, urbain ou rural)",,710 m²,,Hyper équipée,,4,,,,4,1,,,4297 m²,,,,Oui,Oui,,217 kWh/m²,C,20150503-0001755837-01,Non communiqué,Non communiqué,Mazout,Oui,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",1.560.000 €,,"Congresstraat 35
1000 - Brussel",36.5 m,,,Oui,,,,,Oui,,,,60 m,,,Sud-ouest,,,,,,,,,,,,,,Oui,,,,,,"Oui, conforme",Non,,,Oui,,11.328 €,Oui,Oui,,,,,,,,Oui,,Bouchout,,,,,,,,,
97,,1932,À rafraîchir,3,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",,250 m²,,Hyper équipée,,3,,,,1,,2,,300 m²,,,,Oui,,,395 kWh/m²,D,20210305-0002382617-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,445.000 €,Non,"Rue du Président 76
1050 - Bruxelles",,1,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,,,,1.393 €,,,,,,,,,,,,,,,,,,,,,
98,,1962,Excellent état,2,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,250 m²,,Équipée,,4,,,,2,2,,,549 m²,Oui,,,,,,382 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",630.000 €,,"Herestraat 5
3000 - Leuven",,,,,Oui,,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,1.872 €,Oui,,,Oui,,,,,,,,,,,,,,,,,
99,,2005,Excellent état,4,1,2,Pays,,432 m²,60 m²,Équipée,28 m²,3,12 m²,50 m²,22 m²,3,,3,,945 m²,,Non,Non,Oui,Non,Oui,171 kWh/m²,B,20210925-0002468449-RES-1,Non communiqué,Non communiqué,,Oui,,,,998.500 €,Non,"Rue Verhasseltstraat 2/1
1780 - Wemmel",,,22 m²,,Non,,Non,Non,,,,,,Non,550 m²,,,,,Oui,,,,,,,,,,,Villa,,,,Non connecté,,Non,,VC 100,,,2.498 €,,,,,,,,,,,,,,,,,,,,,
100,,2005,À rafraîchir,,1,1,,,195 m²,32 m²,,7 m²,5,12 m²,15 m²,10 m²,2,,1,,195 m²,,Non,Non,Oui,Oui,Non,171 kWh/m²,B,20210408-0002398606-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,Non,"Diepestraat 22
1780 - Wemmel",6.5 m,,9 m²,Oui,Non,,Non,,Non,Non,Non,Non,6.5 m,Oui,64 m²,Sud,15 m²,,Non,Oui,,,,,,,,,,Oui,,76 m²,,,Connecté,,Non,,"TK21_ Wemmel, Charle",,Non,1.741 €,,Oui,,,,,,,,,,,,,21 m²,,,,,,
101,Après la signature de l’acte,1900,Bon,2,,,,,100 m²,32 m²,,13 m²,2,17 m²,13 m²,,1,,1,,218 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,329.000 €,Non,"Avenue Louise 54
1050 - Ixelles",,,,,,,Non,,,,,,,Oui,150 m²,,10 m²,,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,4520407,,,,,,,,,,,,,,,,
102,Après la signature de l’acte,1990,Bon,4,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",,320 m²,42 m²,,20 m²,3,21 m²,25 m²,18 m²,2,,3,,1222 m²,,Non,Non,Oui,,,257 kWh/m²,C,2409081-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",945.000 €,Non,"Verbeytstraat 1 B1
1853 - Strombeek-Bever",,,,,Oui,,Non,,,,,,,Oui,,,50 m²,,,,,,,,,,,,,,,,Oui,35 m²,,,Non,,4395509,,,3.926 €,,,,,,,,,,,,,,10 m²,,,,,,,
103,À définir,1930,À rafraîchir,2,1,1,,,235 m²,25 m²,Américaine équipée,15 m²,4,41 m²,31 m²,31 m²,1,1,2,,200 m²,,,,,,,383 kWh/m²,D,Certificaat-20210816-0002451789-RES-1.pdf,Non communiqué,Non communiqué,Mazout,Oui,,,,545.000 €,Non,"Rue Zeyp 17
1083 - Ganshoren",6 m,,14 m²,,,,,,,,,,,Non,100 m²,,40 m²,,,Oui,,,,,,,,,,,,,Oui,,,,,Oui,4379964,,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,2005,Bon,3,1,1,,,166 m²,18 m²,,14 m²,3,15 m²,12 m²,12 m²,1,1,2,,515 m²,,,,,,,190 kWh/m²,B,20210602-0002423716-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Oui,"Walenstraat 22
3110 - Rotselaar",,,,,,,,,Oui,,,,,Oui,,Sud,10 m²,,,,,,,,Non,,,,,Oui,,,Oui,34 m²,Connecté,,Non,,De Leeuw Vastgoed,,,1.763 €,,Oui,,,,,,,,Oui,,,,,,,100,1650,,,
105,,,,4,1,1,,,170 m²,40 m²,Équipée,,3,,,,1,,2,,920 m²,,,,,,,411 kWh/m²,E,20210423-0002405772-RES-2,Non communiqué,Non communiqué,,Oui,,,,590.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",,,,,,,Non,,,,,,,,580 m²,Sud-ouest,,,,Oui,,,,,Non,Non,Non,Non,,,,,,,,,,,9536,,,2.821 €,Oui,,,,,,,,,,,,30 mars 2022 - 00:00,,,,,,,,
106,Après la signature de l’acte,1962,Bon,4,3,1,,,192 m²,,Équipée,,3,,,,1,,2,,484 m²,,,,,,,315 kWh/m²,D,20210320-0002390288-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Parklaan 63
9300 - Aalst",,1,,,,,Non,,,,,,14 m,Oui,,,16 m²,,,,,,,,Non,,,,,,,,,,,,,Oui,1958 - 1631,,,1.265 €,,Non,,,,,,,,,,,,,,,,,,,
107,,1956,À rénover,4,10,9,,,60 m²,,Semi-équipée,,1,,,,1,,2,,2461 m²,Oui,,,,,Oui,694 kWh/m²,F,20170615-001970231-1,Non communiqué,Non communiqué,Pellets,Oui,Oui,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,Oui,"Steenweg 171 Bis
1745 - Opwijk",23 m,,,,,,Non,,,,,,26.65 m,,,Sud,,,,,,,,,Non,,,,,Oui,,,,,,,Non,Oui,545 - 1699,,,1.400 €,,,,,,,,,,Oui,,,,,,,,,,,
108,Après la signature de l’acte,1961,Bon,4,2,8,Urbain,216 m²,53 m²,Hyper équipée,18 m²,4,35 m²,8 m²,8 m²,10 m²,2,,Oui,,7.18 m,Oui,,,,,412 kWh/m²,E,20200925-0002319587-RES-1,Non communiqué,Non communiqué,Oui,,140 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",559.000 €,742 €,"Cicerolaan 33
1140 - Evere",4346802,28 m,,1,,35 m²,,679 m²,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,Non,,,Oui,,Zone non inondable,Oui,,Non,,Non,,Oui,Oui,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,1960,Fraîchement rénové,3,,1,,,175 m²,40 m²,Américaine équipée,21 m²,3,32 m²,14 m²,13 m²,1,1,2,,368 m²,,,,,,,1058 kWh/m²,F,0002306041,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",545.000 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",,,,,,,Non,,,,,,9.5 m,,122 m²,Est,36 m²,,,,,,,,Non,,,,,,,,Oui,,,,,,1979862 - 3000,,,560 €,,,,,,,,,,,,,,,,,,,,,
110,,1990,À rafraîchir,2,,,,,270 m²,,Semi-équipée,,5,,,,3,,3,,190 m²,Oui,,,,,,100 kWh/m²,A,2301392,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",595.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,Oui,,,,,,,Non,,1782548 - 2020/233/S,,,2.949 €,,Non,,,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,1989,À rafraîchir,3,1,1,,,144 m²,30 m²,Semi-équipée,,2,,,,1,,1,,293 m²,Oui,,,,,,452 kWh/m²,E,Certificaat-20210708-0002439350-RES-1.pdf,Non communiqué,Non communiqué,Électrique,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,10.5 m,,,,,,,,,,,,Non,,,,,Oui,,,,,,,Non,Oui,1782459 - 2021/267/S,,,902 €,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,1989,À rafraîchir,3,1,1,,,151 m²,,Semi-équipée,,2,,,,1,,1,,477 m²,,,,,,,445 kWh/m²,E,2439370,Non communiqué,Non communiqué,Électrique,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,10.7 m,,,,,,,,,,,,Non,,,,,Oui,,,,,,,Non,Oui,1782460 - 2021/268/S,,,961 €,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,1950,Bon,2,1,3,,,190 m²,,Équipée,,3,,,,1,,2,,303 m²,Oui,,,,,,336 kWh/m²,D,2446763-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",397.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,Nord-est,,,,,,,,,Non,,,,,Oui,,,,,,,Non,Oui,1782356 - 2021/296/S,,,666 €,,,,,,,,,,Oui,,,,,,,,,,,
114,Après la signature de l’acte,1989,À rafraîchir,3,2,2,,,295 m²,30 m²,Semi-équipée,,4,,,,2,,4,,770 m²,Oui,,,,,,452 kWh/m²,E,Certificaat-20210708-0002439350-RES-1.pdf,Non communiqué,Non communiqué,Électrique,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",690.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,Oui,,,,,,,Non,Oui,1782461 - 2021/267a/,,,1.863 €,,,,,,,,,,,,,,,,,,,,,
115,,1991,Bon,4,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",,310 m²,80 m²,Américaine hyper-équipée,21 m²,4,26 m²,16 m²,9 m²,1,,2,,1550 m²,Oui,Non,,Oui,,Non,379 kWh/m²,D,20210425-0002405594-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,Zone inondable potentielle,,760.000 €,Non,"Stationstraat 79
1861 - Wolvertem",,,9 m²,,,,Non,,,,,,,Non,,,,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,4455243,,,,,,,,,,,,,,,,1 janvier 2022 - 00:00,,,,,,,,
116,Après la signature de l’acte,1989,À rafraîchir,3,1,6,,,498 m²,,Équipée,,8,,,,3,,4,,3800 m²,Oui,,,Oui,,,342 kWh/m²,D,2277878,Non communiqué,Non communiqué,Électrique,Oui,Non,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),895.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,20 m,,,,,,,Oui,,,,,Non,,,,,Oui,,,,,,,Non,,1782452 - 2021/159/S,,,3.083 €,Oui,,,,,,,,,,,,,,,,,,,,
117,,1941,Bon,4,2,8,,,699 m²,,Équipée,,8,,,,4,,4,,9812 m²,Oui,,,,,,104 kWh/m²,B,1715886,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,Zone agricole,1.045.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",,,,,,,Non,,,,,,,,,,,,,,,,,,Non,,,,,Oui,,,,,,,Non,,1781846 - 2021/024/S,,,3.891 €,,Non,,,,,,,,,,,1 octobre 2021 - 00:00,,,,,,,,
118,Après la signature de l’acte,1967,Bon,3,,,,,,45 m²,Équipée,22 m²,4,22 m²,16 m²,14 m²,1,2,2,,646 m²,Oui,,,,,,458 kWh/m²,E,20210511-0002413740-RES-1,Non communiqué,Non communiqué,Gaz,,,Zone non inondable,,589.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,,Oui,1816724 - VKG-2021-0,,,,,,,,,,,,,,,,,,,,,,,,
119,,2006,Bon,3,1,3,,,211 m²,39 m²,Équipée,10 m²,3,27 m²,20 m²,10 m²,1,1,2,,421 m²,Oui,,,,,,175 kWh/m²,B,1315099,Non communiqué,Non communiqué,,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,Non,"Meyskensstraat 222
1780 - Wemmel",7 m,,,,,,Non,,,,,,10 m,,,Sud-ouest,,,,,,,,,Non,,,,,Oui,,,,,,,Non,,1782438 - 2021/292/S,,,1.481 €,,,,,,,,,,Oui,,,,,,,,,,,
120,Après la signature de l’acte,,À rafraîchir,2,1,,,,224 m²,,Semi-équipée,30 m²,5,17 m²,15 m²,14 m²,1,1,,12 m²,260 m²,Oui,,,,,,533 kWh/m²,F,20210804-0002447910-RES-2,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",309.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",,,11 m²,,,,Non,,,,,,,,,Ouest,,,,,,,,,Non,,,,,,,,,,,,,,309 - V21LON/068,,,632 €,,,,,,,,,,Oui,,,,,11 m²,,,,,,
121,,1991,Bon,3,1,,,,160 m²,,Équipée,,2,19 m²,20 m²,,1,,2,,,Oui,,,,,,551 kWh/m²,F,Certificaat-20191218-0002229621-RES-1,Non communiqué,Non communiqué,Électrique,Oui,,,,450.000 €,Non,"Oudstrijdersstraat 66/2
1785 - Merchtem",,,,,Non,,Non,Non,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non connecté,,,,,,,1.093 €,,,,Oui,,,,,,,,,,,,,,,,,
122,Après la signature de l’acte,1939,Bon,2,,,,,282 m²,,Hyper équipée,21 m²,3,,,,1,,2,,421 m²,,Non,Non,Oui,Non,Non,347 kWh/m²,D,20121112-0001026528-00000003-6,Non communiqué,Non communiqué,Gaz,Oui,,,,399.000 €,Non,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,268 m²,Sud,43 m²,Sud,Non,Oui,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,,282 m²,Oui,,Connecté,,,Oui,,,,498 €,,,,Oui,,,,,,,,,,,,,,,,,
123,,,Excellent état,2,3,,,,387 m²,,Pas équipée,,5,,,,4,,3,,,Oui,,,,,,23 kWh/m²,A,23052-G-OMV_2018079350/EP12862/A001/D02/SD001,Non communiqué,Non communiqué,Gaz,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",979.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",6 m,,,,,,Non,,,,,,6 m,,,,,,,Oui,,,,,Non,,,,,Oui,,,,,,,Non,,1782479 - 2021/330a/,,,2.797 €,,Non,,,,,,,,,,,,,,,,,,,
124,À définir,1948,Bon,2,,,,,115 m²,31 m²,Semi-équipée,,2,15 m²,30 m²,,1,,2,,142 m²,,,,,,,494 kWh/m²,E,20210621-0002432008-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",260.000 €,Non,"Marktstraat 5
1745 - Opwijk",,,,,,,,,,,,,,Oui,48 m²,,,,,,,,,,,,,,,,,,,,Connecté,,,,4532600,Oui,,344 €,,Non,,,,,,,,,,Merchtem,,,,,,,,,
125,,1995,,,1,,,,498 m²,48 m²,Hyper équipée,,5,23 m²,19 m²,16 m²,2,,3,114 m²,3164 m²,,Non,Non,Oui,Oui,Non,164 kWh/m²,B,20210215-0002374002-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",849.000 €,Non,"Vrijheidstraat 41
9300 - Aalst",,,14 m²,Non,Oui,,,,Non,Non,Non,Non,,Oui,,,,,Non,Oui,,,,,,,,,,Oui,Toutes sortes,,,25 m²,Connecté,,Non,,333 - MER - 2,,Non,2.050 €,Oui,Oui,,,,,,,,,,,,11 m²,40 m²,,,,,,
126,À définir,2006,Excellent état,4,2,10,"Zone d'habitat (résidentiel, urbain ou rural)",,409 m²,45 m²,Américaine hyper-équipée,13 m²,4,21 m²,10 m²,10 m²,2,1,2,,3613 m²,,,,Oui,Oui,,32 kWh/m²,A,20210224-0002376851-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",1.299.000 €,Non,"Rue Picard (Gare Maritime), 7
1000 - Brussel",14 m,,10 m²,,Oui,,Non,,,,,,,Non,3000 m²,,52 m²,,,,,,,,,,,Oui,,Oui,,,Oui,,Connecté,,Non,,4493269,,,2.382 €,,,150 m²,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,1931,À rénover,2,,,Urbain,,161 m²,31 m²,Pas équipée,18 m²,4,17 m²,15 m²,13 m²,,,,,109 m²,Oui,,,,,,465 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,Oui,Zone non inondable,,279.000 €,Non,"Nieuwstraat 32b1
1730 - Asse",,,6 m²,,,,Non,,,,,,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,Non,Oui,4397014,Oui,,570 €,,Non,,,,,,,,,,,,,,,,,,,
128,2004,4,,Oui,,,,,,,4,,1,,,,2,,Oui,,,,,,,,,B,20210322-0002390758-RES-1,Non communiqué,Non communiqué,Oui,,,Zone inondable potentielle,465.000 €,,,"Kloosterstraat, 1
1745 - Opwijk",Lies VERDOOT,,,,,142 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,Équipée,,,,,,,,,Non,Oui,Non,,Oui,,Non,"nl :
De woning kan bezichtigd worden op 11/9, 18/9, 25/9 en 2/10 tussen 10u00 en 11u30. Via deze link kan u een virtuele bezoek raadplegen https://view.ricohtours.com/8f9ba845-ba46-43aa-92af-63894ddb7837",Après la signature de l’acte,1.590 €,,,,,,,,,,,,
129,1967,Oui,,,,,,Oui,,,1,,871 kWh/m²,,,,F,,,,,,,,,,,20170524-0001964064-1,Non communiqué,Non communiqué,Oui,Non,,,210.000 €,699 €,,,Evelyne VAN LIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,2,,,,,,,,,"Hector Henneaulaan, 105
1930 - Zaventem",,Zone d'inondation reconnue,,Équipée,,Non,"nl :
Elke zaterdag van 10u-12u, en dit vanaf 21 augustus 2021 tot en met 11 september 2021.",Après la signature de l’acte,Non,,,,,,,,,,,,
130,Après la signature de l’acte,1918,Bon,3,,1,,,288 m²,20 m²,,20 m²,4,39 m²,14 m²,10 m²,2,1,4,,372 m²,,,,,,,200 kWh/m²,B,20200923-0002319031-KNR-1,Non communiqué,Non communiqué,Mazout,Oui,,,,449.000 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",9.5 m,,18 m²,,Oui,,,,,,,,14 m,Oui,135 m²,,,,,,,,,,,,,,,,,180 m²,,,Connecté,,,,4241529,Oui,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,2017,Excellent état,4,,,,,200 m²,,Américaine hyper-équipée,12 m²,4,21 m²,14 m²,15 m²,1,1,2,,437 m²,,Non,Non,Oui,Oui,Non,45 kWh/m²,A,Non communiqué,66 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,625.000 €,Non,,,1,38 m²,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Non,100 m²,Sud-ouest,22 m²,Sud-ouest,Non,Non,Non,Non,Non,Oui,,Non,Oui,Non,Oui,,Toutes sortes,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,
