,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Surface de la cave,Surface du terrain,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Largeur de la façade à rue,Combien de feux ouverts ?,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Parlophone,Climatisation,Jacuzzi,Sauna,Internet,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Surface constructible totale au sol,Salle à manger,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Cave,Site internet,Grenier,Obligation de construire,Revenu cadastral,Buanderie,Autorisation de lotissement,Surface de l'espace professionnel,Salon,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Disponible le,Surface de bureau,Surface de la chambre 5,Informations supplémentaires,Pourcentage loué,Revenu mensuel actuel,Isolé,Description libre du PEB,Nom de l'agent
28,Après la signature de l’acte,1931,À rénover,2,,,,,125 m²,28 m²,Équipée,22 m²,3,14 m²,14 m²,12 m²,1,,,10 m²,853 m²,,,,,,,494 kWh/m²,E,2369720,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",199.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Connecté,,Non,,4375123,Oui,,336 €,,Non,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,1975,Excellent état,2,1,1,,,225 m²,39 m²,Équipée,9 m²,3,15 m²,14 m²,9 m²,1,,,,210 m²,,,,,,,328 kWh/m²,D,2439037,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Assesteenweg 228
1742 - Ternat",,,,,,,,,,,,,,Oui,,,21 m²,,,,,,,,,,,,,Oui,,,,43 m²,Connecté,,Non,,4408415,,,845 €,,Oui,,,,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,Fraîchement rénové,3,1,,Rue commerçante,,197 m²,,Équipée,,5,,,,2,,3,,242 m²,Oui,,,,,,266 kWh/m²,C,Certificaat-20210903-0002459874-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,379.000 €,Non,"Bredabaan 260
2930 - Brasschaat",,,,,,,Non,,,,,,10.8 m,Oui,,,,,,,,,,,Non,,,,,Oui,,,,,,,,Oui,36761 - BRA-21-KHE-0,,,872 €,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,1986,Fraîchement rénové,4,1,,,173 m²,40 m²,1,14 m²,3,24 m²,11 m²,9 m²,1,1,3,Non,,21 m,,,,Oui,Oui,358 kWh/m²,D,20210504-0002410631-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Zone non inondable,549.000 €,,1.202 €,"Edingsesteenweg 341
1755 - Kester",2667 - 21/000039/506,,Hyper équipée,,,,,630 m²,,,,,,Oui,Oui,,Oui,,,,,,,,,Gaz,,,,,,,,,,,,,,,,,Non,,,,,,,,,,Nord-est,,,,,,,,,,,
32,Après la signature de l’acte,1979,Fraîchement rénové,4,,,,,175 m²,,Hyper équipée,,3,18 m²,17 m²,10 m²,1,,2,,615 m²,,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,201401280001517304000000353,169 kg CO₂/m²,Non communiqué,,Oui,,,,549.000 €,Non,,,1,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,1 m²,Sud-ouest,1 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,,Oui,Oui,Non,Non,,Toutes sortes,,,,Connecté,,,,,,,900 €,,,,,,,,,,,,,,,,,,,,,
33,À définir,2013,Excellent état,2,,,,,,,,,4,,,,,,2,,150 m²,,Non,Non,Non,Non,Non,Non communiqué,Non communiqué,39,Non communiqué,Non communiqué,Gaz,Non,,,,350.000 €,Non,,7 m,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,1 m²,,1 m²,,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,Oui,Toutes sortes,,Oui,,,,,,,Oui,,,Oui,Oui,,Oui,,,,,,,136,,,,,,,,,,
34,Après la signature de l’acte,,,2,1,,Urbain,,196 m²,30 m²,,13 m²,4,46 m²,17 m²,14 m²,2,,2,,359 m²,Oui,,,,,,167 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Affligemsestraat 443
1770 - Liedekerke",,,12 m²,,,,,,,,,,,Oui,,,,,,,,,,,,,,Oui,,,,,Oui,,Connecté,,Non,,4508893,,,614 €,,,,,,,,,,,,,,,,,,,,,
35,,,À rénover,,,,,,,,,,2,,,,1,,,,1160 m²,Oui,,,,,,683 kWh/m²,F,20120221-0001046176-00000003-0,Non communiqué,Non communiqué,,Oui,,,,275.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Oui,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Oui,,Connecté,,,,"Valierstraat 45, 177",,,644 €,,,,Oui,,,,,,,,,,,,,,,,,
36,,1949,À rénover,,,,,,,,,,3,,,,1,,,,,,,,,,,916 kWh/m²,F,20210924-0002468340-RES-1,Non communiqué,Non communiqué,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,Ouest,,,,,,,,,,,,,,,,,Oui,,Non connecté,,,,Velodroomstraat 213,,Non,,,,,Oui,,,,,,Oui,,,,,,,,,,,
37,,,,,,,,,,,,,4,,,,1,,,,790 m²,Oui,,,,,,728 kWh/m²,F,20210510-0002413276-res1,Non communiqué,Non communiqué,,Non,,,,310.000 €,Non,"Stationsstraat 8/2
1770 - Liedekerke",,,,Non,Non,,,,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,Oui,,Non connecté,,,,PIJNEGEM18,,,698 €,,,,Oui,,,,,,,,,,,,,,,,,
