,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Cave,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Combien de feux ouverts ?,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Site internet,Parkings intérieurs,Parkings extérieurs,Salles de douche,Surface de bureau,Bureau,Surface de la chambre 4,Raccordement à l'égout,Surface de la terrasse,Orientation de la terrasse,Largeur du terrain à rue,Surface de la chambre 5,Dressing,Buanderie,Porte blindée,Salon,Pompe à chaleur,Surface constructible totale au sol,Obligation de construire,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Droit d'achat prioritaire possible,Référence externe,Disponible le,Surface de la cave,Parlophone,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Terrasse,Informations supplémentaires,Pourcentage loué,Nombre d'annexes,Description libre du PEB,Revenu mensuel actuel,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Nom de l'agent,Surface du grenier,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé,Charges mensuelles
99,,,,,,4,Isolé,,,15 m²,Oui,,8 m²,3,15 m²,20 m²,25 m²,1,1,,,Non,500 m²,Oui,70 m²,Non communiqué,G,20120228022268,Non communiqué,Non communiqué,,Oui,Oui,Oui,,,475.000 €,2.112 €,Non,,1,,Sud-est,,,Non,,,,1,,Non,,Connecté,8 m²,Est,,,Non,Oui,Non,,Non,,,Non,Non,Non,Oui,Non,Non,Non,Non,Toutes sortes,,,,,Oui,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Non,,,25 m²,,,,,,,
100,À définir,,,Bon,5.55 m,3,,,115 m²,20 m²,Oui,Équipée,10 m²,2,20 m²,12 m²,,1,2,,,Non,89 m²,Oui,,472 kWh/m²,F,201220719003038,103 kg CO₂/m²,Non communiqué,Gaz,Oui,,,Zone non inondable,,Faire offre à partir de 239.000 €,669 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",,,,,,,4397848,,,,,,,Connecté,12 m²,,5.3 m,,,,,,,120 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,,,Fraîchement rénové,,3,,,100 m²,27 m²,,Équipée,16 m²,2,16 m²,15 m²,,,2,,,Non,220 m²,Oui,120 m²,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,Zone non inondable,,295.000 €,,Non,,,,Sud-est,,,,,,,1,,Non,,Connecté,10 m²,Sud-est,,,Non,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,100 m²,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,
102,Immédiatement,,,À rafraîchir,10 m,3,"Zone d'habitat (résidentiel, urbain ou rural)",,181 m²,,Oui,,13 m²,2,24 m²,19 m²,,,,Oui,Oui,Non,755 m²,Oui,667 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,,,Zone non inondable,,368.000 €,1.839 €,Non,,,,Sud,,,,,1,2,1,12 m²,Oui,,Connecté,12 m²,,,,Non,Oui,Non,Oui,Non,87 m²,,Oui,Non,Non,Non,Non,Non,Non,Non,,,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,
103,,,1935,,,4,,,240 m²,54 m²,,Équipée,,5,,,,,,,,Non,1260 m²,,,509 kWh/m²,F,20210728000790,126 kg CO₂/m²,124316 kWh/an,Mazout,Non,,,,,540.000 €,1.762 €,Non,"Place Communale 9
1332 - Genval",,,,Non,,,,1,3,,,,,,25 m²,,,,,,,,Non,,,,,,,,Non,Non,,,,BGO/335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,1998,Bon,,2,,,,,,Équipée,,,,,,,,,,Non,,Oui,,377 kWh/m²,E,20210928025583,Non communiqué,23685 kWh/an,,Oui,,,,,Faire offre à partir de 375.000 €,2.694 €,Oui,"Rue du Bois Paillet 9
1315 - Roux-Miroir",,,,Non,,,74 - 93363879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,,,,,,,290 m²,60 m²,3,,,,1,,,,2,Oui,Non,,367 m²,80 m²,,,F,20210716003593,Non communiqué,111573 kWh/an,Non,,,,,,,Non,,"chaussée de Wavre n°373
1390 - Grez-Doiceau",8104265 - 996478,,,,320.000 €,,,,1,,,,,,,470 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,360 m²,,,,,6,,,,6,8,,,Non,85 m²,,,Non communiqué,C_B,Non communiqué,Non communiqué,Non communiqué,,,,,,,945.000 €,,Oui,"chaussée de Wavre n°373
1390 - Grez-Doiceau",,,,Non,,,8104280 - 996466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,75 m,,,,2400 m²,,,,,,,,,,,,,Non,5893 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,1.900.000 €,,Oui,"Avenue Reine Astrid, 54
1410 - Waterloo",,,,Non,,,25502 - 111136104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,,,,,,,,950 m²,,,,,,,,,,1,Oui,,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,900.000 €,,Oui,"chaussée de Wavre n°373
1390 - Grez-Doiceau",,,,Non,,,8104282 - 996337,16,5,,100 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,Brabant Wallon,1970,Bon,,4,Isolé,175 m²,38 m²,Équipée,,7 m²,3,14 m²,14 m²,15 m²,1,2,8 m²,,,490 m²,Connecté,400 m²,20 m²,F,20210521013799,111 kg CO₂/m²,68991 kWh/an,Mazout,Oui,Non,,,420.000 €,,2.208 €,Non,"Voie des Curassiers 5
1300 - wavre",4370163,,,,,,,,1,1,,Oui,30 m²,,Non,449 kWh/m²,,,,,,,,,,,,,,,,,,,,Zone non inondable,,1 août 2021 - 00:00,35 m²,,,,,,,,,,,,,,,,,,,Non,,,,,,,,
110,Après la signature de l’acte,Village Expo,1989,Bon,26 m,4,"Zone d'habitat (résidentiel, urbain ou rural)",,141 m²,43 m²,,Équipée,14 m²,3,17 m²,14 m²,10 m²,1,1,,,Non,1994 m²,Oui,1905 m²,Non communiqué,Non communiqué,20201102020655,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,1.209 €,,"27, Rue de la Goyette
5030 - Lonzée",1,,Sud,,,Non,,1,4,,,,,Connecté,40 m²,Sud,26 m,,,Oui,,,,,,,Oui,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,GRULOOS,,,,,,,,,
111,Après la signature de l’acte,Brabant Wallon,1900,Bon,,4,Isolé,,260 m²,15 m²,Oui,,,3,15 m²,12 m²,12 m²,2,4,Oui,Oui,,2385 m²,Oui,,637 kWh/m²,G,20200710016537,Non communiqué,118977 kWh/an,Mazout,Oui,,,,,695.000 €,,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,,,,,4380032,2,,2,8 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
112,,,,Fraîchement rénové,4.36 m,2,Urbain,,97 m²,30 m²,,,,1,16 m²,,,,2,,,Non,45 m²,Oui,,185 kWh/m²,C,20201122005577,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone d'habitat mixte (habitat & activité économique),235.000 €,631 €,Oui,"Rue de la Source 14
1300 - Wavre",,,,,,,Francisco Lannoye,,,1,,,,Connecté,9 m²,Sud-est,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Immédiatement,,1985,Bon,14 m,4,Paysage,,242 m²,38 m²,Oui,Hyper équipée,16 m²,5,15 m²,15 m²,11 m²,2,3,,Oui,Non,709 m²,Oui,709 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Oui,Zone non inondable,,395.000 €,2.161 €,Non,,1,,,,,,,2,5,1,,Non,13 m²,,24 m²,Sud,,13 m²,Non,Oui,Non,,Non,,,Non,Non,Non,Non,Oui,Non,Non,Oui,Villa,,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Oui,Non,Non,Oui,,,,,,,,,,
114,Après la signature de l’acte,,1932,À rafraîchir,5 m,3,,,142 m²,13 m²,Oui,Américaine équipée,15 m²,3,17 m²,13 m²,12 m²,1,1,,,Non,921 m²,Oui,835 m²,448 kWh/m²,F,20210916024291,111 kg CO₂/m²,63628 kWh/an,Mazout,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",270.000 €,800 €,Non,,,,,,,,,,2,,,Non,,Connecté,,,6 m,,Non,Oui,Non,,Non,,,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,23 m²,,,,,,,,1,,,,,,,,,,,16 m²,,,,,,,Oui,
115,,,,Bon,,4,,,175 m²,32 m²,,Hyper équipée,23 m²,3,19 m²,18 m²,14 m²,1,2,,Oui,Non,550 m²,Oui,200 m²,Non communiqué,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,,395.000 €,,Non,,1,,Sud-ouest,,"Oui, conforme",,,1,3,1,8 m²,Oui,,,70 m²,Sud,,,Oui,Oui,Non,,Non,,,Oui,Oui,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,Oui,
116,Après la signature de l’acte,,1978,À rafraîchir,,4,,,200 m²,31 m²,,Équipée,9 m²,4,26 m²,13 m²,13 m²,1,2,,,Non,578 m²,Oui,,262 kWh/m²,D,20211001007186,48 kg CO₂/m²,69452 kWh/an,Gaz,Oui,,,,,Faire offre à partir de 410.000 €,3.143 €,Non,"Chaussée de Louvain 244
1300 - Wavre",1,Oui,Sud,Non,,,,2,2,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,41824 - 20043/WAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,,1963,À rénover,,4,,,115 m²,31 m²,,Équipée,12 m²,3,12 m²,14 m²,9 m²,1,1,Oui,Oui,Non,399 m²,Oui,,507 kWh/m²,F,20210717001423,127 kg CO₂/m²,60328 kWh/an,Mazout,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,1.388 €,Non,"Place Albert 1er, 20
1300 - Limal",,,,,,,4407658,1,3,,,,,Connecté,,,13 m,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,,,À rénover,,4,,,140 m²,34 m²,Oui,Équipée,7 m²,3,19 m²,19 m²,19 m²,1,1,,,,,Non,1034 m²,517 kWh/m²,G,20210422008791,128 kg CO₂/m²,88723 kWh/an,Mazout,Oui,,,Zone non inondable,,Faire offre à partir de 195.000 €,1.294 €,Non,"Chaussée de la libération, 3
1390 - Grez-Doiceau",,,,,,,4390341,1,3,1,,,,Connecté,,,,,,,,,,,,,,,,,,,,,Non,,,,,Non,Non,Non,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
119,Après la signature de l’acte,,,Excellent état,,2,,,220 m²,24 m²,Oui,Équipée,16 m²,2,19 m²,10 m²,,2,3,Oui,,Non,95 m²,Oui,,213 kWh/m²,C,20141128015848,Non communiqué,Non communiqué,Gaz,Oui,,,,,Faire offre à partir de 395.000 €,,Oui,"Rue du Virginal 83
7090 - Hennuyères",,,,,,,4348552,,,2,14 m²,Oui,,Connecté,7 m²,,,,,,,,,220 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Immédiatement,,,Excellent état,,2,,,,,,,,3,,,,3,3,Oui,,,,Oui,,180 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,545.000 €,2.103 €,Oui,"Rue de Champles 54
1301 - Bierges",,,,,,,4517728,,3,3,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40 €
121,Après la signature de l’acte,,2021,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Équipée,,3,,,,1,2,,,,304 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,Zone non inondable,,339.000 €,,,"Rue de l'école 7
5575 - Patignies",,,,,,,Florence Hotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
122,À définir,,,,,2,Urbain,,,,,,,5,,,,5,5,,,,80 m²,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,250.000 €,,Oui,"13/31, rue Letroye
1300 - Wavre",,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,2534,,,,,,,,Catherine De Mulder,,,,,,,,,
123,Après la signature de l’acte,,,À rénover,,2,,,125 m²,38 m²,Oui,Pas équipée,14 m²,3,12 m²,10 m²,10 m²,,,Oui,,Non,306 m²,Oui,,474 kWh/m²,F,20210611016700,86 kg CO₂/m²,74089 kWh/an,Gaz,,,,Zone non inondable,,260.000 €,880 €,Non,"Chaussée de Louvain 244
1300 - Wavre",,Oui,Sud-est,Non,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,35217 - 19944/WBJ,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,
124,,,2021,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,3,,,,1,2,,,,230 m²,Oui,,Non communiqué,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,Zone non inondable,,325.000 €,,,"Rue de l'école 7
5575 - Patignies",,,,,,,Florence Hotton,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,
125,Après la signature de l’acte,,1976,,,3,,,140 m²,41 m²,Oui,Équipée,10 m²,3,13 m²,12 m²,11 m²,1,,,,Non,527 m²,Oui,,191 kWh/m²,C,20210722014467,191 kg CO₂/m²,44974 kWh/an,Gaz,Oui,,,Zone non inondable,,Faire offre à partir de 399.000 €,1.983 €,Non,"Chaussée de Louvain 244
1300 - Wavre",1,,,Non,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20393 - 20083/WAD,,7 m²,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,
126,Selon le locataire,,,,,3,,,220 m²,35 m²,Oui,Américaine équipée,14 m²,5,22 m²,13 m²,14 m²,2,2,Oui,,Non,173 m²,Oui,,363 kWh/m²,E,20130212019265,66 kg CO₂/m²,60781 kWh/an,Gaz,Oui,,,Zone non inondable,,465.000 €,1.888 €,Oui,"Place Albert 1er, 20
1300 - Limal",,,,,,,4404688,,1,,,,14 m²,Connecté,10 m²,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,,2016,,5 m,3,,,281 m²,41 m²,,,,4,,,,3,,Oui,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,380.000 €,,Non,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",,Oui,Sud-est,,,,W6554,1,,,30 m²,Oui,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,À définir,,2020,Excellent état,,2,,,222 m²,55 m²,,Hyper équipée,,3,15 m²,12 m²,10 m²,1,2,Oui,,Non,20000 m²,,192 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,465.800 €,,Non,"rue de Stalle 142
1180 - Uccle",,,Nord,Non,,,20L2779-WAV,,2,1,,,,Connecté,20 m²,Nord,,,,Oui,,,Non,,,,,,Oui,,Non,Non,,,,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,Bon,,2,,80 m²,2,,,,,15 m²,13 m²,1,,1,Oui,Non,,428 kWh/m²,,,,F,20210701012229,Non communiqué,40363 kWh/an,Non,Oui,170.000 €,,,,,627 €,Non,"Route de Landen 82
4280 - Hannut",1009295 - 922,,,,Gaz,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,3,,,100 m²,25 m²,,Pas équipée,6 m²,2,17 m²,9 m²,,1,,Oui,,Non,239 m²,Oui,,591 kWh/m²,G,20210524002949,108 kg CO₂/m²,73053 kWh/an,Gaz,Oui,,,Zone non inondable,,269.000 €,825 €,Non,"Chaussée de Louvain 244
1300 - Wavre",,,,Non,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,34744 - 19953/WAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,À définir,,,Bon,,2,,,160 m²,,,Hyper équipée,,2,,,,2,,,,,,,,445 kWh/m²,F,20210401019989,Non communiqué,68067 kWh/an,,Oui,,,,,349.000 €,1.500 €,Oui,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,,,,,4416821,,,2,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,1963,À rénover,23 m,4,,,360 m²,450 m²,,Pas équipée,,4,,,,2,2,Oui,,Non,24000 m²,Non,,439 kWh/m²,F,20211006014485,Non communiqué,159844 kWh/an,Mazout,Oui,Oui,Non,,,1.150.000 €,2.853 €,Non,"chaussée de Liège 36
6900 - Marche-en-Famenne",,,,Non,,Non,Bierges2,1,5,,,Non,,Connecté,,Sud,,,Non,,Non,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,À rafraîchir,4,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,Équipée,3,,1,,,,1,Oui,Oui,670 m²,,Connecté,,,F,20201110008725,Non communiqué,105087 kWh/an,Non,,,Non,Non,,300.000 €,,Non,"Rue Saint Roch 28
1300 - Wavre",Céline MARLIERE,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,2,,Oui,,Oui,,,,,,,,Oui,,,,,,,,,,Oui,,,Oui,,,,,,,,483 kWh/m²,,,,,,,,,,,,,,,,Non,1952,,2.350 €,,,
134,,,2000,Excellent état,,4,,,250 m²,30 m²,Oui,Hyper équipée,16 m²,4,16 m²,16 m²,14 m²,2,2,,,Non,1600 m²,Oui,1470 m²,259 kWh/m²,D,20150328001352,62 kg CO₂/m²,Non communiqué,Mazout,Oui,,,Zone non inondable,,750.000 €,2.994 €,Non,,1,,Sud,,,,,1,2,,16 m²,Oui,12 m²,Connecté,30 m²,Sud,,,Non,Oui,Non,,Non,,,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Toutes sortes,,,,30 m²,Non,Non,Non,Non,,,,,,,Non,Non,Non,Non,Non,Non,Oui,,50 m²,,,,,,,,
135,Après la signature de l’acte,,1935,Bon,14 m,4,,377 m²,Hyper équipée,,,5,,3,,,,Oui,,Oui,Non,5124 m²,74.5 m,4747 m²,Oui,F,20210608020314,79 kg CO₂/m²,165576 kWh/an,Gaz,Oui,Oui,413 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",1.750.000 €,3.959 €,Non,"Chaussée de Louvain 433
1380 - Lasne",4372196,,,,,,Zone non inondable,,2,5,,,Oui,,,,,Oui,,,,,,,Non,,,,,,,,,,,Non,,11 octobre 2021 - 00:00,,,Non,Oui,432 kWh/m²,Non,,,,,,,Oui,,,,,,,,,,,,,,,
136,À la livraison,,2022,Excellent état,,3,,,190 m²,47 m²,,Américaine hyper-équipée,,3,21 m²,15 m²,12 m²,2,3,Oui,,Non,610 m²,Oui,610 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Zone non inondable,,673.000 €,,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4522152,2,2,,,,,Connecté,38 m²,,,,,,,,,38 m²,,,,,,,,,,,,,15 septembre 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,À la livraison,,2022,Excellent état,,3,,,212 m²,50 m²,,Américaine hyper-équipée,,4,18 m²,13 m²,12 m²,2,3,Oui,,Non,618 m²,Oui,618 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Zone non inondable,,682.000 €,,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4522150,2,2,,,,13 m²,Connecté,57 m²,,,,,,,,,57 m²,,,,,,,,,,,,,15 septembre 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,À la livraison,,2022,Excellent état,,3,,,214 m²,50 m²,,Américaine hyper-équipée,,4,20 m²,12 m²,12 m²,2,3,Oui,,Non,525 m²,Oui,525 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Zone non inondable,,697.000 €,,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4522151,2,2,,,,13 m²,Connecté,53 m²,,,,,,,,,49 m²,,,,,,,,,,,,,15 septembre 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,2011,Excellent état,,,,160 m²,37 m²,Hyper équipée,,9 m²,3,25 m²,16 m²,12 m²,1,1,6 m²,,,1001 m²,Oui,Oui,,B,Non communiqué,Non communiqué,Non communiqué,Non,Oui,450.000 €,,,,,Non,,"Venelle de la réserve 2
1300 - Wavre",4743 - 2844,,Sud,20 m²,Gaz,,,,,2,3,Oui,Non,,,129 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,À la livraison,,2022,Excellent état,,3,,,182 m²,48 m²,,Américaine hyper-équipée,,3,19 m²,12 m²,12 m²,2,3,Oui,,Non,460 m²,Oui,460 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Zone non inondable,,648.000 €,,Non,"Rue de Wavre, 27
1300 - Wavre",,,,,,,4522149,2,2,,,,,Connecté,34 m²,,,,,,,,,34 m²,,,,,,,,,,,,,15 septembre 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,1929,,,,,,420 m²,70 m²,,Équipée,35 m²,7,,,,4,,,,Non,2000 m²,Non,,456 kWh/m²,F,20170618002592,Non communiqué,456 kWh/an,Mazout,Oui,,,,,930.000 €,4.975 €,Non,"Avenue des Trembles 3b
1640 - Rhode-St-Genese",,Oui,Sud,,,Non,,,10,,,Non,,Non connecté,,,,,,,Non,,,575 m²,,,,,,,,,,Villa,,,,43 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,,1930,Bon,32.4 m,4,,,420 m²,47 m²,Oui,Hyper équipée,22 m²,6,18 m²,16 m²,16 m²,3,4,Oui,Oui,Non,2000 m²,,1700 m²,456 kWh/m²,F,20170618002592,Non communiqué,284273 kWh/an,Mazout,Oui,,,,,930.000 €,,Non,"Chaussée de Jodoigne, 29
1390 - Grez-Doiceau",,,,,,,4453798,,6,,25 m²,Oui,14 m²,,35 m²,,,27 m²,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,50 m²,,,,,,,
143,À définir,,1970,Bon,9.5 m,4,,,180 m²,32 m²,,Hyper équipée,9 m²,3,28 m²,15 m²,17 m²,1,2,Oui,Oui,Non,653 m²,Non,,272 kWh/m²,D,201711100002283,Non communiqué,49212 kWh/an,,Oui,,,Zone non inondable,,449.000 €,1.777 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",,,,,,,4529748,1,3,,11 m²,Oui,,Connecté,11 m²,,15 m,,,,,,,255 m²,,,,,,,,,,,,,2 mai 2022 - 00:00,,,Non,,Non,,,,,,,,Oui,,,,,,,,,,,,,,,
144,Après la signature de l’acte,,1930,Bon,,3,,,160 m²,18 m²,,,26 m²,5,23 m²,13 m²,12 m²,1,2,Oui,,,249 m²,Oui,,444 kWh/m²,F,20140507000375,Non communiqué,88848 kWh/an,Gaz,Oui,,,,,Faire offre à partir de 335.000 €,1.254 €,Non,"Chaussée de Huy 209
1325 - Chaumont-Gistoux",,,,,,,4419732,1,2,1,,,11 m²,Connecté,,,,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,Lac de Genval,1913,Bon,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,1000 m²,,Oui,Équipée,,6,,,,5,,Oui,,Non,30000 m²,Oui,,448 kWh/m²,F,20121029021730,111 kg CO₂/m²,Non communiqué,Mazout,Oui,Oui,,,,2.900.000 €,11.590 €,,"Rue Alphonse Renard 1
1050 - Ixelles",2,Oui,Sud-ouest,,"Oui, conforme",,,,10,,,Oui,,Connecté,,Sud-ouest,,,Oui,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,Oui,,,,,,,,,,,,,
146,Après la signature de l’acte,,1971,Excellent état,,4,,192 m²,Oui,,Hyper équipée,4,,12 m²,24 m²,21 m²,17 m²,1,Non,,,Oui,Connecté,444 m²,Oui,E,20150206021989,71 kg CO₂/m²,75988 kWh/an,Gaz,Oui,Zone non inondable,,,695.000 €,,2.311 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4443194,,,,,,,,1,4,2,,,2,Non,,,,,,,Non,Oui,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,,Non,Oui,389 kWh/m²,Non,,,,,,,Oui,,,,,,,,,,,,,,,
147,Après la signature de l’acte,,1910,Excellent état,,4,,,845 m²,,,Américaine équipée,,10,,,,3,,Oui,,Non,3000 m²,Non,,252 kWh/m²,C,20210416018718,Non communiqué,Non communiqué,Gaz,,,,,,2.250.000 €,,Non,"Chaussée de Louvain 433
1380 - Lasne",,,,,,,4313952,2,4,,,Oui,,Connecté,,,,,,,,Oui,,,,,,,,,,,,,,,,,,Non,Non,Non,Oui,,,,,,Oui,Oui,,,,,,,,,,,,,,,
