,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Cave,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Combien de feux ouverts ?,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Site internet,Parkings intérieurs,Parkings extérieurs,Salles de douche,Surface de bureau,Bureau,Surface de la chambre 4,Raccordement à l'égout,Surface de la terrasse,Orientation de la terrasse,Largeur du terrain à rue,Surface de la chambre 5,Dressing,Buanderie,Porte blindée,Salon,Pompe à chaleur,Surface constructible totale au sol,Obligation de construire,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Droit d'achat prioritaire possible,Référence externe,Disponible le,Surface de la cave,Parlophone,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Terrasse,Informations supplémentaires,Pourcentage loué,Nombre d'annexes,Description libre du PEB,Revenu mensuel actuel,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Nom de l'agent,Surface du grenier,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé,Charges mensuelles
39,,,,À restaurer,,2,,,,,,,,5,,,,,4,,,Non,170 m²,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",495.000 €,1.050 €,Oui,,,,,,,,,4,1,4,,Non,,Connecté,,,,,Non,,Non,,Non,,,Non,Non,Non,Non,Non,Non,Non,Oui,Immeuble à appartements,,,,,,,,,,,85,,PEB en cours,2230,,,,,,,,,,,,,,,,,
40,Après la signature de l’acte,,,À rénover,,2,,,,,,,,3,,,,4,3,,,,,,,445 kWh/m²,G,20201214-0000579793-01-1,Non communiqué,Non communiqué,Gaz,Non,,,,,Faire offre à partir de 650.000 €,2.131 €,Non,"Boulevard Audent, 16
6000 - CHARLEROI",,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,Mathieu VAN DIEST,,,,,,,,,
41,Selon le locataire,,,Fraîchement rénové,,2,,,,,,,,,,,,,,,,,,,,614 kWh/m²,G,Non communiqué,107 kg CO₂/m²,Non communiqué,,,,,,,380.000 €,,Oui,"Chaussée d' Haecht 41
1210 - St-Josse-Ten-Noode",,,,,,,4500858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,À définir,,,Bon,,2,Urbain,,3220 m²,,,,,,,,,,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,7.750.000 €,,Oui,"rue Edison 37
1190 - Bruxelles",,,,,,,4529639,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,2,,,120 m²,,,Équipée,8 m²,2,18 m²,17 m²,,,4,,,Non,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,,,,,359.000 €,,Oui,"Chaussée de Helmet 239
1030 - Schaerbeek",,,,Non,,,2377,,,4,,,,,,,8 m,,,,,,Non,,,,,,,,Non,Non,,,,,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,2,,,191 m²,,,Pas équipée,,5,,,,,,Oui,,Non,,,,267 kWh/m²,E,20170706-TEST,53 kg CO₂/m²,Non communiqué,,Oui,,,,,639.000 €,1.398 €,Non,"Av. Henri Conscience 74
1140 - Evere",,,,Non,,,9833,,,,,,,,,,,,,,,Oui,Non,,,,,,,,Non,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,1860,,,,,,1041 m²,,,,,8,,,,,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,2.250.000 €,,Non,"Louisalaan 327
1050 - Brussel",,,,,,,rue royal 290,,,,,Non,,Non connecté,,,,,Non,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,À la livraison,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,Non,"Avenue Reine Astrid 65
1300 - Wavre",,,,,,,4522344,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 septembre 2023 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,Brabant Wallon,1925,Bon,4 m,2,Urbain,110 m²,15 m²,Oui,Pas équipée,15 m²,3,15 m²,12 m²,16 m²,1,1,14 m²,,,140 m²,4.84 m,50 m²,,D,20210811014140,1022 kg CO₂/m²,35077 kWh/an,Pellets,Oui,65 m²,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 249.000 €,661 €,Non,"Place Communale 8
1160 - Auderghem",4437764,,,,,,Zone non inondable,,,,1,,,,Non,320 kWh/m²,,Connecté,,,,,,,Non,,,,,,,,,,,Non,,,5 m²,,,,,,,,,,,,,,,,,,,Non,,,,,,,,
48,Après la signature de l’acte,Brabant Wallon,1981,Bon,10 m,4,Urbain,110 m²,30 m²,Équipée,,10 m²,3,15 m²,11 m²,8 m²,1,1,19 m²,,,620 m²,17 m,555 m²,22 m²,F,20210413006694,129 kg CO₂/m²,54826 kWh/an,"Oui, conforme",Oui,,73 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 365.000 €,1.611 €,Non,"Place Communale 8
1160 - Auderghem",4334311,,,,Électrique,,Zone non inondable,,1,3,2,,,,Oui,Non,,Connecté,,,,,,,Non,,,,,,,,,,,Non,,,23 m²,,Non,Oui,452 kWh/m²,,,,,,,,,,,,,,,Non,,,,,,,,
49,Après la signature de l’acte,,2013,Excellent état,8.5 m,4,"Zone d'habitat (résidentiel, urbain ou rural)",230 m²,32 m²,Américaine équipée,,12 m²,5,14 m²,16 m²,15 m²,26 m²,1,Non,,,1194 m²,12 m,1100 m²,240 m²,B,RWPEB-018906.2,20 kg CO₂/m²,20950 kWh/an,Gaz,Oui,102 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",650.000 €,2.200 €,Non,"Voie des Curassiers 5
1300 - wavre",4507833,,,,,,,,1,5,3,,,12 m²,,109 kWh/m²,,Oui,3,,,,,,Non,,,,,,,,Oui,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,À définir,,1978,Excellent état,,4,Isolé,340 m²,83 m²,Oui,Hyper équipée,12 m²,5,13 m²,35 m²,12 m²,20 m²,3,16 m²,Non,,2580 m²,Connecté,2580 m²,150 m²,C,20201230008957,59 kg CO₂/m²,92182 kWh/an,Mazout,Zone non inondable,,,,Faire offre à partir de 795.000 €,,4.817 €,Non,"Rue de Wavre, 27
1300 - Wavre",4233979,,,,,,,,,2,,Oui,Oui,20 m²,Non,235 kWh/m²,,,4,,,,,,,,,,,,,,,,,,,2 août 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
