,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Prix,Revenu cadastral,Immeuble de rapport,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Adresse,Année de construction,Parkings intérieurs,Visite virtuelle,Surface du salon,Combien de feux ouverts ?,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Orientation du jardin,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrasse,Site internet,Raccordement à l'égout,Grenier,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Surface constructible totale au sol,Salles de douche,Attestation as-built,Référence externe,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Isolé,Nom de l'agent,Nombre d'annexes,Disponible le,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nom du bien
61,Après la signature de l’acte,À rafraîchir,5 m,2,,,Oui,3,,,,15 m²,11 m²,3,,,12 m²,,,,,,98 m²,,5 m,,,,,25 m²,,283 kWh/m²,,,,,,,,,,,,C,20210906-0002460457-RES-1,Non communiqué,Non communiqué,Oui,,,,,,Oui,,508 €,Non,"Grote Markt 22
2300 - Turnhout",Non,Non,Non,Zone non inondable,298.000 €,4455234,,,145 m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Après la signature de l’acte,,,4,4,,230 m²,,,,,4,,,,Non,1,2,,Non,Non,,Non,Non,1086 m²,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,417 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Non,Toutes sortes,399.000 €,,Non,Oui,Oui,,Non,Zone non inondable,,1980,2,,,1,,,,,,,,,,,Connecté,,,,,,2,,,,,,,1,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,Oui,Oui,Non,Non,Zone non inondable,"Merksplassesteenweg 18
2310 - Rijkevorsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,À rafraîchir,,,,,155 m²,Oui,,Équipée,,4,,,,Non,1,,,Non,,Oui,,,153 m²,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,468 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,249.000 €,396 €,Non,,,Non,,,"Maantjessteenweg 163-165
2170 - Merksem",,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,HR0071,Non connecté,,,,,,,,,,,,,,,,,,,,,
65,Après la signature de l’acte,,,,,,Oui,Oui,Équipée,4,,1,,,,,Oui,,,,,622 m²,,,579 kWh/m²,,,,,,,,,,,,,,,,,,,F,20150722-0001779484-1,Non communiqué,Non communiqué,Oui,,,,,,,,820 €,Non,"Cingel, 14
2350 - VOSSELAAR",Non,Non,Zone non inondable,,320.000 €,Jelle KOUWS,1967,,143 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Après la signature de l’acte,,,3,,,180 m²,Oui,Oui,Équipée,,3,,,,,1,2,Oui,,,,,,340 m²,,,,,,,,,,,,,,,,,,,162 kWh/m²,B,20210705-0002438093-RES-1,Non communiqué,Non communiqué,Gaz,Non,,Oui,,Oui,,349.000 €,964 €,Non,,,,,Zone non inondable,"Cingel, 14
2350 - VOSSELAAR",1991,,,,,,,,,,,,,Oui,,Connecté,Oui,,,,,,,,,,,Jelle KOUWS,,,,,,,,,
67,À définir,Bon,5 m,2,1,,133 m²,,,Américaine équipée,,3,20 m²,11 m²,16 m²,,1,1,,Oui,,Oui,,,74 m²,,,,,5 m,Oui,,,,Oui,,,,,,,,,257 kWh/m²,C,20210929-0002470478-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Oui,,219.000 €,,Non,Oui,Oui,Oui,Non,,"Heesakkers 2
2460 - Kasterlee",1930,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Connecté,Oui,,,,150 m²,,Non,4518238,,,,,,,,,,,,,
68,Après la signature de l’acte,,,,,,Oui,Oui,Équipée,4,,1,,,,,Oui,,,,,998 m²,,,Oui,,,,,,,,,,,,,,,,,,,F,20210831-0002458204-RES-1,Non communiqué,Non communiqué,Oui,,,,,,,,751 €,Non,"Parklaan 22 /10
2300 - Turnhout",Non,Non,Zone non inondable,,349.000 €,Valerie HERMANS,1960,,235 m²,,,,,,,,,,,753 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,Urbain,385 m²,,,,,,,,,Non,,,,Non,,,,,203 m²,Non,Non,Non,Non,,Non,,,,,,,,,,,,,251 kWh/m²,C,20141014-0001681059-00000011-5,Non communiqué,Non communiqué,Gaz,,,,,Oui,,369.000 €,2.969 €,Oui,Oui,,Non,Non,Zone non inondable,"Emiel van Dorenlaan 76
3600 - Genk",1981,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non connecté,,,,,,,,0174,,,,,,,,,,,,,
70,Après la signature de l’acte,À rénover,,,,,85 m²,,,,,1,,,,,,,,,,,,,1000 m²,,,,,,,,,,,,,,,,,,,450 kWh/m²,E,20210609-0002426830-RES-1,Non communiqué,Non communiqué,,,,Non,,Non,,250.000 €,441 €,Non,,,Non,,Zone inondable potentielle,"Lindenlaan, 17
2340 - Beerse",1954,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,Yasmine NARJIS,,,,,,,,,
71,,,,2,1,Urbain,268 m²,,,Semi-équipée,,3,,,,,2,,,,,Oui,,,510 m²,,,,,,,,,,,,,,,,,,,368 kWh/m²,D,20210907-0002461393-RES-1,Non communiqué,Non communiqué,Gaz,,,,,,,319.000 €,651 €,Non,,,,,,"Corbiestraat 42
2400 - Mol",,1,,,,,,,,,,,,,4497265,,,,,,,,,,,,,,,,,,,,,,
72,Après la signature de l’acte,,,3,2,,4,,,,,1,,,,,Non,,,,,,252 m²,,Oui,,,,,,,,,,,,,,,,,,,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,1.346 €,Non,"Grote Markt 22
2300 - Turnhout",Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,4430913,1975,1,240 m²,,,,,,,,,,325.000 €,483 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,
73,À définir,,,2,3,,3,,,,,16 m²,13 m²,6 m²,1,,14 m²,,,,,,466 m²,,Oui,,,,,,421 kWh/m²,,,,,,,,,,,,,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,622 €,Non,"Grote Markt 22
2300 - Turnhout",Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,4238565,1953,1,231 m²,,,,Non,,,,,,375.000 €,,,,,,,,,,,,Turnhout,,,,,,,,,,,,
74,Après la signature de l’acte,,,4,,,Oui,Équipée,,2,,1,,,,,Oui,,,559 m²,,,,,363 kWh/m²,,,,,,,,,,,,,,,,,,,D,20210822-0002454688-RES-1,Non communiqué,Non communiqué,Oui,,,,,,,,711 €,Non,"Parklaan 22 /10
2300 - Turnhout",Non,Non,Zone non inondable,,285.000 €,Valerie HERMANS,1975,1,131 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Fraîchement rénové,,,,,Oui,Équipée,,3,,1,,,,,Oui,,Oui,Oui,,55 m²,,,Oui,,,,,,,,,,,,,,,,,,,C,20210731-0002446947-RES-1,Non communiqué,Non communiqué,Oui,,,,,,,,384 €,Non,"Cingel, 14
2350 - VOSSELAAR",Non,Non,Zone non inondable,,239.000 €,Jelle KOUWS,,,115 m²,,,,,,,,,,,234 kWh/m²,,,,,,,,,,,,,,,,3 décembre 2021 - 00:00,,,,,,,
76,,Excellent état,,2,1,,191 m²,,,,,3,,,,,1,2,,,,,Non,,153 m²,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,290.000 €,,Non,Oui,Oui,Non,Non,Zone non inondable,"Pas 96/A
2440 - Geel",2019,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4493164,,,,,,,,,,,,,,,,,,,,,,
77,Immédiatement,À rafraîchir,,3,,,,Oui,Oui,,,2,,,,Non,,1,Oui,Non,Non,,Non,Non,60 m²,Oui,Non,Non,Non,,Non,,,,,,,,,,,,,305 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Non,Non,Non,Non,Oui,Toutes sortes,185.000 €,,Oui,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
78,,,,4,27,,,,,,,16,,,,,8,,,,,Oui,,,449 m²,,,,,,Oui,,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,1.400.000 €,,Oui,Oui,Non,Non,Non,Zone non inondable,"Grote Markt 22
2300 - Turnhout",1966,27,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,Connecté,,,,,,,,4421548,Turnhout,,,,,,,,,,,,
79,Après la signature de l’acte,À rénover,,2,,Urbain,500 m²,,,,,8,,,,,2,,,Oui,,Oui,Non,,500 m²,,,,,,Non,250 m²,,,,,,,,,,,,Non communiqué,Non communiqué,20201008-0002325360-RES-1,Non communiqué,Non communiqué,,,,,,,,545.000 €,,Non,,,,,Zone non inondable,"Heidestatiestraat 53
2920 - Kalmthout",1881,1,,,,,,,,,,,,Oui,4421780,Connecté,Oui,,,,,,,,,,,,,,,,,,,,
80,Après la signature de l’acte,Fraîchement rénové,,2,,,,,,,,3,,,,,1,,,,,,Non,,,,,,,5 m,,,,,,,,,,,,,,606 kWh/m²,F,20210930-0002470327-RES-1,Non communiqué,Non communiqué,,,,,,,,239.000 €,,Non,Oui,Non,Non,Non,Zone non inondable,"Rondplein 13/2
2400 - Mol",,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4427064,,,,,,,,,,,,,,,,,,,,,,
81,,,,2,3,,,Oui,,Semi-équipée,,1,20 m²,,,Non,1,,,Non,,,Non,,249 m²,,,,,,,,Non,Oui,Non,Oui,Oui,,Non,,,Non,,Non communiqué,Non communiqué,20120924-0001210994-00000033-7,Non communiqué,Non communiqué,Mazout,Non,,,,Oui,,750.000 €,,Non,Oui,,,Non,Zone non inondable,"Leuvensesteenweg 262 bus 1
1910 - Kampenhout",1883,1,,,,,152 m²,,,,"Oui, conforme",Non,"Zone d'habitat (résidentiel, urbain ou rural)",,VG 1950,,,,,,1000 m²,,,,,,,,,,,,,,,,
82,À définir,,,2,9,,,,,,,12,,,,,10,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,1.750.000 €,5.904 €,Oui,,,,,,"Grote Markt 22
2300 - Turnhout",,9,,,,,,,,,,,,Oui,,,,,,,,,,4269702,Turnhout,,,,,,,,,,,,
83,Selon le locataire,,,2,3,,,,,,,6,,,,,5,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,875.000 €,2.958 €,Oui,,,,,,"Grote Markt 22
2300 - Turnhout",,3,,,,,,,,,,,,Oui,,,,,,,,,,4269577,Turnhout,,,,,,,,,,,,
84,,Bon,,4,4,,193 m²,,,Équipée,,5,,,,,1,2,,Oui,,,Non,,1058 m²,,,,,,Oui,,,,,,Oui,,,,,Oui,,510 kWh/m²,F,20210917-0002465734-RES-1,Non communiqué,Non communiqué,Électrique,,,,,Oui,,549.000 €,1.411 €,Non,Oui,Oui,Non,Non,Zone non inondable,"Bredabaan 260
2930 - Brasschaat",1989,1,,,1,,,,Sud-ouest,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,25200 - MAL-21-SVR-0,,,,,,,,Non,,,,,,,,Oui,,,,,,
85,,Bon,,3,,,50 m²,,,Équipée,10 m²,1,12 m²,,,,1,1,,,,Oui,Non,,151 m²,,,,,,,,,,,,,,,,,,,641 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,165.000 €,,Non,,,,,Zone non inondable,"Parklaan 101
2300 - Turnhout",,1,,22 m²,,,,,,,,,,,19373 - 126621474,,,,,,,,Non,,,,,,,,,,,,,,
86,1960,,,1,,,,3,,1,,Oui,,,,,Oui,,,,,996 m²,,,E,,,,,,,,,,,,,,,,,,,20210610-0002427448-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,,,,,,"Antoine Coppenslaan, 12 bus 2
2300 - Turnhout",Johnny VAN LAER,Non,Zone non inondable,140.000 €,,562 €,,3,Oui,Équipée,,,,,,,,,,,,,,461 kWh/m²,,,,,,,,,,,,,,,Non,"nl :
zat. tssn 10u-12u, vanaf zat. 2/10 tem zat. 30/10",Immédiatement,Non,,
87,Selon le locataire,Excellent état,,3,2,,185 m²,,,Équipée,15 m²,3,24 m²,16 m²,11 m²,,1,2,,,,,Non,,1185 m²,,,,,8.59 m,Oui,,,,,,,,,,,,,342 kWh/m²,D,20210415-0002401289-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Oui,,445.000 €,,Non,Oui,Oui,Non,Non,Zone non inondable,"Lierselei 13/1
2390 - Oostmalle",2005,1,,35 m²,,,,,Sud-est,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,34364 - MAL-21-SVR-0,,,,,,,1,Non,,,,,,,,Oui,,,,,,
88,À définir,Bon,,4,,,130 m²,,Oui,Équipée,6 m²,3,18 m²,9 m²,8 m²,,1,2,,,,,Non,,800 m²,,,,,,Oui,,,,,,,,,,,,,242 kWh/m²,C,20210802-0002447293-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Oui,,490.000 €,,Non,Oui,Oui,Non,Non,Zone non inondable,"Lierselei 13/1
2390 - Oostmalle",1996,,,,,,,,Sud-ouest,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,36189 - MAL-21-JTI-0,,,,,,,,Non,,,,,,,,Oui,,,,,,
89,À définir,Bon,,4,2,,164 m²,,,Équipée,,2,,,,,1,2,,,,,Non,,,,,,,,Oui,,,,,,,,,,,,,136 kWh/m²,B,20190516-0002160828-RES-1,Non communiqué,Non communiqué,Gaz,,,,,,,449.000 €,,Non,Oui,Oui,Non,Non,Zone non inondable,"Lierselei 13/1
2390 - Oostmalle",1997,,,,,,,,Sud,,,,Zone d'extension d'habitat,,36438 - MAL-21-JTI-0,,,,,,,,Non,,,,,,,,Oui,,,,,,
90,,Excellent état,21.5 m,4,4,Pays,510 m²,,,Équipée,,5,,,,,3,5,,Non,,,Non,Non,1780 m²,,,,,32 m,Non,,,,,,,,,,,,,163 kWh/m²,B,20190830-0002189901-RES-1,Non communiqué,Non communiqué,,,,,,Oui,Villa,875.000 €,2.581 €,Non,Oui,Oui,Non,Non,Zone non inondable,"Vrijheid, 205
2320 - Hoogstraten",2009,,,,,,4 m²,,Sud-est,,,,Zone d'extension d'habitat,,02/9382,Non connecté,,,,,,,,,,,,,,,Oui,,,,,,
91,,À rénover,,4,,Urbain,165 m²,,,Semi-équipée,,4,,,,,1,1,,,,,Non,,565 m²,,,,,,,350 m²,,,,,,,,,,,,663 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,,,275.000 €,827 €,Non,Oui,Oui,Non,Non,Zone non inondable,"Kortrijksesteenweg 1121 Bus 0003
9051 - Gent",1967,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,SAS-21167,,,,,,,,,,,,,,,,,,,,,,
92,À définir,Excellent état,7 m,3,3,,274 m²,Oui,Oui,Équipée,24 m²,3,18 m²,14 m²,11 m²,Non,1,3,Oui,Oui,Oui,,Non,Non,790 m²,Non,Non,Non,Non,10 m,Oui,1 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,13037-G-8128/EP16090/A000/DO1/SD001,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Oui,,498.000 €,761 €,Non,Oui,Oui,Oui,Non,Zone non inondable,,2014,1,,,1,,,,Sud-est,26 m²,Non,Non,,,,Connecté,Oui,,,,,1,"Oui, conforme",,,68,Oui,,,,,,,,,Est,
93,,Bon,,2,,Urbain,227 m²,,Oui,,,3,,,,,1,,,,,,Non,,280 m²,,,,,,Oui,,,,Oui,,Oui,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,249.000 €,,Non,Oui,Non,Non,Non,Zone non inondable,"Lierselei 13/1
2390 - Oostmalle",1959,,,,1,,,,,,,,,Oui,39221 - MAL-21-SVR-0,,,,,,,,Non,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,Oui,Oui,Non,Non,Zone non inondable,"Merksplassesteenweg 18
2310 - Rijkevorsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Après la signature de l’acte,Bon,,3,5,,210 m²,,,Hyper équipée,,3,,,,,1,2,,Oui,,Oui,Non,,740 m²,,,,,,Oui,,,,,,,,,,,,,429 kWh/m²,E,20141024-0001687255-00000014-6,Non communiqué,Non communiqué,Gaz,,,,,Oui,,379.000 €,466 €,Non,Oui,Oui,Non,Non,Zone non inondable,"Vrijheid 204
2320 - Hoogstraten",1969,1,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4514669,Connecté,,,,,,,,,Rijkevorsel,,,,,,,,,,,,
96,,Bon,18 m,4,5,,Oui,Équipée,,4,,1,,,,,2,Non,,Non,,,Non,3555 m²,24.86 m,,,,,Non connecté,3283 m²,Est,,,,,,,,,,,,C,2316100,Non communiqué,Non communiqué,Oui,,,,,,Oui,,1.777 €,Non,"Vrijheid, 205
2320 - Hoogstraten",Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,02/9311,1980,1,333 m²,,,,,,221 kWh/m²,,,,749.000 €,,,Non,,,,,,,,,,,,,,,,,,,,,
97,À définir,Excellent état,,4,5,Urbain,533 m²,,Oui,Hyper équipée,20 m²,4,20 m²,12 m²,12 m²,,2,,,Oui,,,,,3000 m²,,,,,,Oui,2000 m²,,,,,Oui,,,,,,,721 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,1.150.000 €,,Non,Oui,,,,Zone non inondable,"Antwerpsesteenweg 164
2350 - Vosselaar",1965,3,,80 m²,,150 m²,,,,200 m²,,,,,4349465,,,12 m²,,20 m²,,,,,Turnhout - Hoogstraten,,,,,,,,,,,,
98,Après la signature de l’acte,À rafraîchir,,4,5,,220 m²,,,,,3,,,,,1,,,,,,Non,,1004 m²,,,,,,Oui,,,,,,,,,,,,,288 kWh/m²,C,20211001-0002471246-RES-1,Non communiqué,Non communiqué,,,,,,Oui,,310.000 €,946 €,Non,Oui,Non,Non,Non,Zone inondable potentielle,"Vrijheid 204
2320 - Hoogstraten",1994,1,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4514670,Connecté,,,,,,,,,Rijkevorsel,,,,,,,,,,,,
99,,,10 m,4,3,,2,,,,,1,,,,,2,Non,,115 m²,,,Non,2637 m²,Non connecté,,,,,,Oui,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Oui,,1.762 €,Non,"Vrijheid, 205
2320 - Hoogstraten",Non,,Non,Zone non inondable,Zone d'extension d'habitat,02/9312,2013,,348 m²,,,,Non,,82.46 kWh/m²,,,,699.000 €,,,Non,,,,,,,,,,,,,,,Est,,,,,,
100,Après la signature de l’acte,,,4,5,,110 m²,,,Équipée,,3,,,,,1,,,,,,Non,,970 m²,,,,,,Oui,,,,,,,,,,,,,579 kWh/m²,F,20210831-0002458579-RES-1,Non communiqué,Non communiqué,,,,,,Oui,,Faire offre à partir de 320.000 €,632 €,Oui,Oui,Non,Non,Non,Zone non inondable,"Vrijheid 204
2320 - Hoogstraten",1975,1,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4447275,Connecté,Oui,,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,À rafraîchir,,3,,,,,,,,3,,,,Non,1,,,Non,Non,Oui,Non,Non,338 m²,Non,Non,Non,Non,,Oui,1 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Non,Toutes sortes,315.000 €,,Non,,,,,,,1971,,,,,,,,,,,,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,
102,,,,,8,,,,,,,,,,,,,,,,,,,,6143 m²,,,,,,Non,,,,,,,,,,,,,82.46 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,,,,Non,,1.375.000 €,,Non,Oui,Oui,Non,Non,,"Vrijheid, 205
2320 - Hoogstraten",1980,1,,,,,,,Est,,,,Zone d'extension d'habitat,,02/9302,Non connecté,,,,,,,,,,,,,,,Oui,,,,,,
103,Après la signature de l’acte,Excellent état,,4,1,,176 m²,,,Hyper équipée,12 m²,3,16 m²,16 m²,9 m²,,1,,,,,Oui,Non,,353 m²,,,,,,Oui,,,Non,Oui,,,,,,,,,339 kWh/m²,D,0002411275,Non communiqué,Non communiqué,Gaz,,,,,Oui,,395.000 €,681 €,Non,Oui,Non,Non,Non,,"Handelslei 50
2980 - St Antonius Zoersel",1960,,,32 m²,,,,,,32 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,4507364,Connecté,Oui,,,,,,,,,,,,,,,,,,,,
104,,À rénover,,4,,,47 m²,,,,,2,,,,,1,,,,,,Non,Non,498 m²,,,,,,Oui,,,,,,,,,,,,,384 kWh/m²,D,20150702-0001774766-1,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Oui,,245.000 €,379 €,Non,Oui,Non,Non,Non,Zone non inondable,"Vrijheid 147
2320 - Hoogstraten",1974,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Connecté,,,,,,,,,,384,,,,,,,,,,,
105,À définir,Bon,,3,,,155 m²,,Oui,,9 m²,3,,,,,1,,,,,Oui,Non,Non,251 m²,,,,,,Oui,,,,,,,,,,,,,379 kWh/m²,D,20160928-0001898240-1,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Oui,,315.000 €,733 €,Non,Oui,Non,Non,Non,Zone non inondable,"Vrijheid 147
2320 - Hoogstraten",1953,,,28 m²,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Connecté,,,,,,,,,,379,,,,,,,,,,,
106,À définir,Bon,,4,,,Oui,,4,,,2,,,,,Oui,,,,,Non,Non,462 kWh/m²,Connecté,,,,,,Non,,,Non,Oui,,Non,,,,,,,E,2409822,Non communiqué,Non communiqué,462,Non,Oui,Oui,Non,Oui,Oui,,Non,,"Vrijheid 147
2320 - Hoogstraten",Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,1980,,425 m²,,,,,,,,,,675.000 €,,,Oui,,,,,,,,,,Électrique,,,,,,,,,,,
107,À définir,,15.5 m,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",261 m²,,,,16 m²,3,18 m²,18 m²,17 m²,,1,,,,,Oui,,,929 m²,,,,,30 m,Non,,,,,,,,,,,,,279 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,419.500 €,,Non,Oui,Oui,Non,Non,Zone non inondable,"Handelslei 50
2980 - St Antonius Zoersel",1982,2,,46 m²,,,,,,,,,Zone d'extension d'habitat,Oui,4533865,,Oui,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,Bon,,4,6,"Zone d'habitat (résidentiel, urbain ou rural)",533 m²,,,Hyper équipée,,4,,,,,2,,Oui,Oui,Oui,,,,3000 m²,,,,,,,,,,,,,,,,,,,422 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,,,,1.150.000 €,,,Oui,Non,Non,Non,,"Wontergemstraat 3
9810 - Eke",1967,2,,,1,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Kristof Welleman,,,,,,,,,,,,,,,,,,,,,,Dokterswoning H
109,Après la signature de l’acte,Excellent état,22 m,4,8,Pays,308 m²,Oui,Oui,Équipée,,3,23 m²,21 m²,21 m²,Oui,1,2,,Oui,Oui,,Non,Non,2667 m²,Oui,Non,Non,Oui,66 m,Non,2400 m²,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,13014-G-2007_3196/EP00115/M709/D01/SD001,151 kg CO₂/m²,Non communiqué,Pellets,Non,Oui,Non,Non,Oui,Villa,1.090.000 €,1.929 €,Non,Oui,,,Non,Zone non inondable,,2008,3,,,1,200 m²,171 m²,86 m²,Sud,,Non,,,,,,,,,33 m²,171 m²,1,,,,94,Oui,,1,,,,,,,,
110,,,,,5,,,,,,,3,,,,Non,2,3,,Non,,,Non,,310 m²,Non,Non,Non,Non,,Non,2859 m²,Non,Non,Non,Oui,Oui,,Oui,,,Non,,Non communiqué,Non communiqué,in afwachting,Non communiqué,Non communiqué,,,,,,Non,Toutes sortes,900.000 €,1.426 €,Non,Oui,Oui,Non,Oui,,"Gaversesteenweg 376
9820 - Merelbeke.",2011,,,,,,,,Sud,,,Non,Zone d'intérêt paysager,,35993376,Non connecté,,,,,310 m²,,,,,,,,,,,,,,,,
111,120 m²,,,,,,1,,,,,1177 m²,,,,,743 kWh/m²,,,,,,,,F,,,,,,,,,,,,,,,,,,,20210530-0002422207-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,,,,,"Burgemeester J. Van Aperenstraat, 8
2320 - HOOGSTRATEN",Jasmine BROSENS,,Zone non inondable,135.000 €,,368 €,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
vanaf zat. 25/09 t.e.m. zat. 30/10 tussen 10u en 12u",Immédiatement,Non,,
112,,Fraîchement rénové,,4,4,,,,,Équipée,,4,,,,,1,2,,Oui,,,Non,,711 m²,,,,,,,,,,,,Oui,,,,,,,245 kWh/m²,C,20181008-0002097214-1,Non communiqué,Non communiqué,Mazout,,,,,Oui,,575.000 €,,Non,Oui,,Non,,Zone non inondable,"Bredabaan 260
2930 - Brasschaat",2008,,,,1,,,,Sud-est,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,23648 - MAL-21-SVR-0,,,,,,,,Non,,,,,,,,Oui,,,,,,
