,État du bâtiment,Nombre de façades,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Revenu mensuel actuel,Adresse,Référence externe,À partir de,Permis de bâtir obtenu,Autorisation de lotissement,Surface du salon,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Pompe à chaleur,Double vitrage,Largeur de la façade à rue,Buanderie,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Obligation de construire,Site internet,Parkings intérieurs,Surface de la cave,Surface du grenier,Surface de la terrasse,Année de construction,Accès sécurisé / alarme,Interphone vidéo,Type d’environnement,Disponible le,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salon,Salle à manger,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Jardin,Visite virtuelle,Surface de la chambre 5,Nom du bien,Quartier ou lieu-dit,Parkings extérieurs,Surface de bureau,Surface de l'espace professionnel,Grenier,Salles de douche,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface constructible totale au sol,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Pourcentage loué,Vue sur mer,Nombre d'annexes
139,,2,194 m²,Équipée,19 m²,2,16 m²,16 m²,,,1,2,Oui,Non,,,411 kWh/m²,E,1733277-2,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",420.000 €,,Non,,"Keizerstraat 18B
2800 - Mechelen",1699130 - 345345888,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Bon,2,140 m²,Équipée,12 m²,5,15 m²,14 m²,14 m²,12 m²,1,1,,Non,125 m²,4 m,402 kWh/m²,E,20210527-0002421146-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,438 €,Non,,,,Après la signature de l’acte,Oui,,33 m²,Non,Connecté,Oui,52 m²,Nord-est,Non,Oui,4 m,Oui,Non,Oui,Non,Non,Non,,Non,,,20 m²,10 m²,28 m²,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,Nord-est,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,,,,,10 m²,,,,,,,1,,,,,59 m²,,,,,,,,,,,,
141,Bon,2,135 m²,Semi-équipée,,2,,,,,1,1,Oui,Non,113 m²,,471 kWh/m²,E,20181104-0002105002-1,Non communiqué,Non communiqué,,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,283 €,Non,,,,Après la signature de l’acte,,,,Non,Connecté,Oui,15 m²,Sud-est,Non,Oui,,,Non,Oui,Non,Non,Non,,,,,,,3 m²,,Non,Non,Urbain,,Non,Non,Sud-est,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,Oui,1
142,Excellent état,2,115 m²,Hyper équipée,12 m²,2,16 m²,17 m²,,,2,2,,Non,110 m²,,228 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,Zone non inondable,,310.000 €,448 €,Non,,,,,,,12 m²,Non,Connecté,Oui,44 m²,Est,Non,Oui,,,Non,Non,Non,Non,Non,,,,,18 m²,,,,Non,Non,,,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Toutes sortes,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Excellent état,2,146 m²,Équipée,17 m²,3,16 m²,16 m²,12 m²,,1,1,,Non,166 m²,,483 kWh/m²,E,20210901-0002458754-RES-1,Non communiqué,Non communiqué,,Gaz,,,Zone non inondable,,325.000 €,,Non,,,,À définir,,,17 m²,Oui,Connecté,Oui,80 m²,,Non,Oui,,,Non,Oui,Non,Non,Non,,,,,23 m²,,,1948,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Non,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Bon,2,38 m²,16 m²,4,18 m²,11 m²,7 m²,21 m²,1,2,11 m²,,,6 m,Connecté,B,0002461195,Non communiqué,Non communiqué,Gaz,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,,"Olivetenvest 1
2800 - Mechelen",,4489588,,Après la signature de l’acte,Non,Non,Américaine hyper-équipée,,Oui,32 m²,,,,Oui,6 m,,110 m²,,,,,,,,,,,198 kWh/m²,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,182 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,
145,,3,178 m²,Équipée,,5,,,,,2,2,,Non,3489 m²,,115 kWh/m²,B,12025-G-2012/0384/EP10597/A001/D01/SD001,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,2.316 €,Non,,"Houtestraat 62
2800 - Mechelen",,,Oui,,,,,,,,,Oui,,,,,,,,,,866 - 9230320,17,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,À rafraîchir,,110 m²,Semi-équipée,14 m²,3,14 m²,13 m²,15 m²,,,1,,Non,,,377 kWh/m²,D,20200918-0002317046-RES-1,Non communiqué,Non communiqué,,Gaz,,,Zone non inondable,,296.000 €,,Non,,"Veemarkt 19
2800 - Mechelen",,À définir,,,27 m²,Non,Connecté,Oui,4800 m²,Nord-est,Non,Oui,,,,,,,,,,,,,,20 m²,,,,,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
147,Bon,,154 m²,Hyper équipée,24 m²,3,12 m²,14 m²,10 m²,,,2,Oui,Non,,,192 kWh/m²,B,20210505-0002411695-RES-1,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,,Non,,"Veemarkt 19
2800 - Mechelen",,À définir,Oui,Non,36 m²,Non,Connecté,Oui,50 m²,Sud-ouest,Non,Oui,,,,,,,,,,,,,,11 m²,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Bon,2,100 m²,,,2,,,,,1,,,Non,40 m²,4 m,160 kWh/m²,B,20210528-0002419311-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",295.000 €,292 €,Non,,"F. De Merodestraat, 111
2800 - Mechelen",,Après la signature de l’acte,,Non,,,Connecté,Oui,,,Non,Oui,4 m,,,,,,,Oui,,D.2021.09.31,,,,,1899,,,,,,Non,,,,,,,,,,,160,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,À rénover,2,882 m²,Semi-équipée,11 m²,4,21 m²,21 m²,16 m²,16 m²,2,5,Oui,Non,320 m²,,479 kWh/m²,E,2390514-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.200.000 €,,Oui,3450,"Keizerstraat 18B
2800 - Mechelen",1697891 - 345345893,,,,,,,,,,,,,,,,,,,,,,,,,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Fraîchement rénové,2,110 m²,Équipée,17 m²,3,9 m²,11 m²,,,1,1,,Non,,,204 kWh/m²,C,20180115-0002024716-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",298.000 €,487 €,Non,,"Tiensestraat 265
3000 - Leuven",,,Oui,Non,17 m²,Non,,,,Ouest,Non,Oui,4.5 m,,Non,,,,,,Non,Amblèvestr. 11 tk,,,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,Non,,Oui,,,,,,,,,1,,,,,,,,,,,,,,,,,
151,,4,294 m²,Équipée,24 m²,4,24 m²,20 m²,20 m²,20 m²,1,2,,Non,537 m²,20 m,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",945.000 €,,Non,,"Befferstraat 14
2800 - Mechelen",,,Oui,Oui,62 m²,,,,,,,Oui,12 m,,,,,,,,,1699272 - 1,,,,24 m²,2021,,,,1 mars 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Bon,2,264 m²,,,4,,,,,1,,,Non,191 m²,6 m,336 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",530.000 €,2.379 €,Oui,,"Putsebaan 6
3140 - Keerbergen",,À définir,Oui,Non,,,Connecté,Oui,,,,Oui,6 m,,,,,,,Oui,,4400134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mechelen en omgeving,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,,,,,Non,,"Kalverenstraat
2800 - Mechelen",,À définir,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Fraîchement rénové,2,3,,,16 m²,10 m²,10 m²,1,,2,Non,,160 m²,Non,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,349.000 €,Non,,"Keizerstraat 4
2800 - Malines",,4529851,,Immédiatement,,,,,,80 m²,20 m²,,,Non,,,,,,,,,,,,,,158 kWh/m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,135 m²,,,Mechelen en Direkte omgeving,,,,,,,,,,,,,,,,,,,,,,
