,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Toilettes,Surface de l'espace professionnel,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Dressing,Salles de bains,Bureau,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Permis de bâtir obtenu,Obligation de construire,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Cave,Mise à prix,Parkings intérieurs,Salle à manger,Salles de douche,Surface constructible totale au sol,Buanderie,Surface de bureau,Nom de l'agent,Attestation as-built,Combien de feux ouverts ?,Niveau E (performance énergétique globale),Disponible le,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Référence externe,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Charges mensuelles,Nombre d'annexes,Nom du bien
108,,,,,,,,,,,,11 m²,2,14 m²,11 m²,,,,1,,,,130 m²,,Non connecté,Oui,,Oui,458 kWh/m²,E,20210909-0002462134-RES-1,Non communiqué,Non communiqué,Oui,,,,,,259.000 €,441 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,Non,1,Non,,Gaz,,,,,20 m²,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,Galgstraat 6,,,,,,,,
109,,,,,,,,,,,Pas équipée,,3,,,,,,1,,,Non,140 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,315.000 €,307 €,Non,"Rue de Bruxelles 295 A
1480 - Tubize",4626 - 87459899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,1,,,,,Non,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,3,,,,,,,,,,150 m²,,Non connecté,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,344.900 €,,Non,"206 Moorselestraat
8930 - Menen",,Non,,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,DVL-Sint-Pieters-Lee,,,,,,,,
111,Selon le locataire,,1930,Excellent état,9.42 m,3,,Isolé,315 m²,38 m²,Américaine hyper-équipée,38 m²,5,30 m²,25 m²,18 m²,18 m²,13 m²,4,,Oui,Non,523 m²,9.42 m,Connecté,Oui,450 m²,,188 kWh/m²,B,20130421-0001348507-00000024-9,188 kg CO₂/m²,Non communiqué,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",550.000 €,907 €,Non,"Avenue des Cerisiers, 95
1200 - Woluwe-St-Lambert",4419369,,2,Oui,,Gaz,,Oui,,,,,,40 m²,,Non,Non,Oui,,,Non,,Oui,,,,,,,,,,,,,,Oui,,,Oui,2,317 m²,,13 m²,,,,,15 juillet 2021 - 00:00,,,,,,,,,,1 €,,
112,Après la signature de l’acte,,1890,Excellent état,,4,8,"Zone d'habitat (résidentiel, urbain ou rural)",152 m²,Oui,40 m²,5,16 m²,15 m²,14 m²,12 m²,10 m²,2,Non,,,2004 m²,Connecté,,Oui,Oui,,252 kWh/m²,C,20200623-0002285521-RES-1,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",950.000 €,3.194 €,Non,"Rue Picard (Gare Maritime), 7
1000 - Brussel",4368879,,,3,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650 m²,,,,,Hyper équipée,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Bruxelles SUD,1890,Excellent état,,4,10,,650 m²,152 m²,,40 m²,5,,,,,,3,,,Non,2003 m²,,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,950.000 €,,Oui,"Avenue Des Aubépines 11
1180 - Uccle",,,2,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4368589,,,,,,,,
114,,,1875,,,2,,,123 m²,,,,3,,,,,,,,,Non,448 m²,,,,,,665 kWh/m²,F,2433977,Non communiqué,Non communiqué,,,,,,,279.000 €,342 €,Non,"Volpestraat 18
1500 - Halle",2589 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
115,Après la signature de l’acte,,,Bon,,3,1,,130 m²,36 m²,Hyper équipée,24 m²,2,18 m²,18 m²,,,,1,,,,,,,,112 m²,,585 kWh/m²,F,20120714-0001168208-00000016-0,Non communiqué,Non communiqué,Oui,,,,,,299.000 €,,Non,"Avenue François Sebrechts 26
1080 - Molenbeek",4340021,,1,,,Gaz,,,,,,,,19 m²,,Non,Non,Oui,,,Non,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
116,,,1900,,,2,,,123 m²,,,,2,,,,,,,,,Non,90 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,280.000 €,453 €,Non,"Volpestraat 18
1500 - Halle",2532 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
117,,,,2,,Urbain,,Oui,,,1,,1,,,,,,457 kWh/m²,,,,,,,,,,20210730-0002446650-RES-1,Non communiqué,Non communiqué,Gaz,Non,Non,Zone non inondable,175.000 €,,468 €,,,"Hendrik Consciencestraat, 31
1600",Kris DELCOUR,,,,Oui,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,"nl :
(vanaf 1/9 tem 25/9) : woens. v. 14-16u.en zat. v. 10-12u. . MONDMASKER VERPLICHT - hydro-alcoholische GEL niet aanwezig.",18 novembre 2021 - 00:00,Oui,Équipée,E,Non,,4,,,,,,,,,À rafraîchir,,,,,,,,,,,,
118,Selon le locataire,,1970,Bon,,2,,,386 m²,,,,10,,,,,,5,,,Non,988 m²,,Connecté,Oui,,,425 kWh/m²,E,Certificaat-20210624-0002433448-RES-1.pdf,Non communiqué,Non communiqué,Oui,,,,,,1.285.000 €,5.659 €,Oui,"Sint-Annalaan 209
1853 - Strombeek-Bever",4370762,,5,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,21,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,,1969,Fraîchement rénové,9 m,3,1,,307 m²,17 m²,Semi-équipée,10 m²,3,20 m²,17 m²,10 m²,,,2,,,Non,326 m²,9 m,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,425.000 €,2.074 €,Non,,,Non,1,Oui,"Oui, conforme",Mazout,Non,Oui,,52 m²,77 m²,,,13 m²,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,1,Oui,,,,5 m²,,,,,,,,,,,Non,Non,Non,Oui,,,
120,À définir,,,Excellent état,,3,1,,125 m²,,,,3,,,,,,1,,,Non,,,,,,,152 kWh/m²,B,202105050002411104-RES-1,Non communiqué,Non communiqué,Oui,,,,,,Faire offre à partir de 299.000 €,,Non,"Rue de Mons 63
1480 - Tubize",,,1,,,Gaz,,,,,,,,,,Non,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4446204,,,,,,,,
121,,,,Excellent état,,3,,,220 m²,,,,3,,,,,,,,,,,,Connecté,,,,416 kWh/m²,E,20161007-0001900963-1,Non communiqué,Non communiqué,,,,,,,450.000 €,,Oui,"Rue de Mons 63
1480 - Tubize",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4529624,,,,,,,,
122,,,1930,À rafraîchir,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,25 m²,Semi-équipée,9 m²,4,14 m²,11 m²,8 m²,8 m²,,2,,,Non,100 m²,,,Oui,,,643 kWh/m²,F,20210316-0002388443-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",209.000 €,446 €,Non,"Brusselsesteenweg 45
1500 - Halle",515 - 251,,1,,,Électrique,,Oui,,6 m²,,Oui,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,,,
123,Après la signature de l’acte,,,Excellent état,,2,,Urbain,105 m²,30 m²,Équipée,9 m²,3,11 m²,15 m²,13 m²,,,1,,,Non,80 m²,4.88 m,,,,,377 kWh/m²,D,20210210-0002372093-RES-1,Non communiqué,Non communiqué,Oui,,,,,Zone d'extension d'habitat,310.000 €,743 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1771,Non,1,Non,Non,Gaz,Non,,Non,,,,,15 m²,Non,Non,Non,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,1,,,80 m²,,,,,,,,,,,,,,,,,,,
124,À définir,,,Bon,9 m,2,,,212 m²,19 m²,Semi-équipée,28 m²,4,22 m²,18 m²,15 m²,10 m²,,3,,Oui,,293 m²,,Connecté,Oui,,,295 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,410.000 €,589 €,Non,"Chaussée de Waterloo 33
1060 - St-Gilles",,,2,Oui,,Gaz,,,,,,,,84 m²,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,Oui,2,,,7 m²,,,,,,,,,4158348,,,,,,,,
125,Après la signature de l’acte,,2010,Excellent état,8.52 m,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,35 m²,Américaine hyper-équipée,15 m²,5,40 m²,17 m²,13 m²,11 m²,10 m²,2,,,,495 m²,8.52 m,Connecté,Oui,400 m²,,71 kWh/m²,A,20210318-0002387755-RES-1,897 kg CO₂/m²,Non communiqué,Oui,,,,,,630.000 €,,Non,"Olmenlaan 37,
1750 - Lennik",,,2,,,,,,,,,,,20 m²,,,,,Oui,,,,,,,,,,Oui,,,,,,,,,,1,,,250 m²,,,,,,,,,,,4446992,,,,,,,,
126,Après la signature de l’acte,,,,,3,,,,,Équipée,,5,,,,,,,,,Non,1000 m²,,,Non,1000 m²,,Non communiqué,Non communiqué,20210923-0002467775-RES-1,Non communiqué,Non communiqué,Oui,,,,,,395.000 €,706 €,Non,,,Non,1,Oui,,Gaz,Non,,,,,,Sud-ouest,20 m²,,,,,,,,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,,,,,,Oui,Oui,,,Oui,,,,,,,,,,Sud-ouest,,,,,,,,,,,
127,Après la signature de l’acte,,,Excellent état,,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",297 m²,45 m²,Hyper équipée,15 m²,3,15 m²,13 m²,13 m²,,,2,25 m²,,Oui,2757 m²,25 m,,Oui,2000 m²,Oui,220 kWh/m²,C,201204250001104828000000064,Non communiqué,Non communiqué,Oui,,,,,,1.600.000 €,2.376 €,Non,"de Limburg Stirumlaan 166
1780 - Wemmel",4514993,,1,Oui,,Gaz,,,,,,,,,,Non,,Oui,Oui,Oui,Oui,,Oui,,,,,,,,,,,,,,,,1,Oui,,,,15 m²,,,,,,,,,,,,,,,,,
128,À définir,Vlezembeek,2005,Excellent état,14 m,4,8,"Zone d'habitat (résidentiel, urbain ou rural)",360 m²,55 m²,Hyper équipée,21 m²,7,26 m²,23 m²,23 m²,21 m²,17 m²,3,,,Non,1896 m²,20.65 m,Connecté,Oui,1300 m²,,196 kWh/m²,B,202109300002470992-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",825.000 €,,,"Nieuwrodese Steenweg 21
3200 - Aarschot",,,2,Oui,,Gaz,,Oui,,,65 m²,,Sud-est,60 m²,,,,Oui,,,,,Oui,,,,Oui,,,,,,,,,,,,1,Oui,1,,Oui,14 m²,,,,,,,,,,,,Oui,,,,1,
129,Après la signature de l’acte,Nabij Erasme & Golf Anderlecht,2012,Excellent état,,4,5,"Zone d'habitat (résidentiel, urbain ou rural)",300 m²,,,,3,,,,,,2,,,,2750 m²,,Connecté,Oui,,,220 kWh/m²,C,20120425-0001104828-00000006-4,6 kg CO₂/m²,Non communiqué,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.600.000 €,2.745 €,,"Nazarethstraat 6
9840 - De Pinte",,,1,,,,,Oui,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,1,,1,,,,patrick landuyt,Non,,,,,,,,,,Oui,,,,,Luxury Home
130,À définir,,,Excellent état,,2,1,,104 m²,24 m²,Américaine hyper-équipée,12 m²,2,22 m²,10 m²,,,,2,,Oui,,65 m²,9 m,,,,,250 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,280.000 €,329 €,Non,"Oudesmidsestraat 20
1700 - Dilbeek",4447610,,1,,,,,,,,,,,46 m²,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
131,,,2012,,6.5 m,2,,,245 m²,,,,2,,,,,,,,,Non,72 m²,6.5 m,Connecté,Oui,,,Non communiqué,Non communiqué,23077-G-2012/00030/EP11394/SV/A001/D01,Non communiqué,Non communiqué,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",625.000 €,,Oui,"Bergensesteenweg 89
1500 - Halle",KD/0020/TK/02/2021,,,Non,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,Oui,,,,,,72 m²,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,,2002,Excellent état,7 m,2,,Urbain,30 m²,Équipée,9 m²,3,1,,,,,,,,Non,1 m²,Connecté,,Non,13 m²,,,B,20210011-0002450497-RES-1,4 kg CO₂/m²,Non communiqué,Gaz,53 m²,,,,Faire offre à partir de 330.000 €,,Non,,"Place Communale 8
1160 - Auderghem",4517822,,,3 m²,,,Oui,,,,Oui,,,,Non,,Non,Oui,Non,,,165 kWh/m²,,,,,,,,,,,,,,125 m²,,,,,,,Zone non inondable,,,,,,,1 janvier 2022 - 00:00,,,,,,,,,,,,
133,Après la signature de l’acte,,1932,À rénover,,2,,,144 m²,,Semi-équipée,10 m²,3,20 m²,18 m²,12 m²,,,,,,Non,125 m²,,,Oui,,,477 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,Zone inondable potentielle,,280.000 €,480 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6647 - 3310,,,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,,,
134,Après la signature de l’acte,Drogenbos - Shopping,1980,Bon,6 m,2,1,Urbain,150 m²,30 m²,Hyper équipée,10 m²,3,31 m²,13 m²,14 m²,,,2,,,Non,,6 m,Connecté,Non,100 m²,,606 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 300.000 €,1.070 €,Non,"Rue de la Loi 223 Bte 2
1040 - Bruxelles",4408199,,1,,,Électrique,,Oui,,,,,,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,1,,,12 m²,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,,1965,À rafraîchir,,2,,,130 m²,,Pas équipée,11 m²,3,18 m²,16 m²,6 m²,,,,,,Non,271 m²,,,,,,466 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,398.000 €,1.244 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6500 - 3200,,1,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,,,,,,,Non,,,,,,,,,,,,,,,
136,Immédiatement,,,À rénover,,2,,,100 m²,16 m²,Pas équipée,,3,,,,,,1,,,Non,148 m²,,,,,,492 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,289.000 €,,Non,"Postweg 119
1602 - Vlezenbeek",,,,,,Gaz,,,,,,Oui,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,1,,,,,Non,,,,,,,1704 - 6826830,,,,,,,,
137,Après la signature de l’acte,,,Bon,,2,,,116 m²,15 m²,,15 m²,2,15 m²,14 m²,,,,2,,Oui,,140 m²,4 m,Connecté,Oui,,,260 kWh/m²,C,Certificaat-20210420-0002403852-RES-1,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,309.000 €,535 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",4329634,,2,,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,1,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,,,Bon,,2,,,150 m²,33 m²,,23 m²,3,14 m²,13 m²,12 m²,,,2,27 m²,,,212 m²,5.3 m,Connecté,Oui,,Oui,457 kWh/m²,E,2355949,Non communiqué,Non communiqué,Oui,,,,,,459.000 €,,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",4230462,,1,Oui,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,,
139,,,1930,Bon,,2,,,15 m²,Oui,,3,1,,,,,,,,,Non,Connecté,,Oui,9 m²,,,D,20150730-0001781237-1,Non communiqué,Non communiqué,370,Non,Non,Non,Zone inondable potentielle,Zone agricole,350.000 €,734 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",362,,,32 m²,,,Non,Non,,,Non,,,,Non,,Non,Oui,,Non,,,,370 kWh/m²,,,,,Non,Non,Oui,,,,,94 m²,,,,,14 m²,,,,,,,,Gaz,,,,,,,,,,,,,
140,Après la signature de l’acte,,1880,À rénover,,4,,"Zone d'habitat (résidentiel, urbain ou rural)",324 m²,20 m²,Pas équipée,20 m²,5,20 m²,20 m²,20 m²,20 m²,20 m²,2,25 m²,,Non,4953 m²,,Connecté,Oui,,,845 kWh/m²,F,20210621-0002432132-RES1,Non communiqué,Non communiqué,Non,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.250.000 €,2.830 €,Non,,,Non,1,Oui,,Gaz,Non,,,75 m²,75 m²,,,,,,,,,,,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,Oui,20 m²,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,,À rénover,,3,,,196 m²,,,,4,,,,,,3,,Oui,Non,700 m²,,,Oui,1 m²,,458 kWh/m²,E,20180622-0002070280-1,458 kg CO₂/m²,Non communiqué,Oui,,,,,,440.000 €,808 €,Non,,,Non,1,Non,,Gaz,Non,,,,,,,1 m²,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Toutes sortes,,,,,Oui,Oui,,,Oui,2,,,,,,1,,,,,,,,Non,Non,Non,Non,,,
142,Après la signature de l’acte,,1960,Excellent état,17 m,4,,,540 m²,68 m²,Américaine hyper-équipée,52 m²,5,36 m²,24 m²,24 m²,22 m²,16 m²,7,,,,2000 m²,,Connecté,,1800 m²,,105 kWh/m²,B,20210319-0002386170-RES-1,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,,3.250.000 €,,Non,"Bld. Brand Whitlock 108
1200 - Woluwe-Saint-Lambert",,,5,Oui,,Gaz,,,,,,,,70 m²,,Non,Non,,Oui,Oui,Oui,,Oui,,,,,,,,,,,,,,Oui,,,,1,,,10 m²,,,,,1 avril 2021 - 00:00,,,,4320771,,,,,,,,
143,,,1920,À rénover,,,,,120 m²,25 m²,,,2,,,,,,,,,Non,255 m²,,,,,,65019 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,,320.000 €,669 €,Non,"Place Communale , 10A
1630 - Linkebeek",2163 - 2260,,,,,Gaz,,,,,,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,Oui,,1,,,,,,,Non,,,,,,,,,,,,,,,
144,,,2014,,,2,,,29 m²,6 m²,,1,1,,,,,,,,,Non,Non connecté,,Oui,41308 kWh/m²,,,F,2015032700017449611,Non communiqué,Non communiqué,41308,Non,Non,Non,Zone non inondable,Autre type de zone,270.000 €,Non,,"Place du Châtelain 35
1050 - Ixelles",,,,12 m²,Oui,,Non,Non,,,,,,,,,,,,,,,Non,85 m²,,,,,Non,Non,Non,,,,,60 m²,,,,,,,,,Oui,,,,Gaz,,,,,,,,,,,,,
145,,,,À restaurer,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,64 m²,Équipée,,3,33 m²,27 m²,20 m²,,,4,,,Non,350 m²,13 m,,,221 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,595.000 €,,Non,"avenue des Hêtres 14
1421 - Ophain-Bois-Seigneur-Isaac",11021,,3,Oui,,Gaz,,,,,,,,60 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,1,,,,Oui,,,,,,,,,,,,,,,,,,
146,,,,Bon,,,1,,240 m²,31 m²,Hyper équipée,12 m²,3,17 m²,14 m²,9 m²,,,3,,,Non,1700 m²,,Connecté,Oui,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,895.000 €,3.000 €,Non,"Chaussée de Bruxelles 18
1410 - Waterloo",,Oui,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1 mars 2022 - 00:00,,,,,,,,,,,,
147,Après la signature de l’acte,Kleetbos,1976,Bon,11 m,4,4,"Zone d'habitat (résidentiel, urbain ou rural)",168 m²,25 m²,Hyper équipée,13 m²,4,16 m²,16 m²,15 m²,11 m²,,2,,Oui,Non,1089 m²,,,Oui,600 m²,,290 kWh/m²,C,201704220001953713-1,Non communiqué,Non communiqué,Oui,,,,,,615.000 €,5.862 €,Non,"Avenue Louise 205 boite 4
1050 - Ixelles",,,1,Oui,,Gaz,,,,22 m²,,,Sud-est,20 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,3,,1,,Oui,11 m²,,,,,,Sud-est,,,,,,,,,,,
148,,,1950,À restaurer,8 m,2,,"Zone d'habitat (résidentiel, urbain ou rural)",284 m²,,,,6,11 m²,11 m²,14 m²,14 m²,11 m²,4,,,Non,,8 m,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,610.000 €,,Oui,"avenue des Hêtres 14
1421 - Ophain-Bois-Seigneur-Isaac",111021,,4,Non,,Gaz,,,,,,,,76 m²,,,,,,,,,Non,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
149,,,1987,Bon,,4,,,200 m²,37 m²,Hyper équipée,17 m²,4,23 m²,10 m²,16 m²,16 m²,,3,,,Non,1189 m²,,Connecté,Non,,Oui,470 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,669.000 €,3.336 €,Non,"Winderickxplein 25
1652 - Alsemberg",,,2,Oui,,Électrique,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,2,Oui,,,,21 m²,,,,,,,,,4499928,,,,,,,,
