,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Toilettes,Surface de l'espace professionnel,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Dressing,Salles de bains,Bureau,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Permis de bâtir obtenu,Obligation de construire,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Cave,Mise à prix,Parkings intérieurs,Salle à manger,Salles de douche,Surface constructible totale au sol,Buanderie,Surface de bureau,Nom de l'agent,Attestation as-built,Combien de feux ouverts ?,Niveau E (performance énergétique globale),Disponible le,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Référence externe,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Charges mensuelles,Nombre d'annexes,Nom du bien
49,,,1965,Bon,,,,Pays,150 m²,20 m²,Équipée,9 m²,3,18 m²,7 m²,14 m²,,,1,,,Non,219 m²,,Connecté,Non,,,388 kWh/m²,D,20210916-0002463239-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.137 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Meersteen 22A,Non,1,Non,,Mazout,,Oui,Non,26 m²,35 m²,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,Oui,,,,,,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,,1962,Bon,6 m,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",182 m²,16 m²,Équipée,13 m²,4,13 m²,15 m²,7 m²,19 m²,,2,,,Non,257 m²,,Connecté,Oui,75 m²,,174 kWh/m²,B,2422804,Non communiqué,Non communiqué,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,Non,,,Non,1,Non,,Gaz,Non,,,6 m²,9 m²,,Sud-ouest,18 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Maison bel-étage,,,,,,,,1,Oui,,257 m²,Oui,,,,1,,,Sud-ouest,,,,Oui,Non,Non,Non,Oui,,,
51,,,1910,Bon,,4,10,,320 m²,72 m²,Équipée,25 m²,5,72 m²,35 m²,35 m²,30 m²,20 m²,5,,,Non,8220 m²,150 m,,Oui,,,639 kWh/m²,F,1980625-1,Non communiqué,Non communiqué,Oui,,Non,Non,Zone non inondable,Zone d'intérêt paysager,975.000 €,2.039 €,Non,"Boekvijverstraat 20
9506 - Zandbergen",1745 - 364,,4,,,Pellets,,Oui,,17 m²,,Oui,Sud,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,4,,2,,,,,Non,1,,,,,,,,,,,,,,
52,,,1938,Excellent état,6 m,,,Urbain,140 m²,16 m²,Hyper équipée,18 m²,3,18 m²,12 m²,19 m²,,,2,,,Non,170 m²,6 m,Connecté,Oui,,,250 kWh/m²,C,20210313-0002383538-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,934 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Steenbakkerijstraat,Non,1,Non,,Gaz,,Oui,Non,8 m²,5 m²,Oui,Sud-ouest,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,,,,,30 novembre 2021 - 00:00,,,,,,,,,,,,
53,,,1938,Excellent état,6 m,,,Urbain,140 m²,16 m²,Hyper équipée,18 m²,3,18 m²,12 m²,19 m²,,,2,,,Non,170 m²,6 m,Connecté,Oui,,,250 kWh/m²,C,20210313-0002383538-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,934 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Steenbakkerijstraat,Non,1,Non,,Gaz,,Oui,Non,8 m²,5 m²,Oui,Sud-ouest,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,Oui,,,,,,,,,30 novembre 2021 - 00:00,,,,,,,,,,,,
54,,,1940,Bon,,,,Pays,106 m²,,Équipée,28 m²,2,13 m²,16 m²,,,,1,,,Non,978 m²,,Connecté,Non,,,481 kWh/m²,E,202104040002396842-Res-1,Non communiqué,Non communiqué,Oui,Non,,Non,Zone inondable potentielle,Zone agricole,400.000 €,971 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Jan Baptist Bosmanss,Oui,1,Non,,Mazout,,Oui,Non,,12 m²,Oui,Sud-est,,Non,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,,,,Toutes sortes,,,,,,,,1,Oui,,126 m²,,,,,,,,,,,,,,,,,,,
55,,,1961,À rafraîchir,,,,Urbain,157 m²,,Équipée,22 m²,3,20 m²,8 m²,13 m²,,,1,,,,627 m²,,Connecté,Oui,,,417 kWh/m²,E,20210916-0002464763-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,1.866 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Ruisbroeksesteenweg,Non,2,Oui,,Gaz,,Oui,Non,,31 m²,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,1,Oui,,303 m²,,8 m²,,,,,,,,,,,,,,,,,
56,,,1955,Excellent état,,,,Urbain,202 m²,56 m²,Équipée,20 m²,3,13 m²,20 m²,15 m²,,,3,,,Non,455 m²,,Connecté,Oui,,,176 kWh/m²,B,20210916-0002464747-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,2.020 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Koning Albertstraat,Oui,1,Non,,Gaz,,Oui,Non,21 m²,60 m²,Oui,Sud-ouest,55 m²,Non,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,,,,,,,,,,,,1,,,284 m²,,,,,,,,,,,,,,,,,,,
57,,,1983,Excellent état,,,,Urbain,200 m²,17 m²,Équipée,11 m²,3,11 m²,12 m²,20 m²,,,1,,,Non,407 m²,,Connecté,Oui,,,253 kWh/m²,C,202107230002444502-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",455.000 €,1.338 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Tobie Swalusstraat 1,Non,1,Oui,,Gaz,,Oui,Non,19 m²,,Oui,Est,,Non,Non,Non,Non,Oui,Non,Non,,,Non,Non,Non,Non,,,,,,,,,,,,1,Oui,,,Oui,15 m²,,,,,,,,,,,,,,,,,
58,,,1967,,,,,,78 m²,,,,1,,,,,,,,,Non,,,,,,,774 kWh/m²,F,122410,Non communiqué,Non communiqué,,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,875 €,Oui,"Volpestraat 18
1500 - Halle",2609 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,
