,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Salles de bains,Meublé,Porte blindée,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Permis de bâtir obtenu,Visite virtuelle,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Combien de feux ouverts ?,Type de cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Surface constructible totale au sol,Salle à manger,Surface de la cave,Terrasse,Attestation de conformité des citernes à mazout,Surface de la chambre 3,Surface du grenier,Attestation as-built,Site internet,Surface de bureau,Surface de l'espace professionnel,Surface du jardin,Orientation du jardin,Nombre d'annexes,Cave,Salles de douche,Isolé,Jardin,Obligation de construire,Surface de la chambre 4,Quartier ou lieu-dit,Salon,Grenier,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Revenu mensuel actuel,Surface de la chambre 5
121,Oui,,,,,,,,Oui,165 m²,,,D,,,,20210610-0002427180-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,,,,Zone non inondable,120.000 €,,312 €,,,"Rechtestraat, 29
2275 - Lille",Sofie VAN DYCK,,,,Équipée,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,391 kWh/m²,,Non,"nl :
zat. 23/10 van 13u-15u, zat. 30/10 en zat. 6/11 van 10u-12u en zat. 13/11 van 13u-15u",Après la signature de l’acte,Non,,,
122,À définir,1995,Bon,,2,,,,3,1,Non,,265 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,589 €,Non,"Mechelbaan 500
2580 - Putte",,Oui,,,1,,,Équipée,,,Non,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,Non,spir1767,,,,Nord-ouest,,,,,Oui,Non,,,Oui,,,,,,,1 janvier 2022 - 00:00,,
123,,,Excellent état,,,,2,,17 m²,,,,,,Oui,Oui,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2404 TB,,Non,32 m²,,,,,,19 m²,Non,Non,,,Non,,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,452 kWh/m²,,,,,Ouest,Non,,,,,,,,,,,,
124,Après la signature de l’acte,2012,Bon,10 m,2,159 m²,32 m²,,4,1,Non,,116 m²,,,Oui,141 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,63,Gaz,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,,,,,Équipée,,,,2,,,,,,,,31 m²,,,,,,,,Oui,,,,,,,,,,,,,Non,41017 - HEI-21-FVD-1,,,49 m²,Est,,,,,,,,,,,,,,,,,,
125,Après la signature de l’acte,,Bon,,4,280 m²,,,4,2,Non,,781 m²,,,Oui,179 kWh/m²,B,Non communiqué,1000 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,Oui,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",725.000 €,,Non,"Vlaamse Kaai 90
2000 - Anvers",,Oui,,3,2,,,Équipée,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,313 - 1465,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,2021,,,3,265 m²,42 m²,9 m²,3,1,Non,,442 m²,10.7 m,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,30,Gaz,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",,Américaine équipée,18 m²,18 m²,,,,,,,,,,23 m²,,,,,,,,,,,,,,,,,,,10 m²,,Non,38012 - NWB-21-FVD-1,,,220 m²,Nord-ouest,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,,Bon,,4,125 m²,,,2,1,Non,,936 m²,,,,708 kWh/m²,F,20210823-0002454738-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",285.000 €,287 €,Non,"Zoetewei 14
2861 - OLV Waver",291,,,1,5,,,Équipée,,,Non,1,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,600 m²,,,,,,,Non,,,,,,,,,,,,
128,Après la signature de l’acte,,À rafraîchir,,4,225 m²,40 m²,,3,1,Non,,,17 m,,Oui,913 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,3,2,,,Semi-équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,38357 - HEI-21-FVD-1,,,,,,Oui,,,,,,,,,,,,,,,,
129,Après la signature de l’acte,1981,Bon,,4,,,,3,1,Non,Non,543 m²,,Connecté,Oui,326 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Non,Oui,,,,,,355.000 €,577 €,Oui,,,Oui,,,,,,Équipée,,,Non,1,,Non,Non,Non,Non,Non,Non,1 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,1 m²,,,,,,,,,,Oui,,,,,,,,1000,
130,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Oui,Non,Non,Zone non inondable,,,,Non,"PARKLAAN 46
2300 - Turnhout",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/4182,,,,,,,,,,,,,,,,,,,,,,
131,Immédiatement,1956,À rafraîchir,,3,,,,2,1,,,840 m²,,,Oui,899 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",239.000 €,292 €,,"Ezenhoek 10
2590 - Berlaar",,,,,1,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,,,,1,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,Non,,,Non,,,,,Sud-ouest,,Oui,,,Oui,,,,,,,,,,,,,
132,Après la signature de l’acte,,Bon,,3,174 m²,,,3,1,Non,,575 m²,,,Oui,220 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",498.000 €,,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,Oui,,,2,,1,Équipée,,,,3,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,40186 - MEC-21-BQU-0,,,,,,,1,,,,,,,,,,,,,,,
133,Immédiatement,,Bon,,3,,,,2,,,,161 m²,,Connecté,Oui,671 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,580 €,,"Ezenhoek 10
2590 - Berlaar",,Oui,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,Semi-équipée,14 m²,14 m²,,2,Oui,,,,,,Oui,,,,,,,,,,,,,,,,,,Oui,Non,,,Non,,,,,Sud,,,,,Oui,,,,,,,,,,,,,
134,,1987,,18.65 m,4,404 m²,,,,,Non,Non,1095 m²,24.65 m,Non connecté,Non,231 kWh/m²,C,20210916-0002464904-RES-1,Non communiqué,Non communiqué,,,,,,,Non,Non,Non,Non,Zone non inondable,Zone d'extension d'habitat,985.000 €,,Non,"Bergstraat 109
2220 - Heist-op-den-Berg",,Oui,,1,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,Villa,132 m²,,54 m²,,,,,,09/2200,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,,,,2,,,,2,,Non,Non,1 m²,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Non,,,,,,239.000 €,,Non,,,,,,,,,,,,Non,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,
136,Selon le locataire,,À rénover,,2,,,,3,,Non,Non,1 m²,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Non,Non,Non,Non,Non,,,199.000 €,,Non,,,Oui,,,,,,,,,Non,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,,,,Toutes sortes,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,1930,À rafraîchir,5 m,3,98 m²,,7 m²,1,1,Oui,Non,38 m²,5 m,Connecté,Oui,992 kWh/m²,F,2460825-RES-1,Non communiqué,Non communiqué,992,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",149.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,38 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,2020,,,2,143 m²,,,3,1,Non,,173 m²,6.6 m,,,16 kWh/m²,A,12002-G-OMV_2019038013/EP11940/A001/D01/SD001,Non communiqué,Non communiqué,9,Gaz,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,Non,"Bevelsesteenweg 40 B
2560 - Nijlen",935 - 1523,Oui,,,1,,,Équipée,,,,2,,,,,,,,20 m²,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
139,,2015,Excellent état,6 m,,Équipée,,,Non,2,135 m²,,Non,Connecté,Oui,Oui,B,Non communiqué,Non communiqué,Non communiqué,68,Gaz,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TE/280721,,Non,203 m²,1,,,,4,,,2,Non,,Non,,Non,Non,Non,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,103 kWh/m²,,,,,Nord,Oui,,,,,,,,,,,,
140,À définir,2010,,20 m,4,63 m²,Hyper équipée,5,23 m²,2,,,120 m,Non connecté,Non,Oui,A,12002-G-5767/EP03165/A001/D01/SD001,Non communiqué,Non communiqué,Mazout,,Oui,,,,,Oui,Oui,Zone d'inondation reconnue,,Zone agricole,1.195.000 €,1.200 €,Non,"Koningsplein 5
2500 - Koningshooikt",4508974,,175 m²,386 m²,,10,,,35 m²,14 m²,14 m²,,14 m²,,80 m²,,,,,,,,,,,,78 kWh/m²,,,,,,,,Non,,,Oui,,15 m²,12469 m²,,,Oui,,,,,,,,,,16 m²,,,,,,,,,,,1
141,,1992,Excellent état,6.3 m,,,39 m²,22 m²,3,1,Non,,500 m²,10 m,Connecté,Oui,162 kWh/m²,B,202108120002450999RES1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,711 €,Non,"Stationsstraat 209
2590 - Berlaar",1800,Oui,,1,,,,Équipée,,,Non,1,Oui,Non,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,Nord,,Oui,,,Oui,Non,,,,,,,,,,1 septembre 2022 - 00:00,,
142,,1975,À rafraîchir,,4,257 m²,41 m²,18 m²,2,1,Non,,1476 m²,,,,388 kWh/m²,D,20210923-0002468010-RES-1,Non communiqué,Non communiqué,,,,,,,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,808 €,Non,"Houtestraat 62
2800 - Mechelen",,Oui,,1,,,1,,16 m²,12 m²,,2,,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,2 m²,,Non,1044 - 10130921,,,1320 m²,Sud-ouest,,,,,,,,,,,,,,,,,,
143,Après la signature de l’acte,1964,,12 m,4,47 m²,Oui,4,19 m²,2,,,53 m,Connecté,Oui,2997 m²,D,20210520-0002417867-RES-1,Non communiqué,Non communiqué,"Oui, conforme",,Oui,,,Oui,,Oui,,Non,Zone non inondable,Zone d'extension d'habitat,599.000 €,1.173 €,Non,"Koningsplein 5
2500 - Koningshooikt",4457711,,125 m²,261 m²,,7,,,11 m²,19 m²,11 m²,,24 m²,,8 m²,,,,,,,,,,,,,,,,,,,,Non,Hyper équipée,Oui,317 kWh/m²,Gaz,10 m²,,,,Oui,70 m²,Oui,,,,,,,,2,,,2997 m²,,,,,,,,
144,Après la signature de l’acte,1959,À rénover,,2,108 m²,15 m²,10 m²,3,1,Non,Non,424 m²,,Connecté,Oui,1024 kWh/m²,F,Nietingegeven,Non communiqué,Non communiqué,1024,Gaz,Non,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",244.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",2021N104,,,,,,,Pas équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 m²,,,,,,,,,316 m²,,,,,,,,,,,,,,,,,,,
145,,1988,À rénover,11 m,,33 m²,8 m²,3,6 m²,Non,,,Non,Non connecté,Non,Oui,F,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,Oui,Non,Non,Zone non inondable,Zone d'extension d'habitat,335.000 €,870 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2567 TB,,Toutes sortes,142 m²,1,,,,,9 m²,10 m²,1,,,48 m²,,Non,Non,Non,18.5 m,,,,,,,,,,,,,,Non,,,,,,Non,744 m²,,,,,,697 kWh/m²,,,,,Sud-est,Non,,,,,,,,,,,,
146,À la livraison,2021,,6 m,2,197 m²,,12 m²,2,1,Non,Non,385 m²,7 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",409.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",2021N059,Oui,,,,,,,,,,,,,,,,,,30 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Selon le locataire,1934,,,3,125 m²,26 m²,20 m²,2,1,,,418 m²,,Connecté,Oui,319 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,Oui,,Oui,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,Non,"Rechtestraat 40
2500 - Lier",4527690,Oui,,,1,Urbain,,Semi-équipée,20 m²,12 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
148,,1950,Excellent état,,,,,,2,1,Non,,390 m²,,Connecté,Oui,536 kWh/m²,F,202107190002443316RES1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",248.000 €,,Non,"Stationsstraat 209
2590 - Berlaar",1796,Oui,,,,,,Équipée,,,Non,,,Non,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,Sud,,,,,Oui,Non,,,Oui,,,,,,,,,
149,,,Excellent état,,,1,,,Non,,564 m²,,Non,,Non,186 m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,299.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2718,,108 m²,238 m²,,2,,Équipée,5,,,3,Non,,Non,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,Non,,,,,,,,,,,352 kWh/m²,,,,,,,Non,,,,,,,,,,,,
150,Immédiatement,1958,,,3,100 m²,30 m²,12 m²,3,1,,,343 m²,,Connecté,Oui,458 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 264.000 €,,Non,"Rechtestraat 40
2500 - Lier",4457955,Oui,,1,,Urbain,,,14 m²,12 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,6 m²,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,,
151,,1964,À rafraîchir,,,,,,Non,1,Non,,,,Oui,537 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2699 ML,,Non,Semi-équipée,,,,,3,,,1,Non,,Oui,,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,Non,,,,,,,,,,,,
