,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Salles de bains,Meublé,Porte blindée,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Permis de bâtir obtenu,Visite virtuelle,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Combien de feux ouverts ?,Type de cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Surface constructible totale au sol,Salle à manger,Surface de la cave,Terrasse,Attestation de conformité des citernes à mazout,Surface de la chambre 3,Surface du grenier,Attestation as-built,Site internet,Surface de bureau,Surface de l'espace professionnel,Surface du jardin,Orientation du jardin,Nombre d'annexes,Cave,Salles de douche,Isolé,Jardin,Obligation de construire,Surface de la chambre 4,Quartier ou lieu-dit,Salon,Grenier,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Revenu mensuel actuel,Surface de la chambre 5
58,À définir,2005,Excellent état,8 m,2,250 m²,18 m²,14 m²,4,,Non,,327 m²,8 m,,Oui,142 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,Oui,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,1.134 €,Non,"Clemenshoek 74
2840 - Reet",4496761,Oui,,1,1,Isolé,,Hyper équipée,50 m²,16 m²,,2,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,13 m²,,,,,,,,,,,,,,11 m²,,,,,,,,,,,
59,À définir,,Excellent état,,,210 m²,58 m²,26 m²,2,,Non,,4435 m²,,Connecté,Oui,127 kWh/m²,B,20120822-0001189568-00000009-5,Non communiqué,Non communiqué,,Gaz,Non,Oui,Oui,,Oui,,,,Zone d'inondation reconnue,Zone agricole,695.000 €,1.200 €,Non,"Veemarkt 19
2800 - Mechelen",,,,,1,,,Hyper équipée,24 m²,35 m²,Non,2,,,,,,,,18 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,4000 m²,Sud,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,1953,Excellent état,15 m,2,360 m²,,,6,2,Non,,240 m²,15 m,,,230 kWh/m²,C,20201204-0002346280-RES-1,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",485.000 €,,Non,"Ringenhofweg 12
2500 - Lier",,Oui,,2,2,,,Hyper équipée,,,Oui,2,,Non,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,,165 m²,,,,Non,,,,"Rietlei 4, Duffel",,,75 m²,Nord-est,,,2,,,Non,,,,,,,,,,,,
61,,1958,À rafraîchir,,4,165 m²,25 m²,13 m²,3,1,Non,,740 m²,,,,664 kWh/m²,F,202110070002474241-RES-1,1000 kg CO₂/m²,Non communiqué,,Gaz,,,,,Oui,,Non,,Zone non inondable,,459.000 €,,Non,"Houtestraat 62
2800 - Mechelen",,,,1,,,1,,18 m²,18 m²,,1,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,14 m²,,Non,1058 - 10160921,,,655 m²,Nord-ouest,,,,,,,,,,,,,,,,,,
62,Après la signature de l’acte,1935,Bon,,2,467 m²,24 m²,24 m²,3,1,Non,,391 m²,,,,350 kWh/m²,D,1622748,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",498.000 €,,Non,"Keizerstraat 18B
2800 - Mechelen",1697978 - 2603,Oui,,,,,1,Semi-équipée,15 m²,14 m²,,2,,Oui,,,,,,32 m²,,,,,,,,,,,,,,,,,,,14 m²,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,
63,À la livraison,2021,Excellent état,6 m,3,186 m²,,,4,1,,,720 m²,9 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",428.300 €,,,"Frederik Peltzerstraat 76
2500 - Lier",,Oui,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,23 m²,15 m²,,2,Oui,Oui,,,,,Oui,,,,,,,,,,,,,,,,Oui,,,,15 m²,36 m²,Non,,7 m²,,,Ouest,,Oui,,,Oui,,11 m²,,Oui,,Kets,,,,,,,
64,Immédiatement,1971,À rafraîchir,6 m,3,,34 m²,16 m²,3,1,Non,Non,396 m²,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Non,Oui,,,Zone non inondable,,389.000 €,762 €,Non,,,Oui,,1,3,,1,,15 m²,12 m²,Non,2,,Non,Non,Oui,Non,Non,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Toutes sortes,,,,,,8 m²,,,,,,270 m²,Sud,,,,Oui,,,,,,Oui,,,,,,,,
65,,1954,À rénover,,,,,,Non,2,299 m²,,Non,,Non,135 m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,,Non,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,1.147 €,Non,"Dorpsstraat 34 Bus 1
2590 - Berlaar",20224/01TK,,Non,Oui,,,,,3,,,1,Oui,Non,Non,,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,Équipée,,397 kWh/m²,,,,,,,,Sud,Oui,,,,,,Oui,,,Oui,,,,,,,,,
66,Après la signature de l’acte,,Bon,,2,,,,2,1,Non,,,,,Oui,368 kWh/m²,D,20120814-0001185583-00000004-5,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,371 €,Non,"Antwerpsestraat 36/38
2850 - Boom",,,,,,,,Équipée,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,2262 - 21/21066/123,,,,,,Oui,,,,,,,,,,,,,,,,
67,Selon le locataire,,À rénover,,3,,17 m²,13 m²,2,1,Non,,88 m²,3.6 m,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",160.000 €,,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",,Oui,,,1,,,Équipée,16 m²,14 m²,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4526191,,,18 m²,,,,1,,,,,,,,,,,,,,,
68,,,À rénover,,,,,,Non,1,,,Non,,Oui,454 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",162.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2656 SS,,Non,Oui,,,,,,,,1,Non,,100 m²,,Non,Non,Non,Non connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,2,,,,,,,,,
69,,,,,,,,,Non,Non,Non,,,,Oui,Oui,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,,,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",260.000 €,Non,,"Dorpsstraat 34 Bus 1
2590 - Berlaar",2694 ML,,Non,Équipée,,,,,2,,,1,,,Oui,,Non,Non,Non,Connecté,,,,,,,,,,,,,,,,,,281 kWh/m²,,,,,,,,,Oui,,Non,,,Sud-est,Non,,,,,,,,,,,,
70,À définir,,Excellent état,,,,,,3,,Non,,362 m²,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,,,,Oui,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",449.700 €,,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,,,,Hyper équipée,,,Non,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,À définir,,,19 m,,226 m²,51 m²,,4,1,Non,,,,,Oui,516 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Électrique,,,,,Oui,Non,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",749.000 €,,Non,"Bredabaan 260
2930 - Brasschaat",,Oui,,2,,,,Équipée,,,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Non,40096 - HEI-21-FVD-1,,,,,,,1,,,,,,,,,,,,,,,
72,Après la signature de l’acte,,,,,268 m²,82 m²,,3,1,Non,,17219 m²,,,Oui,181 kWh/m²,B,Certificaat-20210602-0002423571-RES-1.pdf,Non communiqué,Non communiqué,,,,,,,Oui,,Oui,Non,Zone d'inondation reconnue,Zone agricole,1.195.000 €,,Non,"Bredabaan 260
2930 - Brasschaat",,Oui,,,,,,,17 m²,15 m²,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,14 m²,,Non,37309 - MEC-21-BQU-0,17 m²,,,,,,,,,,,,,,,,,,,,,
