,À partir de,État du bâtiment,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface de la chambre 4,Salles de bains,Salles de douche,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Site internet,Panneaux photovoltaïques,Panneaux solaires,Type d’environnement,Salle à manger,Combien de feux ouverts ?,Surface de bureau,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Surface de la terrasse,Buanderie,Surface du grenier,Isolé,Surface du jardin,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Procédure pour violation de la réglementation urbanistique,Attestation as-built,Référence externe,Quartier ou lieu-dit,Salon,Mise à prix,Nom de l'agent,Surface de la cave,Visite virtuelle,Surface de la chambre 5,Séance unique,Modalités de visite,Niveau E (performance énergétique globale),Pourcentage loué,Revenu mensuel actuel,Disponible le,Obligation de construire,Surface de l'espace professionnel,Lieu de la vente
104,Après la signature de l’acte,Excellent état,270 m²,58 m²,Hyper équipée,,4,17 m²,18 m²,25 m²,,3,,,,841 m²,Connecté,Oui,,,Oui,,300 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,,Faire offre à partir de 675.000 €,Non,"Av Victor Rousseau 272
1190 - Forest",1984,,4,1,2,,1,,,,,,,,,,4375414,,,,,,,,,,,,,,,,Oui,,Oui,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 m²,
105,,,430 m²,70 m²,Hyper équipée,,3,,,,Oui,2,Oui,,Non,1462 m²,,,,Sud,,,252 kWh/m²,C,20170114-0001952080-1,Non communiqué,Non communiqué,Gaz,Non,Non,,950.000 €,Non,"Chausse de St. Job, 546
1180 - Bruxelles",2010,,3,2,6,,1,1,,,Oui,,,,,2.159 €,Harrison SAEY,Oui,Non,,,,,,,,,,,,,,,,,,,Oui,,,,50 m²,Oui,,,1300 m²,,,,Non,,,,,1019892HS,,,,,,,,,,,,
106,Après la signature de l’acte,À rafraîchir,850 m²,,Équipée,,10,,,,,,Oui,Oui,,95000 m²,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,2.480.000 €,Non,"Chaussée de Louvain 433
1380 - Lasne",,,4,2,,,6,,,Non,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,4232542,,,,,,,Oui,,,,,,,Oui,Non,Oui,,,,,Non,,,,,,,,950002 m²,,,,,,,Oui,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,880 m²,,,,10,,,,Non,,,,,95000 m²,Non connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Zone d'inondation reconnue,2.480.000 €,Non,"H. Conciencelaan 70
8000 - Brugge",,,,2,,,6,,,,,Oui,Non,Oui,Zone agricole,,,,,,,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,Non,,BFU2825,,,,,,,,,,,,,,Non,,
109,,4,3,,,,1808 m²,,,,,,,,,935 kWh/m²,,,,,,,F,20210728-0002445949-RES-1,Non communiqué,Non communiqué,Non,,,,295.000 €,,"Veldstraat 1
1860 - Meise",Thomas CLEYMANS,,,226 m²,,,,,,,,,Non,Non,Zone inondable potentielle,,Non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.704 €,,,,,"nl :
Zaterdag 23/10, 30/10, 6/11 en 13/11 van 10 tot 12 uur",17 janvier 2021 - 00:00,,,,À rafraîchir,,,Non
110,1980,,,,,,1,,,,,696 m²,,,,751 kWh/m²,,,,,,,F,20210827-0002457107-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Non,Oui,,360.000 €,,"Schapenstraat, 22
1750 - St-Martens-Lennik",Hendrik VAN EECKHOUDT,4,,3,,,,2,,,,,Oui,Non,Zone inondable potentielle,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,1.479 €,,,,,"nl :
bezoek elke zaterdag van 14 tot 16 uur, en dit vanaf 2 oktober 2021 tot en met 30 oktober 2021",Après la signature de l’acte,,,,,,,Non
111,Immédiatement,Fraîchement rénové,126 m²,,Équipée,,3,36 m²,9 m²,8 m²,Non,2,,,Non,136 m²,Connecté,Oui,,,,Sud,148 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,339.000 €,Non,,1930,5 m,2,1,2,,1,,5 m,,,Oui,,,,458 €,,Non,Non,Pays,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,Non,,20 m²,,,,,,136 m²,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Bon,180 m²,,Hyper équipée,,5,,,,Non,2,,,Non,680 m²,,Non,,,,,Non communiqué,Non communiqué,202103020002380864-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,,595.000 €,Non,,,,4,,,,1,1,,Non,Non,,,,,,,Non,Non,Pays,,1,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Villa,70 m²,,,,560 m²,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Après la signature de l’acte,À rénover,Oui,,,,1,,,,,,Non,,Non,Non connecté,Oui,472 kWh/m²,,,,,E,2448563-RES-1,Non communiqué,Non communiqué,472,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",951 €,"Prinsenstraat, 24
1850 - Grimbergen",,1932,,2,,,,Oui,,,,,,Non,Non,348.000 €,Non,,Non,Non,,5,,,Oui,Oui,2012 m²,,,,,,,,,,,,,,Oui,,,,,,,,,Zone non inondable,,,,,,,,193 m²,,,,Gaz,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,,31 m²,Équipée,12 m²,3,19 m²,11 m²,9 m²,1,,12 m²,,,Oui,Connecté,Non,Oui,,,Non,,F,2388863,Non communiqué,Non communiqué,Non,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.296 €,"Stationstraat 79
1861 - Wolvertem",4412865,1977,,4,1,2,,1,,,,,Oui,Oui,Non,429.000 €,Non,,,,,,,,,,Non,,,,,,Oui,,,,,,650 kWh/m²,,,,,,Non,,,,,Zone non inondable,Mazout,,,,,,6 m²,190 m²,,,,,,,,,,
127,Après la signature de l’acte,,110 m²,23 m²,,16 m²,2,14 m²,24 m²,,,,,,Non,131 m²,Connecté,Non,,,,,591 kWh/m²,F,2452999,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,227.000 €,Non,"Stationstraat 79
1861 - Wolvertem",1850,,2,,,,1,,,,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",379 €,4443504,,,,,,,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,Non,,,,,,,,,,,,,,,,,,
128,,À définir,127 m²,50 m²,Équipée,28 m²,2,11 m²,14 m²,,Non,2,,,Non,,Connecté,Oui,Oui,Sud-ouest,,Sud-ouest,210 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,398.000 €,Non,"Brusselsesteenweg 7
1850 - Grimbergen",,,,,,,,,,,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.025 €,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,Non,,,,,,,,Bon,,,,,,,,,,
129,À définir,Bon,,Équipée,7 m²,2,18 m²,14 m²,Non,,1,Oui,Oui,Non,3445 m²,Connecté,Oui,Oui,Nord,565 kWh/m²,,,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Non,,Non,"Brusselsesteenweg 7
1850 - Grimbergen",,,,,1,,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.000 €,Gaz,,,,,,,35 m²,,,,,,,,,,
130,,À rafraîchir,,,Semi-équipée,,3,,,,,2,Oui,,Non,449 m²,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,765.000 €,Non,"Brusselsesteenweg 65
1850 - Grimbergen",,,3,1,,,2,,,,,Oui,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.834 €,1816584 - VKG-2021-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
131,À définir,Bon,,,Équipée,,3,,,,Non,1,Oui,,Non,,Connecté,Oui,,,Oui,Sud-ouest,241 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,375.000 €,Oui,"Brusselsesteenweg 7
1850 - Grimbergen",,,,,,,,,,,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.659 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,Bon,350 m²,29 m²,Équipée,,3,25 m²,17 m²,20 m²,Oui,3,,,Non,2151 m²,,,Oui,Sud-ouest,,,89 kWh/m²,A,20210702-0002433529-RES-1,Non communiqué,Non communiqué,,Non,Oui,Zone non inondable,879.000 €,Non,"Mechelbaan 500
2580 - Putte",2001,,4,2,,,2,,,Non,Oui,Oui,Oui,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",2.330 €,spir1799,,,,Oui,,12 m²,Oui,,,,,,,Non,Non,Non,,Non,,,Oui,,,,,Oui,,,,Non,,Non,Non,,,,,,,,,,,,,,,Non,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,,58 m²,Équipée,32 m²,4,18 m²,14 m²,18 m²,10 m²,,15 m²,,,2149 m²,Non,,Oui,,,280 kWh/m²,,C,2381332,Non communiqué,Non communiqué,Non,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",949 €,"Stationstraat 79
1861 - Wolvertem",4412515,1920,,4,1,2,2,2,,,,,Non,,,699.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,Zone non inondable,Mazout,,,,,,70 m²,460 m²,,,,,,,,,,
136,Après la signature de l’acte,,24 m²,Équipée,12 m²,2,14 m²,10 m²,1,,,,,,558 m²,Connecté,Non,15 m²,,,,,F,2448551,Non communiqué,Non communiqué,Mazout,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.544 €,"Stationstraat 79
1861 - Wolvertem",4432443,1966,,4,1,1,,8 m²,,,,,Non,,,385.000 €,Non,,,,,,,Oui,30 m²,,,,,,,,,,,,,,,,,,1042 kWh/m²,,Non,,,,,Zone non inondable,,,,,,,50 m²,200 m²,,,,,,,,,,
137,Après la signature de l’acte,Fraîchement rénové,58 m²,1,32 m²,5,17 m²,16 m²,16 m²,15 m²,,18 m²,,,997 m²,Oui,,77 m²,,,,,A,13934,Non communiqué,Non communiqué,Non,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",3.937 €,"James Ensorlaan 39
1800 - Vilvoorde",1979650 - 1248,1899,8 m,4,2,5,14 m²,4,,,,,Non,Oui,Zone non inondable,1.375.000 €,Non,,,,,,Américaine hyper-équipée,Oui,Non,,,,,,,,,,,97 kWh/m²,,,,,,,Oui,,,,,,,,Oui,,,,,,,507 m²,3,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,Équipée,8 m²,4,16 m²,11 m²,8 m²,Non,2,,,Non,286 m²,Connecté,Oui,,,,,318 kWh/m²,D,20210217-0002374893-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,389.000 €,Non,,1956,7 m,3,,,25 m²,1,,,Non,Non,,,,,1.075 €,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,4 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Maison bel-étage,,Oui,4 m²,Oui,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,Excellent état,7 m,2,230 m²,37 m²,1,4,,,9 m²,1,Non,393 m²,,Non,,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non,Non,Non,,,,,,,Oui,12 m²,,Non,Oui,Sud,Non communiqué,,,,,,164 kWh/m²,B,,Après la signature de l’acte,1977,,15 m²,16 m²,7 m²,2,Oui,Non,Non,7 m,Connecté,322 m²,Sud,Non,Non,Non,Oui,Non,20210903-0002459981-RES-1,Gaz,Non,15 m²,,,Oui,,,Non,,,,,,,,,,,,,,,,,,
141,Après la signature de l’acte,,250 m²,33 m²,Équipée,13 m²,4,15 m²,17 m²,11 m²,,,,,,105 m²,Connecté,Oui,,,,,350 kWh/m²,D,2462160,Non communiqué,Non communiqué,Gaz,,Oui,Zone inondable potentielle,399.000 €,Non,"Stationstraat 79
1861 - Wolvertem",1939,,2,,,12 m²,1,,,,,Oui,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",892 €,4501176,,,,,,,,,,,,,,,,,,,,,,,,,21 m²,,10 m²,,,,,Non,,,,,,,46 m²,,,,,,,,,,,
142,Après la signature de l’acte,Excellent état,,,Équipée,,3,,,,Non,2,,,Non,200 m²,,Non,,Sud,,Sud,275 kWh/m²,C,20210727-0002442779-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,369.000 €,Non,,1950,,2,,,,1,,,,,Oui,,,,694 €,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,Non,Toutes sortes,1 m²,,,,122 m²,"Oui, conforme",,,,,,,,,,,,,,,,,,,,
143,,Bon,115 m²,30 m²,Équipée,6 m²,3,13 m²,10 m²,25 m²,,2,Oui,,Non,,Connecté,Oui,,,,,450 kWh/m²,E,20120615000114503000000001-5,Non communiqué,Non communiqué,,,Oui,,369.000 €,Non,"Rue de Wand 25
1020 - Laeken",1957,,3,1,,,1,,,,,,,,,1.227 €,4526831,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,5 m²,Oui,,,,,,,,,,,,,,,,,,15 m²,,,,120 m²,,,,,,Brabant-Flamand,,,,,,,,,,,,,,,
144,,Bon,300 m²,,Équipée,,6,,,,,3,,,Non,525 m²,,,,,Oui,,323 kWh/m²,D,Certificaat-20210617-0002430214-RES-1.pdf,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,900.000 €,Oui,"Meyskensstraat 222
1780 - Wemmel",2006,,3,,3,,3,,,,,Oui,,Oui,Zone de parc,3.207 €,1782239 - 2021/225/S,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
145,Après la signature de l’acte,,250 m²,,Hyper équipée,,4,18 m²,15 m²,12 m²,Oui,4,Oui,,Non,360 m²,,Non,,Sud-ouest,,Sud-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,,645.000 €,Non,,1990,,3,1,1,12 m²,2,1,,,,,,,,,,Non,Non,,,,,Non,Non,Non,Non,Non,Non,Non,,,,,,,,,,Non,Toutes sortes,60 m²,,,,200 m²,,,,,,,,,,,,,,,,,,,,,
146,,Excellent état,225 m²,66 m²,Équipée,,3,25 m²,21 m²,19 m²,Non,2,,,,,Non connecté,Oui,,,,,196 kWh/m²,B,20210916-0002464862-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,529.000 €,Non,"Tramlaan 249
1933 - Sterrebeek",1969,,,1,,,,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,727 - Temsesteenweg,,,,Oui,,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,31 m²,,,,,,,Non,,,,,,,,,,,,,,,,Non,,
147,Après la signature de l’acte,À rafraîchir,180 m²,45 m²,Équipée,8 m²,3,25 m²,14 m²,12 m²,,2,Oui,,Non,,Connecté,Oui,,,,,429 kWh/m²,E,20210623-0002433279-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,375.000 €,Non,"Avenue de la Forêt de Soignes, 327
1640 - RHODE-SAINT-GENESE",,6 m,2,1,2,,2,1,,,,,,,,,4374753,,,,,,,,,,,,,,,,Oui,,,,,,,,,15 m²,,,,40 m²,,,,,,Brabant Flamand,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,À rénover,3,,,,,1,,,,,170 m²,768 kWh/m²,,,F,,,,,,,20200812-0002302824-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,,765 €,,Katleen HUBIN,,,,4,,,,Oui,,,,,Zone non inondable,,180.000 €,,"Ott de Mentockplein 19
1853 - Strombeek-Bever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,1,,"nl :
woensdag 16u-18u en zaterdag 10u -12u.",Après la signature de l’acte,,,,,,,Non
