,À partir de,État du bâtiment,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface de la chambre 4,Salles de bains,Salles de douche,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Site internet,Panneaux photovoltaïques,Panneaux solaires,Type d’environnement,Salle à manger,Combien de feux ouverts ?,Surface de bureau,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Surface de la terrasse,Buanderie,Surface du grenier,Isolé,Surface du jardin,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Procédure pour violation de la réglementation urbanistique,Attestation as-built,Référence externe,Quartier ou lieu-dit,Salon,Mise à prix,Nom de l'agent,Surface de la cave,Visite virtuelle,Surface de la chambre 5,Séance unique,Modalités de visite,Niveau E (performance énergétique globale),Pourcentage loué,Revenu mensuel actuel,Disponible le,Obligation de construire,Surface de l'espace professionnel,Lieu de la vente
35,À définir,Excellent état,80 m²,Hyper équipée,31 m²,5,17 m²,15 m²,23 m²,12 m²,3,Oui,Non,,Connecté,,Oui,Oui,Sud-ouest,Oui,Sud-ouest,316 kWh/m²,D,20210316-0002388343-RES-1,Non communiqué,Non communiqué,Mazout,Non,Oui,575.000 €,,Oui,"Leopoldstraat 37
2800 - Mechelen",,,,,,,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359 m²,Non,,,,,,,,,
36,Après la signature de l’acte,Bon,310 m²,35 m²,Équipée,15 m²,5,20 m²,16 m²,17 m²,Non,3,,Oui,Non,635 m²,Connecté,Oui,,Sud-ouest,,Sud-ouest,645 kWh/m²,F,20210318-0002389373-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,450.000 €,Non,,1950,10 m,2,4,,19 m²,2,,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",681 €,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,16 m²,Oui,Oui,Non,Non,Non,Non,Non,,,,,,,,,,Non,,55 m²,Oui,,,385 m²,,,,,,,,,,43 m²,,22 m²,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,Oui,,,,Oui,4,Oui,Non,Non,Oui,,Non,,,,,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Toutes sortes,,,,1991,Excellent état,11 m,,,1,,50 m²,Non,Non,,,,Oui,,Non communiqué,Gaz,,2,6,,1,2,Non,Non,Non,1100 m²,Non,Oui,700 m²,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,,,Non,,,,,,,3,,,,,,,,,,,,,,
39,,,274 m²,32 m²,Américaine semi-équipée,24 m²,4,15 m²,23 m²,15 m²,,2,Oui,Oui,,520 m²,Connecté,Oui,,,,,515 kWh/m²,F,20210610-0002427199-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,500.000 €,Non,"Hendrik I Lei 22
1800 - VILVOORDE",1925,13.8 m,2,2,,23 m²,2,2,13.8 m,,,,,,,1.261 €,4394146,,,Urbain,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,306 m²,,274 m²,,,,,,,,,,,,,,,,,,,
40,,,,,À définir,,2015,Bon,8 m,3,,225 m²,,,20 m²,49 m²,Non,Non,,484 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non communiqué,Gaz,Non,Non,,,,,,,,2,4,,Connecté,250 m²,Non communiqué,,,,,,Oui,Non communiqué,,,,,Hyper équipée,3,Sud,1,1,2,Non,Oui,Non,Oui,36 m²,Sud,Non,Non,Non,Non,Non communiqué,Non communiqué,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,
41,,Excellent état,5,,,,2,,,,,,,,,Connecté,Oui,Oui,,,Oui,,B,Non communiqué,Non communiqué,Non communiqué,675.000 €,,,,,Non,"Witthemhof 14
2820 - Bonheiden",4519876,,,3,1,4,,462 m²,,,,111 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260 m²,,,,,,,,,,
42,Après la signature de l’acte,,230 m²,34 m²,,,5,,,,,,Oui,,Non,154 m²,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,369.000 €,Non,"Rue Alexandre Markelbach 78
1030 - Schaarbeek",1909,,2,,1,,2,,,,,,,,,,1478 - 0911,,,,,,13 m²,Oui,,,,,,,,,,,,,,,,,,35 m²,,,,,Non,,,Non,,,,,,,,,,,,,,,,,
43,Après la signature de l’acte,À rafraîchir,230 m²,,Équipée,,3,,,,Oui,2,Oui,Oui,Non,230 m²,,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Zone non inondable,410.000 €,Non,,1951,,3,2,3,,1,,,,,,,,,1.145 €,,Non,Non,,Oui,,,Oui,Oui,Non,Non,Non,Non,Non,,,,,,,,,,Non,,,Oui,,,1 m²,,,,,,,Oui,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,À la livraison,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Non communiqué,Non,,,,,,,,,,,,,,,,,"Stationstraat 79
1861 - Wolvertem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4418763,,,,,,,,,,,,,,,,
