,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Type de cuisine,Surface de la chambre 3,Surface de la chambre 4,Dressing,Buanderie,Bureau,Surface de la cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Double vitrage,Surface constructible totale au sol,Obligation de construire,Revenu cadastral,Référence externe,Type d’environnement,Année de construction,Salon,Salle à manger,Terrasse,Parkings intérieurs,Cave,Largeur de la façade à rue,Surface de la chambre 5,Surface de bureau,Espace professionnel,Porte blindée,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface du grenier,Visite virtuelle,Surface du salon,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Parkings extérieurs,Combien de feux ouverts ?,Salles de douche,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Charges mensuelles,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Grenier,Nom du bien,Nom de l'agent
20,,,,,,,,,,,,,,,1,2,Oui,Non,Non,,Non,,,,,Connecté,,Oui,1 m²,,,,,,,,,,,,,,,,,,,À définir,6 m,2,110 m²,40 m²,3,6 m²,Non,,,80 m²,,,,,,,,,,,,,1,Équipée,13 m²,11 m²,Non,,Non,185 m²,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,
21,,,,5 m,157 m²,27 m²,Hyper équipée,32 m²,11 m²,17 m²,,1,,,Connecté,Oui,Oui,148 kWh/m²,B,,0002428458,,,,,Non communiqué,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",364.000 €,652 €,Urbain,4,12 m²,,,,,,,,,,1,Oui,,,,,,,,,,Non communiqué,,,Zone non inondable,Non,,,,,140 m²,,12 m²,,,,,,,,,,,,,,,,,Après la signature de l’acte,2,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,Bon,2,Urbain,96 m²,Équipée,,2,1,Non,599 kWh/m²,F,20150323-0001743463-1,Non communiqué,Non communiqué,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Après la signature de l’acte,1955,À rafraîchir,Oui,Équipée,,,4,,Non,Non,,,Non,Oui,439 kWh/m²,E,20210812-0002450808-RE-1,,Non communiqué,,,,130 m²,,,Non,219.000 €,,,130 m²,,,18 m²,Non,1,,Non,60 m²,Non,Non,,,Non,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,Non,,,,2,,,,,,,,Oui,Oui,Non,Non,Non,Non,,Non communiqué,Gaz,Non,Non,Non,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,27 m²,80 m²,Oui,Non,Non,Non,,6 m,Sud-ouest,,Non,Non,,,Non,Non,,,,,,,,,,,,,Après la signature de l’acte,Excellent état,6 m,2,Urbain,Équipée,3,13 m²,13 m²,5 m²,Non,Non,Non,10 m²,,Non,Non,,,,,,,,,,,,,1,1,Non,30 m²,Non,,Connecté,Oui,25 m²,Sud-ouest,Non,,,,6 m²,Non,Non,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,Oui,Non,Non,105 m²,Non,,Non,Non,,,,,,Oui,Non,,,,,,,,,,,À définir,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,226 m²,,15 m²,12 m²,3,15 m²,15 m²,15 m²,4,Oui,Non,,,Non,,,,,,,,,,,,,Non,3,Oui,27 m²,70 m²,,Non,Non,Non,27 m²,Non,,,,,,,,,,,,,,,,,,,,
26,,,,,,3,,,Urbain,,Semi-équipée,,,,2,1,Non,725 kWh/m²,F,,20210730-0002446799-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,148 €,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,Non,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,2,147 m²,,4,,,,,,65 m²,,,759 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,,,249.000 €,Non,"Leopoldslei 7
2930 - Brasschaat",,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,562 €,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,136 m²,22 m²,3,21 m²,14 m²,1,1,,78 m²,,,292 kWh/m²,C,20210611-0002427798-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,,229.900 €,Non,"Boterlaanbaan 323
2100 - Deurne","Van Duyststraat 139,",,12 m²,,Non,Oui,Non,60 m²,Non,Non,Non,Non,5 m,Non connecté,Oui,,,,,,,,,,Oui,78 m²,Non,,,,,,,,,,5 m,,,,,,,,,,,,,,,,,27 m²,,,,,,,,,,,,,,,,,
