,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Surface du salon,Salle à manger,Type de cuisine,Salles de douche,Toilettes,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Année de construction,État du bâtiment,Largeur de la façade à rue,Type de chauffage,Référence externe,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la terrasse,Accès sécurisé / alarme,Procédure pour violation de la réglementation urbanistique,Salon,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Chauffe-eau commun,Surface de la chambre 5,Orientation de la terrasse,Permis de bâtir obtenu,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Surface du grenier,Surface de la cave,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Jardin,Nom du bien,Disponible le,Surface de l'espace professionnel,Quartier ou lieu-dit
0,Non,"Les visites se font les mercredis 13, 20, 27 octobre et 03 novembre de 14h00 à 16h00; les samedis 16, 23 et 30 octobre de 10h00 à 12h00.",Après la signature de l’acte,2,323 kWh/m²,D,20210901-0002458716-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Zone non inondable,160.000 €,513 €,Non,"Chausse de Louvain 152
1300 - Wavre",Laurence BAGUETTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,2,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,4000 m²,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,"Rue Emile Feron 153
1060 - Saint-Gilles",4164236,4,8,60,4000 m²,4,60 m²,Oui,Oui,Oui,Non,1200 m²,270 m,Connecté,Oui,4900 m²,Oui,Non,Non,Oui,Oui,Non,Non communiqué,Non,Faire offre à partir de 3.600.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,3,707 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",3,1,,,335 m²,,,,,,Non,,,,,,,,,,,,,,529.000 €,44 m²,Oui,Équipée,2,2,Non,Non,Non,Non,1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,Après la signature de l’acte,4,372 kWh/m²,D,20201001-002322359-RES-1,Non communiqué,Non communiqué,Oui,,,,,1.157 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",2,1,,,220 m²,1,,,Oui,,Non,330 m²,,,Oui,,,,,,,,,,399.000 €,,,Semi-équipée,,2,Non,,,,,1956,Bon,6 m,Gaz,199 - 1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,Après la signature de l’acte,14 m²,D,20180225-0002036074-2,62 kg CO₂/m²,Non communiqué,Gaz,399.000 €,,,,,Non,"Allée de la recherche 12
1070 - Anderlecht",4522553,2,1,2,180 m²,38 m²,2,Oui,Oui,Non,,Connecté,,,Oui,130 m²,26 m²,,,,,,,,,1.408 €,Hyper équipée,,6 m²,2,6 m²,,,,,,1961,Bon,,Oui,,Urbain,4,16 m²,16 m²,19 m²,2,348 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,Après la signature de l’acte,3,138 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,1.028 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",2,,,,175 m²,2,,,Oui,Oui,Non,466 m²,5.7 m,Connecté,Oui,,,,,,,,,,425.000 €,30 m²,,Américaine hyper-équipée,1,3,,,,,4513047,1938,Excellent état,,Gaz,,,15 m²,15 m²,15 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,Après la signature de l’acte,3,294 kWh/m²,C,Certificaat-20210611-0002427846-RES-1.pdf,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,2.181 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",3,1,,,235 m²,1,,,,,Non,220 m²,,Connecté,Oui,,,,,,,,,,529.000 €,30 m²,Oui,Américaine hyper-équipée,,2,,,,,4379017,1980,Excellent état,,Gaz,,Urbain,20 m²,36 m²,13 m²,13 m²,,22 m²,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,Après la signature de l’acte,4,Non communiqué,Non communiqué,20210820-0002454006-RES-1,Non communiqué,Non communiqué,Non,,Oui,Zone non inondable,,1.383 €,Non,,2,,,,,1,,Non,Oui,Oui,Non,150 m²,,Connecté,Oui,60 m²,,,,,,,,,340.000 €,,Oui,Semi-équipée,,1,,Non,Non,Non,,1955,Bon,6 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Est,Non,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,15 m²,A,20190906-0002192621-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue du Loriot 28
1170 - Watermael-Boitsfort",,Gisèle Leroy,2,1,,181 m²,33 m²,,,,,,,Connecté,,Oui,20 m²,,,,,Oui,83 kWh/m²,,,560.000 €,1.129 €,Hyper équipée,,15 m²,4,85 m²,,,Oui,,,,Excellent état,4.2 m,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",5,9 m²,9 m²,19 m²,12 m²,Sud,Oui,Zone non inondable,,,,,,,,,,,,4,Oui,Non,,,,,,,,,,,,,,,,,,,,,
9,,,,Selon le locataire,7,34 kWh/m²,A,20160914-0001893779-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,980 €,Oui,,2,,,,250 m²,2,,Oui,Oui,Oui,Non,397 m²,6 m,Connecté,Oui,160 m²,,Non,Non,Non,Non,Non,,,550.000 €,,Oui,Hyper équipée,1,3,"Oui, conforme",Non,Non,Non,,,Excellent état,6 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,24 m²,18 m²,,,24 m²,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Nord-ouest,Oui,,Nord-ouest,Oui,1,Oui,1,Non,Non,Non,Non,Oui,Immeuble à appartements,Non,100,1950,,,,,,,,,
10,,,,Après la signature de l’acte,4,862 kWh/m²,F,2441387,Non communiqué,Non communiqué,,,,,,1.703 €,Non,"Verbeytstraat 1 B1
1853 - Strombeek-Bever",3,1,2,,180 m²,1,,,,,Non,244 m²,,,Oui,,Oui,,,,,,,,395.000 €,27 m²,,Équipée,,2,,,,,4455617,1959,À rafraîchir,,Mazout,,,8 m²,12 m²,8 m²,9 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,,,,,,,,
11,,,,Après la signature de l’acte,5,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,"Avenue Van Overbeke 55, B 7
1083 - Ganshoren",3,2,2,,270 m²,,,,Oui,,Non,360 m²,,,Oui,200 m²,,,,Oui,,,,,645.000 €,50 m²,,Équipée,,,Non,,,,,1989,Excellent état,6 m,Gaz,1535 - 2443,,,,,,,30 m²,,,,,,,Oui,,,,,Sud,,,,,1,,,,,,,,,,,,,,,,,,,,
12,,,,Après la signature de l’acte,3,184 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,1.470 €,Non,"Voie des Chasseurs à Cheval 4
1300 - Wavre",2,1,,,160 m²,1,,,,,,199 m²,,Connecté,Oui,,,,,Oui,,,,,Faire offre à partir de 380.000 €,45 m²,,Américaine équipée,1,2,,,,,,1995,Excellent état,,Gaz,4291756,,,14 m²,10 m²,8 m²,,25 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,Après la signature de l’acte,4,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,"Rue Zeyp 17
1083 - Ganshoren",3,1,2,,250 m²,3,8 m²,Oui,Oui,,Non,360 m²,6 m,,,200 m²,,,,,,,80 m²,,645.000 €,60 m²,,Hyper équipée,3,4,,,,,4508425,1989,Excellent état,6 m,Gaz,,,12 m²,18 m²,12 m²,15 m²,12 m²,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,Après la signature de l’acte,4,252 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,"Rue Zeyp 17
1083 - Ganshoren",3,1,2,,250 m²,3,8 m²,Oui,Oui,,Non,360 m²,6 m,,,200 m²,,,,,,,80 m²,,645.000 €,60 m²,,Hyper équipée,3,4,,,,,4536648,1989,Excellent état,6 m,Gaz,,,12 m²,18 m²,12 m²,15 m²,12 m²,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,À définir,4,188 kWh/m²,B,2287913,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,2.168 €,Non,"Stationstraat 79
1861 - Wolvertem",4,2,2,,340 m²,2,,,,Oui,Non,608 m²,,Connecté,Oui,,Oui,,,,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",889.000 €,32 m²,Oui,Américaine hyper-équipée,,2,,,,,4532582,1957,Excellent état,,Gaz,,,20 m²,15 m²,20 m²,12 m²,40 m²,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,8 m²,,,,,,,
16,,,,Après la signature de l’acte,4,274 kWh/m²,C,20150419-0001750856-2,Non communiqué,Non communiqué,Oui,Non,Oui,Zone non inondable,,2.010 €,Non,"James Ensorlaan 39
1800 - Vilvoorde",4,1,3,,206 m²,2,,,,,Non,567 m²,,,Oui,120 m²,,,,,,,,Zone d'extension d'habitat,619.000 €,38 m²,,Américaine hyper-équipée,,2,Non,,,,1979814 - 1298,1983,Bon,7 m,Gaz,,,16 m²,13 m²,11 m²,11 m²,10 m²,45 m²,,,,,,,,,,,,Sud-est,,,,Oui,1,,,,,,,,,,,,,,,,,,,,
17,,,,,5,257 kWh/m²,C,20210721-0002444130-RES-1,Non communiqué,Non communiqué,,Oui,,Zone non inondable,,,Non,"Valkebeekstraat 24
1861 - Wolvertem",4,2,4,,327 m²,1,,,,,Non,1106 m²,,,,450 m²,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",750.000 €,,,Semi-équipée,,2,Non,,,,327 - V21LON/082,1978,À rafraîchir,14 m,Gaz,,,13 m²,16 m²,15 m²,12 m²,,,,Non,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,Après la signature de l’acte,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,1.100 €,Non,,4,,1,,144 m²,1,,Non,,Oui,Non,550 m²,,Connecté,Oui,300 m²,,Non,Non,Non,Non,Non,550 m²,,499.000 €,47 m²,Oui,Américaine équipée,,2,,Non,Non,Non,,2013,Excellent état,72 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,15 m²,13 m²,12 m²,,1 m²,Oui,Non,,Non,Oui,Non,Non,Non,Non,Non,Non,Sud-ouest,Oui,,,Oui,,,,Non,Non,Non,Non,Oui,Villa,,,,,,"Oui, conforme",,,,,,
19,,,,,1,B,2426160,Non communiqué,Non communiqué,158,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Prinsenstraat, 24
1850 - Grimbergen",,4,,,178 m²,42 m²,Non,,,,,Non,20 m,Connecté,Oui,158 kWh/m²,,,,,,,,,545.000 €,1.967 €,Hyper équipée,,9 m²,,,,Non,Non,Non,,2010,Bon,,Non,,,4,,,,,,,Zone non inondable,,,,,491 m²,,,,,,Oui,,,Non,,,,,,,,,,,,,,,Gaz,"Oui, conforme",,,,,
20,,,,,5,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,2.341 €,Non,"Tramlaan 249
1933 - Sterrebeek",,1,,,500 m²,2,35 m²,Oui,,,,760 m²,20 m,Connecté,Oui,,,Non,Non,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1.390.000 €,87 m²,,Équipée,,4,,,,,711 - Brusselsesteen,1850,Excellent état,20 m,Gaz,,,25 m²,18 m²,25 m²,21 m²,25 m²,36 m²,Oui,,,Non,Oui,,,Non,Non,Non,Non,,,21 m²,,Oui,,,,Non,,,,,,Non,,,,75 m²,,,,,,,
21,,,,,1,D,202105260002419951RES1,13005 kg CO₂/m²,Non communiqué,392,Non,Non,Non,Autre type de zone,,Non,"De Limburgstirumlaan 21
1780 - Wemmel",,3,,,117 m²,13 m²,20 m²,,,,,Non,Connecté,,Oui,10 m²,,,,,,,,,295.000 €,493 €,Oui,16 m²,,,,,Non,Non,Non,,1935,Fraîchement rénové,,Non,,,2,,,,,392 kWh/m²,,Zone non inondable,,,,,235 m²,,,,,,Oui,,,,,,,,,,,,,,,,,Non,,Gaz,,,,,
22,,,,Après la signature de l’acte,1,B,20210819-0002453229-RES-2,Non communiqué,Non communiqué,182,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Prinsenstraat, 24
1850 - Grimbergen",,4,,,358 m²,47 m²,Non,,,,,Oui,17 m,Connecté,Oui,Oui,,Non,Non,Non,,,,,850.000 €,3.212 €,13 m²,,,,,,Non,Non,Non,,1974,Bon,,Non,,,4,,,,,,Oui,Zone non inondable,,,,,182 kWh/m²,,,,,,Oui,,,,,,,,,,,,,,,,,,Gaz,"Oui, conforme",,,,,
23,,,,Après la signature de l’acte,2,737 kWh/m²,F,20210709-0002437715-RES-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,1.385 €,Non,"Steenweg 171 Bis
1745 - Opwijk",3,2,3,,140 m²,1,,,,,Non,310 m²,9.5 m,,,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,,Oui,Semi-équipée,,2,Non,,,,559 - 1710,1992,À rafraîchir,,,,,8 m²,15 m²,12 m²,,,,,Non,,,,,,,,,,Nord-est,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,
24,,,,,30 m²,F,20210709-0002437716-RES-2,Non communiqué,Non communiqué,Non,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,"Steenweg 171 Bis
1745 - Opwijk",543 - 1697,3,4,7,280 m²,Oui,4,,,,,641 m²,17 m,Oui,,,,739 kWh/m²,,,,,,,865.000 €,2.726 €,,Équipée,15 m²,,Non,Oui,,,,,1992,Bon,,,,,4,24 m²,2,,,,,Zone non inondable,,,,,,,,,,Oui,,,,Non,,,,,,,,,,,,,,,,,Nord-est,,,,
25,,,,,3,Non communiqué,Non communiqué,20201210-0002349305-RES-1,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,2.579 €,Oui,"Steenweg 171 Bis
1745 - Opwijk",2,,,,359 m²,2,,,,,Non,313 m²,,,Oui,120 m²,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",999.999 €,,,Équipée,1,4,Non,,,,544 - 1698,,Bon,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",13 m²,19 m²,16 m²,15 m²,,12 m²,,Non,,,,,,,,,,Nord-est,,,,Oui,,,,,,,,,,,,,,,,,,,,,
26,,,,Immédiatement,5,Non communiqué,Non communiqué,2321363,Non communiqué,Non communiqué,Oui,,Non,Zone non inondable,,3.549 €,Non,,4,2,8,,516 m²,1,18 m²,Oui,,,Non,1780 m²,,Connecté,Oui,1080 m²,,Non,Non,Non,Non,Non,160 m²,,885.000 €,,,,1,3,,Non,Non,Non,,1989,,,Gaz,,,15 m²,27 m²,23 m²,17 m²,8 m²,37 m²,Oui,Non,,Non,,Oui,Non,Oui,Non,Oui,Oui,Sud,Non,8 m²,Sud,Oui,1,Oui,,Non,Non,Non,Non,Oui,Villa,,,,159 m²,,,158,,,,,
27,,,,Après la signature de l’acte,4,173 kWh/m²,B,20200820-0002305953-RES-1,Non communiqué,Non communiqué,Oui,,,,,2.217 €,Non,"Markt 37
1780 - Wemmel",4,1,2,,170 m²,1,5 m²,Oui,,,Non,607 m²,,,,,,,,,,,,,650.000 €,51 m²,,,1,2,Non,,,,3968 - V21WEM/013,2008,,,,,,12 m²,15 m²,14 m²,14 m²,12 m²,26 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,5,275 kWh/m²,C,20210429-0002401407-RES-2,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,Non,"Tramlaan 249
1933 - Sterrebeek",,1,,,300 m²,4,12 m²,Oui,,,,2780 m²,21.43 m,Connecté,Oui,,,Non,Non,Oui,Oui,Non,,Zone d'intérêt paysager,825.000 €,60 m²,,,,3,,,,,719 - Krogstraat,,Excellent état,11.5 m,Gaz,,,,23 m²,18 m²,12 m²,12 m²,,Oui,Non,,Non,Oui,,,Non,Non,Non,Non,,,14 m²,,Oui,,,,Non,,,,,Toutes sortes,Non,,,,,,,,,,,
29,Non,"nl :
Te bezoeken op zaterdag 25/09, 2/10, 9/10 en 16/10 van 10 tot 12 uur.",Après la signature de l’acte,1956,1,F,20210608-0002426196-RES-1,Non communiqué,Non communiqué,"Oui, conforme",,Non,Zone inondable potentielle,235.000 €,892 €,Non,"Veldstraat 1
1860 - Meise",Thomas CLEYMANS,3,,,,,Oui,,,,538 m²,,Oui,Connecté,465 m²,,592 kWh/m²,,,,,,,,,,,,,,,,,,Non,,À rénover,3,,,,,,,,,,,,,,,,,,,,,9.1 m,,,,,,,,,,,,,,,,,,,,Non,,,,,,
30,,,,Après la signature de l’acte,4,242 kWh/m²,C,2471026,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,1.836 €,Oui,"Stationstraat 79
1861 - Wolvertem",3,1,10,,240 m²,1,,,,,Non,1016 m²,,Connecté,Oui,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,55 m²,Oui,,,,,,,,4535304,1973,,,Gaz,,,19 m²,12 m²,14 m²,16 m²,14 m²,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,32 m²,,,,,,,,
31,,,,Après la signature de l’acte,4,242 kWh/m²,C,2471026,Non communiqué,Non communiqué,Oui,,Oui,Zone non inondable,,1.836 €,Non,"Stationstraat 79
1861 - Wolvertem",3,1,10,,240 m²,1,,,,,Non,1016 m²,,Connecté,Oui,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,55 m²,Oui,,,,,,,,4533503,1973,,,Gaz,,,19 m²,12 m²,14 m²,16 m²,14 m²,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,32 m²,,,,,,,,
32,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Oui,Zone non inondable,,,Non,"Meyskensstraat 222
1780 - Wemmel",4,,1,,180 m²,1,,,,,Non,590 m²,17.65 m,,Oui,,Oui,,,,,,,,535.000 €,,,Équipée,,2,Non,,,,1782113 - 2020/376/S,2021,Bon,,Gaz,,,,,,,,,,,,,Oui,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,Oui,,,,
33,,,,Après la signature de l’acte,2,E,20210706-0002438330-RES-1,Non communiqué,Non communiqué,460,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Kerkhofstraat 76
1840 - Londerzeel",,3,,,190 m²,Oui,18 m²,,,,,Non,11 m,Connecté,Oui,20 m²,,,,,,,,,465.000 €,1.249 €,,12 m²,,,,,Non,Non,Non,,1959,,7 m,Non,,,3,,,,,460 kWh/m²,,Zone non inondable,,,,,678 m²,,,,,,Oui,,,Non,,,,,,,,,,,,,,Non,,Gaz,,,,,
34,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Oui,Zone non inondable,,,Non,"Bredabaan, 896
2170 - Merksem",4,,,,180 m²,1,,,,,Non,590 m²,15 m,,,435 m²,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",556.000 €,30 m²,,,,2,Non,,,,19619 - SIN/20/100,2021,,9 m,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,LOT 4,,,
35,,,,Après la signature de l’acte,4,C,20160418-0001854370-1,Non communiqué,Non communiqué,229,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Kerkhofstraat 76
1840 - Londerzeel",,4,,,344 m²,Oui,13 m²,Oui,Oui,,,Non,18 m,Non connecté,Non,229 kWh/m²,,,,,,,,,690.000 €,3.533 €,,24 m²,,,,,Non,Non,Non,,2006,,11 m,Non,,,5,,,,,,,Zone inondable potentielle,,,,Non,978 m²,,,,,,Oui,,,Villa,,,,,,,,,Non,,,,,,,Gaz,,,,,
36,,,,,5,390 kWh/m²,D,2133112,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,5.848 €,Non,"Brusselsesteenweg 59/1
1860 - Meise",4,3,6,,761 m²,5,28 m²,Oui,Oui,Oui,Non,17786 m²,,Connecté,Oui,,Oui,,,,Oui,Oui,,Zone agricole,2.150.000 €,56 m²,Oui,,5,5,,,,,,,Excellent état,,Gaz,3862730,Isolé,25 m²,33 m²,23 m²,18 m²,31 m²,,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
37,,,,,5,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",,,2,,215 m²,1,,,,,Non,,,,,,,,,,,,,,400.000 €,,,,1,3,Non,,,,1882 - 1941,,À rénover,,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,3,295 kWh/m²,C,1284103,Non communiqué,Non communiqué,,,Oui,Zone non inondable,,3.552 €,Non,"Kortrijksesteenweg 1121 Bus 0003
9051 - Gent",4,,2,,310 m²,2,,,,,Non,736 m²,,,,557 m²,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",925.000 €,,,Équipée,,4,,,,,SAS-21188,1997,Bon,,Gaz,,,,,,,,103 m²,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
39,,,,,4,171 kWh/m²,B,20141119-0001703770-0000003-1,Non communiqué,Non communiqué,Non,Non,Oui,Zone non inondable,,,Non,"Kerkstraat 68
9255 - Buggenhout",,,,,258 m²,2,,Non,,,,330 m²,,Connecté,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,61 m²,,,,2,,,,,202107-610C,,Excellent état,,,,,19 m²,16 m²,13 m²,10 m²,12 m²,14 m²,,,,Non,,,,Non,Non,Non,Non,,,,,Oui,,,,,,,,,,Non,,,,,,,,,,,
40,,,,,4,171 kWh/m²,B,20141119-0001703770-0000003-1,Non communiqué,Non communiqué,Non,Non,Oui,Zone non inondable,,,Non,"Kerkstraat 68
9255 - Buggenhout",,,,,258 m²,2,,Non,,,,720 m²,,Connecté,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,61 m²,,,,2,,,,,202107-610,,Excellent état,,,,,19 m²,16 m²,13 m²,10 m²,12 m²,14 m²,,,,Non,,,,Non,Non,Non,Non,,,,,Oui,,,,,,,,,,Non,,,,,,,,,,,
41,,,,Après la signature de l’acte,3,1484 kWh/m²,F,20210615-0002429408-RES-1,Non communiqué,Non communiqué,Non,,Non,,,745 €,Non,,4,,,,,1,,Oui,,,Non,2000 m²,,Non connecté,Oui,1 m²,,,,,,,,,545.000 €,,Oui,Équipée,,1,,Non,Non,Non,,1982,À rafraîchir,,Mazout,,Pays,,,,,,1 m²,,,Oui,Non,,Oui,Non,Non,Non,Non,Non,,Non,,,Oui,,,,,,,,,Toutes sortes,,,,,,,,,,,,
42,,,,Après la signature de l’acte,16 m²,B,2381701,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Verbeytstraat 1 B1
1853 - Strombeek-Bever",4531762,2,1,2,225 m²,25 m²,3,,,,,,7 m,Connecté,Non,Oui,,Non,Oui,,,,,,579.000 €,1.690 €,Oui,Américaine équipée,10 m²,,40 m²,,,,,,2005,Excellent état,7 m,Oui,,,4,14 m²,16 m²,16 m²,2,,,Zone inondable potentielle,,,,,190 kWh/m²,,,,,,,,,Non,,,,,,,,,,,,,,Oui,,,,,,,
43,,,,,4,315 kWh/m²,D,20210514-0002415469-RES-2,Non communiqué,Non communiqué,,Non,Oui,Zone non inondable,,,Non,"Kattestraat 4
1730 - Asse",3,1,1,,185 m²,2,,,,,Non,187 m²,10 m,Connecté,Oui,50 m²,Oui,Non,Non,,,Non,135 m²,Zone d'extension d'habitat,349.000 €,29 m²,Oui,Hyper équipée,,2,,,,Oui,4501372,,Excellent état,10 m,Gaz,,Isolé,10 m²,14 m²,14 m²,8 m²,8 m²,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,1 février 2022 - 00:00,,
44,,,,Selon le locataire,6,183 kWh/m²,B,2232808,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,,3.262 €,Oui,"Nieuwelaan 58
1860 - Meise",2,5,5,,540 m²,4,,,,,Non,409 m²,10.87 m,Connecté,Oui,,,Non,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",990.000 €,26 m²,,,,,,,,,4393437,1966,,10.87 m,Gaz,,,7 m²,14 m²,10 m²,,,3 m²,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
45,,,,À définir,5,147 kWh/m²,B,24500462,Non communiqué,Non communiqué,,Oui,Oui,,,1.541 €,Non,"Nieuwelaan 58
1860 - Meise",2,1,1,,196 m²,2,,,,,Non,224 m²,,Connecté,Oui,100 m²,,,,Oui,,,,,Faire offre à partir de 495.000 €,22 m²,Oui,Équipée,1,2,,,,,4535601,,,,Gaz,,,9 m²,18 m²,13 m²,9 m²,15 m²,,,Non,,,,,,,,,,,,14 m²,,Oui,,,,,,,,,,,,,,,,,,,,,
46,,,,,3,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,Non,,4,,,,,1,,Non,,,Non,630 m²,,,Oui,1 m²,,Non,Non,Non,Non,Non,,,549.000 €,45 m²,,Équipée,1,2,,Non,Non,Non,,,Bon,,Gaz,,,20 m²,22 m²,11 m²,,,1 m²,Oui,,,Oui,Oui,Non,Non,Non,Non,Non,Non,,Oui,,,,1,,,Non,Non,Non,Non,Non,Toutes sortes,,,,50 m²,,,,,,,,
