,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Surface du salon,Salle à manger,Type de cuisine,Salles de douche,Toilettes,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Année de construction,État du bâtiment,Largeur de la façade à rue,Type de chauffage,Référence externe,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la terrasse,Accès sécurisé / alarme,Procédure pour violation de la réglementation urbanistique,Salon,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Chauffe-eau commun,Surface de la chambre 5,Orientation de la terrasse,Permis de bâtir obtenu,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Surface du grenier,Surface de la cave,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Jardin,Nom du bien,Disponible le,Surface de l'espace professionnel,Quartier ou lieu-dit
109,,,,Après la signature de l’acte,4,604 kWh/m²,F,2440579,Non communiqué,Non communiqué,Oui,Oui,Non,Zone inondable potentielle,,1.678 €,Non,"Haachtsesteenweg, 135
1910 - Kampenhout",4,2,,,197 m²,,,,Oui,,,873 m²,20 m,Connecté,Oui,750 m²,,,,,,,135 m²,Parc résidentiel,449.000 €,35 m²,,Hyper équipée,,1,,,,,4406155,1974,Bon,9 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,14 m²,9 m²,13 m²,8 m²,,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Kampenhout omliggende
110,,,,Après la signature de l’acte,2,B,0002457040-RES1,Non communiqué,Non communiqué,190,Villa,Non,Non,Zone naturelle,,Non,"Mechelsesteenweg 227
1933 - Sterrebeek",20214612,4,1,,317 m²,Hyper équipée,12 m²,Oui,Oui,,,Non,Connecté,,Oui,Non,,,Non,Oui,,,,,815.000 €,2.183 €,,,23 m²,,,,Non,Non,Non,,1965,Bon,,Non,,,4,,,,,,Non,Zone d'inondation reconnue,,,,Non,190 kWh/m²,,,,,,Oui,,,,,,,,,,,,Non,,,,,,,Mazout,,,,,
111,,,,Après la signature de l’acte,3,240 kWh/m²,C,2452656,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,2.002 €,Non,"Haachtsesteenweg, 135
1910 - Kampenhout",4,2,2,,150 m²,,9 m²,Oui,,,,554 m²,16 m,Connecté,Oui,450 m²,,,,,,,100 m²,Parc résidentiel,425.000 €,32 m²,,Américaine hyper-équipée,1,,,,,,4521001,1984,,11 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,14 m²,14 m²,11 m²,,27 m²,,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Kampenhout omliggende
112,,,,Après la signature de l’acte,4,155 kWh/m²,B,2445432-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,1.117 €,Non,"Keizerstraat 18B
2800 - Mechelen",3,,,,228 m²,1,,,Oui,,Non,745 m²,14 m,,,495 m²,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",569.000 €,,,Équipée,1,2,Non,,,,,2008,Bon,7 m,Gaz,1699141 - 345345971,,24 m²,17 m²,13 m²,10 m²,10 m²,,,Non,,,,,,,,,,Sud-ouest,,,,Oui,,,,,,,,,,,,,,,,,,,,,
113,,,,Après la signature de l’acte,3,356 kWh/m²,D,Certificaat-20210820-0002453984-RES-1.pdf,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,2.178 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4,2,4,,,3,12 m²,Oui,Oui,Oui,,1185 m²,,Connecté,Oui,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,40 m²,Oui,Hyper équipée,,4,,,,,4505890,,Excellent état,,Gaz,,Isolé,18 m²,21 m²,18 m²,19 m²,,,Oui,Non,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,Steenokkerzeel - Kampenhout - Perk - Melsbroek - N
114,,,,À définir,17 m²,B,20210723-0002444610-RES-1,Non communiqué,Non communiqué,"Oui, conforme",Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,"Haachtsebaan 119
3140 - Keerbergen",4490885,4,2,7,540 m²,77 m²,3,Oui,30 m²,,,,30 m,Connecté,Oui,30 m²,,,Oui,,Oui,,,Oui,1.255.000 €,2.889 €,Hyper équipée,,19 m²,,24 m²,,,,,,2005,Bon,20 m,,,Pays,5,20 m²,18 m²,40 m²,15 m²,Non,192 kWh/m²,Zone non inondable,,,,,,,,,,,,2,,300 m²,,,,,,,,,,,,,1868 m²,,Oui,,,,,,
115,,,,,4,586 kWh/m²,F,2453678-RES-1,Non communiqué,Non communiqué,Non,Non,Non,Zone non inondable,,731 €,Non,"Stationstraat 20
3150 - Haacht",4,2,2,,160 m²,1,,Non,,,Non,658 m²,14.34 m,Connecté,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",298.000 €,32 m²,,Pas équipée,,2,,,,,21/5514,1957,À rénover,7.5 m,,,,,16 m²,15 m²,10 m²,22 m²,,,Non,,,,,Non,,,,,Est,,,,Oui,,,,,,,,,,,,,,7 m²,,,Oui,,,,
116,,,,Après la signature de l’acte,3,799 kWh/m²,F,20210921-0002466954-RES-1,Non communiqué,Non communiqué,,,Oui,Zone non inondable,,550 €,Non,"Haachtsesteenweg 322
1910 - KAMPENHOUT",4,1,3,,152 m²,1,,,Oui,Oui,,2500 m²,,,Non,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,,,,1,,,,,4526562,1931,À rénover,,Mazout,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,3,364 kWh/m²,D,2452580-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,1.898 €,Non,"Stationstraat 20
3150 - Haacht",4,1,2,,200 m²,1,,Non,,,Non,1652 m²,28 m,Connecté,Non,,,,,,,,,Parc résidentiel,495.000 €,42 m²,,Équipée,,2,,,,,21/5509,1988,,15 m,,,,18 m²,29 m²,16 m²,16 m²,,,,Non,,,,,Non,,,,,Sud-ouest,,,,Oui,,,,,,,,,Villa,,,,,120 m²,,,Oui,,,,
118,,,,Après la signature de l’acte,5,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Non,,,,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",4,,,,,2,,,Oui,,,1035 m²,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",599.000 €,48 m²,Oui,Pas équipée,1,2,,,,,4407196,,Excellent état,,,,,23 m²,18 m²,10 m²,12 m²,18 m²,70 m²,,,,,,,,,,,,,,9 m²,,Oui,,,,,,,,,,,,,,,,40,,,,,
