,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Ascenseur,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Surface de bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Revenu cadastral,Surface de la cuisine,Grenier,Terrasse,Type de construction,Surface de la chambre 4,Surface de la cave,Type d’environnement,Raccordement à l'égout,Surface de la chambre 5,Cave,Référence externe,Surface de l'espace professionnel,Surface constructible totale au sol,Largeur du terrain à rue,Combien de feux ouverts ?,Attestation as-built,Autorisation de lotissement,Jardin,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Salon,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Charges mensuelles
51,Après la signature de l’acte,1968,Excellent état,23 m,4,4,,63 m²,Oui,20 m²,38 m²,1,10,27 m²,Oui,Connecté,19 m²,Oui,,,,Non,Oui,E,20190624-0000552006-01,67 kg CO₂/m²,Non communiqué,Mazout,17.785 €,"Avenue Louise 200
1050 - Bruxelles",3758697,,,,1100 m²,,Hyper équipée,24 m²,21 m²,20 m²,,,Oui,,,,4895 m²,,,,,,Oui,Oui,Oui,,Oui,,,260 kWh/m²,,,Oui,,,,,1500 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,7,Non,Oui,,27 m²,,,Non,7,Oui,,,Non,,,,Non,,,4.950.000 €,,,,,,,,,
52,Après la signature de l’acte,1912,À rénover,6 m,2,,,250 m²,17 m²,,4,2,1,3,Oui,,Oui,78 m²,,,,,,464 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,450.000 €,Non,"Rue Du Postillon 3
1180 - Uccle",,,,,,Oui,17 m²,16 m²,17 m²,,,9 m²,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,11 m²,,,,14 m²,,,Connecté,,,4529415,,,,,,,,,,,,,,,,,,
53,Après la signature de l’acte,1908,Fraîchement rénové,7.35 m,2,,,192 m²,60 m²,Américaine hyper-équipée,3,3,,3,,170 m²,Oui,,,21 m²,,Non,Oui,174 kWh/m²,D,Non communiqué,34 kg CO₂/m²,Non communiqué,645.000 €,Non,"Place Georges Brugmann, 11
1050 - Ixelles",4420513,31 octobre 2020 - 00:00,,,,,18 m²,12 m²,12 m²,,,,,,,Non,,,,,,,Oui,,,,,,Non,,,Gaz,,,,,Oui,,,,,,,,,,,,,Connecté,,Oui,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
54,À définir,1910,Excellent état,,,,,250 m²,150 m²,Équipée,2,1,,,Oui,,Non,40 m²,,,,Non,Non,877 kWh/m²,G,20201205­0000579262­01­5,176 kg CO₂/m²,Non communiqué,1.030.000 €,Non,"Avenue Louise 404a
1050 - Ixelles",4854918,1 juin 2022 - 00:00,,,,,,,,Non,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,,,Non,,,Gaz,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,Connecté,,,,,317 m²,,,Non,Non,,Non,,,,,,,,,,
55,Après la signature de l’acte,1968,Excellent état,,4,3,10,800 m²,150 m²,Hyper équipée,6,6,1,,Non,4895 m²,Oui,,,100 m²,,Oui,,484 kWh/m²,G,20111123-0000035982-01-8,143 kg CO₂/m²,Non communiqué,4.950.000 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/25339,,,,,,50 m²,35 m²,35 m²,,,,,,,,,,,,,,,,,,,,Oui,,,Mazout,,,,,,,,,,17.785 €,,,,,35 m²,,,Connecté,20 m²,Oui,,,,,,,,,,,,,,,,,,,
56,Après la signature de l’acte,1968,Excellent état,13 m,4,1,,1100 m²,150 m²,Équipée,5,7,,10,Oui,,Non,,,,,Oui,Non,260 kWh/m²,E,E-,64 kg CO₂/m²,Non communiqué,4.950.000 €,Non,"Avenue Louise 404a
1050 - Ixelles",3981405,,,,Oui,Oui,50 m²,35 m²,35 m²,Non,,27 m²,,,,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,,Oui,,,Oui,,,Mazout,Non,Non,Non,Non,Oui,,Non,Non,,17.785 €,,,,,35 m²,,,Connecté,20 m²,,,,1500 m²,,1,Non,Non,,"Oui, pas conforme",,,,,,,,,,
57,,,Fraîchement rénové,,2,,,210 m²,25 m²,Hyper équipée,5,3,,3,,90 m²,Oui,,,,,,,221 kWh/m²,E,20210308-0000584151-01-4,44 kg CO₂/m²,Non communiqué,400.000 €,Non,"Venelle de la réserve 2
1300 - Wavre",5152 - 4969,,,,,,41 m²,27 m²,21 m²,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,899 €,10 m²,,Oui,,12 m²,38 m²,,,12 m²,,,,,,,Non,,,,,,,,,,,,,
58,Après la signature de l’acte,1945,Excellent état,6 m,2,,,228 m²,,,3,3,,3,,127 m²,Oui,,,3 m²,Sud,,Oui,342 kWh/m²,F,Non communiqué,67 kg CO₂/m²,Non communiqué,450.000 €,Oui,"Chaussée de Bruxelles 165
1190 - Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,Immobilière Georges,,,,,,,,
59,,,Bon,,2,,,220 m²,,,6,,,,Non,1 m²,Non,1 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,610.000 €,Oui,,,,,,,,,,,Non,,,Non,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,Mazout,Non,Non,Non,Oui,Oui,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
60,Après la signature de l’acte,1926,Bon,12 m,3,2,2,516 m²,46 m²,Hyper équipée,8,4,4,5,Oui,700 m²,Oui,510 m²,,28 m²,,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.450.000 €,Non,"Place Georges Brugmann, 11
1050 - Ixelles",4496889,,,,Oui,,20 m²,30 m²,18 m²,,,,,,,Non,,,,,,,Non,,,,,,Non,,,Mazout,,,Oui,,Oui,,Non,Non,Zone non inondable,,16 m²,Oui,,,16 m²,,,Connecté,17 m²,Oui,,,450 m²,33 m,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,
61,Après la signature de l’acte,1922,Bon,13 m,3,1,2,450 m²,,Pas équipée,6,,,,,800 m²,Oui,,,,,,,534 kWh/m²,G,20130915-0000186199-01-2,155 kg CO₂/m²,Non communiqué,1.325.000 €,,"Avenue Capouillet 58 A
1410 - Waterloo",,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,
62,Après la signature de l’acte,1926,,,,,,115 m²,,Équipée,2,1,,2,,95 m²,Oui,15 m²,Nord-ouest,16 m²,,,,331 kWh/m²,F,20210705-0000592035-01-6,82 kg CO₂/m²,Non communiqué,345.000 €,Non,"Rue de Stalle 288C
1180 - Uccle",14699 - 4138429,,,,,Oui,23 m²,11 m²,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,,,,,798 €,13 m²,,,,,3 m²,,,,,,,,,,Non,,,,,,,,,,,,,
63,Après la signature de l’acte,,À rafraîchir,5.5 m,2,,,231 m²,,Hyper équipée,3,1,,2,,89 m²,Oui,9 m²,Nord-ouest,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,398.000 €,Oui,"Chaussée de Bruxelles 165
1190 - Forest",,,,,,,21 m²,20 m²,13 m²,,,,,3 m²,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,22 m²,,,,,44 m²,,Connecté,,,,,,,,,,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,,,,,,,,
64,,,,,,Oui,,,,1,3,Oui,,Oui,,468 kWh/m²,,,,,,,,20210507-0000588415-01-6,Non communiqué,Non communiqué,"Zone d’hab., ZICHEE, le long d’un espace struct.",480.000 €,,Henri DE CLIPPELE,,,2,,Oui,,6,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avenue Louise, 65/5
1050 - Bruxelles-Quartier Louise",,Oui,G,,,,,,,135 m²,,,,,,,,,,,,Équipée,,Non,mercr. 6-13-20/10 de 16-18h et sam. 9-16-23/10 de 10-12h. MASQUE OBLIGATOIRE,10 décembre 2021 - 00:00,2.454 €,Non,
65,,1911,,,2,1,1,640 m²,94 m²,Équipée,8,2,,,,1032 m²,,800 m²,Est,40 m²,,,,411 kWh/m²,G,G - 20200921-0000575158-01-2,81 kg CO₂/m²,Non communiqué,1.450.000 €,Oui,"Chausse de St. Job, 546
1180 - Bruxelles",Julian Tuchnaider,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,,,,,Gaz,Non,Non,Non,,Non,,,,,2.371 €,,,,,,,,Connecté,,Oui,,,,,,Non,,,,,1019055JTcd,,,,,,"Façade, réception, toiture et arbre (erable) classés",,
66,3,,,,,,,,,,G,,,,,,,,,,,,,20210712-0000592471-01-9,Non communiqué,Non communiqué,"Urb.: zone mixte, le long d'un espace struct.",180.000 €,,Arnaud DROUGUET,,,,,787 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avenue Louise, 65/5
1050 - Bruxelles-Quartier Louise",,,,,,,,,,,,,,,,,,,,,,,,Non,"Vis. : merc. : 29/9, 6/10 et 13/10/21 de 15-17h et sam. 25/9, 02/10 et 09/10 de 11h30-13h30. MAX 2 PERS. MASQUE OBLIGATOIRE - GEL hydro-alcoolique non fourni",Après la signature de l’acte,493 €,Non,
67,À définir,,Bon,,,1,,Équipée,,6,Non,,,Oui,,,19803 kWh/m²,,,,,,,G,20210429-0000587834-01-6,Non communiqué,Non communiqué,Non,Oui,"Rue de Tubize, 5
1440 - Braine-le-Château",,,,,273 m²,,,,,,4,,,,,,Connecté,,,,,,,,,,,,,,,,,620.000 €,,,,,,,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,
68,,1968,,,,3,,1500 m²,,,7,6,,,Non,4895 m²,Oui,,,,,Non,Non,260 kWh/m²,E,20190624-0000552006-01,Non communiqué,Non communiqué,4.950.000 €,Non,"H. Conciencelaan 70
8000 - Brugge",,,,,Oui,Oui,,,,Non,,,,,,,,Non,Non,Non,Non,Non,Non,Oui,,Non,,,Oui,,,,,,,,Non,Non,Non,Non,,17.785 €,,,Oui,,,,Urbain,Non connecté,,Oui,BFU2234,,,,,,Non,,,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",,Oui,,,,,,,
69,Après la signature de l’acte,,,,2,,,420 m²,,,5,3,3,,,,,,,,,,,244 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,935.000 €,Oui,"Rue Du Postillon 3
1180 - Uccle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,,,4500746,80 m²,,,,,,,,,,,,,,,,,
70,,,,,2,,,1135 m²,,Équipée,,,,,,,,,,,,,,348 kWh/m²,G,Non communiqué,68 kg CO₂/m²,Non communiqué,2.200.000 €,Oui,"Rue du Bois 1
7090 - Hennuyères",1026,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,Non,Non,Non,,Non,,,,,,,,,,,,,,,,,,,,,Non,,,,,,Oui,,,,,,,
71,Après la signature de l’acte,1915,À rafraîchir,5 m,2,,,28 m²,Oui,13 m²,15 m²,2,,15 m²,Oui,5 m,42 m²,14 m²,,235 kWh/m²,,,,E,20211001-00005966-19-01-6,47 kg CO₂/m²,Non communiqué,Gaz,1.442 €,"Rue de la déportation 61 bte 12
1480 - Tubize",4528459,,,,170 m²,,Américaine équipée,12 m²,14 m²,23 m²,,,Oui,,,,106 m²,,,,,,,,,,,,,,,,53 m²,,,,,,,Zone d'habitat mixte (habitat & activité économique),,,Non,4,Non,,,1,,Urbain,Oui,,Oui,,,Oui,Connecté,,,,,,Faire offre à partir de 398.000 €,,,,,,,,,
72,Après la signature de l’acte,1929,À rafraîchir,,2,,,,22 m²,Équipée,3,1,,2,Non,90 m²,Oui,,,,,,,461 kWh/m²,G,20210303-0000583768-01-7,100 kg CO₂/m²,Non communiqué,399.000 €,Non,,,,,,Oui,,14 m²,12 m²,15 m²,Non,Oui,,Non,,,Non,Non,Non,Non,Non,Non,,,,,,,,,,,Gaz,Non,Non,Non,Non,Non,,,,,751 €,15 m²,,,,,35 m²,,Connecté,,,,,,,,,,,,,,,,,,,,,
73,Après la signature de l’acte,1970,,7 m,2,,,275 m²,30 m²,,5,1,,2,Non,320 m²,Oui,250 m²,Sud-ouest,20 m²,Sud-ouest,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,449.000 €,Non,,,,,,,Oui,20 m²,14 m²,11 m²,Non,,,Non,12 m²,,Non,Non,Oui,Non,Oui,Non,,,,,,,,,,,Gaz,Non,Non,Non,Non,Non,,,,,,16 m²,,,,14 m²,30 m²,,Connecté,16 m²,,,,,,,,,,Non,,,,,,,,,,
74,Immédiatement,1760,Bon,,2,,,260 m²,,Semi-équipée,3,1,1,,Oui,,Oui,,,,,,Oui,355 kWh/m²,G,201605200000339,355 kg CO₂/m²,Non communiqué,Faire offre à partir de 599.000 €,Non,"4, Place Sabatier
6031 - MONCEAU-SUR-SAMBRE",,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,Oui,,,Non,,,Gaz,,,,,Oui,,,,,700 €,,Oui,Oui,,,,,Connecté,,Oui,3888536/v422,,,,,,,,,,,,,,,,,,
75,,1920,À rénover,,,,,280 m²,,,5,2,,,Oui,147 m²,Oui,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,535.000 €,Non,"Rue du Mail 77
1050 - Bruxelles-Quartier Louise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,1.797 €,,,,,,,,Connecté,,Oui,613/2679,,,,,,,,,,,,,,,,,,
76,Après la signature de l’acte,1900,,,2,,,115 m²,,,3,1,1,1,,,Oui,,,,,,,690 kWh/m²,G,Non communiqué,138 kg CO₂/m²,Non communiqué,330.000 €,Non,"Rue Général Leman 133
1040 - Etterbeek",4454755,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,458 €,10 m²,Oui,,,,,,Connecté,,Oui,,,,,,,,,,,,,,,,,,,
77,,1920,Bon,,2,,,640 m²,,,,,,,,264 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,999.000 €,Oui,"Rue Camille Lemonnier , 68
1050 - Ixelles",5435 - 1981292,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,,Oui,,,,12 m,,Non,,,,,,,,,,,,,
78,,,,6 m,2,,,,,,2,1,,2,Non,145 m²,Oui,90 m²,,6 m²,,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,335.000 €,Non,,,,,,,Oui,,,,Non,Oui,,Non,,,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,,,Non,Non,Non,Oui,Oui,,,,,,,,,Toutes sortes,,,,,,Oui,,,,,,,,,,,,Oui,,,,,,,
79,Selon le locataire,,,,,,,270 m²,,,,,,,Non,360 m²,Non,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,680.000 €,Non,"Avenue de la Chasse, 164
1040 - Etterbeek",5999123,,,,,,,,,Non,,,,,,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,Non,Non,Non,Non,Non,,Non,Non,,,,,,,,,,Non connecté,,,,,360 m²,,,Non,Non,,Non,,,,,,,,,,
80,Après la signature de l’acte,1920,Excellent état,6 m,1,,,330 m²,,Américaine hyper-équipée,5,1,1,4,Oui,220 m²,Oui,1 m²,,,,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.050.000 €,Non,,,,,,Oui,Oui,,,,Oui,Oui,,Oui,,,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Oui,en cours,,Non,Non,Non,Oui,Non,Non,,Non,,2.300 €,,Oui,,Toutes sortes,,,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,Oui,,,,,,,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,,,,
81,Après la signature de l’acte,1952,Bon,4.5 m,2,,,188 m²,18 m²,Hyper équipée,4,1,1,2,Oui,43 m²,Oui,,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,400.000 €,Non,"Rue André Baillon 28 bte 5
1190 - Forest",Laurette Jolivot,,,,,Oui,14 m²,12 m²,12 m²,,Oui,6 m²,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,Zone non inondable,537 €,12 m²,Oui,,,25 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,,,,,,,,,,,,,,,,,,,,
82,Après la signature de l’acte,1937,Bon,6.25 m,2,,,204 m²,,Américaine équipée,4,3,,4,,117 m²,Oui,50 m²,,,,,,256 kWh/m²,E,20190711-0000553051-01-2,Non communiqué,Non communiqué,680.000 €,Oui,"Olmenlaan 37,
1750 - Lennik",,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,Connecté,,,4453970,,230 m²,6.25 m,,,,,,,,Oui,,,,,,,
83,Après la signature de l’acte,1937,Bon,6.25 m,2,,,204 m²,,Américaine équipée,4,3,,4,,117 m²,Oui,50 m²,,,,,,256 kWh/m²,E,20190711-0000553051-01-2,Non communiqué,Non communiqué,680.000 €,Oui,"Olmenlaan 37,
1750 - Lennik",,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,Connecté,,,4443366,,230 m²,6.25 m,,,,,,,,,,,,,,,
84,Après la signature de l’acte,1930,À rafraîchir,6 m,2,,,210 m²,35 m²,Équipée,4,1,,2,,203 m²,,130 m²,,,,,Oui,489 kWh/m²,G,588808,Non communiqué,Non communiqué,495.000 €,Non,"Rue Zeyp 17
1083 - Ganshoren",4357318,,,,,Oui,25 m²,17 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,Oui,,,,,1.693 €,14 m²,Oui,Oui,,9 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,
85,À définir,1911,Excellent état,,3,1,3,,,Américaine hyper-équipée,5,3,2,5,Oui,215 m²,Oui,,,70 m²,,Non,Oui,315 kWh/m²,F,20180506000592,Non communiqué,Non communiqué,1.300.000 €,Oui,"Avenue Marius Meurée 95
6001 - Charleroi",,,,,,,,,,,,173 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,Zone non inondable,,,,,,,,Isolé,Connecté,,Oui,4399596,173 m²,,,,,,,,,,,,,,,,,
86,Après la signature de l’acte,1931,À rénover,55 m,2,,,300 m²,4 m²,,4,4,4,4,,,,20 m²,,,,,,849 kWh/m²,G,Non communiqué,170 kg CO₂/m²,Non communiqué,505.000 €,Oui,"Parvis St-Pierre, 15
1180 - Uccle",4323056,,Bruxelles (19 communes),,,,4 m²,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
87,À définir,1911,Bon,,3,1,2,,,Américaine équipée,5,3,1,3,Oui,215 m²,,,,70 m²,,,Oui,315 kWh/m²,F,20180506000592,Non communiqué,Non communiqué,1.300.000 €,Non,"Avenue Marius Meurée 95
6001 - Charleroi",,,,,,,,,,,,173 m²,,,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,,,,,,,Oui,,,,,,,,Oui,4400124,,,,,,,,,,,,,,,,,,
88,Après la signature de l’acte,1920,Excellent état,,2,,,260 m²,39 m²,Américaine hyper-équipée,4,1,1,2,Oui,203 m²,Non,,,15 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,625.000 €,Non,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,,,,,18 m²,25 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,1.150 €,10 m²,Oui,,,15 m²,,,,,Oui,4400832,,,,,,,,,,,,,,,,,,
89,Après la signature de l’acte,,,5 m,2,,,147 m²,50 m²,,3,1,1,2,,58 m²,Oui,,,,,,,491 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,297.000 €,Non,"Chaussée de Waterloo 33
1060 - St-Gilles",,,,,,,20 m²,12 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,738 €,9 m²,Oui,,,,,,,,Oui,4307502,,190 m²,,,,,,,,,,,,,,,,
90,,,,,2,,,60 m²,25 m²,,1,,,,,,,,,,,,Oui,815 kWh/m²,G,20181108-0000538520-01-6,164 kg CO₂/m²,Non communiqué,280.000 €,Oui,"Chaussée d Alsemberg 256
1190 - Forest",,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,4334112,,,,,,,,,,,,,,,,,,
91,Selon le locataire,1890,À rénover,,2,,,170 m²,21 m²,Pas équipée,7,1,,1,,,Oui,60 m²,,,,,,540 kWh/m²,G,Non communiqué,107 kg CO₂/m²,Non communiqué,420.000 €,Non,"Av Victor Rousseau 272
1190 - Forest",4405985,,,,,,16 m²,10 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,11 m²,,,,14 m²,10 m²,,,21 m²,,,,,,,,,,,,,,,,,,,,
92,Après la signature de l’acte,2015,,,2,,,140 m²,45 m²,Équipée,3,1,1,2,,,,,,,,,,64 kWh/m²,B,Non communiqué,25 kg CO₂/m²,Non communiqué,449.000 €,Non,"Avenue des sept Bonniers 6
1180 - Uccle",499 - 403,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,Non,,,,,,,64,,,,,,
93,Après la signature de l’acte,1911,À rénover,12 m,2,1,1,8,,,2,Oui,,,Oui,12 m,,40 m²,,Non communiqué,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.450.000 €,Non,"Rue Edith Cavell 133
1180 - Uccle",4453147,,,,640 m²,,,,,,,,,,,,1032 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Oui,,,,800 m²,,,,,,,,,,,,,,,
94,,,À rafraîchir,,2,,,,,Semi-équipée,3,,3,3,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,549.000 €,Oui,"Avenue des sept Bonniers 6
1180 - Uccle",500 - 404,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,2.290 €,,,,,,,,,,Oui,,,,,,Non,,,,,,,,,,,,,
95,,,Fraîchement rénové,,,,,,,Pas équipée,4,,2,,,113 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,550.000 €,Non,"Avenue Wiston Churchill 192
1180 - Uccle",4564 - 87459880,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,Oui,,,,,,,,,,,,,Non,,,,,,,,,,,,,
96,Après la signature de l’acte,1958,,,2,,,,,,8,,,,,,Oui,,,,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.300.000 €,Oui,"Boulevard de Waterloo 16
1000 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazout,,,,,Oui,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,,,,,,,,,,,,GOFFIN,,,,,,,,
97,Selon le locataire,,,,2,,,400 m²,,,7,5,,,,330 m²,,200 m²,,30 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,945.000 €,Non,"Chaussée de Charleroi 259
1060 - ST-Gilles",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092781,,,,,,,,,,,Oui,,,,,,,
98,À définir,,Bon,,2,,,,,Semi-équipée,7,3,3,3,,,Oui,,,,,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,409.999 €,Oui,"Avenue Paul Gilson 15
1601 - Ruisbroek",4508441,,,,,,,,,,,,,,,Non,,,,,,,Non,Oui,,,,,,,,Gaz,,,,,Oui,,,,,,,,Oui,,,,,Connecté,,Oui,,,,,,,,,,,,Oui,,,,,,,
99,,,,,2,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.250.000 €,Oui,"Place du champ de Mars 5
1050 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4303441,,,,,,,,,,,,,,,,,,
100,Après la signature de l’acte,1937,Bon,5.9 m,2,1,,30 m²,Oui,6 m²,15 m²,1,2,Oui,,Connecté,45 m²,5 m²,,Non,,Non,Non,G,Non communiqué,76 kg CO₂/m²,Non communiqué,Gaz,1.529 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4528536,,,Bruxelles (19 communes),133 m²,,Hyper équipée,13 m²,20 m²,2,,,,,,,105 m²,,,,,,,Oui,,,,,,383 kWh/m²,,,549.000 €,,,,,,,,,,Non,3,Non,,,,,Isolé,Oui,,Oui,,,,,,,,,,,,,,,,,,,
101,Après la signature de l’acte,1934,Excellent état,6 m,2,,,35 m²,Oui,9 m²,16 m²,2,1,16 m²,Oui,Connecté,35 m²,25 m²,,Non,,Non,Non,E,Non communiqué,52 kg CO₂/m²,Non communiqué,Gaz,1.204 €,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4451341,,,Bruxelles (19 communes),240 m²,,Hyper équipée,14 m²,10 m²,20 m²,,,Oui,,,,140 m²,,,,,,,Oui,,,,,,259 kWh/m²,,,620.000 €,,,,,,,,,,Non,4,Non,,,2,,Urbain,Oui,,Oui,,,,,,,,,,,,,,,,,,,
