,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Terrain à front de rue,Terrasse,Ascenseur,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Type d’environnement,Surface du salon,Salles de douche,Surface de bureau,Bureau,Largeur du terrain à rue,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,À partir de,Parkings extérieurs,Combien de feux ouverts ?,Accès sécurisé / alarme,Interphone vidéo,Type de zone inondable,Référence externe,Surface du jardin,Surface de la terrasse,Disponible le,Surface de la cuisine,Buanderie,Orientation du jardin,Parlophone,Largeur de la façade à rue,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Raccordement à l'égout,Accessible aux personnes avec un handicap,Piscine,Surface constructible totale au sol,Jardin,Nom de l'agent,Dressing,Concierge,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Visite virtuelle,Surface de la cave,Espace professionnel,Surface du grenier,Porte blindée,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Droit d'achat prioritaire possible,Charges mensuelles,Revenu mensuel actuel,Salon,Nombre d'annexes,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Nom du bien,Étage,Nombre d'étages,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
10,2021,,2,,222 m²,,3,1,2,,Non,302 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,430.800 €,,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",GF - LOT 13 - NIVELLES - 2021,,57 m²,1,,,1 m,,Non,Non,Non,,2,,,Oui,,,192 m²,15 m²,1 décembre 2021 - 00:00,1 m²,Oui,Nord-ouest,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,4,,,,5,,,,Non,1000 m²,,Oui,,480 kWh/m²,F,Non communiqué,Non communiqué,62111 kWh/an,Non,,,560.000 €,376 €,Non,"7 rue de Namur
1400 - Nivelles",,,,,,,,,,,,,,,,,Zone non inondable,3571 - 1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1850,À rafraîchir,3,2,250 m²,Équipée,5,2,3,Oui,,770 m²,,,Non,417 kWh/m²,E,20210526017750,Non communiqué,141878 kWh/an,,Mazout,Oui,Faire offre à partir de 445.000 €,1.197 €,Non,"Place Emile Delalieux 1
1400 - Nivelles",4498172,Urbain,48 m²,1,,,12 m,,,,,Après la signature de l’acte,,,Oui,,,,500 m²,40 m²,,7 m²,,,Oui,12 m,Oui,21 m²,19 m²,17 m²,16 m²,9 m²,16 m²,Oui,Connecté,Non,Non,130 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1990,À rafraîchir,4,,170 m²,,3,1,2,,,690 m²,,Oui,,482 kWh/m²,F,20141014017781,Non communiqué,81901 kWh/an,,Électrique,Oui,Faire offre à partir de 375.000 €,1.856 €,Non,"rue Laurent Delvaux, 25
1400 - Nivelles",,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,Oui,À définir,,,Oui,,,,,,,,,Sud-est,,,,18 m²,12 m²,11 m²,,,,,,,,,Oui,Julie CNEUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1990,Bon,4,1,150 m²,Équipée,3,1,2,,Non,520 m²,,,Non,502 kWh/m²,F,20210219005182,143 kg CO₂/m²,Non communiqué,,Électrique,Oui,400.000 €,1.531 €,Non,"Avenue Général Mellier 20
5030 - Gembloux",spir1776,Urbain,40 m²,,8 m²,Oui,,,Non,,,Après la signature de l’acte,2,1,Oui,Non,,,520 m²,,,14 m²,,Sud-est,Non,,,18 m²,13 m²,15 m²,,,,,,Non,Non,,,,Non,Non,Non,Non,Zone d'extension d'habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2003,Excellent état,4,1,172 m²,Américaine hyper-équipée,3,1,1,Oui,Non,315 m²,,,,250 kWh/m²,C,20120313029388,46 kg CO₂/m²,39471 kWh/an,Non,Gaz,Oui,465.000 €,1.988 €,Non,"Rue de Namur 93
1400 - Nivelles",2721 - 1276,,54 m²,,12 m²,Oui,14 m,Oui,,,,,1,,,,,,160 m²,,,,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1850,Excellent état,3,1,184 m²,Hyper équipée,3,1,1,Oui,Non,3910 m²,,,,352 kWh/m²,E,20210526002362,88 kg CO₂/m²,64857 kWh/an,Non,Mazout,Oui,495.000 €,659 €,Non,"Rue de Namur 93
1400 - Nivelles",2719 - 1274,,,,17 m²,Oui,,Oui,,,,Après la signature de l’acte,,1,,,,,3000 m²,29 m²,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1985,Excellent état,4,1,176 m²,Hyper équipée,3,,2,Oui,Non,735 m²,,,,324 kWh/m²,D,20210504015133,93 kg CO₂/m²,57074 kWh/an,Non,Électrique,Oui,425.000 €,1.794 €,Non,"Rue de Namur 93
1400 - Nivelles",2714 - 1270,,35 m²,1,,,18.3 m,Oui,,,,,,1,Oui,,,,500 m²,40 m²,,,,Sud,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1961,À rafraîchir,4,,84 m²,,2,,1,,,299 m²,,,,776 kWh/m²,G,20210712017371,Non communiqué,65575 kWh/an,,Mazout,Oui,Faire offre à partir de 240.000 €,1.316 €,Non,"rue Laurent Delvaux, 25
1400 - Nivelles",,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,,,,Non,,Non,À définir,,,,,,,,,,,,,,,,11 m²,10 m²,,,,,Oui,,,,,,Julie CNEUDE,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Excellent état,4,2,936 m²,Hyper équipée,8,2,6,Oui,,44720 m²,,,,179 kWh/m²,C,20190930001986,Non communiqué,122597 kWh/an,,Mazout,Oui,Faire offre à partir de 1.855.000 €,2.992 €,,"Place du Trichon, 3
7181 - FELUY",,Pays,40 m²,,25 m²,Oui,,,,,,Après la signature de l’acte,6,1,,,Zone non inondable,,,,,37 m²,Oui,,,,Oui,100 m²,70 m²,20 m²,20 m²,20 m²,,,Non connecté,,,,,,Oui,,,,,,,BORNIVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
