,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Terrain à front de rue,Terrasse,Ascenseur,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Type d’environnement,Surface du salon,Salles de douche,Surface de bureau,Bureau,Largeur du terrain à rue,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,À partir de,Parkings extérieurs,Combien de feux ouverts ?,Accès sécurisé / alarme,Interphone vidéo,Type de zone inondable,Référence externe,Surface du jardin,Surface de la terrasse,Disponible le,Surface de la cuisine,Buanderie,Orientation du jardin,Parlophone,Largeur de la façade à rue,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Raccordement à l'égout,Accessible aux personnes avec un handicap,Piscine,Surface constructible totale au sol,Jardin,Nom de l'agent,Dressing,Concierge,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Visite virtuelle,Surface de la cave,Espace professionnel,Surface du grenier,Porte blindée,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Droit d'achat prioritaire possible,Charges mensuelles,Revenu mensuel actuel,Salon,Nombre d'annexes,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Nom du bien,Étage,Nombre d'étages,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
65,1992,Excellent état,4,5,480 m²,Hyper équipée,5,4,5,Oui,,3240 m²,,,,237 kWh/m²,C,20200728018107,59 kg CO₂/m²,113880 kWh/an,,Mazout,Oui,1.095.000 €,7.620 €,,"Rue de l'Infante 123 Bt 1
1410 - Waterloo",Guglielmi Palmina,,92 m²,,16 m²,Oui,,,,,,Après la signature de l’acte,10,1,Oui,,,,,20 m²,,,Oui,,Oui,,,36 m²,36 m²,27 m²,24 m²,24 m²,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,
66,1977,À rénover,2,1,100 m²,Semi-équipée,3,1,2,Oui,Non,293 m²,,,,349 kWh/m²,E,20210906014388,64 kg CO₂/m²,59841 kWh/an,,Gaz,Oui,350.000 €,1.621 €,Non,"Boulevard de la Cense, 36
1410 - Waterloo",4495820,,34 m²,,,,7 m,Oui,,,,Après la signature de l’acte,2,,,,Zone non inondable,,200 m²,15 m²,1 décembre 2021 - 00:00,7 m²,,,,7 m,,16 m²,12 m²,8 m²,,,,Oui,Connecté,,,185 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1970,À rafraîchir,4,1,35 m²,11 m²,16 m²,1,10 m²,,876 m²,18 m,,,,F,2021073003779,Non communiqué,78961 kWh/an,Mazout,,Oui,140 m²,3.019 €,Non,"Chaussée d'Alsemberg 4
1420 - Braine-l'Alleud",4420900,,,Hyper équipée,,,,Connecté,250 m²,,,,Après la signature de l’acte,,,,,520.000 €,,45 m²,486 kWh/m²,,3,,,,11 m,,12 m²,11 m²,1,,,,Non,Non,,,Zone non inondable,,,,,,,,,,,120 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1974,Excellent état,4,4,210 m²,Hyper équipée,3,1,2,,Non,1000 m²,,Oui,,271 kWh/m²,D,20210713013687,50 kg CO₂/m²,59166 kWh/an,Non,Gaz,Oui,840.000 €,3.929 €,Non,"Chaussée de Waterloo, 238
1410 - Waterloo",218730 - 111114381,,,1,,Oui,,,,,,Après la signature de l’acte,5,1,Oui,,,,900 m²,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1979,Bon,4,2,330 m²,Américaine équipée,5,3,4,,Non,1000 m²,,,Non,250 kWh/m²,C,20181019012406,Non communiqué,Non communiqué,,Mazout,Oui,850.000 €,4.600 €,Non,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",4421240,,40 m²,3,10 m²,Oui,7 m,Oui,,,,Après la signature de l’acte,6,,Oui,,Zone non inondable,,1000 m²,51 m²,1 août 2021 - 00:00,18 m²,,,,13 m,Oui,24 m²,16 m²,13 m²,12 m²,12 m²,10 m²,Oui,Connecté,Non,Non,390 m²,,,,,,,,Oui,,,,,,,Oui,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,
70,2001,Excellent état,4,2,65 m²,16 m²,25 m²,2,Oui,Oui,920 m²,Connecté,,,Non,D,20170511010435,58 kg CO₂/m²,81868 kWh/an,Gaz,,Oui,Zone non inondable,4.563 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4400096,,,Oui,3,,,,650 m²,,,,Selon le locataire,2,,Non,,895.000 €,,93 m²,Non,,4,,,,11.5 m,Équipée,15 m²,14 m²,10 m²,2,,,Non,Non,Oui,314 kWh/m²,,,,,,,,,,,,243 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1962,Excellent état,4,,29 m²,13 m²,21 m²,3,Oui,,718 m²,Non connecté,,,Non,C,C,44 kg CO₂/m²,65890 kWh/an,Gaz,,Oui,Zone non inondable,4.189 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4346558,,,Oui,3,,,,450 m²,,,,Après la signature de l’acte,,,Non,,949.000 €,,35 m²,Non,23 août 2021 - 00:00,6,,,,14.6 m,Hyper équipée,20 m²,11 m²,9 m²,22 m²,3,,Non,Non,Oui,237 kWh/m²,,,,,,,,,,,,350 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1972,Bon,4,2,58 m²,17 m²,21 m²,2,6 m²,,1900 m²,Non connecté,,,Oui,F,20210517-0002415975-RES1,64 kg CO₂/m²,247187 kWh/an,Mazout,,Oui,Oui,4.997 €,Non,"Boulevard de la Cense, 36
1410 - Waterloo",4514030,,,Oui,4,Oui,Non,,1200 m²,,,,Après la signature de l’acte,6,,Oui,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,100 m²,Non,31 août 2021 - 00:00,5,,,Oui,18 m,Hyper équipée,17 m²,14 m²,28 m²,30 m²,3,,,Oui,Oui,495 kWh/m²,Non,,,,,,,1.380.000 €,,Zone non inondable,,376 m²,,,,,,,,,,386 m²,,Non,,,,,,,,,,,,,,,,,,,,,,,,
73,1971,Excellent état,4,3,410 m²,Hyper équipée,5,5,6,Oui,Non,2450 m²,,Oui,Non,293 kWh/m²,D,Non communiqué,Non communiqué,118023 kWh/an,,Gaz,,1.420.000 €,,Non,"Chaussee de Tubize 481/1
1420 - Braine L'Alleud",4292708,,72 m²,,26 m²,Oui,,Oui,,,,Après la signature de l’acte,,,Oui,,,,,,,25 m²,,,,18 m,,41 m²,20 m²,17 m²,14 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2005,Excellent état,4,1,950 m²,Américaine hyper-équipée,8,8,7,Oui,Non,2700 m²,,,Non,148 kWh/m²,B,20121212015659,27 kg CO₂/m²,139591 kWh/an,,Gaz,Oui,2.395.000 €,11.858 €,Non,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",4490109,,78 m²,5,15 m²,Oui,,Oui,,,,Après la signature de l’acte,13,,Oui,Oui,Zone non inondable,,2700 m²,80 m²,1 septembre 2021 - 00:00,42 m²,,,Oui,20 m,Oui,55 m²,27 m²,27 m²,35 m²,44 m²,30 m²,,Connecté,Non,Oui,950 m²,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,,,,,,Oui,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,
75,1980,Bon,4,1,41 m²,13 m²,10 m²,1,Oui,,,Connecté,,,,C,20180927017638,46 kg CO₂/m²,44066 kWh/an,Gaz,,Oui,Zone non inondable,2.550 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4531735,,,Équipée,3,,,,39 m²,,,,Après la signature de l’acte,1,,Oui,248 kWh/m²,515.000 €,,,Non,,3,,,,,,18 m²,22 m²,2,,,,480 m²,Oui,Oui,,,,,,,,,,,,,187 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1952,À rénover,4,1,23 m²,8 m²,17 m²,1,Oui,Oui,688 m²,Connecté,,Non,Non,D,20210819019289,61 kg CO₂/m²,61415 kWh/an,Gaz,,Oui,Zone non inondable,1.732 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4443029,,,Oui,2,,,,688 m²,,,,Après la signature de l’acte,2,,Non,,420.000 €,,Oui,,1 novembre 2021 - 00:00,1,,,,,Équipée,1,,,,,,Non,Non,Oui,332 kWh/m²,,,,,,,,,,,,175 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1989,Bon,4,2,44 m²,13 m²,21 m²,2,Oui,,1494 m²,Connecté,,,,D,20210421013717,7 kg CO₂/m²,68848 kWh/an,Électrique,,Oui,Zone non inondable,Non,,"Avenue Reine Astrid 215
1410 - Waterloo",4338002,,,Oui,3,,,,1000 m²,,,,Après la signature de l’acte,5,,,,749.500 €,,42 m²,268 kWh/m²,1 juillet 2021 - 00:00,5,,,,12.7 m,Équipée,10 m²,15 m²,13 m²,13 m²,2,,Non,Non,,,,,,,,,,,,,,254 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1972,Excellent état,4,2,58 m²,17 m²,21 m²,1,Non,,1900 m²,Connecté,,,Oui,F,20210517-0002415975-RES-1,1 kg CO₂/m²,Non communiqué,"Oui, conforme",,Zone non inondable,,9.240 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4367650,,,Oui,3,,,,,,,,Après la signature de l’acte,1,,,,1.380.000 €,,,Non,1 octobre 2021 - 00:00,5,,,,,Hyper équipée,14 m²,12 m²,13 m²,28 m²,3,,,104 m²,Oui,495 kWh/m²,,,,,,Mazout,,,,,,323 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1944,Excellent état,,,225 m²,Américaine non-équipée,4,2,2,,Non,1046 m²,Non,,Non,231 kWh/m²,C,20210510028896,44 kg CO₂/m²,5 kWh/an,Non,Gaz,Oui,820.000 €,3.810 €,Non,"Drève Richelle, 118
1410 - Waterloo",5575404,,36 m²,,9 m²,Oui,,Non,Non,Non,Non,Après la signature de l’acte,,1,Oui,Non,,,,200 m²,,,,,Non,,Oui,23 m²,19 m²,17 m²,12 m²,,,Oui,Connecté,Non,Oui,,,,Oui,Non,Non,,,Oui,Non,,,50 m²,,,Non,Non,Non,Non,,Non,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
80,1956,Excellent état,2,,160 m²,Équipée,3,1,2,,Non,200 m²,Non,,Non,50 kWh/m²,D,20120801022508,Non communiqué,Non communiqué,,,Oui,475.000 €,450 €,Non,,,,19 m²,,,Non,,Oui,Non,Non,Non,Selon le locataire,,,Non,Oui,,,200 m²,20 m²,,29 m²,Oui,Sud-est,Non,5 m,Oui,11 m²,11 m²,23 m²,,,,,Connecté,Non,Non,,,,Non,Non,,,,,,,,,Non,,Non,Non,Oui,Oui,Sud-est,Oui,,,Oui,,,,,,,,,,,,,Non,Non,Non,Oui,,,,274,,,,
81,1991,Bon,4,2,53 m²,21 m²,21 m²,3,Oui,Oui,1174 m²,Connecté,,Non,Non,E,20210501001911,85 kg CO₂/m²,76969 kWh/an,Mazout,,Oui,Zone non inondable,Non,,"Avenue Reine Astrid 215
1410 - Waterloo",4420376,,,Oui,4,,,,,,,,À définir,2,,Oui,,890.000 €,,Oui,,1 octobre 2021 - 00:00,4,,,,,Semi-équipée,16 m²,16 m²,16 m²,3,,,Non,1174 m²,Oui,341 kWh/m²,,,,,,,,,,,,224 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1992,Bon,4,2,450 m²,Hyper équipée,5,5,,Oui,Non,1393 m²,,Oui,Non,174 kWh/m²,C,20210211014726,33 kg CO₂/m²,95817 kWh/an,,Gaz,Oui,1.150.000 €,6.660 €,Non,"Chaussée de Louvain 433
1380 - Lasne",4394125,,,,,Oui,,Oui,,,,Après la signature de l’acte,3,,Oui,,Zone non inondable,,943 m²,,1 octobre 2021 - 00:00,,,,,,,,,,,,,,Connecté,Non,Oui,550 m²,,,,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2007,Excellent état,4,3,950 m²,Hyper équipée,7,3,6,,Non,2665 m²,,,,146 kWh/m²,B,CERTIF-P2-01649,27 kg CO₂/m²,Non communiqué,,Gaz,Oui,2.395.000 €,,Non,"Rue Paul Devigne 70 boite 33
1030 - Schaerbeek",ANTOINE D.,,78 m²,3,12 m²,Oui,40 m,Oui,,,,Après la signature de l’acte,8,1,Oui,Oui,,,1500 m²,20 m²,,40 m²,Oui,,Oui,,Oui,44 m²,34 m²,25 m²,22 m²,22 m²,40 m²,,Connecté,,Oui,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,,,40 m²,Oui,,,,Oui,,Ouest,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
84,1990,Excellent état,4,2,81 m²,16 m²,18 m²,3,Oui,,2785 m²,Connecté,,Non,Non,C,20210609022568,62 kg CO₂/m²,55044 kWh/an,Oui,,,Zone non inondable,4.942 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4383862,,,Oui,4,,,,,,,,À définir,3,,Oui,,975.000 €,,Oui,,1 avril 2022 - 00:00,4,,,,,Hyper équipée,11 m²,21 m²,14 m²,3,,,Non,1950 m²,Oui,218 kWh/m²,,,,,,,,,,,,319 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1977,Bon,4,2,Oui,5,30 m²,1,Oui,Non,5334 m²,5000 m²,,Non,Non,C,20130509008357,45 kg CO₂/m²,162021 kWh/an,Oui,,,Zone non inondable,11.763 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4509535,,,,5,,,,,,,,Après la signature de l’acte,4,,Oui,,1.995.000 €,,Oui,,8 septembre 2020 - 00:00,,,,,,Équipée,30 m²,22 m²,16 m²,14 m²,5,,,,Oui,182 kWh/m²,,,,,,,,,,,,700 m²,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,
86,1951,Bon,4,2,234 m²,,5,2,3,Oui,,1205 m²,,,,336 kWh/m²,D,20211002002069,85 kg CO₂/m²,94624 kWh/an,,Mazout,,875.000 €,3.306 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4534435,,30 m²,1,,Oui,,Oui,,,,Après la signature de l’acte,4,,,Oui,Zone non inondable,,,75 m²,,13 m²,,,,,Oui,13 m²,20 m²,25 m²,26 m²,30 m²,,,Connecté,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1950,Bon,3,1,63 m²,10 m²,10 m²,1,Oui,281 m²,,Connecté,,,,G,20210113012605,Non communiqué,90628 kWh/an,Gaz,,Zone non inondable,,1.757 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4307238,,,Semi-équipée,,,,,,,,,Après la signature de l’acte,,,,,315.000 €,,,,,2,,,,,,13 m²,1,,,,,,544 kWh/m²,,,,,,,,,,,,,,117 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1960,À rafraîchir,4,1,150 m²,Équipée,2,1,2,Oui,,273 m²,,,,378 kWh/m²,E,20150316014375,Non communiqué,44332 kWh/an,,Gaz,,348.000 €,2.270 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4419530,,22 m²,1,,,,,,,,Après la signature de l’acte,1,,,,Zone non inondable,,,10 m²,,11 m²,,,,,Oui,16 m²,18 m²,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1958,À rénover,2,1,105 m²,Équipée,2,1,1,Oui,,268 m²,,Oui,,363 kWh/m²,E,20210901016343,66 kg CO₂/m²,38045 kWh/an,,Gaz,Oui,349.000 €,1.698 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4499842,,30 m²,,6 m²,Oui,,Oui,,,,Après la signature de l’acte,,,,,Zone non inondable,,,,,8 m²,,,,,,13 m²,15 m²,,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1986,À rénover,4,1,84 m²,Équipée,2,1,1,,,477 m²,,,,469 kWh/m²,F,20210630010832,Non communiqué,46259 kWh/an,,Électrique,Oui,360.000 €,2.004 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4397327,,32 m²,,,,,Non,,,,Après la signature de l’acte,1,,,,Zone non inondable,,,,,10 m²,,,,,,13 m²,14 m²,,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1950,Excellent état,3,,100 m²,Équipée,3,1,2,Oui,Non,189 m²,,,,387 kWh/m²,E,20210617018533,72 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,370.000 €,798 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",68383 - CV29,,31 m²,1,,,5.8 m,Oui,,,,Après la signature de l’acte,,,,,Zone non inondable,,,,,11 m²,,,,,,23 m²,13 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2020,Excellent état,,58,38 m²,2,14 m²,2,Non,,85 m²,,,,Oui,B,20200630503839,Non communiqué,10901 kWh/an,Gaz,,Oui,Oui,Non,,"Rue Fort d'Andoy 5
5100 - Wierde",4368363,,Urbain,Pas équipée,,,,,,,,,À la livraison,23,,,106 kWh/m²,,,,Oui,1 août 2020 - 00:00,,,,,,,12 m²,2,,,,,,,Oui,,,,,,,,,435.000 €,,,Brabant wallon,107 m²,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,3,3,,,,,
93,1980,Excellent état,2,,26 m²,10 m²,10 m²,2,Oui,,,Connecté,,,,C,20160818004174,Non communiqué,22042 kWh/an,Gaz,,Oui,Zone non inondable,1.063 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4350716,,,Hyper équipée,,,,,20 m²,,,,,1,,,,378.000 €,,,217 kWh/m²,31 décembre 2021 - 00:00,3,,,,,,10 m²,13 m²,1,,,,159 m²,Oui,,,,,,,,,,,,,,95 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1980,Bon,4,1,100 m²,Américaine équipée,2,2,1,Oui,,585 m²,,,,571 kWh/m²,G,20120202011869,Non communiqué,56428 kWh/an,,Gaz,Oui,395.000 €,1.959 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4418188,,30 m²,1,,,,Oui,,,,Selon le locataire,3,,,,,,,18 m²,,13 m²,,,,,,14 m²,23 m²,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1960,À rafraîchir,3,1,34 m²,12 m²,11 m²,2,Oui,Oui,,Oui,,,,D,20210430009401,Non communiqué,42895 kWh/an,Gaz,,Oui,Zone non inondable,2.117 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4349280,,,Équipée,,,,,23 m²,,,,Après la signature de l’acte,1,,,,435.000 €,,,340 kWh/m²,,3,,,,,,12 m²,17 m²,1,,,,400 m²,,,,,,,,,,,,,,,113 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1980,Bon,4,1,34 m²,10 m²,8 m²,1,Oui,,,Connecté,,,,E,20210805012782,Non communiqué,44322 kWh/an,Gaz,,Oui,Zone non inondable,2.233 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4455543,,,Équipée,,,,,376 kWh/m²,,,,Après la signature de l’acte,3,,,,448.000 €,,,,,2,,,,,,14 m²,1,,,,,724 m²,Oui,,,,,,,,,,,,,,120 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1930,Bon,4,1,45 m²,16 m²,16 m²,1,13 m²,Non,1019 m²,Connecté,,409 kWh/m²,,E,20200726001937,Non communiqué,71262 kWh/an,Mazout,,495.000 €,,1.541 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4419527,,,Américaine hyper-équipée,2,Oui,Oui,,Oui,,,,Après la signature de l’acte,5,,,,,,,,,2,,,,,,16 m²,2,,,,,,Non,,,,,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1973,À rafraîchir,4,1,160 m²,Équipée,4,2,3,,,1278 m²,,,,281 kWh/m²,D,20150428027149,Non communiqué,54924 kWh/an,,Gaz,Oui,499.000 €,2.441 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4405843,,39 m²,1,6 m²,Oui,,Oui,,,,Après la signature de l’acte,5,,Oui,,Zone non inondable,,,45 m²,,11 m²,,,,,,11 m²,12 m²,13 m²,18 m²,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1971,Bon,4,2,276 m²,Hyper équipée,4,3,4,,Non,693 m²,,,Non,363 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,649.500 €,,Non,"Avenue de Tervuren 101
1040 - Etterbeek",4498710,,50 m²,1,13 m²,Oui,13 m,Oui,,,,Selon le locataire,2,,Oui,,,,310 m²,60 m²,,21 m²,,,,,,21 m²,17 m²,16 m²,20 m²,,,,Connecté,Non,Non,124 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1974,Bon,4,2,51 m²,15 m²,13 m²,1,10 m²,Oui,,Connecté,,,,E,20210601018711,Non communiqué,84403 kWh/an,Gaz,,Oui,Zone non inondable,4.018 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4372018,,,Hyper équipée,3,Oui,Oui,,50 m²,,,,Après la signature de l’acte,2,,Oui,354 kWh/m²,720.000 €,,,Oui,,4,,,,,,13 m²,13 m²,21 m²,2,,,631 m²,Oui,Oui,,,,,,,,,,,,,171 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2000,Excellent état,4,1,33 m²,32 m²,28 m²,3,Oui,Non,708 m²,Oui,,,,C,20181205003037,42 kg CO₂/m²,Non communiqué,Non,Gaz,Oui,745.000 €,3.958 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",78374 - N17,,,Équipée,,,,,Oui,,,,Après la signature de l’acte,2,,,225 kWh/m²,,,,Oui,,4,,28 m²,,,,24 m²,22 m²,2,,,,,,,,,Est,,,,,,,,,,248 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1970,Fraîchement rénové,4,2,290 m²,Américaine hyper-équipée,5,2,3,Oui,Non,1248 m²,,,,218 kWh/m²,C,20170308021161,44 kg CO₂/m²,69102 kWh/an,Non,Gaz,Oui,795.000 €,4.048 €,Non,"Chaussée de Tervuren 149/3
1410 - Waterloo",892 - 61,,55 m²,,20 m²,Oui,,Oui,,,,,2,1,Oui,Oui,Zone non inondable,,1248 m²,35 m²,,,,Sud,,,,,,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Oui,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,218,,,,
103,1920,Excellent état,4,,528 m²,Équipée,10,5,7,Oui,,5600 m²,,,,290 kWh/m²,D,20200806001152,Non communiqué,153480 kWh/an,,Mazout,Oui,1.895.000 €,,Non,"Avenue Louise 367
1050 - Ixelles",,,40 m²,5,,Oui,,Oui,,,,Après la signature de l’acte,6,,Oui,,,4401978,,50 m²,,25 m²,,,,,,24 m²,22 m²,28 m²,25 m²,20 m²,,Oui,Connecté,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2001,À rafraîchir,4,1,300 m²,Américaine hyper-équipée,5,3,4,Oui,Non,2000 m²,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,1.180.000 €,,Non,"Chaussée de Bruxelles 380 B 2
1410 - Waterloo",4393333,,40 m²,3,21 m²,Oui,,Oui,,,,Après la signature de l’acte,5,,Oui,Oui,Zone non inondable,,1800 m²,,1 septembre 2021 - 00:00,25 m²,,,Oui,,Oui,36 m²,18 m²,15 m²,16 m²,18 m²,21 m²,Oui,Connecté,Non,Non,445 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,,,,,,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,
105,2012,Excellent état,4,10,600 m²,Hyper équipée,6,3,4,Oui,Non,2400 m²,Non,,,Non communiqué,B,Non communiqué,Non communiqué,131 kWh/an,,Gaz,Oui,1.550.000 €,,Non,,,,,,,Oui,3 m,Oui,,,,Après la signature de l’acte,10,,Oui,Non,Zone non inondable,,,,,,Oui,,Oui,27 m,,,,,,,70 m²,Oui,Connecté,,Non,,,,Oui,,Non,,,Oui,Non,,,,Oui,,Oui,Non,Oui,Non,,,Oui,,Non,,,,,,,,,,,,Oui,,Oui,Non,Oui,,,,,,,,
106,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,1,,2,Oui,402 kWh/m²,,,,,,,20210910013542,Non communiqué,79795 kWh/an,Gaz,Non,,Non,,,"Place Quetelet, 1 / 11
1210 - St-Josse-Ten-Noode",Louise DHONT,,,180 m²,,,,E,,,Non,,Non,À rafraîchir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.895 €,Non,360.000 €,,3,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,Non,"visites SANS RDV : les mercredis 06/10, 13/10 et 20/10 de 9h30 à 11h30 et les samedis 9/10, 16/10 et 23/10 de 15h à 17h. MASQUE OBLIGATOIRE",Après la signature de l’acte,Non
107,1970,Bon,3,2,250 m²,,6,2,3,Oui,,269 m²,,,,221 kWh/m²,C,20150925009053,Non communiqué,64244 kWh/an,,Gaz,,490.000 €,2.364 €,Non,"Chaussée Bara, 148
1420 - Braine L'Alleud",4431436,,49 m²,2,11 m²,Oui,,Oui,,,,Après la signature de l’acte,2,,,Oui,Zone non inondable,,,35 m²,,14 m²,,,,,,12 m²,10 m²,18 m²,12 m²,12 m²,81 m²,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
