,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Salon,Type de cuisine,Surface de la cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Visite virtuelle,Surface du salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Meublé,Surface du jardin,Orientation du jardin,Terrasse,Pompe à chaleur,Surface de la terrasse,Attestation as-built,Autorisation de lotissement,Site internet,Largeur de la façade à rue,Surface de la chambre 4,Niveau E (performance énergétique globale),Grenier,Jardin,Orientation de la terrasse,Quartier ou lieu-dit,Parkings extérieurs,Type d’environnement,Salle à manger,Surface de la chambre 5,Panneaux solaires,Buanderie,Bureau,Surface de la cave,Surface du grenier,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Attestation de conformité des citernes à mazout,Obligation de construire,Combien de feux ouverts ?,Surface de bureau,Surface de l'espace professionnel,Espace professionnel,Nombre d'annexes,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Surface constructible totale au sol,Disponible le,Nom du bien,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Type de construction,Pourcentage loué,Isolé
24,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Oui,"Jan Stasstraat 3
3000 - Leuven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,À définir,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,,Non,"Keizershoek 350A
2550 - Kontich",,,,,,,,,,,,,,,,Oui,,,,,,,,DijleDelta - Midden in de stad aan de Dijle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,À définir,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,,,,,,Non,"Keizershoek 350A
2550 - Kontich",,,,,,,,,,,,,,,,Oui,,,,,,,,DijleDelta - Midden in de stad aan de Dijle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À la livraison,,Excellent état,2,127 m²,,Américaine hyper-équipée,,3,2,,2,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",535.900 €,,Non,"Kardinaal Mercierlaan 81
3001 - Leuven",,,,,,,,,,,,,,279 m²,,Oui,4531993,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,,Bon,2,74 m²,,Équipée,11 m²,2,1,1,1,,93 m²,,,,431 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,376 €,Non,"Jan Stasstraat 3
3000 - Leuven",,,,20 m²,12 m²,8 m²,,Non,Non,32 m²,,,Non,,Non,Non,Kaboutermansstraat62,,,,,,,,,Urbain,,,,,Non,,20 m²,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,1964,Excellent état,,165 m²,Oui,,,3,,,2,Oui,177 m²,,Connecté,Oui,353 kWh/m²,D,202107260002445221RES1,Non communiqué,Non communiqué,,Non,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",615.000 €,,Oui,"Naamsesteenweg 171/0001
3001 - Heverlee",,2,,,,,,Non,Non,,,,,,,Non,STQUINTENSBERG,,,,,,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,
30,Après la signature de l’acte,,Bon,2,210 m²,,Américaine équipée,24 m²,4,1,,1,Oui,196 m²,,,,267 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",680.000 €,1.353 €,Non,"Dirk Boutslaan 4
3000 - Leuven",,,,30 m²,14 m²,22 m²,14 m²,,,,,Oui,,,,Non,4403790,,22 m²,,Oui,,,Regio Leuven,,Urbain,,,,,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,1945,Bon,2,463 m²,Oui,Américaine hyper-équipée,,6,2,,3,Oui,155 m²,10 m,Connecté,Oui,198 kWh/m²,B,20191029-0002212754-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.350.000 €,2.466 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",4411488,,,,,,,,,,,Oui,,,,Non,,,,,Oui,,,,,,,,Oui,,,,,,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,1 janvier 1900 - 00:00,,,,,,,,
32,À définir,,Excellent état,2,226 m²,,,9 m²,6,2,1,3,,136 m²,5.7 m,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",693.600 €,,Oui,"Keizershoek 350A
2550 - Kontich",,2,,33 m²,12 m²,9 m²,9 m²,,Non,67 m²,Est,,,12 m²,"Oui, conforme",Oui,,5.7 m,12 m²,,,,Est,DijleDelta,,"Zone d'habitat (résidentiel, urbain ou rural)",,12 m²,,,,34 m²,,,Oui,,,,,,,,,,,,,,Oui,,,,,,,,,,,,Bottelarij,,,,,,,
33,1874,2,,55 m²,Équipée,2,1,,Oui,Oui,,,47 m²,247 kWh/m²,,,,20210716-0002431212-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Non,,275.000 €,,299 €,,,"Molenstraat, 46
3270 - Scherpenheuvel - Zichem",Lore VAN DER AUWERA,,,,Oui,,,,,,,,,C,Non,,,Zone non inondable,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
woe. 22/9 en woe. 29/9 van 17u-19u en zat. 2/10 van 14u-17u of na tel. afspraak met het notariskantoor",Après la signature de l’acte,Non,,,
