,À partir de,Année de construction,Salon,Type de cuisine,Chambres,Salles de bains,Grenier,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Procédure pour violation de la réglementation urbanistique,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Combien de feux ouverts ?,Toilettes,Bureau,Meublé,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Accès sécurisé / alarme,Attestation as-built,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Type d’environnement,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la terrasse,Dressing,Cave,Raccordement à l'égout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Salle à manger,Buanderie,Espace professionnel,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Visite virtuelle,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Orientation de la terrasse,Nombre d'annexes,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Obligation de construire,Référence externe,Surface constructible totale au sol,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Disponible le,Charges mensuelles
115,Après la signature de l’acte,,,,3,1,,349 m²,,1176 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,249.000 €,,Non,"Kempenlaan 32
2300 - Turnhout",,Non,,,4,2,,166 m²,,,,Non,,,,,,Non,Charbon,,"Zone d'habitat (résidentiel, urbain ou rural)",37102 - TUR-21-AGH-0,,49 m²,20 m²,15 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,,,,,,,,,
116,,1996,,,5,2,,3074 m²,,182 kWh/m²,B,2021-0927-0002469325-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,1.429.000 €,2.905 €,Non,"PARKLAAN 46
2300 - Turnhout",,Non,Excellent état,19 m,4,1,2,406 m²,1,,Oui,Non,,Oui,Oui,Est,Oui,,,Oui,Parc résidentiel,04/14216,,50 m²,21 m²,,,,,,Connecté,,,,,,,,,Non,,,,,,,Non,Non,Non,,Non,,,Non,,,Villa,,,,,,,,,,,,,,280 m²,,,,
117,,1991,,,3,1,,1231 m²,Oui,255 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,485.000 €,2.163 €,Non,"Graatakker 91
2300 - Turnhout",,,Excellent état,11 m,4,,2,369 m²,,,Oui,,17 m,Non,,,,,Gaz,Oui,,4199853,,42 m²,16 m²,11 m²,14 m²,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 m²,,,,,,,,70 m²,,,,,,,,
118,Après la signature de l’acte,1895,Oui,Équipée,4,1,,6883 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Oui,Zone non inondable,975.000 €,2.114 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",,,Bon,,4,,90,850 m²,3,11,Non,Non,,,Oui,Sud,,,Mazout,Non,Zone d'intérêt paysager,,Pays,,,,,,Non,,,Non,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Oui, conforme",Non,BRE/25518,650 m²,,,,
119,,1959,3,,1,2,,9 m,,F,20201202-0002345398-RES-1,Non communiqué,Non communiqué,Oui,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",718 €,Non,"PARKLAAN 46
2300 - Turnhout",04/13637,,Zone non inondable,À rénover,6 m,,1,,Oui,,Non,Oui,Non,Connecté,Oui,Sud,552 kWh/m²,,,,Non,285.000 €,,,,,,,,,Non,Non,,,,,,,,,350 m²,,,,,,,,,,,,,,,,,,175 m²,,,,,,,,,,,,,,,,,
120,,1992,Équipée,3,2,2,,34 m,,B,20151130-0001815635-1,Non communiqué,Non communiqué,Oui,Villa,Non,Non,Parc résidentiel,2.491 €,Non,"Graaf De Broquevillestraat 35
2400 - Mol",07/1966,,Zone non inondable,Bon,21 m,4,1,,Oui,,Non,Non,Non,Non connecté,Oui,Sud-ouest,Non,Non,,,Oui,875.000 €,,,,,,,,,,Oui,,,,,,,,,Non,,,,,,,Non,Non,Oui,,Non,,,194 kWh/m²,,,182 m²,228 m²,,,,,,,,,,,,,Oui,,,,
121,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,2010,Oui,,7,5,,2013 m²,,126 kWh/m²,B,20201103-0002335702-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,,2.395.000 €,5.030 €,Non,"PARKLAAN 46
2300 - Turnhout",,Non,Excellent état,21.3 m,4,1,,1000 m²,,,Non,Non,42 m,Non,Oui,Sud-est,Oui,,,Oui,Parc résidentiel,04/12941,,,,,,,,Oui,Non connecté,,,,,,,,,Non,,,,,,,Oui,Non,Oui,,Non,,,Non,,,Villa,,,,,,,,,,,,,,,,,,
123,,2019,Équipée,3,2,3,,35 m,,A,13031-G-OMV_2018036208-EP05035/A001/D01/SD001,Non communiqué,Non communiqué,Oui,Villa,Non,,Parc résidentiel,2.550 €,Non,"PARKLAAN 46
2300 - Turnhout",04/14190,,Zone non inondable,,22 m,4,2,,Oui,,Oui,Non,Non,Non connecté,Non,,,Non,,,Oui,1.100.000 €,,,,,,,,,,Non,,,,,,,,,Oui,,,,,,,Non,Non,Oui,,Non,,,7 kWh/m²,,,Oui,280 m²,,,,,,,,,,,,,,,,,
124,,1994,Équipée,5,4,Non,,Non connecté,,B,20200826-0002307624-RES-1,Non communiqué,Non communiqué,Oui,Villa,,Non,Parc résidentiel,5.948 €,Non,"PARKLAAN 46
2300 - Turnhout",04/13259,,Zone non inondable,Excellent état,,,1,12,Oui,,,Oui,Non,,Non,,,Non,,,Oui,2.500.000 €,,,,,,,,,Non,Non,,,,,,,,,Oui,,,,,,,Non,Non,Oui,,Non,,,178 kWh/m²,,,Non,621 m²,,,,,,,,,,,,,,,,,
