,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Année de construction,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Obligation de construire,Type de zone inondable,Site internet,Largeur de la façade à rue,Espace professionnel,Grenier,Porte blindée,Surface du jardin,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Salle à manger,Surface de la chambre 3,Surface de la chambre 4,Jardin,Salles de douche,Toilettes,Terrasse,Parlophone,Surface du salon,Surface de la cave,Attestation de conformité des citernes à mazout,Parkings intérieurs,Accès sécurisé / alarme,Attestation as-built,Interphone vidéo,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Quartier ou lieu-dit,Parkings extérieurs,Combien de feux ouverts ?,Visite virtuelle,Buanderie,Surface de bureau,Surface du grenier,Isolé,Nom de l'agent,Niveau E (performance énergétique globale),Salon,Surface de la chambre 5,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Nombre d'annexes,Charges mensuelles,Nom du bien
41,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,309.000 €,,Oui,"Italiëlei 207
2000 - Antwerpen",,,,,,,,,,,,,,36981 - ANT-21-YOU-0,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1966,,1,,,,1,390 m²,,,F,,,,,,,20210629-0002435526-RES-1,Non communiqué,Non communiqué,Oui,Oui,,,Zone d'inondation reconnue,,295.000 €,,,,,"Jozef Reusenlei 104
2150 - Borsbeek",Darryn DE GROOT,,,3,,,,,,,,,,,1.008 €,,,,,,,,,,,,,,,,,671 kWh/m²,,,,,,Oui,,,,,,,,,,,,,,,3,,,,,,,1,,,Non,"nl :
elke zaterdag van 10u-12u, en dit vanaf zaterdag 2 oktober 2021 tot en met zaterdag 23 oktober 2021",Après la signature de l’acte,Non,,,,
43,,Bon,2,,125 m²,Semi-équipée,3,1,Oui,Non,332 m²,,,Oui,,,,738 kWh/m²,F,1264531,Non communiqué,Non communiqué,Électrique,Oui,,,,,,,280.000 €,418 €,Non,"Antwerpsestraat 292
2640 - Mortsel",,1936,,,,,,,,,,,Zone inondable potentielle,9025 - 4844,,,,,,,,,,,,,,,,1,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,À définir,Bon,2,,227 m²,Équipée,3,1,,Non,,6 m,,,,,,242 kWh/m²,C,20211004-0002472384-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,1.046 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",,1984,,,,,,,,,,,Zone non inondable,39169 - DEU-21-NST-0,,,,,,Est,,,,,,,,Oui,,2,,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Après la signature de l’acte,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",112 m²,Équipée,3,1,,Non,732 m²,12 m,Connecté,Oui,,,,682 kWh/m²,F,20210812-0002451162-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,,,Zone agricole,417.000 €,584 €,,"Mussenhoevelaan 101
2530 - Boechout",,1955,7 m²,15 m²,14 m²,,,,,,,,,,6 m,,,,575 m²,Nord-est,,,,,Oui,6 m²,,,,2,Oui,,14 m²,22 m²,,,,Non,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Excellent état,2,Aménagé,165 m²,,3,1,Oui,Non,174 m²,,Connecté,Oui,24 m²,Non,Non,133 kWh/m²,B,20210128-0002365637-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Oui,,,,395.000 €,905 €,Non,,,1966,,,,Oui,Non,Oui,Non,Non,Non,,Zone non inondable,,8 m,Non,Oui,Non,56 m²,Sud,Non,Non,Non,Non,Oui,,,,,2,,Non,,,,,Non,,Non,Sud,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,Oui,,,,,,Oui,,,,,,,,,,
47,Après la signature de l’acte,,2,"Zone d'habitat (résidentiel, urbain ou rural)",112 m²,Semi-équipée,3,1,,Non,366 m²,,Connecté,Oui,,,,682 kWh/m²,F,20210812-0002451162-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,,Zone agricole,268.000 €,582 €,,"Mussenhoevelaan 101
2530 - Boechout",,1955,,15 m²,14 m²,,,,,,Oui,,,,5.74 m,,,,280 m²,Ouest,,,,,Oui,6 m²,,,,2,,,14 m²,22 m²,,,,Non,,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,À définir,Bon,2,,142 m²,Américaine équipée,3,1,,Non,189 m²,,Connecté,Oui,,Non,Non,257 kWh/m²,C,20210728-0002446003-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Non,,,375.000 €,1.063 €,Non,,,1977,8 m²,17 m²,15 m²,Non,Non,Non,Non,Non,Non,,Zone non inondable,,6 m,Non,,Non,,,Non,Non,Non,Non,,8 m²,,,,2,,Oui,39 m²,,,1,Non,,Non,,Non,Non,Non,Non,Non,Oui,Toutes sortes,,1,1,,Oui,,,,,,,,,,,,,,,,
49,,,,,235 m²,,4,1,,Non,170 m²,,,,,,,510 kWh/m²,F,20210629-0002435390-RES-1,Non communiqué,Non communiqué,,,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,,Non,"De Robianostraat 34
2150 - BORSBEEK",208 - 2021/527,1957,,,,,,,,,,,Zone non inondable,,,,,,90 m²,,,,,,,,,,,2,Oui,,,,,1,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Après la signature de l’acte,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",,Équipée,4,2,,Non,439 m²,,,,5 m²,Non,Non,189 kWh/m²,B,20200312-0002259341-RES1,Non communiqué,Non communiqué,Gaz,Oui,Oui,85 m²,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",420.000 €,,Oui,"Kerkstraat 15
2640 - Mortsel",,1977,11 m²,14 m²,8 m²,Non,Non,,,,,Non,Zone non inondable,2021-02,,,,,,,Non,,,,,,,,,2,,Oui,31 m²,20 m²,Non,,Non,Non,Non,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
