,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Année de construction,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Obligation de construire,Type de zone inondable,Site internet,Largeur de la façade à rue,Espace professionnel,Grenier,Porte blindée,Surface du jardin,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Salle à manger,Surface de la chambre 3,Surface de la chambre 4,Jardin,Salles de douche,Toilettes,Terrasse,Parlophone,Surface du salon,Surface de la cave,Attestation de conformité des citernes à mazout,Parkings intérieurs,Accès sécurisé / alarme,Attestation as-built,Interphone vidéo,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Quartier ou lieu-dit,Parkings extérieurs,Combien de feux ouverts ?,Visite virtuelle,Buanderie,Surface de bureau,Surface du grenier,Isolé,Nom de l'agent,Niveau E (performance énergétique globale),Salon,Surface de la chambre 5,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Nombre d'annexes,Charges mensuelles,Nom du bien
99,Selon le locataire,Bon,2,,500 m²,Équipée,8,8,,Non,,20 m,Connecté,Oui,,Non,,186 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,1.025.000 €,,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",4427979,,,,,,,,,,,,,,20 m,,,,,,,,,,,,,,8,8,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,,,,,,207 m²,469 kWh/m²,,,E,,,,,,,20210516-0002415713-RES-1,Non communiqué,Non communiqué,Non,Non,,,,,Zone non inondable,150.000 €,,,,"Schoolstraat 9
2970 - SCHILDE",Caroline HAAGDORENS,,,,,,,,,,,,,,1.145 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Non,"nl :
mits ophaling van de sleutel op het notariskantoor en na registratie van uw identiteitsgegevens",Immédiatement,Non,,,,
101,,,2,,,,5,2,Oui,Non,716 m²,11 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,,,740.000 €,3.373 €,Oui,"Hagedoornlaan 1
2970 - Schilde",,1910,,,,,Oui,,,,,,,265 - 1445,11 m,,,,,,,,,,,,,,,3,,,,,,3,,Non,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
102,,Bon,2,Urbain,120 m²,Équipée,2,1,,Non,115 m²,,,,35 m²,,,224 kWh/m²,C,20210810-0002449810-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,550 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1949,,,,,,,,,,,Zone non inondable,D2170-21034,,,,,35 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 mars 2022 - 00:00,,,
103,Après la signature de l’acte,Fraîchement rénové,2,,197 m²,Équipée,4,1,Oui,Non,130 m²,,,,,,,225 kWh/m²,C,20210607-0002425425-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,999 €,Non,"Bredabaan, 896
2170 - Merksem",,1933,,,,,,,,,,,Zone non inondable,20102 - SIN/21/078,,,,,,,,,,,,,,,,2,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Après la signature de l’acte,Fraîchement rénové,2,,157 m²,Équipée,3,1,Oui,Non,75 m²,5 m,,,,,,273 kWh/m²,C,20210609-0002426499-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,1.251 €,Non,"Bredabaan, 896
2170 - Merksem",,,,,,,,,,,,,Zone non inondable,20036 - SIN/21/069,5 m,,,,,,,,,,,,,,,2,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Après la signature de l’acte,Bon,2,,147 m²,Équipée,3,1,,Non,253 m²,,,,,,,195 kWh/m²,B,Certificaat-20210629-0002435339-RES-1.pdf,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,,,299.000 €,488 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",,1957,5 m²,20 m²,16 m²,,,,,,,,Zone inondable potentielle,33626 - DEU-21-LDD-0,5 m,,,,170 m²,Sud,,,,,Oui,12 m²,,,,1,,,40 m²,,,,,Non,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
106,Après la signature de l’acte,Bon,2,,120 m²,Équipée,2,2,,Non,192 m²,,Non connecté,Oui,,Non,Non,424 kWh/m²,E,20211005-0002472855-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,684 €,Non,"Lambrechtshoekenlaan 169
2170 - Merksem",2021-065,1960,26 m²,,,,,,,,,,Bien immobilier situé entièrement ou partiellement dans une zone potentiellement inondable et dans une zone riveraine délimitée,,,,,Non,70 m²,,Non,Non,Non,Non,,,,,,,,,29 m²,11 m²,,,Oui,,,,,,,,,,,,,,,,,,,,424,,,,,,,,,,,
107,Après la signature de l’acte,Bon,2,Urbain,194 m²,Équipée,3,1,,Non,175 m²,4.5 m,,Oui,,,,246 kWh/m²,C,20210916-0002464911,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.274 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",,1981,,,,,,,,,,,Zone non inondable,39188 - EKE-21-SSW-0,,,,,,Est,,,,,,,,Oui,,2,Oui,,,,,1,,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,Bon,2,,273 m²,Semi-équipée,4,2,Oui,Non,228 m²,,,,,,,233 kWh/m²,C,2421241-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,1.477 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",,1949,,24 m²,20 m²,,,,,,,,Zone non inondable,38916 - DEU-21-LDD-0,,,,,81 m²,Sud-est,,,,,,20 m²,13 m²,,,2,,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,À rénover,2,,125 m²,,3,2,,Non,195 m²,,Non connecté,Oui,,,,290 kWh/m²,C,20180320-0002033178-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,1.028 €,Non,"Lambrechtshoekenlaan 169
2170 - Merksem",,1966,6 m²,,,,,,,,,,Zone d'inondation reconnue,,6 m,,,Non,,,Non,Non,Non,Non,,,,,,,,,25 m²,,"Oui, conforme",,,,,,,,,,,,Maison bel-étage,,,,,,,,,,290,,,,,,,,,,,
110,Après la signature de l’acte,Excellent état,3,,Hyper équipée,5,2,4,Non,923 m²,18 m,Oui,,300 m²,Oui,Oui,,E,20100303-0000462625-00000002-7,Non communiqué,Non communiqué,Non,Oui,Oui,Non,,Oui,Non,Zone non inondable,1.150.000 €,4.808 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314435 - 1307947,,,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,18 m,,,,,,,,,,,,,,,Oui,,,,,,1,472 kWh/m²,Gaz,,,,,,,,,,,,,368 m²,,,,,,,,,,,,,,,,,
111,Après la signature de l’acte,À rénover,2,,181 m²,,3,1,,Non,155 m²,5.2 m,,Oui,15 m²,,,405 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,,Non,"Lage Kaart 382
2930 - Brasschaat",8271 - 18311,1930,19 m²,30 m²,20 m²,,,,,,,,Zone non inondable,,,,,,75 m²,,,,,,,13 m²,,,,2,,,30 m²,8 m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,2,,164 m²,,3,2,Oui,Non,260 m²,5 m,,,,,,551 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,Non,"Bredabaan, 896
2170 - Merksem",,,,,,,Oui,,,,,,Zone non inondable,20103 - SIN/21/036,5 m,,,,67 m²,,,,,,,,,,,2,,,,,,8,,Non,,,,,,,,,,,4,,,,30 m²,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Bon,2,,148 m²,Américaine équipée,3,1,,Non,213 m²,,,Oui,,,,502 kWh/m²,F,20181214-0002115908-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,634 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",,,15 m²,14 m²,12 m²,,,,,,,,Zone d'inondation reconnue,39190 - DEU-21-LDD-0,,,,,,Ouest,,,,,Oui,6 m²,,Oui,,2,,,38 m²,,,1,,Non,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
114,,À rénover,2,,290 m²,Semi-équipée,5,1,Oui,Non,,,,,,,,1077 kWh/m²,F,20210923-0002467820-RES-1,Non communiqué,Non communiqué,Électrique,Oui,,,,Oui,,,325.000 €,884 €,Non,"Fruithoflaan, 6
2600 - Berchem",,,20 m²,22 m²,14 m²,,,,,,,,Zone non inondable,900 - 3641956,,,,,,,,,,,,14 m²,11 m²,,,3,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,8 m²,,,,,,,,,
115,,Bon,2,Urbain,164 m²,Équipée,5,1,,Non,140 m²,,,,,,,213 kWh/m²,C,20140225-0001541620-00000002-2,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,969 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1957,,,,,,,,,,,Zone non inondable,D2170-21037,,,,,,,,,,,,,,,,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Bon,3,Urbain,180 m²,Équipée,3,1,,Non,283 m²,,,,,,,139 kWh/m²,B,20210914-0002463835-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,,,Non,,389.000 €,1.351 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1994,,,,,,,,,,,Zone d'inondation reconnue,D2170-21040,,,,,,,,,,,,,,,,2,Oui,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
117,Selon le locataire,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",155 m²,Équipée,3,3,,,77 m²,,Connecté,Oui,28 m²,,,133 kWh/m²,B,20210618-0002430499-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,51 m²,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,,Oui,"Bisschopslaan 16
2340 - Beerse",4517802,2003,,11 m²,11 m²,,,,,,,,Zone non inondable,,5.4 m,,,,,,,,,,,11 m²,,,3,3,,Oui,24 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Fraîchement rénové,2,,100 m²,Équipée,2,1,Oui,Non,115 m²,,,Non,,,,373 kWh/m²,D,20210918-0002465788-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,Non,,239.000 €,322 €,Non,,,,,16 m²,10 m²,Non,Non,Non,Non,Non,Non,,,,,Non,Oui,Non,43 m²,,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,Oui,,,Oui,,,Oui,,,,,,,,,,
119,,Excellent état,,,193 m²,Équipée,5,,,,235 m²,,Connecté,Oui,,Non,Non,138 kWh/m²,B,20210617-0002430373-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",354.000 €,1.175 €,Non,"Bredabaan 133
2930 - Brasschaat",,1969,,,,Oui,Non,Non,Non,Non,Non,Non,Zone d'inondation reconnue,Rietschoorvelden 29,,,,,,Est,,,,,,,,Oui,,2,Oui,Oui,,,,1,Non,,Oui,,Non,,,,Non,,,,3,,,Oui,,,,,,Oui,,,,,,,,,,
120,Après la signature de l’acte,Excellent état,2,,125 m²,Semi-équipée,3,1,Oui,Non,,4.2 m,,Oui,,,,250 kWh/m²,C,2015100800018002922,Non communiqué,Non communiqué,Gaz,,Oui,,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,,Non,"Bischoppenhoflaan 284
2100 - Deurne",,,20 m²,14 m²,12 m²,,,,,,,,Zone non inondable,39178 - DEU-21-LDD-0,,,,,40 m²,,,,,,,11 m²,,,,1,,,28 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,À définir,Bon,2,,157 m²,,2,1,,Non,188 m²,,Connecté,Oui,,,,405 kWh/m²,E,20131128-0001490493-00000001-0,Non communiqué,Non communiqué,Gaz,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,902 €,Non,"Lambrechtshoekenlaan 169
2170 - Merksem",2021/054,1953,5 m²,,,,,,,,,,Zone non inondable,,6 m,,,Non,100 m²,,Non,Non,Non,Non,,,,,,,,,47 m²,15 m²,"Oui, conforme",,,,,,,,,,,,Maison bel-étage,,,,,,,,,,405,,,,,,,,,,,
122,,Bon,2,Urbain,198 m²,Équipée,4,2,,Non,153 m²,,,,18 m²,,,216 kWh/m²,C,20210818-0002453095-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",345.000 €,,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1959,,,,,,,,,,,Zone inondable potentielle,D2170-21036,,,,,45 m²,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1 avril 2022 - 00:00,,,
123,Après la signature de l’acte,Excellent état,2,,437 m²,Hyper équipée,2,1,Oui,Non,337 m²,6.7 m,,,20 m²,,,274 kWh/m²,C,20210602-0002422085-RES-2,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,398.000 €,2.093 €,Oui,"Frans de L'arbrelaan, 57
2170 - Merksem",,,,,,,Oui,,,,,,,1314284 - 1314199,,,,,,,,,,,,,,,,3,,,36 m²,,,7,,Non,,,,,,,,,,,,,,,36 m²,,,,,,,,,,,,,,,
124,Après la signature de l’acte,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",178 m²,Équipée,5,1,,Non,133 m²,,Connecté,Oui,10 m²,,,463 kWh/m²,E,20200820-0002305912-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,299.000 €,783 €,Non,,,,16 m²,14 m²,14 m²,Oui,Non,Oui,Non,Non,Non,,Zone non inondable,,6 m,Non,,Non,40 m²,Nord-est,Non,Non,Non,Non,,14 m²,5 m²,,,2,,,28 m²,27 m²,,,,,,Nord-est,,,,,,,Toutes sortes,,,,,Oui,,14 m²,,,,,5 m²,,,,,,,,,
125,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Bon,2,Urbain,189 m²,Équipée,2,1,,Non,180 m²,,,,18 m²,,,143 kWh/m²,B,20200611-0002279635-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,1.155 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1968,,,,,,,,,,,Zone non inondable,D2170-21028,,,,,105 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Bon,2,Urbain,189 m²,Équipée,2,1,,Non,180 m²,,,,18 m²,,,143 kWh/m²,B,20200611-0002279635-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,1.155 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",,1968,,,,,,,,,,,Zone non inondable,D2170-21028,,,,,105 m²,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Après la signature de l’acte,Bon,2,,1,4,2,2,Non,100 m²,5 m,Oui,,Oui,,,,C,20201127-0002344642-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,,,,Zone non inondable,,359.000 €,900 €,Oui,"Frans de L'arbrelaan, 57
2170 - Merksem",1313817 - 1308554,,,,,,,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,5 m,,,,,,,,,,,,,,,6 m²,248 kWh/m²,,,,,2,,Gaz,,,,,,,,,,,1,Équipée,170 m²,,Oui,,,,,,,,,,,,,,,
129,Après la signature de l’acte,À rafraîchir,2,,178 m²,,3,1,,Non,178 m²,,,Non,,,,416 kWh/m²,E,20210919-0002466064-RES-1,Non communiqué,Non communiqué,Électrique,Non,,,,,Non,,265.000 €,,Non,,,1976,8 m²,20 m²,10 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,,,Non,,Non,,,Non,Non,Non,Non,,8 m²,,,1,2,,,,,,,,,,,,,,,,,Toutes sortes,,,1,,,,,,,,,,,,,,,,,,
130,Après la signature de l’acte,Fraîchement rénové,,,160 m²,Hyper équipée,4,1,Oui,Non,155 m²,5 m,,,12 m²,,,546 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,379.000 €,,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",,1940,,,,,,,,,,,,1314362 - 1314214,5 m,,,,,Sud-ouest,,,,,,,,Oui,,2,,,27 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,3,,108 m²,,3,1,,Non,403 m²,10 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",389.500 €,,Non,"Bredabaan, 896
2170 - Merksem",,2020,,,,,,,,,,,Zone inondable potentielle,20258 - SIN/20/087,7 m,,,,,,,,,,,,,,,2,,,,,,,,Non,,,,,,,,,,,1,,,,,,,,35,,,,,,,,,,,
132,Selon le locataire,Bon,2,,288 m²,,7,3,,Non,177 m²,,,,,,,396 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Non,Non,,455.000 €,,Oui,"Antwerpsestraat 34
2640 - Mortsel",,,,,,,,,,,,,Zone non inondable,27299 - MOR-21-TLA-0,,,,,,Sud-est,,,,,,,,Oui,,3,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,À rafraîchir,,Urbain,165 m²,Semi-équipée,2,,,Non,170 m²,5 m,Connecté,Oui,,,,367 kWh/m²,D,20210622-0002432330-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,90 m²,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,,Non,"Boterlaanbaan 323
2100 - Deurne",,1944,37 m²,18 m²,12 m²,Non,Non,Non,Non,Non,Non,Non,Zone inondable potentielle,ouba,5 m,,,,65 m²,Sud,,,,,,,,,,2,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,Excellent état,,,125 m²,Hyper équipée,4,1,,Non,345 m²,8 m,Connecté,Oui,35 m²,,,297 kWh/m²,C,20150219-0001733201-1,Non communiqué,Non communiqué,Gaz,Oui,,200 m²,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Oui,"Boterlaanbaan 323
2100 - Deurne",,,22 m²,11 m²,10 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,spir778C,8 m,,,,90 m²,Nord-est,,,,,Oui,10 m²,7 m²,,,1,,,18 m²,,,1,,,,,,,,,,,,,3,,,Oui,,,,,,,,,,,,,,,,
135,,,2,,221 m²,Équipée,2,1,Oui,Non,221 m²,,,Oui,,Non,Non,318 kWh/m²,D,20210627-0002434632-RES-1,10174 kg CO₂/m²,Non communiqué,Gaz,Non,,,,,,,250.000 €,899 €,Non,,,1951,,,,Non,Non,Oui,Non,Non,Non,,,,,Non,,Non,150 m²,Sud-ouest,Non,Non,Non,Non,Oui,,,,1,3,Oui,Oui,,,,1,Non,,Non,,Non,Non,Non,Non,Non,Non,Toutes sortes,,1,,,Oui,,,,,,Oui,,,,,,,,,,
136,,,,,171 m²,,3,1,,Non,120 m²,5 m,Non connecté,Non,,,,359 kWh/m²,D,0002473663-RES-1,Non communiqué,Non communiqué,,Oui,,70 m²,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",320.000 €,592 €,Non,"Turnhoutsebaan 149/151
2970 - Schilde",,1938,,,,,Non,,,,,,Zone non inondable,06/10355,5 m,,,Non,50 m²,Sud,,,,,,,,,,2,,,,12 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,3,,100 m²,Pas équipée,2,1,Oui,Non,74 m²,4.5 m,,,7 m²,,,625 kWh/m²,F,20160203-0001832268-2,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,249.000 €,354 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",,,,,,,,,,,,,,1314324 - 1314204,,,,,,,,,,,,,,,,1,,,25 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,182 m²,Équipée,3,1,,Non,72 m²,,Connecté,Oui,35 m²,Non,Non,149 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,1.639 €,Non,"Van Breestraat 3
2018 - Antwerpen",,1939,40 m²,20 m²,17 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,spir363 [3028569],,,,,,,Non,,,,,12 m²,,,,2,,Oui,36 m²,15 m²,Non,,Non,,Oui,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,,
139,Immédiatement,À rénover,2,,220 m²,,4,2,,Non,136 m²,,,Non,,,,320 kWh/m²,D,20171121-0002012436-1,Non communiqué,Non communiqué,,Non,,,,,,,255.000 €,,Oui,,,,,,,Non,Non,Non,Non,Non,Non,,,,,Non,,Non,4 m²,,Non,Non,Non,Non,,,,,,,,,,,"Oui, pas conforme",,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
140,À définir,,2,,195 m²,,4,1,,Non,128 m²,5 m,,Oui,,Non,Non,300 kWh/m²,C,1521610,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,Non,Non,,355.000 €,,Non,,,,,21 m²,13 m²,Non,Non,Oui,Non,Non,Non,,Zone non inondable,,,Non,,Non,40 m²,Sud-ouest,Non,Non,Oui,Non,,18 m²,8 m²,,,2,,Non,,40 m²,,,Non,,Non,,Non,Oui,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
141,Immédiatement,À rafraîchir,1,,125 m²,Équipée,2,1,,Non,70 m²,,,Oui,,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,249.000 €,446 €,Non,,,,13 m²,15 m²,11 m²,Non,Non,Oui,Non,Non,Non,,,,,Non,Oui,Non,,,Non,Non,Non,Non,,,,,,,,Oui,24 m²,,,,Non,,Non,,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
142,,,,,146 m²,Hyper équipée,3,1,,,165 m²,5 m,Connecté,Oui,,,,472 kWh/m²,E,20090422-0000150934-00000010-7,Non communiqué,Non communiqué,Gaz,Oui,,165 m²,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",309.900 €,,Non,"Boterlaanbaan 323
2100 - Deurne",,,23 m²,16 m²,16 m²,Non,Non,Non,Non,Non,Non,Non,,Houthulststraat 65,5 m,,,,78 m²,Nord-est,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,
143,,,,,,Équipée,4,1,,,100 m²,,Non connecté,Oui,9 m²,,,266 kWh/m²,C,20210615-0002428431-RES-1,Non communiqué,Non communiqué,,Oui,,,Non,Oui,Non,,269.000 €,545 €,Non,"Britselei, 24
2000 - Anvers",,,11 m²,26 m²,32 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,BREDABAAN 47,,,,,,,,,,,Oui,12 m²,15 m²,,,,,,23 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,À rafraîchir,2,,,,,,,,176 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,549.000 €,906 €,Oui,"Turnhoutsebaan, 532
2970 - Schilde",,,,,,,,,,,,,,4340348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,À rafraîchir,2,,,,,,,,176 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,495.000 €,906 €,Oui,"Turnhoutsebaan, 532
2970 - Schilde",,,,,,,,,,,,,,4537692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Après la signature de l’acte,Bon,2,,300 m²,Semi-équipée,6,1,Oui,Non,330 m²,6.5 m,,,,,,257 kWh/m²,C,20180327-0001898920-3,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,445.000 €,,Non,"Britselei 42
2000 - Antwerpen",,1936,,,,,,,,,,,,10235 - 3596293,,,,,110 m²,Nord,,,,,,,,,,2,,,84 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Après la signature de l’acte,À rénover,2,,115 m²,Semi-équipée,3,1,Oui,Non,115 m²,4.8 m,,,,,,509 kWh/m²,F,0002474846-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,235.000 €,411 €,Non,"Britselei 42
2000 - Antwerpen",,1930,,,,,,,,,,,,10233 - 3596291,,,,,60 m²,Est,,,,,,,,,,1,,,32 m²,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
