,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de l'espace professionnel,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Année de construction,Largeur de la façade à rue,Parkings extérieurs,Dressing,Buanderie,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Procédure pour violation de la réglementation urbanistique,Revenu cadastral,Salon,Salle à manger,Cave,Grenier,Isolé,Parkings intérieurs,Surface de la chambre 4,Surface de bureau,Combien de feux ouverts ?,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Salles de douche,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Jardin,Obligation de construire,Référence externe,Niveau E (performance énergétique globale),Attestation as-built,Nom de l'agent,Quartier ou lieu-dit,Visite virtuelle,Surface constructible totale au sol,Surface de la chambre 5,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom du bien,Nombre d'annexes
0,Après la signature de l’acte,Bon,2,Urbain,76 m²,38 m²,Équipée,12 m²,3,13 m²,13 m²,8 m²,1,2,48 m²,131 m²,40 m²,Oui,177 kWh/m²,B,20190826-0002188922-RES-1,Non communiqué,Non communiqué,Gaz,Oui,295.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4305030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À définir,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Leopoldstraat 37
2800 - Mechelen",,Oui,Oui,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,Excellent état,2,,140 m²,24 m²,Hyper équipée,36 m²,3,12 m²,12 m²,8 m²,2,2,,177 m²,75 m²,,265 kWh/m²,C,20210908-0001529526-res-3,Non communiqué,Non communiqué,Gaz,Oui,299.000 €,Non,,,Oui,,,1971,6 m,1,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,6 m,Oui,Nord-ouest,18 m²,Nord-ouest,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Toutes sortes,Non,560 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,Hyper équipée,,3,13 m²,12 m²,7 m²,1,1,,356 m²,160 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,354.000 €,Non,,,,,Zone non inondable,1956,7 m,,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,,Oui,Sud,40 m²,Sud,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,,,,Oui,Oui,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Fraîchement rénové,2,Urbain,250 m²,60 m²,Américaine hyper-équipée,15 m²,4,13 m²,14 m²,12 m²,1,3,22 m²,215 m²,,Oui,204 kWh/m²,C,20210123-0002363407-RES-1,Non communiqué,Non communiqué,Gaz,Oui,405.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4492552,,,,,,,,,Oui,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,1.182 €,,Oui,,Oui,,1,20 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,55 m²,Hyper équipée,11 m²,3,11 m²,11 m²,16 m²,1,2,,336 m²,1 m²,,304 kWh/m²,D,20150903-0001789756-1,Non communiqué,Non communiqué,Gaz,Oui,375.000 €,Non,,,,,Zone non inondable,1988,7 m,2,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,Ouest,35 m²,Ouest,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,Oui,,,Oui,1,,,1,63 m²,Connecté,,,,,,,,,,,,,,,,,,,,,,
6,,À rafraîchir,,,97 m²,24 m²,Semi-équipée,13 m²,2,12 m²,10 m²,,1,1,,76 m²,,,680 kWh/m²,F,20170612-0001969142-1,Non communiqué,Non communiqué,,Non,175.000 €,Non,"Grote Markt 22
2850 - Boom",spir13118 [3088110],,,,1920,,,Non,,Non,,Non,,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Excellent état,3,,155 m²,51 m²,Hyper équipée,,4,11 m²,14 m²,9 m²,1,2,,416 m²,,,Non communiqué,Non communiqué,EPB IN OPMAAK,Non communiqué,Non communiqué,,Oui,429.000 €,Non,"Brusselsesteenweg 31
1980 - Zemst",4342236,Oui,Non,,2021,,1,,,,,Non,,,,,,,Oui,,16 m²,,,,,,,,Oui,,,,,,,,,,Non,,,,,,,,19 m²,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,Bon,2,,130 m²,22 m²,,15 m²,3,9 m²,18 m²,30 m²,1,1,,121 m²,40 m²,,252 kWh/m²,C,20190602-002165747-RES-1,Non communiqué,Non communiqué,Gaz,Oui,249.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4374988,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
9,,,,,577 m²,30 m²,Hyper équipée,17 m²,3,18 m²,15 m²,11 m²,1,3,,341 m²,,,161 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,997.999 €,Oui,"Frans Van Haelenstraat 4b
2880 - Bornem",,Oui,Non,,,,,Non,Oui,Oui,,,,Non,Non,Non,Non,,Oui,Nord-ouest,67 m²,,Non,Non,Non,Non,Oui,,Non,,,Non,,,,,,,Non,3.600 €,,Oui,,,,3,,200 m²,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",6 m²,Oui,Non,Camille Huysmansstra,,,,,,,,,,,,,,
10,À définir,Excellent état,3,Pays,,,Américaine hyper-équipée,,3,,,,2,2,,,,Oui,111 kWh/m²,B,20210918-0002465740-RES-1,Non communiqué,Non communiqué,Gaz,Oui,500.000 €,Non,"Kapoenenweg 9/1
2800 - Mechelen",,Oui,Oui,Zone non inondable,2008,,4,,,Oui,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,Non,,,,Oui,Oui,,,,,,,Connecté,,1,Non,,,,,4507716,,,,,,,,,,,,,,
11,Après la signature de l’acte,,3,,158 m²,22 m²,,20 m²,3,14 m²,18 m²,18 m²,1,1,,,,,649 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,210.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4518085,,,,,,,,,,,Non,,,,,,,Oui,,14 m²,,,,,,,,,,,,,,,,,,,728 €,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,À la livraison,,2,,152 m²,,,,3,,,,1,,,282 m²,185 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,336.000 €,Non,"Tervuursesteenweg 762 Bus 2
1982 - Elewijt",4499252,,,Zone non inondable,,6.47 m,,,,,,,,,,,,6.47 m,,,13 m²,,,,,,,,,,,,,,,Oui,,,,,Oui,,,,,1,,,,,,,,,,,,,,30,,,,,,,,,,,,,
13,Après la signature de l’acte,Bon,2,,167 m²,,Équipée,,3,,,,1,2,,154 m²,60 m²,,148 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,319.000 €,Non,,,,,,1954,6 m,,Non,,Non,Non,Non,Non,Oui,Non,Non,Non,,Oui,Sud,,,,,,,,,,,,,,Non,Non,Non,Non,Toutes sortes,,,,,,,Oui,,,,,35 m²,Connecté,,,,,10 m²,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,Bon,,Pays,180 m²,30 m²,Semi-équipée,21 m²,4,21 m²,16 m²,14 m²,1,1,,204 m²,,,570 kWh/m²,F,20210203-0002368012-RES-1,Non communiqué,Non communiqué,Mazout,,249.000 €,Non,"Mechelsestraat 20
1840 - Londerzeel",1356 - 1856,,Non,Zone non inondable,1955,6 m,3,,,,,Non,,,,,,6 m,Oui,,,,,,,,,,,,,,,,,,,,,436 €,,,Oui,,,2,6 m²,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
15,Après la signature de l’acte,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",75 m²,32 m²,Pas équipée,,2,12 m²,11 m²,,,2,,96 m²,18 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,179.000 €,,"Petrus Deboeckstraat 14/4
1600 - Leeuw-Saint-Pierre",Arif,,,,1971,,,,Oui,,,Non,,,,,,,Oui,Sud-est,,,,,Oui,,,,,,,,,,,,,,,137 €,,Oui,,,,,,,,,Connecté,,1,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,Hyper équipée,,3,,,,1,1,,90 m²,,,261 kWh/m²,C,20210923-0002468008-res-1,Non communiqué,Non communiqué,Gaz,Oui,258.000 €,Non,"Kosterstraat 95 bus 2
1831 - Diegem",,,,Zone non inondable,,,,,,,,Non,Oui,,,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,394 €,,,,Oui,,,,,,,Connecté,,,,,,,,,261,,A.,,,,,,,,,,,
17,À définir,Bon,,,220 m²,41 m²,Équipée,19 m²,3,12 m²,16 m²,11 m²,,2,,295 m²,,Oui,223 kWh/m²,C,20201040-0002333748-RES-1,Non communiqué,Non communiqué,Mazout,Oui,375.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,,,,1,Non,,,,Non,,,,,,,Oui,Sud-ouest,,Sud-ouest,,,,,,,,,,,,Non,,,,,,,,,,Oui,,1,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,
18,,Bon,2,,180 m²,,,,2,,,,1,,,145 m²,,,267 kWh/m²,C,Nietingegeven,Non communiqué,Non communiqué,Gaz,Oui,288.000 €,Non,"Raghenoplein 15 B4
2800 - Mechelen",,,Non,Zone non inondable,,5 m,,,,,,Non,Non,,,,,,Oui,,,,,,,,,,,,,,,Non,Non,Non,Non,,Non,413 €,,,Oui,,,,,,,,Non connecté,,,Non,Autre type de zone,,,,,267,,,,,,,,,,,,,
19,À définir,Excellent état,,,118 m²,,Hyper équipée,,3,,,,,1,,220 m²,,Oui,163 kWh/m²,B,20210714-0002441700-RES-1,Non communiqué,Non communiqué,Gaz,Oui,325.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,,,,,Non,,,,Non,,,,,,,Oui,Sud-ouest,,Sud-ouest,,,,,,,,,,,,Non,,,,,,,,,Oui,Oui,,,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,
20,À définir,Bon,,,306 m²,40 m²,Semi-équipée,12 m²,3,16 m²,15 m²,5 m²,,2,,359 m²,,,300 kWh/m²,C,20210615-0002425514-RES-1,Non communiqué,Non communiqué,Gaz,Oui,395.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,,,,1,Non,,,,Non,,,,,,,Oui,Sud,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,À rénover,4,,41 m²,Semi-équipée,18 m²,4,16 m²,15 m²,13 m²,8 m²,2,26 m²,,21 m,,Oui,F,2416487,Non communiqué,Non communiqué,Gaz,Oui,Oui,1.147 €,"Rumstsestraat 1
2840 - Reet",4350536,,144 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",1980,13 m,5,,,,,1025 m²,,,,,,Connecté,Oui,,,,,,,,664 kWh/m²,,,,,,,,,,,,,Non,,,,,,1,1,,,Non,Oui,,,Zone non inondable,440.000 €,110 m²,,,,,,,Willebroek,144 m²,Non,,,,,,,,
22,À définir,Bon,,,169 m²,,Équipée,,3,,,,,2,,599 m²,,,188 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Oui,449.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,Oui,,,,,,Non,,,,Non,,,,,,,Oui,Sud-ouest,,,,,,,,,,,,,,Non,Oui,Oui,,,,,,,,,,1,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,
23,À définir,Bon,,,86 m²,,Équipée,,2,,,,,1,,80 m²,,Oui,624 kWh/m²,F,20210604-0002424523-RES-1,Non communiqué,Non communiqué,Gaz,Oui,229.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,,,,,Non,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,
24,À définir,Bon,,,,,Équipée,,2,,,,,1,,111 m²,,,611 kWh/m²,F,20210924-0002468327-RES-1,Non communiqué,Non communiqué,Gaz,,195.000 €,Non,"Mechelsesteenweg 161A 002
2830 - Blaasveld",,,,,,,,Non,,,,Non,,,,,,,Oui,Sud,,,,,,,,,,,,,,Non,,,,,,,,,Oui,,,,,,,,Connecté,,,,,,Oui,,,,,,,,,,,,,,,,
25,À la livraison,Excellent état,4,,517 m²,31 m²,Hyper équipée,31 m²,5,36 m²,27 m²,20 m²,3,4,,608 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,1.368.000 €,Non,"Bovenstraat 162
2880 - Bornem",,,,Zone non inondable,2021,15 m,1,,,Oui,,,,,,,,,,,,,,Oui,,,Oui,,Oui,,,,,,,Oui,,,Non,,,Oui,Oui,,,1,20 m²,,,,,,,Oui,,,,,4263530,,,,,,,14 m²,,,,,,,
26,À la livraison,Excellent état,4,,25 m²,Oui,28 m²,4,58 m²,27 m²,27 m²,14 m²,5,Oui,,Oui,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,Oui,Non,"Bovenstraat 162
2880 - Bornem",4263923,,432 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",2021,,1,,,,,,,,,,,,,,,,,Oui,,,Oui,,,,,Non communiqué,,,,Oui,,,Zone non inondable,,,Hyper équipée,794 m²,,,,4,,,,,,,Non,1.259.000 €,,,,,,,,,432 m²,Oui,,,,,,,,
27,,À rénover,,,254 m²,,,,5,,,,2,2,,766 m²,,,187 kWh/m²,B,20190430-000215501-RES-1,Non communiqué,Non communiqué,,Oui,449.000 €,Non,"Schoenmarkt 4
2800 - Mechelen",TK/WO/WIL/KEB,Oui,Non,,1960,,,Non,Oui,Oui,,,,Non,Non,Non,Non,,Oui,Sud,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,Oui,,,1,,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,,,,,,,,,,,,,,,
28,À la livraison,Excellent état,2,,153 m²,,,,3,,,,1,2,,218 m²,65 m²,Oui,65.56 kWh/m²,A,12040-G-OMV_2018153161/EP02120/SV/A001/D03/SD001,Non communiqué,Non communiqué,,Oui,381.560 €,Non,"Steenweg op Blaasveld, 56a
2801 - Heffen",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,4531193,36,,,willebroek,,,,,,,,,,
29,À la livraison,Excellent état,2,,153 m²,,,,3,,,,1,,,218 m²,65 m²,,61.22 kWh/m²,A,12040-G-OMV_2018153161/EP02120/SV/A001/D02/SD001,Non communiqué,Non communiqué,,Oui,381.560 €,Non,"Steenweg op Blaasveld, 56a
2801 - Heffen",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4529679,34,,,willebroek,,,,,,,,,,
30,Après la signature de l’acte,Bon,4,,175 m²,,Semi-équipée,,3,,,,2,2,,,,,310 kWh/m²,D,20210804-0002447981-RES-1,Non communiqué,Non communiqué,Gaz,Oui,419.000 €,Non,"Antwerpsestraat 36/38
2850 - Boom",2265 - 21/21062/123,,,,,,,,,,,Non,,,,,,,Oui,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,Oui,,,,Non,,,,,,,,,,,,
31,À la livraison,Excellent état,3,,147 m²,,,,3,,,,1,2,,302 m²,154 m²,Oui,71.85 kWh/m²,A,12040-G-OMV_2018153161/EP02120/SV/A001/D01/SD001,Non communiqué,Non communiqué,,Oui,402.810 €,Non,"Steenweg op Blaasveld, 56a
2801 - Heffen",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,4522219,38,,,willebroek,,,,,,,,,,
32,À définir,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Leopoldstraat 37
2800 - Mechelen",,Oui,Oui,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,À définir,Excellent état,,,,,Hyper équipée,,3,,,,,2,,1368 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,435.700 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,Oui,Zone inondable potentielle,,,,Non,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,Non,,,,,Non,,,,,Oui,,,,,,,Connecté,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
34,Après la signature de l’acte,Excellent état,3,,350 m²,30 m²,Hyper équipée,,5,25 m²,20 m²,17 m²,3,4,,373 m²,270 m²,,293 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,595.000 €,Non,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,1950,,1,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,1.112 €,,Oui,,Oui,,1,14 m²,,,,Connecté,,3,,,,,,4426646,,,,,,,10 m²,,,,,,,
35,Après la signature de l’acte,Fraîchement rénové,2,"Zone d'habitat (résidentiel, urbain ou rural)",110 m²,,Équipée,,3,,,,1,2,,54 m²,10 m²,,204 kWh/m²,C,20210824-0002453641-RES-2,Non communiqué,Non communiqué,Gaz,Oui,299.000 €,Non,,,,,Zone non inondable,,5 m,,Non,,Non,Non,Non,Non,Oui,Non,Non,Oui,,Oui,Est,10 m²,Est,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,Non,218 €,Oui,Oui,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,
36,,À rafraîchir,,,135 m²,38 m²,,16 m²,3,16 m²,16 m²,14 m²,1,1,,765 m²,,,408 kWh/m²,E,20210819-0002453845-RES-1,Non communiqué,Non communiqué,,Oui,360.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,1973,,,Non,Oui,Non,,Non,,Non,Non,Non,Non,,Non,Est,,,,,,,,,,,,,,,,,,Toutes sortes,Non,884 €,,,,,,1,,,,125 m²,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,Oui,Non,Mechelsesteenweg 95,,,,,,,,,,,,,,
37,Après la signature de l’acte,,2,,157 m²,35 m²,Équipée,12 m²,4,16 m²,12 m²,20 m²,2,2,,98 m²,,,128 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,325.000 €,Non,"Nieuwstraat,8
2630 - Aartselaar",,Oui,Non,Zone non inondable,1918,4.5 m,,,,,,,,,,,,4.5 m,Oui,,,,,,,,,,,,,,,,,,,,Non,637 €,,,,,,1,12 m²,,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,4508702,,,,,,,,,,,,,,
38,,Excellent état,,,32 m²,Oui,,3,15 m²,13 m²,16 m²,Non,2,Oui,,Non,,165 kWh/m²,B,20210422-0002398600-RES-1,Non communiqué,Non communiqué,Oui,,Oui,Non,"Molenstraat 10 bus 1
2840 - Reet",Abel Fransplein 8 -,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1992,,,1,6 m²,18 m²,,336 m²,,Non,Non,Non,Connecté,,Oui,Oui,,,,,,,,,,,,,,,,,,,Zone non inondable,,,11 m²,,,,1,,Oui,,Non,Oui,,,Non,435.000 €,,Nord-ouest,Non,,,,,,160 m²,,,15 mai 2022 - 00:00,,,,,,
39,,,,Pays,470 m²,42 m²,,25 m²,6,22 m²,20 m²,17 m²,2,2,,800 m²,,Oui,118 kWh/m²,B,20210611-0002427947-RES-1,Non communiqué,Non communiqué,Gaz,Oui,1.395.000 €,Non,"Molenstraat 10 bus 1
2840 - Reet",,Oui,Non,Zone non inondable,2010,,,Oui,Oui,Oui,,Non,,Non,Non,Non,Non,,Oui,Sud,,,Non,Non,Non,Non,Oui,,Non,,,Oui,,,,,,Toutes sortes,Non,,,,,,,1,46 m²,21 m²,,18 m²,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,David Tenierslaan 11,,,,,,,25 m²,,,,,,,
40,,Excellent état,,,89 m²,30 m²,,3,21 m²,12 m²,33 m²,Oui,2,Oui,,Non,,,E,20150419--000175150-8--2,Non communiqué,Non communiqué,Oui,,Oui,Non,"Molenstraat 10 bus 1
2840 - Reet",Mechelsesteenweg 62,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,2,Non,Non,,300 m²,,Non,Non,Non,Connecté,,Oui,40 m²,406 kWh/m²,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,1,,,,,Oui,,,Non,399.000 €,,Ouest,Non,,,,,,275 m²,,,,,,,,,
41,À rénover,2,2,,,,,,75 m²,,,,631 kWh/m²,,,F,,,20210818-0002453056-RES-2,Non communiqué,Non communiqué,Non,Non,,,,Wim SMET,,,,Zone non inondable,374 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hovestraat 37
2650 - Edegem",,,,,,,,,,,,,,90.000 €,,,,,,,,,,1,,,,Non,"nl :
din. van 17u-18u30 & zat. van 11u-12u30, vanaf 14/9",Après la signature de l’acte,Non,,
42,,,,,470 m²,,,25 m²,6,46 m²,25 m²,22 m²,2,2,,800 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,1.395.000 €,Non,"Valkebeekstraat 24
1861 - Wolvertem",324 - v21LON/079,,,,,,,,,,,Non,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,2,20 m²,,,,,,,,,,Oui,,,,Non,,,,,17 m²,,,,,,,
43,Après la signature de l’acte,Bon,3,,240 m²,32 m²,Équipée,11 m²,6,15 m²,13 m²,12 m²,2,2,,210 m²,70 m²,,125 kWh/m²,B,20210318-0002389231-res-1,Non communiqué,Non communiqué,Gaz,,398.000 €,Non,"Korenmarkt 55
2800 - Mechelen",40910 - MEC-21-GMA-0,Oui,Non,Zone non inondable,,,,,,Oui,,Non,,,,,,7 m,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,1,10 m²,18 m²,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,9 m²,,,,,,,
44,Après la signature de l’acte,Bon,2,,106 m²,,Équipée,10 m²,2,16 m²,10 m²,,1,1,,164 m²,40 m²,,184 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,247.000 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",,,,Zone non inondable,,,3,,,,,Non,,,,,,,Oui,Sud,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,198 - 1367,,Non,,,,,,,,,,,,
45,Après la signature de l’acte,À rafraîchir,2,,130 m²,15 m²,,12 m²,4,15 m²,15 m²,6 m²,,1,,291 m²,179 m²,,423 kWh/m²,E,20210730-0002446725-Res-1,Non communiqué,Non communiqué,Charbon,,299.000 €,Non,"Korenmarkt 55
2800 - Mechelen",39900 - MEC-21-JDK-0,Oui,Non,Zone non inondable,1960,,,,,,,Non,,,,,,,Oui,Nord,,,,,,,,,,,,,,,,,,,,411 €,,Oui,,,,,4 m²,,,,,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",35 m²,,,,,Non,,,,,,,,,,,,
46,Après la signature de l’acte,Bon,2,Urbain,185 m²,,Hyper équipée,,6,,,,1,,,315 m²,,,327 kWh/m²,D,20170802-0001981848-1,Non communiqué,Non communiqué,Gaz,Oui,468.000 €,Non,"Korenmarkt 55
2800 - Mechelen",37265 - MEC-21-AVD-0,,Non,Zone non inondable,1920,,,,,,,Non,,,,,,,Oui,Nord-est,,,,,Oui,,Oui,,Oui,,,,,,,,,,Non,2.263 €,,,Oui,,,,,,1,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,,,,,,,,
47,Après la signature de l’acte,,4,,195 m²,,,,3,,,,1,,,,,,724 kWh/m²,F,20210107-0002356688-Res-1,Non communiqué,Non communiqué,,,475.000 €,Non,"Korenmarkt 55
2800 - Mechelen",35761 - MEC-21-BQU-0,Oui,Non,Zone non inondable,,,4,,,,,Non,,,,,,,Oui,Nord-ouest,,,,,,,,,,,,,,,,,,,Non,959 €,,,,,,,,,,,,,,Non,,,Oui,,,,Non,,,,,,,,,,,,
48,,,4,,224 m²,42 m²,Équipée,11 m²,4,13 m²,10 m²,10 m²,2,3,,691 m²,1 m²,,237 kWh/m²,C,20210130-0000684861-RES-4,Non communiqué,Non communiqué,Gaz,Oui,499.000 €,Non,,,Oui,,,1989,,,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,,Oui,Sud,1 m²,,,,,,,,,,,,,Non,Non,Oui,Non,Toutes sortes,Non,1.152 €,,,,,Oui,,39 m²,10 m²,,60 m²,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
49,Après la signature de l’acte,Bon,4,,200 m²,,Américaine équipée,,3,,,,1,,,,,Oui,719 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,595.000 €,Non,"Kapellestraat 45
2630 - Aartselaar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,1,,,,,,,,,,,,,4527116,,,,,,,,,,,,,,
