,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de l'espace professionnel,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Année de construction,Largeur de la façade à rue,Parkings extérieurs,Dressing,Buanderie,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Procédure pour violation de la réglementation urbanistique,Revenu cadastral,Salon,Salle à manger,Cave,Grenier,Isolé,Parkings intérieurs,Surface de la chambre 4,Surface de bureau,Combien de feux ouverts ?,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Salles de douche,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Jardin,Obligation de construire,Référence externe,Niveau E (performance énergétique globale),Attestation as-built,Nom de l'agent,Quartier ou lieu-dit,Visite virtuelle,Surface constructible totale au sol,Surface de la chambre 5,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom du bien,Nombre d'annexes
84,,,,,120 m²,15 m²,Équipée,20 m²,2,21 m²,13 m²,,1,1,,170 m²,75 m²,,298 kWh/m²,C,20170501-0001745304-2,Non communiqué,Non communiqué,Gaz,Oui,255.000 €,Non,"Grote Markt 22
2850 - Boom",spir13090 [3088138],,Non,Zone non inondable,,5.5 m,,Non,,Non,,Non,,Non,Non,Non,Non,,Oui,Nord-ouest,,,,,,,,,,,,,,Non,,,,,Non,313 €,,,,,,,,,,24 m²,Non connecté,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,,Non,,,,,,,70 m²,,,,,,,,
85,,À rénover,,,220 m²,46 m²,Équipée,9 m²,6,17 m²,16 m²,13 m²,1,2,,180 m²,,,593 kWh/m²,F,20210620-0002431455-RES-1,Non communiqué,Non communiqué,Gaz,Non,275.000 €,Non,"Grote Markt 22
2850 - Boom",spir13107 [3088122],,Non,,,9.5 m,,Non,,Non,,Non,,Non,Non,Non,Non,9.5 m,Oui,,45 m²,,,,,,,,,,,,,Non,,,,,Non,736 €,,,,,,1,10 m²,,,,Non connecté,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",100 m²,,Non,,,,,,,140 m²,8 m²,,,,,,,
86,Après la signature de l’acte,À rénover,2,,102 m²,,Semi-équipée,,2,,,,1,1,,,,,490 kWh/m²,E,20151011-0001801269-1,Non communiqué,Non communiqué,Gaz,,111.000 €,Non,"Korenmarkt 55
2800 - Mechelen",38949 - MEC-21-BQU-0,Oui,Non,Zone non inondable,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Non,,,,,,,,,,,,
87,À définir,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",129 m²,27 m²,Hyper équipée,18 m²,3,13 m²,9 m²,15 m²,1,1,,213 m²,65 m²,,384 kWh/m²,D,20131211-0001498348-00000001-8,15 kg CO₂/m²,Non communiqué,Gaz,Oui,325.000 €,Non,,,Oui,Oui,Zone non inondable,,5 m,1,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,5 m,Oui,Sud-est,20 m²,Sud-est,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Toutes sortes,Non,,,,,,Oui,,,,,15 m²,Connecté,,,Oui,,16 m²,,,,,,,,,,,,,,,,,
88,,,3,,108 m²,,Équipée,,3,,,,1,2,,476 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,376.400 €,Non,"Bredabaan, 896
2170 - Merksem",19829 - SIN/21/030,,Oui,Zone non inondable,2021,6 m,,,,,,Non,,,,,,9.55 m,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,35,Non,,,,,,,,,,,,
89,,,3,,108 m²,,Équipée,,3,,,,1,2,,476 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,376.400 €,Non,"Bredabaan, 896
2170 - Merksem",8843 - SIN/18/144,,Oui,Zone non inondable,2021,6 m,,,,,,Non,,,,,,9.55 m,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,35,Non,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Grote Markt 22
2850 - Boom",spirNb_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Après la signature de l’acte,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",120 m²,,,,2,,,,1,,,64 m²,,,258 kWh/m²,C,1977936,Non communiqué,Non communiqué,Gaz,Oui,208.000 €,,"Sint-Janstraat 14
2840 - Reet",Britt Wils,,Non,Zone non inondable,,5 m,,,,,,Non,,,,,Oui,,Oui,Sud,8 m²,,,,,,,,,,,,,,,,,,Non,401 €,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,Non,,,,,,,,,,,,
92,Immédiatement,À rafraîchir,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,Équipée,,4,,,,,2,,350 m²,220 m²,,191 kWh/m²,B,20210618-0002430668-RES-1,7500 kg CO₂/m²,Non communiqué,Gaz,Oui,370.000 €,Non,,,Oui,,,,6 m,1,Non,,Non,Non,Non,Non,Non,Non,Non,Non,6 m,Oui,Ouest,24 m²,Ouest,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Toutes sortes,Non,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
93,,À rénover,,,,30 m²,Pas équipée,15 m²,2,20 m²,10 m²,,1,2,,245 m²,115 m²,,473 kWh/m²,E,20210921-0002466682-RES-1,Non communiqué,Non communiqué,,Non,150.000 €,Non,"Grote Markt 22
2850 - Boom",spir13122 [3088106],,,Zone non inondable,,5 m,,Non,,Non,,Non,,Non,Non,Non,Non,5 m,Oui,Nord-est,,,,,,,,,,,,,,Non,,,,,Non,173 €,,,,,,,,,,,Non connecté,Non,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",70 m²,,Non,,,,,,,65 m²,,,,,,,,
