,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Largeur de la façade à rue,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Revenu cadastral,Visite virtuelle,Attestation as-built,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Disponible le,Largeur du terrain à rue,Orientation du jardin,Quartier ou lieu-dit,Terrasse,Type d’environnement,Revenu mensuel actuel,Surface de la cave,Attestation de conformité des citernes à mazout,Nom du bien,Surface de la chambre 5,Jardin,Salon,Salle à manger,Combien de feux ouverts ?,Salles de douche,Cave,Grenier,Orientation de la terrasse,Surface constructible totale au sol,Charges mensuelles,Surface de bureau,Obligation de construire,Surface de l'espace professionnel,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Référence externe,Isolé,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
102,Après la signature de l’acte,Fraîchement rénové,3,1,2,160 m²,3,1,1015 m²,364 kWh/m²,D,20210824-0002455524-RES-1,Non communiqué,Non communiqué,479.000 €,Non,,,1955,,17 m²,Hyper équipée,12 m²,18 m²,13 m²,7 m²,,Non,,Oui,Non,Non,40 m²,Non,Non,Non,Non,Non,Non,Connecté,Oui,800 m²,38 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Non,Oui,,Toutes sortes,,,1.037 €,,,,,,,,Sud-ouest,,,Pays,,62 m²,,,,,,Oui,1,,,,Sud-ouest,,,,,,,,,,,,,Oui,,,,,,,,,
103,Après la signature de l’acte,Bon,4,1,1,,4,3,841 m²,Non communiqué,Non communiqué,Non communiqué,175 kg CO₂/m²,Non communiqué,695.000 €,Non,,,,,,Équipée,,,,,,Non,,,Non,Non,,Non,Non,Non,Non,Non,Non,,Non,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Oui,Toutes sortes,,Non,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Excellent état,4,1,,105 m²,3,,640 m²,343 kWh/m²,D,EP19193,Non communiqué,Non communiqué,,Non,"2 Rue Solleveld
1200 - Bruxelles",,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.000 €,40.000 €,1.500 €,Oui,Non,Oui,1,77,15 ans
105,,,3,2,,174 m²,3,1,544 m²,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,560.900 €,Non,"Bredabaan, 896
2170 - Merksem",20178 - SIN/21/106,2022,,,Équipée,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,Oui,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,11.2 m,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
106,,,3,1,1,150 m²,3,1,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,497.600 €,Non,"Bredabaan, 896
2170 - Merksem",18764 - SIN/20/001,2021,,,Équipée,,,,,,,2,,,,,Non,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,Oui,,,Oui,Oui,,,Non,,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",,11.3 m,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
107,,,4,1,4,600 m²,6,5,2039 m²,235 kWh/m²,C,20200625-0002286312-RES-1,Non communiqué,Non communiqué,2.050.000 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",4318390,1966,17.5 m,40 m²,,44 m²,32 m²,29 m²,25 m²,25 m²,,,,Oui,,,Non,,,,,,,Non,,,,,,,Oui,,,,,Oui,,Gaz,,,,,,,,,,11.470 €,,,,,,,,,,Oui,,,,,,10 m²,,,Oui,,,Oui,Oui,,,,14 m²,,28 m²,,,,,,,,,,,,,,,,,
108,Après la signature de l’acte,,4,4,4,720 m²,7,6,5800 m²,174 kWh/m²,B,20151221-0001508392-1,Non communiqué,Non communiqué,2.475.000 €,Non,"Brusselsesteenweg, 518
3090 - Overijse",4055971,1975,,160 m²,,46 m²,15 m²,16 m²,20 m²,41 m²,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Oui,,Gaz,,,,,,,,,,10.767 €,,,,,,,,,,Oui,,,,,,14 m²,,,Oui,,,,,,,,24 m²,,,,,,,,,,,,,,,,,,,
109,Après la signature de l’acte,Bon,4,,4,,14 m²,1,,B,20210729-0002446069-RES-1,5483 kg CO₂/m²,Non communiqué,Oui,Non,"Av. Van Crombrugghe 59
1150 - Woluwe",4496753,,2008,,Américaine hyper-équipée,32 m²,5,13 m²,11 m²,11 m²,22 m²,,11 m²,,Oui,,,Connecté,,,,,,Oui,Oui,,,,Oui,,Oui,Non,,,,,132 kWh/m²,,,,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,21 m²,,,,795.000 €,,,,,Non,,,,,,3,,,,,3,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,
110,,Bon,4,2,2,46 m²,14 m²,2,Oui,B,2431672,Non communiqué,Non communiqué,Non,4.085 €,"Gemeenteplein 9
3040 - Huldenberg",spir188,,1971,,Hyper équipée,17 m²,6,12 m²,9 m²,7 m²,8 m²,2,Non,,8 m²,,Non,877 m²,,,,,,,,,Non,Non,Non,Non,Oui,Non,,Non,,,199 kWh/m²,,Non,Oui,,,,Oui,Non,,Oui,Non,Non,235 m²,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",825.000 €,1 février 2022 - 00:00,,25 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Gaz,,Non,Sud,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,
111,À définir,Excellent état,4,2,1,314 m²,6,2,494 m²,229 kWh/m²,C,20210803-0002447874-RES-1,Non communiqué,Non communiqué,765.000 €,Non,"Brusselsesteenweg, 15
3080 - Tervuren",spir353901,2005,14 m,64 m²,Hyper équipée,28 m²,22 m²,12 m²,14 m²,12 m²,Non,3,Oui,Oui,,,Non,,,,,,,,,27 m²,Non,Non,Non,Non,Oui,,Non,,,Non,,Gaz,Non,,,,Oui,Oui,,Oui,Oui,3.625 €,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,20 m,Sud,,,,,38 m²,Non,,18 m²,Oui,,,1,2,,,,400 m²,,14 m²,Non,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,À rénover,2,,,122 m²,2,1,110 m²,331 kWh/m²,D,20210830-0002457504-RES-1,Non communiqué,Non communiqué,315.000 €,Non,"Leuvensesteenweg 8E
3080 - Tervuren",spir195,1930,5.5 m,28 m²,Semi-équipée,8 m²,18 m²,9 m²,,,Non,,,Non,,39 m²,Non,,,,,,,,,15 m²,,,,,,,,,,,,Gaz,Non,,,,Oui,Oui,,Non,Oui,438 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Ouest,,,,,25 m²,Non,,,Oui,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,
113,Après la signature de l’acte,Bon,4,1,2,250 m²,6,2,730 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,570.000 €,,"Moorselstraat 277
3080 - Tervuren",Isabel Ghijselings,1977,34 m,40 m²,Équipée,15 m²,40 m²,24 m²,20 m²,8 m²,,2,Oui,,,,Non,,Oui,,,Oui,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Non,Non,3.482 €,,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,34 m,Sud,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,8 m²,Oui,,,,,,,Sud,,,,,,2,,,,,,,,,,,,,,,,
114,À définir,Excellent état,4,,2,120 m²,2,1,985 m²,262 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,585.000 €,,"Moorselstraat 277
3080 - Tervuren",Isabel Ghijselings,1968,,37 m²,Équipée,15 m²,13 m²,10 m²,,,,,Oui,,,,Non,,Oui,,,Oui,Connecté,Oui,,55 m²,,,,Oui,,,,,,,,Gaz,,,,,Oui,Oui,,Non,Non,1.717 €,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,Sud,,,"Zone d'habitat (résidentiel, urbain ou rural)",,11 m²,,,,Oui,,,1,,,,Sud,,,,,,1,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,Bon,4,,2,36 m²,2,46 m²,28 m,C,20210519-0002416304-RES-1,Non communiqué,Non communiqué,256,4.474 €,"F. De Merodestraat, 111
2800 - Mechelen",D.2021.09.13,,1974,9 m,Oui,,5,,,,,,,,,,,Non,904 m²,,,,,Oui,256 kWh/m²,,,,,,,,,,,,,,Non,Non,Non,Non,Oui,Oui,Villa,Non,Non,Non,Non,391 m²,,Zone non inondable,Parc résidentiel,1.140.000 €,,Connecté,,,,,,Non,,,,,,19 m²,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,
116,À définir,Excellent état,2,,,190 m²,2,1,,381 kWh/m²,D,1103312,Non communiqué,Non communiqué,389.000 €,Non,"Brusselsesteenweg, 15
3080 - Tervuren",spir353664,1941,8 m,40 m²,Équipée,40 m²,23 m²,12 m²,,,Non,2,,Oui,,33 m²,Non,,,,,,,,,,Non,Non,Non,Oui,Non,,Non,,,Non,,Gaz,Non,,,,Oui,,,Non,Oui,1.044 €,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,Non,,,,,,,1,,,,,,3 m²,Non,,,,,,,,,,,,,,,,,,
117,Après la signature de l’acte,À rénover,4,1,4,341 m²,3,1,1307 m²,676 kWh/m²,F,202105140002415172-res-17,Non communiqué,Non communiqué,440.000 €,Oui,"Mechelsesteenweg, 248
1933 - Sterrebeek",4380190,1959,,51 m²,Pas équipée,,15 m²,14 m²,8 m²,,,,,,,,Non,,,,,,,Non,,,,,,,,,,,,,,Mazout,,,,,Oui,,,,,1.893 €,,,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,19.43 m,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,Excellent état,4,1,2,280 m²,4,2,1013 m²,344 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,725.000 €,Non,"Mechelsesteenweg 231
1933 - Sterrebeek",4520524,1980,,42 m²,Hyper équipée,18 m²,24 m²,20 m²,14 m²,13 m²,,3,,Oui,,,Non,,,,,,,,,28 m²,,,,,,,,,,,,,,,,,Oui,Oui,,Non,Non,3.326 €,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,
119,Après la signature de l’acte,,4,,1,,3,1,554 m²,488 kWh/m²,E,20210708-0002430073-RES-1,Non communiqué,Non communiqué,489.000 €,Non,"Albert De Beusscherplein 2
1933 - Sterrebeek",4421715,,,36 m²,Hyper équipée,15 m²,9 m²,12 m²,14 m²,,,1,,,,,,,,,,,,Oui,554 m²,24 m²,,,,,,,,,,,,,,,,,Oui,Oui,,,Oui,1.858 €,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,À définir,Excellent état,,,,,3,,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,497.600 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,Hyper équipée,,,,,,Non,1,,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Non,,,,,,,Oui,Oui,,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,
121,À définir,Excellent état,,,,,3,,544 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,560.900 €,Non,"Mechelsesteenweg 35/A
2840 - Rumst",,,,,Hyper équipée,,,,,,Non,1,,,,,Non,,,,,,Connecté,Oui,,,,,,,,,,,,,,,Non,,,,,,,Oui,Oui,,,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,À définir,À rafraîchir,2,,,543 m²,4,3,435 m²,291 kWh/m²,C,20150527-0001762840-1,Non communiqué,Non communiqué,500.000 €,Oui,,,1965,10 m,40 m²,Hyper équipée,35 m²,54 m²,26 m²,22 m²,16 m²,Non,5,,Non,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,,40 m²,,,,,,,,,,,,Gaz,,,,,Oui,,Toutes sortes,,,4.836 €,,Non,,,,,,,Centre,,Urbain,2600,,,,,,,,,1,Oui,,Nord-ouest,,,,,,,,,,,,,,,,,,,,,,
123,Après la signature de l’acte,Bon,4,1,,200 m²,4,1,1452 m²,594 kWh/m²,F,20210911-0002463042-RES-1,Non communiqué,Non communiqué,585.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4521067,1962,,57 m²,Équipée,10 m²,10 m²,12 m²,15 m²,16 m²,,2,,Oui,,,Non,,,,,,,,900 m²,,,,,,,,,,,,,Mazout,,,,,Oui,,,,Oui,2.850 €,,,,Zone inondable potentielle,Zone naturelle,,,,,,,,,,,,,,,,,Oui,Oui,,,,9 m²,,,,,,,,,,,,,,,,,,,
124,À définir,Bon,4,,,5,Oui,,31 m,D,20120929-0001217774-00000003-8,Non communiqué,Non communiqué,369,2.905 €,"Stationsplein 7A
3090 - Overijse",,,1930,27 m,,,,,,,,,,,,,,Non,369 kWh/m²,,,,,Oui,Oui,,,,Non,Oui,,Non,,,,,,,Non,Non,Non,Non,Oui,Non,,,Non,Non,Non,324 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,,Connecté,,,Non,,,,Gaz,,,,,,,,Non,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,
125,Selon le locataire,Bon,4,2,1,170 m²,5,2,602 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,550.000 €,Non,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",3353604,1969,,45 m²,Équipée,,10 m²,13 m²,16 m²,17 m²,,2,,Oui,,,Non,,,,,,Connecté,Oui,450 m²,20 m²,,Non,Non,,Oui,,,,,Non,,Gaz,,,,,Oui,,,,Non,3.123 €,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,"Oui, conforme",,24 m²,,,,,1,,Oui,,,,9 m²,,,,,,,,,,,,,,,,,,,
126,Après la signature de l’acte,À rénover,4,1,4,128 m²,3,1,651 m²,871 kWh/m²,F,20210912-0002463065-RES-1,Non communiqué,Non communiqué,395.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4453695,1956,,30 m²,Semi-équipée,12 m²,10 m²,14 m²,14 m²,,,2,,,,,Non,,,,,,,,250 m²,16 m²,,,,,,,,,,,,Gaz,,,,,,,,,Oui,1.878 €,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
127,Après la signature de l’acte,Bon,4,1,2,180 m²,3,1,699 m²,552 kWh/m²,F,20130301-0001204577-00000003-5,Non communiqué,Non communiqué,465.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4452194,1985,,38 m²,Semi-équipée,11 m²,12 m²,14 m²,18 m²,,,2,,,,,Non,,,,,,,Non,,,,Non,Non,,Oui,,,,,Non,,Électrique,,,,,Oui,,,,Oui,1.261 €,,,,Zone non inondable,Zone agricole,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Selon le locataire,Bon,2,,,411 m²,3,1,362 m²,396 kWh/m²,D,20210615-0002426025-RES-1,Non communiqué,Non communiqué,597.000 €,Oui,"Brusselsesteenweg 415
3090 - Overijse",4447042,1957,,18 m²,Américaine hyper-équipée,18 m²,17 m²,12 m²,11 m²,,,4,,Oui,,,Non,,,,,,,,260 m²,,,,,,,,,,,,,Gaz,,,,,Oui,,,,Oui,2.855 €,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Oui,,,,,,,,,Oui,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
129,,Excellent état,4,1,3,165 m²,3,1,560 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,620.000 €,Non,,,1990,8 m,40 m²,Américaine hyper-équipée,13 m²,143 m²,11 m²,14 m²,,,2,Oui,Non,Non,36 m²,Non,Non,Non,Non,Non,Non,,Oui,420 m²,30 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Oui,Oui,,Toutes sortes,,,,,,,,,,,Sud,,,,,,,,,,,Oui,,1,,,Nord,,,,,,,,,,,,,,,,,,,,,,
130,Immédiatement,Bon,4,,,235 m²,5,3,800 m²,312 kWh/m²,D,20180222-0002035447-1,Non communiqué,Non communiqué,645.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4445048,1982,,34 m²,Équipée,12 m²,12 m²,10 m²,19 m²,20 m²,,3,,,,,Non,,,,,,Connecté,Non,,,,,,,,,,,,,,Mazout,,,,,Oui,,,,Non,3.029 €,,,,Zone non inondable,Zone d'intérêt paysager,1 juillet 2018 - 00:00,,,,Oui,,,,,,26 m²,,,,,2,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
131,Après la signature de l’acte,Fraîchement rénové,4,1,2,225 m²,5,3,1651 m²,403 kWh/m²,E,20170828-0001979187-1,Non communiqué,Non communiqué,895.000 €,Non,"Brusselsesteenweg 547
3090 - Overijse",4381153,1975,,65 m²,Américaine hyper-équipée,,16 m²,14 m²,12 m²,11 m²,,3,,Oui,,,,,,,,,,Non,,,,,,,Oui,,,,,,,Mazout,,,,,Oui,Oui,,,Oui,4.214 €,,,Non,Zone non inondable,Parc résidentiel,,,,,Oui,,,,,,15 m²,,,,,2,Oui,Oui,,105 m²,,12 m²,,,,,,,,,,,,,,,,,,,
132,Après la signature de l’acte,Excellent état,4,2,5,488 m²,5,3,974 m²,104 kWh/m²,B,20210823-0002453703-RES-1,Non communiqué,Non communiqué,1.320.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4449117,1971,,68 m²,Américaine hyper-équipée,,10 m²,16 m²,16 m²,25 m²,,3,,Oui,,,Non,,,,,,,Oui,,38 m²,,Non,Non,,Oui,,,,,Oui,,Gaz,,,Oui,,Oui,,,,Oui,4.790 €,,,,Zone inondable potentielle,Parc résidentiel,,,,,,,,,,,15 m²,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
133,Après la signature de l’acte,Excellent état,4,6,6,Oui,20 m²,10,Oui,E,49774-1,101 kg CO₂/m²,Non communiqué,"Oui, conforme",7.000 €,"Avenue Baron Albert d'Huart 130
1950 - Kraainem",4294675,,1909,,,12,,20 m²,20 m²,20 m²,20 m²,,Oui,,,,,500000 m²,,,,,,,,,,,Oui,Oui,,Oui,,,,,402 kWh/m²,,Oui,,,,,Zone non inondable,,,,,Non,1100 m²,,,9.500.000 €,,,,,,Oui,,,,Mazout,,8,,Oui,Équipée,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
134,Après la signature de l’acte,Excellent état,4,2,9,589 m²,5,4,1588 m²,112 kWh/m²,B,20201228-0000337643-RES-2,Non communiqué,Non communiqué,1.200.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4520151,2010,,37 m²,Américaine hyper-équipée,31 m²,15 m²,16 m²,15 m²,18 m²,,4,,Oui,,,Non,,,,,,,Oui,,48 m²,,Non,Non,,Oui,,,,,Non,,,,,,,Oui,,,,,,,,,Zone non inondable,,,,,,,,,,,,24 m²,,,Oui,,,,Oui,,,,21 m²,,21 m²,,,,,,,,,,,,,,,,,
135,Après la signature de l’acte,Bon,4,2,2,126 m²,3,1,522 m²,277 kWh/m²,C,20210929-0002470486-RES-1,Non communiqué,Non communiqué,445.000 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816746 - 1239234,1974,,30 m²,Équipée,8 m²,14 m²,8 m²,8 m²,,,1,,,,,Non,,,,,,,,522 m²,30 m²,,,,,,,,,,,,Mazout,,,,,Oui,,,,,1.769 €,,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Après la signature de l’acte,À rafraîchir,4,1,3,170 m²,3,1,700 m²,417 kWh/m²,E,20210630-0002435840-RES-1,Non communiqué,Non communiqué,565.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4530317,1962,,48 m²,Hyper équipée,21 m²,8 m²,12 m²,17 m²,,,1,,Oui,,,Non,,,,,,,Oui,240 m²,43 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,,Oui,2.887 €,,,,Zone non inondable,Parc résidentiel,,,,,,,,,,,,,,,,,Oui,,,,,14 m²,,,,,,,,,,,,,,,,,,,
137,Après la signature de l’acte,Bon,4,1,1,165 m²,3,2,618 m²,285 kWh/m²,C,20160512-0001861526-1,Non communiqué,Non communiqué,565.000 €,Non,"Brusselsesteenweg 547
3090 - Overijse",4358179,1976,8 m,30 m²,Équipée,16 m²,24 m²,10 m²,22 m²,,,2,,,,,,,,,,,Connecté,Oui,,20 m²,,,,,Oui,,,,,,,Gaz,,,,,Oui,,,,Oui,3.138 €,,,,Zone non inondable,Parc résidentiel,,,,,,,,,,,,,,,,1,,Oui,,115 m²,,,,,,,,,,,,,,,,,,,,,
138,Après la signature de l’acte,Excellent état,4,1,3,260 m²,4,2,935 m²,275 kWh/m²,C,20210927-0002468320-RES-1,Non communiqué,Non communiqué,695.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4498966,1967,18.95 m,73 m²,Américaine hyper-équipée,20 m²,12 m²,12 m²,12 m²,17 m²,,2,,Oui,,,Non,,,,,,,Oui,450 m²,,,Non,Oui,,,,,,,Non,,Gaz,,,Oui,,Oui,,,,,4.196 €,,,,Zone non inondable,Parc résidentiel,15 mars 2022 - 00:00,25 m,,,Oui,,,,,,,,,,,,,Oui,,306 m²,,11 m²,,,,,,,,,,,,,,,,,,,
139,Après la signature de l’acte,À rafraîchir,4,1,1,180 m²,4,1,1042 m²,542 kWh/m²,F,20210830-0002457788-RES-1,Non communiqué,Non communiqué,760.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4438238,1971,,49 m²,Hyper équipée,16 m²,12 m²,15 m²,15 m²,24 m²,,2,,Oui,,,Non,,,,,,,,660 m²,33 m²,,,,,,,,,,,,,,,,,Oui,,,,Oui,3.534 €,,,,Zone non inondable,Parc résidentiel,,,,,,,,,,,,,,,,1,Oui,Oui,,,,11 m²,,,,,,,,,,,,,,,,,,,
140,Après la signature de l’acte,Bon,4,1,4,271 m²,4,2,700 m²,333 kWh/m²,D,20210617-0002430310-RES-1,Non communiqué,Non communiqué,Faire offre à partir de 785.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4499778,1975,,22 m²,Américaine hyper-équipée,,9 m²,12 m²,14 m²,16 m²,,2,,Oui,,46 m²,Non,,,,,,,Oui,530 m²,125 m²,,Non,Non,,Oui,,,,,Non,,Gaz,,,,,Oui,,,,Oui,3.150 €,,,,Zone non inondable,Parc résidentiel,,,,,,,,,,,,,,Oui,,,Oui,,,,,11 m²,,,,,,,,,,,,,,,,,,,
141,,À rafraîchir,4,4,4,335 m²,6,2,2071 m²,209 kWh/m²,C,20210512-0002414474-RES-1,Non communiqué,Non communiqué,850.000 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816534 - 1239217,1990,19 m,64 m²,Équipée,17 m²,35 m²,15 m²,15 m²,12 m²,,3,,Oui,,,Non,,,,,,,,2071 m²,60 m²,,,,,,,,,,,,Gaz,,,,,Oui,Oui,,Oui,Oui,4.749 €,,Non,Non,Zone non inondable,Parc résidentiel,,31.22 m,,,,,,,,,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Après la signature de l’acte,Bon,4,1,3,261 m²,5,2,2605 m²,212 kWh/m²,C,20210809-0002449511-RES-1,Non communiqué,Non communiqué,860.000 €,Non,"Brusselsesteenweg 415
3090 - Overijse",4425920,1976,15 m,47 m²,Américaine hyper-équipée,39 m²,11 m²,11 m²,10 m²,10 m²,,3,,Oui,,,Non,,,,,,Connecté,Oui,1200 m²,71 m²,,Non,Oui,,,,,,,Oui,,Gaz,,,Oui,,Oui,,,,,3.579 €,,,,Zone inondable potentielle,,,44 m,,,,,,,,,18 m²,,,,,1,,Oui,,193 m²,,11 m²,,,,,,,,,,,,,,,,,,,
143,Selon le locataire,Bon,2,,,147 m²,2,1,80 m²,Non communiqué,Non communiqué,20210907-0002461197-KNR-1,Non communiqué,Non communiqué,349.000 €,Oui,"Brusselsesteenweg 415
3090 - Overijse",4453160,1953,,35 m²,Américaine équipée,,8 m²,11 m²,,,,2,,,,,Non,,,,,,Connecté,Oui,,15 m²,,Non,Non,,Oui,,,,,Non,,Gaz,,,,,Oui,,,,Non,1.636 €,,,,Zone non inondable,Parc résidentiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,4,,,Oui,1,Non,20 m,E,202106100002427637,Non communiqué,Non communiqué,427,Non,"Stationsplein 7A
3090 - Overijse",,,1973,11 m,,,,,,,,,,,,,,Non,797 m²,,,,,Oui,Oui,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Oui,Villa,Non,Non,Non,,277 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",560.000 €,,Connecté,,,427 kWh/m²,,,,,,,,,4,,,,,,,,,,,,Mazout,,,,,,,,,,,,,,,
145,,Excellent état,4,3,3,252 m²,3,2,1950 m²,316 kWh/m²,D,20210912-0002463195-RES-1,Non communiqué,Non communiqué,588.000 €,Non,"GEMEENTEPLEIN 7
1560 - Hoeilaart",1816737 - 1239235,1994,,48 m²,Équipée,14 m²,14 m²,12 m²,12 m²,,,3,,Oui,,,Non,,,,,,,,1950 m²,30 m²,,,,,,,,,,,,Gaz,,,,,Oui,,,,,2.974 €,,Non,,Zone non inondable,,15 février 2022 - 00:00,18 m,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
