,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Visite virtuelle,Meublé,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Dressing,Bureau,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Obligation de construire,Salon,Buanderie,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Surface du jardin,Terrasse,Type d’environnement,Surface de bureau,Surface de la cave,Surface du grenier,Accès sécurisé / alarme,Surface de la chambre 5,Espace professionnel,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Combien de feux ouverts ?,Isolé,Surface constructible totale au sol,Grenier,Attestation as-built,Référence externe,Disponible le,Nombre d'annexes,Nom de l'agent,Lieu de la vente,Séance unique,Mise à prix,Modalités de visite,Surface de l'espace professionnel
0,Après la signature de l’acte,Dilbeek,1958,Excellent état,9 m,3,1,3,170 m²,20 m²,Oui,Américaine équipée,7 m²,4,13 m²,11 m²,14 m²,20 m²,1,1,2,Oui,394 m²,Connecté,Oui,475 kWh/m²,E,20200528,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,1.212 €,Non,"Ninoofsesteenweg 85
1700 - Dilbeek",4411053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1956,Bon,,4,,,Hyper équipée,,,3,,1,,,,,Non,,,,Connecté,Oui,931 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,931,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,3.390 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,590 m²,Non,4433 m²,Mazout,Non,Non,Non,Oui,Non,Non,Zone inondable potentielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,À rénover,,4,1,1,175 m²,25 m²,Oui,,10 m²,3,30 m²,30 m²,,,2,2,2,,,,,847 kWh/m²,F,202006040002277114RES1,Non communiqué,Non communiqué,Gaz,Oui,,,,415.000 €,,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",4283616,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,4,,,,,,,,,493 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,Autre type de zone,436.246 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9679,,Non,,,Non,,,,,,,Non,Non,10 m,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,7 m,,1,,143 m²,,,,,3,,,,,1,,2,,493 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,498.635 €,,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",SDB21092805,,,,,,,,,,,,Non,Non,,,,Oui,Oui,Non,Non,Non,Non,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1970,Bon,7.5 m,2,2,2,290 m²,,,,,6,,,,,3,,3,,291 m²,,Oui,151 kWh/m²,B,201609120001893765-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",665.000 €,2.880 €,Oui,"Prinsenstraat 53
1850 - Grimbergen",,,,,,,,,,,,Non,,,,,,,,,,,,,,75 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Immédiatement,CENTRUM,1900,Excellent état,4.2 m,2,,,90 m²,,,,,1,30 m²,,,,1,,1,,54 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,139.000 €,,,"Itterbeeksebaan, 196
1700 - Dilbeek",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",30 m²,30 m²,12 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,À définir,,2003,Excellent état,,3,1,1,280 m²,50 m²,,Équipée,,5,18 m²,14 m²,13 m²,12 m²,,2,3,,400 m²,Connecté,Oui,158 kWh/m²,B,20140319-0001556906-00000002-9,Non communiqué,Non communiqué,Gaz,Oui,,,,599.000 €,1.394 €,Non,,,,Non,Non,,Non,Non,Non,Oui,,,,Oui,Oui,,,,,Oui,Non,Non,Oui,Oui,,Sud-ouest,300 m²,,Pays,9 m²,,,Oui,11 m²,Oui,12 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,
8,Après la signature de l’acte,Proximité Berchem-St-Agathe,,À rénover,6.5 m,3,,,18 m²,Oui,4 m²,,3,16 m²,13 m²,1,,,1,,24 m²,,8 m,,,F,20210806-0002448734-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,,295.000 €,654 €,"Rue Baron Guillaume Van Hamme 6
1180 - Uccle",,,,135 m²,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,135 m²,,,,,,,,,,Oui,Sud-est,754 kWh/m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,255 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,1952,,,3,1,1,27 m²,Américaine équipée,,7 m²,5,14 m²,11 m²,9 m²,1,,2,,9 m²,,24 m,Oui,Oui,E,2450661,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,459.000 €,,1.016 €,Non,"Astridlaan 1
1700 - Dilbeek",4445704,,143 m²,1031 m²,,,,,,,Non,Non,Zone non inondable,,,Connecté,,,,,,,,,,,,Non,Isolé,,Non,,,,,,,,Non,Oui,,,,,,490 kWh/m²,,,,,,,,,,,,,,,,
10,À définir,,2012,Excellent état,,4,,3,Oui,,,5,,11 m²,14 m²,13 m²,20 m²,20 m²,3,5,Oui,,Connecté,Oui,1500 m²,A,42,Non communiqué,Non communiqué,Oui,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",799.000 €,Non,,"Astridlaan 1
1700 - Dilbeek",4237690,,307 m²,1830 m²,,,,,,,Non,Oui,Zone non inondable,,Non,,,,Hyper équipée,,,,,,,,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,4,,,,,Oui,Oui,Oui,,,,,42 kWh/m²,,,,,,,,,,,,,,,,
11,À définir,,1982,Bon,12 m,3,2,2,264 m²,44 m²,,Américaine hyper-équipée,20 m²,4,15 m²,15 m²,18 m²,9 m²,1,,3,,521 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,Zone non inondable,,609.000 €,1.730 €,Non,,,,Non,Non,,Non,Non,Non,Non,,,,Non,Oui,,,,,Oui,Non,Non,Non,Non,,Nord,380 m²,,,14 m²,,30 m²,Oui,,Oui,48 m²,Nord,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Maison bel-étage,1,Oui,88 m²,,,,,,,,,,,
12,Après la signature de l’acte,,1966,Bon,12 m,3,,,180 m²,25 m²,Oui,Équipée,20 m²,3,20 m²,17 m²,13 m²,,1,1,2,,289 m²,Connecté,Oui,422 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,1.284 €,Non,,,,Non,Oui,,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,,"Oui, conforme",Non,,Oui,Non,Non,Non,Non,,Sud-est,289 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",17 m²,47 m²,,Oui,,Oui,1 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,1,,,Oui,Non,,,,,,,,,
13,,,1985,Bon,9.78 m,,1,,240 m²,45 m²,,Équipée,15 m²,4,13 m²,,,,1,,2,,833 m²,Connecté,Oui,217 kWh/m²,C,20210929-0002470452-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,,Non,"Steenbrugsestraat 21
8210 - Loppem",,,Non,,,,,,,Oui,Non,Non,Non,Non,20 m,,Non,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,Jozef Mertensstraat,,,,,,,,
14,À définir,,2005,Excellent état,10.05 m,4,1,2,165 m²,40 m²,,Équipée,15 m²,3,20 m²,20 m²,20 m²,,2,1,2,,396 m²,Connecté,Oui,192 kWh/m²,B,20210513-0002414812-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,2.341 €,Non,"Mussebeeklaan 27
1701 - Dilbeek",4457391,,,,,,,,,Oui,Non,Non,,Oui,,,,,,,,,,,,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",9 m²,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,30 juin 2022 - 00:00,,,,,,,
15,Après la signature de l’acte,,1953,Excellent état,,3,,,110 m²,481 m²,,Américaine hyper-équipée,,2,16 m²,10 m²,,,,1,1,Oui,411 m²,,Oui,490 kWh/m²,E,201310100001460000000000000,12125 kg CO?/m²,Non communiqué,Gaz,Oui,,,,389.000 €,1.080 €,Non,,,,Non,Non,,Non,Non,Non,Oui,,,,Non,Oui,,Non,,,Oui,Non,Non,Non,Oui,,Sud-ouest,1 m²,,,,,,,,Oui,1 m²,Sud-ouest,,,,,,,,,,,Toutes sortes,1,,,Oui,,,,,,,,,,
16,Après la signature de l’acte,,1964,Bon,,4,,,120 m²,29 m²,,,10 m²,3,,,,,1,,,,789 m²,Connecté,Oui,245 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,1.303 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,Non,Non,245,Non,Non,Non,Non,Oui,Non,Non,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bungalow,,,,,,,,,,,,,,
17,À définir,,1930,Bon,,2,,,41 m²,21 m²,,,3,2,,,,,10 m²,,,,Connecté,Oui,24 m²,B,Non communiqué,Non communiqué,Non communiqué,194,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,1.298 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,208 m²,Non,167 m²,"Oui, conforme",Non,Non,Non,Oui,Non,Non,Zone non inondable,,,,Gaz,,,,,,,,,,,,,,Non,,,,,194 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,Excellent état,,4,,,308 m²,,,,,5,,,,,4,,,,1830 m²,,,42 kWh/m²,A,42,Non communiqué,Non communiqué,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",799.000 €,,Non,"Waterloosesteenweg 631
1050 - Brussel",D1050-21128,,Non,,,,,,,Oui,Oui,Non,,,,,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,1 septembre 2021 - 00:00,,,,,,,
19,Après la signature de l’acte,,1963,À rénover,,4,2,,,,,,,4,,,,,1,,2,Oui,9143 m²,,,824 kWh/m²,F,20201117-0002340479-RES-1,Non communiqué,Non communiqué,Mazout,,Non,Zone inondable potentielle,Zone agricole,840.000 €,1.699 €,Non,"Sint-Laurentuisstraat 50D
9130 - Verrebroek",4124 - 4029,,Non,,,,,,,Oui,Non,Non,,,,"Oui, conforme",,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
20,Après la signature de l’acte,,1987,Excellent état,,,4,2,264 m²,30 m²,,Américaine hyper-équipée,,4,,,,,,1,3,,520 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,609.000 €,,Non,"Avenue Van Overbeke 55, B 7
1083 - Ganshoren",,,Non,,,,,,,,,,,Oui,,,,,,,,,,,Nord,380 m²,,,10 m²,,,,,,48 m²,,,,,,,,,,,,,1,,,,Non,1528 - 2437,,,,,,,,
21,,,,Excellent état,,,,2,220 m²,,,,,4,,,,,4,,,,160 m²,Connecté,Oui,297 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,330.000 €,,Non,"Keizersplein 21
9300 - Aalst",grray46C,,,,,,,,,,,,Non,Non,,,,Oui,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Après la signature de l’acte,,1996,Bon,14 m,4,,,42 m²,21 m²,,,3,2,,,,,21 m²,,,,29 m,Oui,Non,C,Non communiqué,Non communiqué,Non communiqué,279,Non,Oui,Non,Zone de parc,735.000 €,2.104 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,400 m²,Non,279 kWh/m²,Mazout,Non,Oui,Non,Oui,Villa,Non,Zone inondable potentielle,,Oui,Connecté,,,,,,,,,,,,,,Oui,Non,,Non,,112 m²,,,,Non,Oui,,,,,,,,Non,,,,,,,,,,,,,,
23,Après la signature de l’acte,,1982,,,2,1,,33 m²,Équipée,,9 m²,3,10 m²,10 m²,11 m²,1,,2,,196 m²,,8 m,,,F,2464413,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,315.000 €,,907 €,Non,"Astridlaan 1
1700 - Dilbeek",4516844,,94 m²,,,,,,,,Non,Non,Zone inondable potentielle,,,Oui,,,,,,,,,,,,670 kWh/m²,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,1982,À rafraîchir,,,1,,132 m²,22 m²,Oui,Équipée,13 m²,4,10 m²,10 m²,8 m²,12 m²,1,,2,,235 m²,Connecté,Oui,459 kWh/m²,E,20210821-0002454458-RES-1,Non communiqué,Non communiqué,,Oui,Non,Zone inondable potentielle,Zone réservée,339.000 €,974 €,Non,"Galgstraat 87
1600 - St-Pieters-Leeuw",Akkerstraat 13,,Non,,,,,,,Oui,Non,Non,Non,Non,,,Non,,Oui,Non,Non,Non,Non,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,1963,,,2,,,386 m²,,,,,2,,,,,,,,,829 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,499.000 €,2.663 €,Non,"Volpestraat 18
1500 - Halle",2493 -,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
26,,,1963,,,,,,386 m²,,,,,2,,,,,,,,,829 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",499.000 €,2.663 €,Oui,"Volpestraat 18
1500 - Halle",2492 -,,Non,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
27,Après la signature de l’acte,,1983,À rénover,,4,2,4,370 m²,53 m²,,Équipée,20 m²,3,21 m²,20 m²,19 m²,,1,,2,Oui,3980 m²,,,794 kWh/m²,F,UC2021922-0002467199-RES-1,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",875.000 €,2.249 €,,"Berchemstraat 24
1760 - Roosdaal",,,,,,,,,,Oui,Oui,Non,,,42.87 m,,,,Oui,,,,,Oui,Ouest,,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,73 m²,,,,,Ouest,,,,Oui,,,,,,,,,,,,Non,,,1,,,,,,
28,Après la signature de l’acte,Regio Asse-Dilbeek-Merchtem-Ternat,1964,Bon,,4,1,4,26 m²,Oui,Américaine équipée,16 m²,3,22 m²,20 m²,11 m²,3,,2,3,25 m²,,Connecté,Oui,Oui,D,2461516,Non communiqué,Non communiqué,Gaz,Oui,448.000 €,,,,1.301 €,Non,"Ninoofsesteenweg 234B
1700 - Dilbeek",4498942,,215 m²,645 m²,,,,,,,,,,,,,,,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,,,,,Non,Oui,,,Non,,,314 kWh/m²,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,,1930,,,,,,180 m²,,Oui,,10 m²,3,17 m²,15 m²,15 m²,,1,,1,Oui,621 m²,,,508 kWh/m²,F,20181023-0002101721-1,Non communiqué,Non communiqué,Mazout,Oui,,,,250.000 €,684 €,Non,"Chaussée de Waterloo 1350
1180 - Uccle",225 - 1578,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
30,Après la signature de l’acte,Dilbeek,1976,,7.5 m,3,,,225 m²,70 m²,,,7 m²,3,20 m²,18 m²,18 m²,,1,,2,,315 m²,Connecté,Non,308 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Électrique,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,1.514 €,Non,"Ninoofsesteenweg 84
1750 - Lennik",4509256,,,,,,,,,,Non,,,Oui,10 m,,,,,,,,,,,,,,8 m²,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Après la signature de l’acte,,1930,,,,,,,,,,,4,,,,,,,,,,,,533 kWh/m²,F,20210826-0002456774,Non communiqué,Non communiqué,,,Non,Zone non inondable,,310.000 €,513 €,Non,"Kaai, 28
2890 - SINT-AMANDS",,,,,,,,Non,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kady DEHANDTSCHUTTER,,,,,
32,Après la signature de l’acte,,1951,Bon,7 m,4,1,2,132 m²,23 m²,,Équipée,10 m²,3,12 m²,18 m²,18 m²,,1,,2,,317 m²,Connecté,Oui,487 kWh/m²,E,2466368,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",389.000 €,1.056 €,Non,"Brusselbaan 110
1790 - Affligem",4533983,,Non,,,,,,,Oui,Non,Non,,,13 m,,,,,,,,,,,100 m²,Oui,Urbain,,,,,,,,,,,,,,,,,,,,,,107 m²,,,,,,,,,,,
33,Après la signature de l’acte,,1996,Bon,,4,1,3,201 m²,36 m²,,Hyper équipée,15 m²,4,17 m²,17 m²,14 m²,13 m²,1,1,2,,1127 m²,Connecté,Oui,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,579.000 €,,Non,"Nieuwstraat 32b1
1730 - Asse",4451070,,Non,,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,Pays,,,,Oui,,,,,,Non,Non,Oui,,Oui,,,Non,,,,,,Oui,,,,,,,,,,
34,Après la signature de l’acte,,1950,À rafraîchir,7.5 m,3,,,145 m²,25 m²,,Semi-équipée,13 m²,2,13 m²,12 m²,,,1,,2,,230 m²,Connecté,Non,365 kWh/m²,D,2426531,Non communiqué,Non communiqué,Mazout,,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,575 €,Non,"Brusselbaan 110
1790 - Affligem",4390072,,Non,,,,,,,Oui,Non,Non,,,5.5 m,,,,,,,,,,,150 m²,Oui,Isolé,,10 m²,30 m²,,,,,,,,,,,,,,,,,,,70 m²,,,,,,,,,,,
35,À définir,,,Bon,,2,,,150 m²,28 m²,,Hyper équipée,13 m²,3,13 m²,13 m²,12 m²,,1,,2,,60 m²,Connecté,Oui,239 kWh/m²,C,20210823-0002444975-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,723 €,Non,,,,Non,Non,,Non,Non,Non,Non,,,,Oui,Non,,,,,Oui,Non,Non,Non,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,59 m²,30 m²,,,Non,13 m²,Sud-ouest,,,,,,,,,,,Toutes sortes,,Oui,,,,,,,,,,,,
36,Après la signature de l’acte,,1981,Excellent état,,3,1,3,181 m²,40 m²,,Hyper équipée,12 m²,4,28 m²,15 m²,14 m²,11 m²,2,,3,Oui,384 m²,Connecté,Oui,280 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone inondable potentielle,,550.000 €,1.224 €,Non,"Nieuwstraat 32b1
1730 - Asse",4519461,,Non,,,,,Oui,,Oui,,Non,,Oui,,,,,,,,,,,,,Oui,,12 m²,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
37,Après la signature de l’acte,,1963,Bon,8 m,3,1,2,177 m²,37 m²,,Semi-équipée,8 m²,3,18 m²,12 m²,9 m²,,1,,1,,223 m²,,Oui,263 kWh/m²,C,20121116-0001251199-00000011-4,Non communiqué,Non communiqué,Mazout,Oui,Oui,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",398.000 €,939 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782493 - 2021/286/M,,Non,,,,,,,Oui,,Non,,,11.2 m,,,,Oui,,,,,,,150 m²,,,,12 m²,,,,,15 m²,,,,,,,,,,,,,1,,,,Non,,,,,,,,,
38,,,1932,À restaurer,,4,,10,200 m²,,,,,3,,,,,1,,,Oui,33878 m²,,,1063 kWh/m²,F,20210429-0002408748-RES-1,1000 kg CO?/m²,Non communiqué,Mazout,Oui,Non,Zone inondable potentielle,Zone agricole,Faire offre à partir de 1.000.000 €,1.137 €,Non,"Steenweg 171 Bis
1745 - Opwijk",569 - 1716,,Non,,,,,,,,,Non,,,218 m,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,31 décembre 2021 - 00:00,,,,,,,
39,,,1932,À restaurer,,4,,10,200 m²,,,,,3,,,,,1,,,Oui,33878 m²,,,1063 kWh/m²,F,20210429-0002408748-RES-1,1000 kg CO?/m²,Non communiqué,Mazout,Oui,Non,Zone inondable potentielle,Zone agricole,Faire offre à partir de 1.000.000 €,1.137 €,Non,"Steenweg 171 Bis
1745 - Opwijk",566 - 1716,,Non,,,,,,,,,Non,,,218 m,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,31 décembre 2021 - 00:00,,,,,,,
40,,,,Bon,25 m,4,8,10,1240 m²,80 m²,,Équipée,,14,,,,,4,,6,Oui,153030 m²,,Oui,594 kWh/m²,F,2379698,Non communiqué,Non communiqué,Mazout,,Non,Zone non inondable,Zone de parc,3.950.000 €,5.352 €,Non,"Meyskensstraat 222
1780 - Wemmel",1781923 - 2021/063/M,,Non,,,,,,,Oui,Non,Non,,Oui,190 m,"Oui, conforme",,,,,,,,,,150000 m²,,,45 m²,,,,,,100 m²,,,,,,,,,,,,,,,,,Non,,,,,,,,,
41,Après la signature de l’acte,,2021,Bon,,2,,1,150 m²,,,Équipée,32 m²,3,18 m²,13 m²,12 m²,,1,1,3,,260 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",397.600 €,,Non,"Meyskensstraat 222
1780 - Wemmel",1782229 - 2021/220/M,,Non,,59,,,,,Oui,Non,Non,,,6 m,,,,Oui,,,,,Oui,Sud-ouest,,Oui,,,,,,,,,,,,,Oui,,,,,,,,,,,,Non,,,,,,,,,
42,Après la signature de l’acte,,1900,À rénover,,4,2,1,31 m²,14 m²,,,4,14 m²,6 m²,15 m²,16 m²,1,1,1,Oui,Oui,Connecté,Oui,,F,20200923-0002318905-RES-1,Non communiqué,Non communiqué,Zone inondable potentielle,,,,349.000 €,,624 €,Non,"Marktstraat 5
1745 - Opwijk",4457538,,292 m²,,,,,,,,,,,,,,,,,,,,,,,,,740 kWh/m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,285 m²,,,,,,,,,,
43,,,1995,,,,1,,498 m²,48 m²,,Hyper équipée,,5,23 m²,19 m²,16 m²,14 m²,2,,3,,3164 m²,Connecté,Oui,164 kWh/m²,B,20210215-0002374002-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",849.000 €,2.050 €,Non,"Vrijheidstraat 41
9300 - Aalst",333 - MOL - 2,,,,,,,,,Oui,Oui,Non,Non,Oui,,,Non,,Oui,Non,Non,Non,Non,,,,,,11 m²,114 m²,25 m²,Oui,40 m²,,,,Non,Non,Non,Oui,,Oui,,,Non,,Toutes sortes,,,,,,,,,,,,,,
44,,,1957,,,3,1,10,145 m²,32 m²,,Équipée,15 m²,3,15 m²,14 m²,9 m²,,1,,,Oui,3440 m²,Connecté,Non,251 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,1.090 €,Non,"Nieuwstraat 32b1
1730 - Asse",4390213,,Non,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,,
45,,regio Aalst + deelgemeenten,,À rafraîchir,,3,1,,253 m²,,,,,4,,,,,1,,1,Oui,1060 m²,Connecté,Oui,439 kWh/m²,E,2399017,Non communiqué,Non communiqué,Gaz,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",364.000 €,585 €,Non,"Leo de béthunelaan 8
9300 - Aalst",4527730,,Non,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
46,,,,3,,16 m²,,,,Équipée,26 m²,5,12 m²,15 m²,16 m²,9 m²,6 m²,1,Oui,,43 m²,,Oui,681 kWh/m²,,20210602-0002423641-RES-1,Non communiqué,Non communiqué,Gaz,Non,Non,,265.000 €,741 €,,,"Kerkstraat, 2
1730 - Asse",Evelien TAELEMANS,,,Oui,,,,Non,,,,,Zone non inondable,,,,,,,,415 m²,,,,,,,,F,,,Connecté,,,2,,,,,,,,,,,,,,,,,,,,,,,,Non,À rafraîchir,Non,,
47,,,2019,,,,,,106 m²,,,,,2,,,,,1,,1,,,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,,Oui,"Kasteelstraat 198
9255 - Buggenhout",3907,,,,,,,,,Oui,Non,Non,Non,Non,,,Non,Oui,,Non,Non,Non,Non,Oui,Sud,,Oui,,,,,Non,,,,,Non,Oui,Non,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,
