,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Visite virtuelle,Meublé,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Dressing,Bureau,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Obligation de construire,Salon,Buanderie,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Surface du jardin,Terrasse,Type d’environnement,Surface de bureau,Surface de la cave,Surface du grenier,Accès sécurisé / alarme,Surface de la chambre 5,Espace professionnel,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Combien de feux ouverts ?,Isolé,Surface constructible totale au sol,Grenier,Attestation as-built,Référence externe,Disponible le,Nombre d'annexes,Nom de l'agent,Lieu de la vente,Séance unique,Mise à prix,Modalités de visite,Surface de l'espace professionnel
109,Selon le locataire,Zellik,1981,À rafraîchir,,3,,,,,,,,6,,,,,3,,3,Oui,,Connecté,Oui,237 kWh/m²,C,2451025,Non communiqué,Non communiqué,Gaz,Oui,,,,495.000 €,,Oui,"Brusselsesteenweg 594
1731 - Zellik",4454063,,Non,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,
110,,,2000,Bon,7 m,3,1,,300 m²,30 m²,,Équipée,13 m²,6,15 m²,16 m²,14 m²,16 m²,2,,3,,115 m²,Connecté,Oui,214 kWh/m²,C,20210607-0002425569-RES-1,Non communiqué,Non communiqué,,Oui,,,,595.000 €,1.812 €,Non,"Rue Verhasseltstraat 2/1
1780 - Wemmel",520,,Non,Non,,,,,,,,,,Non,,,,,,,,,,,,115 m²,,,,15 m²,,Non,14 m²,,,,,Non,Non,Non,,Oui,,,Non,,,,,,,,,,,,,,,,
111,,,1953,Fraîchement rénové,,2,,,210 m²,40 m²,,Équipée,,6,18 m²,18 m²,18 m²,17 m²,,1,2,,210 m²,,,304 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,,380.000 €,,Non,"Avenue Winston Churchill 234B, BTE 17
1180 - Uccle",4323116,,Non,,,,,,,,,,,,,,,,,,,,,,,200 m²,,,,,,,17 m²,,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Après la signature de l’acte,,1950,Bon,5.67 m,3,1,3,200 m²,39 m²,,Américaine hyper-équipée,17 m²,5,16 m²,13 m²,12 m²,12 m²,2,2,2,Oui,1960 m²,,,399 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Oui,,Zone non inondable,,545.000 €,3.058 €,Non,"Kerklaan 66/1
1731 - Zellik",4397420,,Non,,,,,,,,,,,,,,,,,,,,,,,1195 m²,,,,,,Oui,12 m²,,290 m²,,,Non,Non,Oui,,,,,Non,,,,,,Oui,,,,,,,,,,
113,À définir,,1954,Bon,,2,1,2,200 m²,31 m²,,Équipée,14 m²,4,31 m²,13 m²,27 m²,12 m²,4,4,4,,,,,298 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,545.000 €,,Non,"Kerklaan 66/1
1731 - Zellik",4363497,,Non,,,,,,,,,,,,6 m,,,,,,,,,,,100 m²,,,,,,,,,20 m²,,,Non,Non,,,Oui,,,Non,,,,,,,,,1 janvier 2022 - 00:00,,,,,,,
114,Après la signature de l’acte,,,,,2,1,,250 m²,,,,,6,26 m²,25 m²,13 m²,13 m²,4,4,4,,300 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,520.000 €,,Non,"Kerklaan 66/1
1731 - Zellik",4506363,,,,,,,,,,,,,Oui,,,,Oui,,,,,,,,,,,10 m²,,,Oui,17 m²,,21 m²,,,Non,Non,,,,,,Non,,,,,,,,,,,,,,,,
115,Après la signature de l’acte,,1971,À rafraîchir,10.2 m,3,1,2,27 m²,Semi-équipée,,11 m²,4,13 m²,13 m²,7 m²,18 m²,1,2,,500 m²,,14.5 m,,310 m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,927 €,Non,"Astridlaan 1
1700 - Dilbeek",4455252,,180 m²,,,,,,,,,Zone non inondable,,,,Non,,,,,,,,,,,679 kWh/m²,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Après la signature de l’acte,,1930,À rénover,6 m,3,,4,171 m²,40 m²,,Pas équipée,18 m²,3,21 m²,18 m²,20 m²,,1,1,1,,1000 m²,Connecté,Oui,849 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,268.000 €,,Non,"Nieuwstraat 32b1
1730 - Asse",4438469,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,Pays,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,
117,Après la signature de l’acte,,1962,Bon,,2,2,1,180 m²,40 m²,Oui,Semi-équipée,6 m²,3,22 m²,13 m²,6 m²,,1,1,2,,277 m²,Connecté,Non,329 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,Zone non inondable,,345.000 €,,Non,"Nieuwstraat 32b1
1730 - Asse",4444436,,Non,,,,,,,,,,,,,,,,,,,,,,,160 m²,Oui,Urbain,,,,,,,,,,Non,Non,Oui,,,,,Non,,,,,,,,,,,,,,,,
118,Après la signature de l’acte,,1977,À rafraîchir,7.2 m,3,1,6,180 m²,39 m²,,Équipée,8 m²,3,14 m²,14 m²,10 m²,,1,,2,,844 m²,Connecté,Oui,564 kWh/m²,F,2463612,Non communiqué,Non communiqué,Gaz,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Faire offre à partir de 289.000 €,798 €,Non,"Brusselbaan 110
1790 - Affligem",4506465,,Non,,,,,,,Oui,Non,Non,,,10.2 m,,,,,,,,,,,600 m²,,Urbain,,55 m²,55 m²,,,,25 m²,,,,,,,,,,,,,,,68 m²,,,,,,,,,,,
