,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Salon,Surface de la chambre 1,Surface de la chambre 2,Salles de douche,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Parlophone,Interphone vidéo,Surface constructible totale au sol,Revenu cadastral,Surface de la terrasse,Type d’environnement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Disponible le,Quartier ou lieu-dit,Salle à manger,Surface de la cuisine,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Ascenseur,Orientation du jardin,Surface de bureau,Bureau,Porte blindée,Surface de la chambre 5,Terrain à front de rue,Nom de l'agent,Grenier,Surface de l'espace professionnel,Dressing,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Type de construction,Orientation de la terrasse,Accès sécurisé / alarme,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Visite virtuelle,Jardin,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Âge des rentiers,Buanderie,Niveau E (performance énergétique globale),Nom du bien,Combien de feux ouverts ?,Isolé,Concierge,Accessible aux personnes avec un handicap,Climatisation,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes
0,Après la signature de l’acte,Fraîchement rénové,3,144 m²,54 m²,Hyper équipée,3,1,2,Oui,Non,22 m²,360 kWh/m²,D,20210504-0002410637-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,315.000 €,Non,"Britselei 42
2000 - Antwerpen",10160 - 3596126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Immédiatement,Bon,2,210 m²,,Hyper équipée,3,1,2,Oui,Non,,424 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,335.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4497740,Oui,,,Non,1930,6 m,1,1,Oui,16 m²,16 m²,1,69 m²,6 m,Connecté,Oui,Oui,Oui,Oui,69 m²,604 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,À rafraîchir,2,162 m²,35 m²,Équipée,5,,2,Oui,Non,,536 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,250.000 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1313906 - 1308560,,,,,,13 m,,,,,,1,70 m²,7.5 m,,,,,,,664 €,1 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,À rafraîchir,2,650 m²,,Semi-équipée,4,4,,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,745.000 €,Oui,"Pyckestraat 72
2018 - Antwerpen",,Oui,Non,Non,,,,,,,,,4,183 m²,,,,,,,,8.584 €,,Rue commerçante,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",651 - 1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À définir,,2,230 m²,55 m²,Américaine hyper-équipée,4,2,3,,Non,25 m²,251 kWh/m²,C,20210913-0002463318-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,375.000 €,Non,"Ter rivierenlaan 1
2100 - Deurne",,Oui,Non,Non,Non,1933,6 m,,,,24 m²,14 m²,,105 m²,6 m,Connecté,Oui,,Oui,,87 m²,857 €,25 m²,Isolé,Zone non inondable,,4447966,1 mai 2022 - 00:00,Merksem,Oui,15 m²,14 m²,9 m²,40 m²,25 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,123 m²,29 m²,,2,1,1,Oui,Non,73 m²,376 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,,,265.000 €,Non,"Ter Heydelaan 197
2100 - Deurne",4665 - 3665458,,,Oui,,1947,,,,,17 m²,11 m²,,195 m²,,,,,,,,560 €,13 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,24 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,30 m²,146 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,329.000 €,Non,"Britselei 42
2000 - Antwerpen",10146 - 3596214,,,,,,,,,,,,,143 m²,,,,,,,,,30 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,30 m²,156 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,339.000 €,Non,"Britselei 42
2000 - Antwerpen",10148 - 3596214,,,,,,,,,,,,,144 m²,,,,,,,,,30 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,29 m²,151 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,339.000 €,Non,"Britselei 42
2000 - Antwerpen",10147 - 3596214,,,,,,,,,,,,,140 m²,,,,,,,,,29 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,À rénover,2,,,Semi-équipée,6,2,3,,Non,,488 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,650.000 €,Oui,"Coquilhatstraat, 37-39
2000 - Antwerpen",5278 - 1048,Oui,Non,,,,,,,,,,,640 m²,,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,Excellent état,2,437 m²,36 m²,Hyper équipée,2,1,3,Oui,Non,,274 kWh/m²,C,20210602-0002422085-RES-2,Non communiqué,Non communiqué,Non,Gaz,Oui,398.000 €,Oui,"Frans de L'arbrelaan, 57
2170 - Merksem",1314379 - 1314199,,,,,,,7,,,,,,337 m²,6.7 m,,,,,,,2.093 €,20 m²,,,,,,,,,,,,,,,36 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Bon,2,202 m²,40 m²,Pas équipée,3,1,2,,Non,70 m²,340 kWh/m²,D,20210511-0002414111-RES-1,Non communiqué,Non communiqué,,,Oui,299.000 €,Non,"Handelslei 42
2960 - Sint-Job-in-'Goor",,Oui,Non,Non,Non,1952,6 m,1,,,16 m²,14 m²,,160 m²,6 m,Connecté,Oui,,,,,810 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",3465,,,Oui,9 m²,19 m²,,55 m²,,,Sud-est,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,À rénover,2,223 m²,,,6,2,2,Oui,,100 m²,412 kWh/m²,E,20210113-0002358998-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,295.000 €,,"Tabakvest 53
2000 - Antwerpen",,,,,,1900,6 m,,,,16 m²,17 m²,,198 m²,,,,,,,,1.018 €,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,16 m²,17 m²,,,,Nord-est,,,,6 m²,Oui,Animmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,Fraîchement rénové,2,305 m²,,,3,1,2,,,,204 kWh/m²,C,202007270002297225-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,365.000 €,Non,"Eikenlei 2
2960 - Brecht / St-Job-in-'t-Goor",4134995,Oui,Non,Non,,1946,5.1 m,1,,,20 m²,20 m²,,358 m²,5.1 m,Connecté,Oui,Oui,,,117 m²,1.440 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,12 m²,,,,,,26 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,Bon,2,,,Équipée,2,2,1,,Non,,1108 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,,180.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4532403,Oui,Oui,,,,,,,,,,2,60 m²,,Connecté,Oui,,,,60 m²,270 €,,Urbain,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,À rafraîchir,2,105 m²,26 m²,Pas équipée,3,1,1,,Non,70 m²,486 kWh/m²,E,20210420-0002404336-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,269.900 €,Non,"Ringlaan 137
2170 - Antwerpen",4446558,Oui,Non,Non,Non,1961,6 m,,,,11 m²,15 m²,,148 m²,6 m,Connecté,Oui,,,,,825 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,8 m²,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,,2,122 m²,29 m²,Équipée,3,1,2,Oui,Non,120 m²,589 kWh/m²,F,2445450-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,269.000 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1314265 - 1314197,Oui,Oui,Non,,1962,6 m,1,1,,,,,231 m²,6 m,,,,,,,,9 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,2,375 m²,60 m²,Américaine hyper-équipée,3,1,3,,Non,,455 kWh/m²,E,20210827-0002453549,Non communiqué,Non communiqué,,Électrique,Oui,375.000 €,Oui,"Ter rivierenlaan 1
2100 - Deurne",,,,Non,,1980,6.5 m,1,1,,14 m²,12 m²,,200 m²,6.5 m,Connecté,Oui,,Oui,,200 m²,3.852 €,10 m²,,Zone non inondable,,4448636,,Merksem,Oui,12 m²,10 m²,,30 m²,,Non,,,,,,,,,180 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,À rénover,2,83 m²,26 m²,Équipée,2,1,1,Oui,Non,,613 kWh/m²,F,20201013-0002327244-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,175.000 €,Non,,,Oui,,,Non,,,,,,16 m²,9 m²,,62 m²,,Connecté,Oui,,,,,277 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,8 m²,,,,,,,,Non,Non,,Non,,,,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,À définir,Excellent état,2,180 m²,,Équipée,3,,2,,Non,,137 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,320.000 €,Non,,,Oui,,,Non,,5 m,,,,18 m²,12 m²,1,217 m²,,Connecté,Oui,,Non,Non,,325 €,32 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,15 m²,18 m²,,,,,,,Non,Non,,Non,,Oui,,Non,Non,Non,Non,Non,Toutes sortes,Sud-ouest,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,2,246 m²,,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,795.000 €,Oui,"Vrijheid 147
2320 - Hoogstraten",,Oui,Non,Non,Non,2021,,,,,,,,107 m²,,Connecté,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2020/006,,,,,,,,,,,,,Non,,,,,,,,,,,Immeuble à appartements,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Excellent état,,170 m²,60 m²,Équipée,4,1,,,,11 m²,391 kWh/m²,D,20140117-0001515857-00000008-9,Non communiqué,Non communiqué,,,Oui,249.000 €,Oui,"Bredabaan 859
2930 - Brasschaat",Minister Schollaerts,,Non,Oui,Non,,5 m,,,,20 m²,20 m²,,,5 m,Connecté,Oui,,,,95 m²,498 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,11 m²,13 m²,13 m²,,,,Sud-est,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,
23,,,2,80 m²,,,2,1,,Oui,Non,,402 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,269.000 €,Non,"Goedehoopstraat 21
2000 - Anvers",4520082,,Non,Non,Non,,,,,,,,,,,,Non,,,,,495 €,17 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Fraîchement rénové,,,,,1,,,Oui,Non,,102 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,699.000 €,Oui,"Ter Elstlei 14/1
2570 - Duffel",386 - 1553,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,2,220 m²,,,4,,,,Non,6 m²,Non communiqué,Non communiqué,20171121-0002012436-1,Non communiqué,Non communiqué,,,Oui,255.000 €,Non,"Het Schoemeken 37
2970 - Schilde",TK/0084,,,,Non,,,,,,,,,136 m²,5 m,Non connecté,Non,,,,130 m²,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,3 janvier 2022 - 00:00,,,,,,20 m²,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,3,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,395.000 €,Non,"Antwerpsesteenweg 219
2950 - Kapellen",,,,,,,,,,,,,,,,Non connecté,Non,,,,,,,,,,Elf novemberstraat,,,,,,,,,,,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,À définir,Bon,,28 m²,Équipée,18 m²,16 m²,,Oui,,601 m²,,F,20210531-0002422417-RES-1,Non communiqué,Non communiqué,Gaz,,Non,395.000 €,1.437 €,"Leopoldstraat 37
2800 - Mechelen",,,,,,,,,,,,Non,,,Connecté,,Oui,Oui,,,,,Non,,,,,,,,,3,,,,,,806 kWh/m²,,,,,,,Non,,1,,,,,,,,,,,,,Oui,,,,,197 m²,Ouest,,,,,,,,,,,,,,,,,,,,,,
28,Après la signature de l’acte,Bon,3,300 m²,38 m²,Équipée,4,1,2,Oui,Non,350 m²,341 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,399.900 €,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,,,,1,1,,16 m²,15 m²,1,515 m²,,Connecté,Oui,,,,,1.080 €,64 m²,,,,4533160,,,,13 m²,28 m²,14 m²,,,,,19 m²,Oui,,,,,,53 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Après la signature de l’acte,Bon,3,300 m²,38 m²,Équipée,4,1,2,Oui,Non,350 m²,341 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Oui,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,,,,1,1,,16 m²,15 m²,1,515 m²,,Connecté,Oui,,,,,,64 m²,,,,4533176,,,,13 m²,28 m²,14 m²,,,,,19 m²,Oui,,,,,,53 m²,,,,,,,,,,,,,,,,,,,,,119.900 €,1.100 €,Oui,Non,Non,1,67,"180 mois, 15 années",,,,,,,,,,,,,,
30,Après la signature de l’acte,À rénover,3,Semi-équipée,,4,1,1,Non,,992 m²,,F,20200526-0002273392,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,"Hagedoornlaan 1
2970 - Schilde",290 - 1484,,,,Non,Zone non inondable,1820,,1,,,,,2,599 kWh/m²,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",350.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327 m²,,,,,,,,,,,,,,,,,,,,,,,
31,,Excellent état,3,204 m²,,Équipée,4,,1,,Non,105 m²,286 kWh/m²,C,20210621-0002431808-RES-1,Non communiqué,Non communiqué,,Gaz,,449.000 €,Non,"Lambrechtshoekenlaan 183
2170 - Merksem",D2170-21025,Oui,Oui,Non,Non,1976,,,1,,,,,314 m²,,,,,,,,1.343 €,50 m²,Urbain,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,15 avril 2022 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,À la livraison,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,À définir,Bon,3,300 m²,39 m²,Équipée,5,1,2,Oui,Non,,499 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,,Non,"Mechelsesteenweg,157
2018 - Antwerpen",,,,,,,,1,3,,19 m²,16 m²,1,812 m²,,Connecté,Oui,,,,,,,,,,4427111,,,Oui,13 m²,16 m²,14 m²,,,,,,,,8 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,169.900 €,2.050 €,Oui,Non,Non,2,,"120 mois, 10 années","81, 79",,,,,,,,,,,,,
34,,,,248 m²,,Équipée,3,1,1,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,409.000 €,Non,"Lage Kaart 371
2930 - Brasschaat",,,Oui,Non,Non,2021,8 m,1,,Oui,,,,259 m²,8 m,Connecté,Oui,Oui,,,,,,Pays,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",EEKE05,,,,,,,,,,Nord-ouest,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,Non,,Oui,,,,,,,,,,Oui,30,,,,,,,,,,,
35,,,,248 m²,,Équipée,3,1,1,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,409.000 €,Non,"Lage Kaart 371
2930 - Brasschaat",,,Oui,Non,Non,2021,8 m,1,,Oui,,,,259 m²,8 m,Connecté,Oui,Oui,,,,,,Pays,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",EEKE05C,,,,,,,,,,Nord-ouest,,Non,,,Non,,,,Non,,Non,Non,Non,,,,,,,,,,,,,Non,,Oui,,,,,,,,,,Oui,30,,,,,,,,,,,
36,À définir,Bon,2,125 m²,26 m²,Équipée,2,1,1,Oui,Non,65 m²,203 kWh/m²,C,20210315-0002386269-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,265.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",39965 - EKE-21-JDH-0,,Non,Non,Non,1925,5 m,,,,18 m²,11 m²,,170 m²,5 m,,Oui,,,,,369 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,19 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,À rénover,3,185 m²,25 m²,Semi-équipée,3,1,2,,Non,189 m²,591 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,325.000 €,Non,"Veltwijcklaan 5
2180 - Ekeren",20269 - SIE/21/036b,,,,,1974,6 m,4,3,,,,,351 m²,9 m,,,,,,,1.425 €,7 m²,,Zone inondable potentielle,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,À définir,Excellent état,2,140 m²,25 m²,Équipée,4,1,2,Oui,Non,168 m²,372 kWh/m²,D,20180920-0002092164-1,Non communiqué,Non communiqué,Non,Gaz,Oui,315.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",40115 - EKE-21-JDH-0,,Non,Non,Non,1934,5 m,,,,17 m²,11 m²,1,254 m²,5 m,,Oui,,,,,731 €,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,12 m²,7 m²,7 m²,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,2,134 m²,36 m²,Équipée,3,1,2,,Non,101 m²,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,378.500 €,Non,"Bredabaan, 896
2170 - Merksem",20292 - SIN/21/086-k,,Non,Non,,2022,,1,,,,,,181 m²,9.64 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
40,,,2,242 m²,38 m²,,4,2,2,,Non,101 m²,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,489.900 €,Non,"Bredabaan, 896
2170 - Merksem",20298 - SIN/21/086-G,,Non,Non,,2022,,1,,,,,,181 m²,9.64 m,,Oui,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,20,,,,,,,,,,,
41,,À rénover,2,105 m²,,Semi-équipée,2,1,1,Oui,Non,,546 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,,185.000 €,Non,"Veltwijcklaan 5
2180 - Ekeren",20284 - SIE/21/039,,Non,Non,Non,,,,,,,,,190 m²,,,Oui,Oui,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,
42,Après la signature de l’acte,À rafraîchir,2,246 m²,26 m²,Équipée,4,2,2,,Non,130 m²,262 kWh/m²,C,20210825-0002456045-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,415.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",35775 - EKE-21-JDH-0,Oui,Non,Non,Non,1969,6 m,4,,,12 m²,12 m²,,275 m²,6 m,,Oui,,,,,1.311 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,10 m²,6 m²,6 m²,,,,Nord-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,À définir,Fraîchement rénové,2,145 m²,26 m²,Équipée,4,2,2,,Non,85 m²,144 kWh/m²,B,Certificaat-20210819-0002453640-RES-1.pdf,Non communiqué,Non communiqué,Non,Gaz,Oui,325.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",25371 - EKE-21-JDH-0,,Non,Non,Non,1950,6 m,,,,17 m²,14 m²,,205 m²,6 m,,Oui,,,,,,9 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,10 m²,10 m²,,,,,Est,4 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,2,159 m²,29 m²,Équipée,4,1,2,Oui,Non,123 m²,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,429.892 €,Non,"Bredabaan, 896
2170 - Merksem",20052 - SIN/21/186-B,Oui,Non,Non,,2022,8 m,,2,,,,,187 m²,8 m,,,,,,,,7 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,De Wijngaard,,,,,,,,,,
45,,,2,187 m²,32 m²,Équipée,4,1,2,Oui,Non,149 m²,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,489.715 €,Non,"Bredabaan, 896
2170 - Merksem",20051 - SIN/21/186-A,Oui,Non,Non,,2022,8 m,,2,,,,,228 m²,8 m,,,,,,,,13 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,De Wijngaard,,,,,,,,,,
46,À définir,À rafraîchir,3,507 m²,,Semi-équipée,3,,1,Oui,Non,80 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,449.000 €,Oui,"Kloosterstraat 89-93
2180 - Ekeren",32285 - EKE-21-JDH-0,,Non,Non,Non,1961,6 m,,,,13 m²,12 m²,,378 m²,7 m,,Oui,,,,,3.257 €,,Rue commerçante,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,12 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Après la signature de l’acte,À rénover,2,130 m²,23 m²,Américaine équipée,4,,1,,Non,95 m²,449 kWh/m²,E,20210816-0002451837,Non communiqué,Non communiqué,Non,,Oui,247.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",33842 - EKE-21-JDH-0,,Non,Non,,1933,,,,,17 m²,14 m²,1,185 m²,4.75 m,,Oui,,,,,475 €,,Urbain,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,31 m²,11 m²,8 m²,5 m²,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
